Time (s),Volume (m^3),N2,Ar,He,Ne,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(28),CO2X(29),OX(20),OCX(21),COX(32),CH3X(22),HX(19),H2X(31),C2H6X(34),HOX(23),CH2X(58),CHX(26),C2H5X(33),C3H8X(38),CXHO(27),C2H4OX(44)
3.717994031897265e-21,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.24111968799999273,0.099999999999994676,1.4033980578000056e-92,0.099999999999998077,3.3024405785853728e-84,2.9676865139300348e-60,2.2505921253978678e-24,2.6857243150931881e-55,7.03911172096294e-85,1.7027352570898914e-34,3.0781938041949036e-107,1.363449044658026e-45,5.685900928837689e-84,1.8513576344826842e-84,6.3980000717213113e-66,4.1557791090225408e-84,2.661790718167246e-74,0.0,5.3391315669909502e-15,1.9341232691255439e-15,2.6567787098486411e-22,2.6342727885946609e-22,2.080271266307353e-38,6.350621675413466e-25,6.3506216771162191e-25,9.5391349809208833e-74,8.9409484248706835e-69,9.5689245006793476e-50,9.0916575288243612e-40,1.4626750012262848e-51,1.6652288706599301e-76,9.9952529853827097e-121,4.3044865987116261e-55,9.5261018085231118e-98
7.437602477182241e-21,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.24111968799998545,0.099999999999989334,1.1232872506731592e-91,0.099999999999996148,5.2867210888432176e-83,2.3752997152130012e-59,8.940276472105162e-24,2.1496679888426474e-54,2.2369012758184588e-83,6.8131589421742987e-34,1.9715696385504891e-105,5.4555721532555376e-45,1.8205127549814957e-82,2.9638949610874568e-83,1.0164426568832391e-64,1.3205470747473957e-82,2.1302415467856864e-73,0.0,1.0680581470531449e-14,3.8690863658417593e-15,5.3147110361580719e-22,5.2253082714369668e-22,1.6536275356285059e-37,1.2704000890482577e-24,1.270400089729581e-24,1.527054039096213e-72,1.4313282713032836e-67,3.8288162098551096e-49,3.6378472539213417e-39,1.1705845375209112e-50,2.6658179670528214e-75,1.2803910060149131e-118,3.4182480217065649e-54,6.0545026538619288e-96
1.487681936775219e-20,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.24111968799997091,0.099999999999978648,8.9885737788374189e-91,0.099999999999992276,8.4610074762903935e-82,1.9007000842861815e-58,3.5257043741596608e-23,1.7201699108388382e-53,7.0542094538431163e-82,2.7257072218834323e-33,1.2622929176669928e-103,2.1825841068262382e-44,5.8272801552460148e-81,4.7436105834653404e-82,1.6023133796996682e-63,4.1627597620465742e-81,1.7045168951409652e-72,0.0,2.1363481274363729e-14,7.7390125588470749e-15,1.0630575688776085e-21,1.0278005251358895e-21,1.3055421878172194e-36,2.5410759310394788e-24,2.5410759337652147e-24,2.4439205935303936e-71,2.2907466277960492e-66,1.5317758010387563e-48,1.4553757832817405e-38,9.3664548233077971e-50,4.2664702786779469e-74,1.6395398163483635e-116,2.6928400798693891e-53,3.8176078022425482e-94
2.975525314889209e-20,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.2411196879999418,0.099999999999957276,7.1917694435951748e-90,0.099999999999984532,1.3539415265920988e-80,1.5207442143725987e-57,1.371191820304175e-22,1.3763101557794561e-52,2.192560608658406e-80,1.0903716233229971e-32,8.0802369063741042e-102,8.7310469689503094e-44,1.8649917936603303e-79,7.5908800225239298e-81,2.4889519686404093e-62,1.2926555851667773e-79,1.3637429924777268e-71,0.0,4.2729280869033434e-14,1.5478864943149243e-14,2.1262304994008721e-21,1.9891113173702902e-21,1.0174151395217685e-35,5.0824276109315166e-24,5.0824276218353485e-24,3.9107803244233221e-70,3.6656917839202647e-65,6.1276018712068211e-48,5.8219769262489697e-38,7.4938753390457791e-49,6.8272810951959223e-73,2.0990200121682223e-114,2.0893587368923458e-52,2.3715262866262599e-92
5.951212071117189e-20,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.24111968799988359,0.099999999999914546,5.753779745312343e-89,0.099999999999969058,2.1664507179267358e-79,1.21666903469393e-56,5.1946363994185737e-22,1.1011178164123436e-51,6.6313340227019339e-79,4.361663962732557e-32,5.171850519448373e-100,3.4925609009673019e-43,5.9683919819278098e-78,1.2146290553053079e-79,3.760480824852027e-61,3.9023339231065225e-78,1.0910461864124903e-70,0.0,8.5460880006393436e-14,3.0958569704919731e-14,4.2525763604460432e-21,3.7331127205009601e-21,7.7370001762792336e-35,1.016513095435397e-23,1.0165130997971074e-23,6.2576544439785663e-69,5.8655046058774966e-64,2.4511404833215915e-47,2.3288855292621206e-37,5.9953848708209759e-48,1.0924390455243484e-71,2.6870068797432155e-112,1.5753203745333379e-51,1.4325223377369914e-90
1.190258558357315e-19,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.24111968799976716,0.099999999999829087,4.6031694768647891e-88,0.099999999999938097,3.4664365683205025e-78,9.7336469391537721e-56,1.8771616077198833e-21,8.8092212540228478e-51,1.9093939217550586e-77,1.744701074798821e-31,3.3101426172394381e-98,1.3970527835688692e-42,1.9099515744565965e-76,1.9434770842799811e-78,5.4047125839005834e-60,1.1196606492572373e-76,8.7285766524431722e-70,0.0,1.7092407807319584e-13,6.191797920112532e-14,8.5052680825309642e-21,6.6281064748142744e-21,5.6301504312974193e-34,2.0330537575752406e-23,2.0330537750224379e-23,1.0012571850987216e-67,9.3851255171270366e-63,9.8047613895339314e-47,9.315731612060256e-37,4.7964217270888652e-47,1.7479610048297007e-70,3.4395346008965684e-110,1.1279459601717882e-50,8.2275724050407492e-89
2.3805332608485075e-19,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.24111968799953432,0.099999999999658154,3.6825938546181872e-87,0.099999999999876174,5.5463908284547992e-77,7.7870354176991036e-55,6.2752358214712487e-21,7.0474884093066628e-50,5.0685794234263266e-76,6.9788752407249805e-31,2.1185401713724441e-96,5.5882679811334956e-42,6.1119458656833919e-75,3.1096197855634744e-77,7.1520787309950861e-59,2.953594540094897e-75,6.9829441649416161e-69,0.0,3.4185047337513008e-13,1.23836798084195e-13,1.7010651526679109e-20,1.0735415705246999e-20,3.8099780587996188e-33,4.0661350556763374e-23,4.0661351254658349e-23,1.602037472449401e-66,1.5016455142460577e-61,3.9219444338331329e-46,3.726330523453988e-36,3.8371828945450942e-46,2.7967821097614096e-69,4.4027067557776192e-108,7.415026332407403e-50,4.3474615880093943e-87
4.761082665830891e-19,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.24111968799906863,0.099999999999316302,2.9460983931088544e-86,0.099999999999752343,8.8742991220478734e-76,6.2296754810109441e-54,1.8770883314156545e-20,5.6380351546963501e-49,1.1974749006544286e-74,2.791564253848076e-30,1.3558791087543886e-94,2.2353185618661042e-41,1.9558356102048638e-73,4.9754367312994399e-76,8.4084231491250367e-58,6.9083755794634742e-74,5.5863884332466855e-68,0.0,6.8370326065231668e-13,2.4767443541296826e-13,3.4021418414888628e-20,1.5250535100550579e-20,2.3235021361251908e-32,8.132297547164176e-23,8.1322978263235825e-23,2.5632807262127515e-65,2.4026531017304804e-60,1.5687857383046227e-45,1.4905397685734147e-35,3.0697644890563129e-45,4.4748795394921415e-68,5.6355208954908245e-106,4.3140336210966735e-49,2.0387048575801399e-85
9.522181475795661e-19,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.24111968799813724,0.099999999998632599,2.3568880382658499e-85,0.099999999999504666,1.4198937442043777e-74,4.9837592435363708e-53,4.937020758034966e-20,4.5104456778861012e-48,2.4707337175662806e-73,1.1166285084083305e-29,8.6776403994561992e-93,8.9412969862644526e-41,6.2586741700909877e-72,7.960734552543752e-75,8.6198897333348422e-57,1.406445311334742e-72,4.4691239293625896e-67,0.0,1.367408821899962e-12,4.9534970832105026e-13,6.8042952190960575e-20,1.8672744610228034e-20,1.2541651176380036e-31,1.6264622111282454e-22,1.6264623227922889e-22,4.1012657432999355e-64,3.8442609733536501e-59,6.2751587958523103e-45,5.9621740601678574e-35,2.4558188096759183e-44,7.1598059926980546e-67,7.2134788567734898e-104,2.1810823497802678e-48,8.3278705853696807e-84
1.9044379095725197e-18,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.24111968799627448,0.099999999997265193,1.8855141600952644e-84,0.099999999999009312,2.2718342608057005e-73,3.9870149382002639e-52,1.1581315168986088e-19,3.6083632170384845e-47,4.5219887019476553e-72,4.4665194501871725e-29,5.5536573023136945e-91,3.5765233422100633e-40,2.0027626630118359e-70,1.2737202792315017e-73,7.8378968193715156e-56,2.5392205058737842e-71,3.575304324130823e-66,0.0,2.7348198911683439e-12,9.9070024713935696e-13,1.3608601974171609e-19,2.0272868050992913e-20,6.0481333574509867e-31,3.252926956408958e-22,3.2529274030656729e-22,6.5620383425624712e-63,6.1508296854361693e-58,2.5100666173156985e-44,2.3848725152108233e-34,1.9646578535794772e-43,1.1455612396360509e-65,9.2331991438794744e-102,9.7794939780625484e-48,3.0167205008596824e-82
