Time (s),Volume (m^3),N2,Ar,He,Ne,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(33),CO2X(34),OCX(21),OX(20),COX(37),CH3X(22),HX(19),H2X(36),C2H6X(39),HOX(23),CH2X(134),CHX(26),C2H4X(51),C2H5X(38),C2H3X(50),SX(145),CXHO(27)
6.861282880180896e-20,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.24111968799996841,0.099999999999980299,8.8182725465794978e-89,0.099999999999988112,3.8283729335592318e-79,1.8624470160209337e-56,6.7946522915200034e-22,8.4378946958682497e-52,4.5158687614590238e-69,5.7979335024966498e-32,2.9510331404834496e-100,4.6426424151388379e-43,5.2275357419640392e-78,1.0731755981951474e-79,2.1640051680262181e-51,8.2180930215085272e-53,1.6722234756360783e-70,1.8238439576432563e-115,1.9705944491145125e-14,1.1897604602749159e-14,4.22350233739478e-21,4.9029675665425749e-21,5.8405211016217191e-35,1.1719796423928911e-23,1.1719796481908866e-23,5.5223338833250709e-69,6.4780613787583828e-65,3.2583410205330782e-47,3.0958098772147875e-37,9.1891439917680711e-48,1.3697837249502673e-128,8.1710413758655244e-72,3.5748662144694982e-131,9.8198024856347215e-167,2.3722148843437741e-51
1.3723310337993934e-19,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.2411196879999368,0.099999999999960593,7.0555112085848656e-88,0.099999999999976219,6.1262708265339397e-78,1.4901381006071734e-55,2.4232443270585781e-21,6.7511703385528753e-51,6.5147788198527646e-68,2.31936214325726e-31,1.8890268127970805e-98,1.8572081075742637e-42,1.6730469680513915e-76,1.7173305065804023e-78,1.5555419424593617e-50,5.9073742369854301e-52,1.3379058012398027e-69,1.1674204075892884e-113,3.9414027431247349e-14,2.3796500312880564e-14,7.3832228697671111e-21,9.8064671968446258e-21,4.1983150820873193e-34,2.3440864549179255e-23,2.3440864781117947e-23,8.8368809820613675e-68,1.0366304121594695e-63,1.3034424802447034e-46,1.2384247298850295e-36,7.352013182249069e-47,1.753565640596667e-126,1.3075447182979587e-70,4.57646156147709e-129,5.028708783656426e-164,1.6742639303193776e-50
2.744736525362001e-19,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.24111968799987357,0.09999999999992118,5.6447662572006988e-87,0.099999999999952419,9.8027326491199206e-77,1.1921826799324745e-54,7.9382022419302996e-21,5.4012780496205456e-50,8.7037206622882573e-67,9.2778260119641269e-31,1.2090929931175249e-96,7.4291347240899597e-42,5.3541220493697303e-75,2.7479284388765537e-77,1.0329213961799355e-49,3.9226542688803465e-51,1.0703754480101888e-68,7.4722095152796539e-112,7.8830193266733739e-14,4.7594291716840163e-14,1.1675264215527829e-20,1.9613466457441254e-20,2.7877933428279944e-33,4.6883000451723924e-23,4.6883001379516436e-23,1.4139927032989054e-66,1.6587211179402901e-62,5.2139820517840088e-46,4.9539004529791999e-36,5.8818897210754942e-46,2.244780728594607e-124,2.092212002491685e-69,5.8584363681311016e-127,2.5750176826936591e-161,1.0764218672690543e-49
5.489547508487216e-19,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.24111968799974715,0.099999999999842354,4.515955926248864e-86,0.099999999999904818,1.568493160187429e-75,9.5377502458836878e-54,2.3138166904776833e-20,4.3211590356489302e-49,1.045521600000631e-65,3.7112058466978916e-30,7.7385508235709636e-95,2.9717143494646804e-41,1.7133752572377891e-73,4.3968451231751664e-76,6.1475980346897594e-49,2.3346308574055982e-50,8.5632067537769211e-68,4.7829810557312084e-110,1.5766252475883434e-13,9.5189874459546496e-14,1.6089298073300331e-20,3.9227464978604604e-20,1.6592001003055749e-32,9.376727086498923e-23,9.3767274576234709e-23,2.2624617191726864e-65,2.6540436858268054e-61,2.0856352309806941e-45,1.9816004632081921e-35,4.7056233936806672e-45,2.8737787170399174e-122,3.3476450564662685e-68,7.4999974607282471e-125,1.3186375986858428e-158,6.0871078160733539e-49
1.0979169474737645e-18,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.24111968799949429,0.099999999999684688,3.6128219100563296e-85,0.09999999999980963,2.5096337674536847e-74,7.6303157209651416e-53,5.931088811550719e-20,3.4569816761630923e-48,1.1138911190975202e-64,1.4844973894208759e-29,4.9527671197950876e-93,1.1886978318542791e-40,5.4828697480153656e-72,7.0350796140873163e-75,3.23688640321765e-48,1.2292499966892913e-49,6.8506465698962467e-67,3.0627400273035414e-108,3.1532718702754671e-13,1.9038103968410771e-13,1.9144573905141124e-20,7.8455462020811675e-20,8.7361636092467142e-32,1.8753580612422404e-22,1.8753582096935647e-22,3.61999744886747e-64,4.2465415831184747e-60,8.3426256120176249e-45,7.9264822144713779e-35,3.7645432722326785e-44,3.680387330220281e-120,5.3562959285693689e-67,9.6050873767596272e-123,6.7550456247237983e-156,2.9935937091472276e-48
2.1958413407238503e-18,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.24111968799898859,0.099999999999369357,2.8902803958257508e-84,0.099999999999619255,4.0154496729276337e-73,6.1042987867511121e-52,1.3648823003067046e-19,2.7656068136402342e-47,1.0658911964765138e-63,5.9380193571002411e-29,3.1697766201430966e-91,4.7548155116218508e-40,1.7545159081534314e-70,1.1256228413552595e-73,1.5305140020067657e-47,5.8123273127789401e-49,5.4805495595416311e-66,1.9642415347443848e-106,6.3065650870301619e-13,3.8076336908982438e-13,2.0423226075291601e-20,1.5691145610474739e-19,4.1307661008178827e-31,3.750728543735132e-22,3.7507291375434087e-22,5.7920428197053951e-63,6.7945231359500923e-59,3.337067075945787e-44,3.1706087956983614e-34,3.0116522967623548e-43,4.7206631718631734e-118,8.5700578527733291e-66,1.2320002850164378e-120,3.4657556167145443e-153,1.3170218130082518e-47
4.391690127224022e-18,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.24111968799797717,0.099999999998738695,2.3122334637810849e-83,0.09999999999923849,6.4247475950922123e-72,4.8834575133484242e-51,2.9310139093170239e-19,2.2124935496060284e-46,9.4398677623571363e-63,2.3752134609760441e-28,2.0286273537687906e-89,1.90193104146868e-39,5.6143610395122977e-69,1.8010043395268198e-72,6.7137037170939035e-47,2.5496168706653993e-48,4.3844523077788417e-65,1.267570548505166e-104,1.2613151406061348e-12,7.6152802372763431e-13,2.072205333962007e-20,3.1382344427070493e-19,1.8119886046889577e-30,7.5014686179539082e-22,7.5014709931927339e-22,9.2673058490780163e-62,1.0871279912290887e-57,1.3348301113690094e-43,1.268246570276766e-33,2.4093286785309187e-42,6.0924123298091247e-116,1.3711866612497875e-64,1.5899998591625904e-118,1.7891211040000662e-150,5.4471736637844965e-47
8.783387700224365e-18,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.24111968799595432,0.099999999997477385,1.8497904298373448e-82,0.09999999999847696,1.0279617004626013e-70,3.9067734040902012e-50,6.0688828179002721e-19,1.7699972944957945e-45,7.9732651123086488e-62,9.5008633461036409e-28,1.2982714339391894e-87,7.6077338392711995e-39,1.7965260938883951e-67,2.8816120120258722e-71,2.817806553431218e-46,1.0700989093595488e-47,3.5075664921337063e-64,6.6696336301784196e-104,2.5226323586210911e-12,1.5230573163087625e-12,2.0759138799761772e-20,6.2764742059496463e-19,7.6050916574123298e-30,1.5002945203325115e-21,1.5002954704289921e-21,1.4827718640377329e-60,1.7394074534634903e-56,5.3393263255083192e-43,5.0729913451758004e-33,1.9274653104887816e-41,6.9709079059364547e-115,2.1938122608586777e-63,1.8192699629284317e-117,8.3514710552660983e-149,2.1996837351490328e-46
1.7566782846225053e-17,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.24111968799190864,0.09999999999495475,1.4798338073279495e-81,0.099999999996953901,1.6447400370706859e-69,3.125421680349256e-49,1.2345338594856148e-18,1.4159975620400091e-44,6.5600241258165514e-61,3.8003456916153663e-27,8.3082601602242766e-86,3.0430954701855223e-38,5.7484201456181084e-66,4.6105800967007277e-70,1.155037994371574e-45,4.3864077959119289e-47,2.8060543830232892e-63,1.3894865672863923e-101,5.0452666114858899e-12,3.0461158346930514e-12,2.0761513698503184e-20,1.2552953732128621e-18,3.1173784027515055e-29,3.0005884121815697e-21,3.0005922125678462e-21,2.3724371367703536e-59,2.7830516144360994e-55,2.1357311606455143e-42,2.0291967189388967e-32,1.5419726053954825e-40,2.6576262982996827e-112,3.5098119565212692e-62,6.9358825127897158e-115,1.2471357809244795e-145,8.8198913604780094e-46
3.5133573138226425e-17,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.24111968798381725,0.09999999998990948,1.1838676311365684e-80,0.099999999993907782,2.6315838145808048e-68,2.5003385266463766e-48,2.4898296872222351e-18,1.1327959314453637e-43,5.3233244749353721e-60,1.5201371094693974e-26,5.3164080505214797e-84,1.2172385748070616e-37,1.8391949242153315e-64,7.3769184358554484e-69,4.6774398671983041e-45,1.7763188438867883e-46,2.2448429116671997e-62,3.5533272555853823e-99,1.0090534384555156e-11,6.0922326043497863e-12,2.0761590980123582e-20,2.5105912783261705e-18,1.2624128696054168e-28,6.0011704949897892e-21,6.0011856965232192e-21,3.7959005399110985e-58,4.4528745099019098e-54,8.5429215389518501e-42,8.1167805819381574e-32,1.2335772830205952e-39,1.3583591850984972e-109,5.6147698366285022e-61,3.5450508000457995e-112,2.5492718389984309e-142,3.5297486404722013e-45
