Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),HX(19),HOX(22),CH3X(21),CH3OO(77),H2X(49),C2H4(47),C2H6X(52),C2H4X(205),C2H4X(65)
5.399167965093974e-21,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999722,0.11866996602996267,0.022821567693054247,0.0,9.4300744378321601e-61,1.4525590461071186e-30,0.0,6.6145701731030385e-46,0.0,4.7651938914726419e-17,5.8623157832815923e-90,4.7651938914241497e-17,4.3639019620925698e-61,1.1554731665171196e-60,0.0,0.0,3.4010093550264058e-47,9.0613063065838386e-72,2.602403201212217e-15,7.7052533457254398e-17,3.0846712902973815e-19,4.4059468988389487e-32,3.0846712854759479e-19,1.6314586599895273e-31,5.1382542266920895e-44,6.5483773867870297e-82,5.6548899696205772e-60,5.4771875483853558e-96,7.6390619979872511e-86
1.0803026779853538e-20,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999455,0.11866996602996002,0.022821567693054209,0.0,1.5102254630333571e-59,5.814021662551118e-30,0.0,5.2970207906595353e-45,0.0,9.5345278298628037e-17,3.7576809521076865e-88,9.534527829668707e-17,6.9898271724000503e-60,1.850895442631867e-59,0.0,0.0,2.7228568328993361e-46,2.9028725046910257e-70,5.2070673956476328e-15,1.5417201090534766e-16,6.1720225730829539e-19,1.7635140627246429e-31,6.1720225537846524e-19,6.5300863406105063e-31,4.1137276598889879e-43,4.1957412450552401e-80,9.0576515949811911e-59,7.0188591949148097e-94,4.8945753545712591e-84
2.1610744409372666e-20,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679998917,0.11866996602995472,0.022821567693054132,0.0,2.4174675981710547e-58,2.3263659764114327e-29,0.0,4.2397635417741515e-44,0.0,1.9073195706931504e-16,2.4067731149246967e-86,1.9073195706154856e-16,1.1189794160824576e-58,2.9631130020087349e-58,0.0,0.0,2.1790832107205094e-45,9.2944023731592543e-69,1.0416395784515047e-14,3.0841096580152971e-16,1.2346725138819965e-18,7.0562499451152892e-31,1.2346725061601622e-18,2.6128851167224504e-30,3.2922323737158224e-42,2.6868048714016829e-78,1.4500109148923026e-57,8.9893009212715365e-92,3.1343134325832989e-82
4.322617966841092e-20,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679997845,0.1186699660299441,0.02282156769305398,0.0,3.8687550751086511e-57,9.3069787441902663e-29,0.0,3.3926698063213882e-43,0.0,3.8150531462222395e-16,1.5409293989121852e-84,3.8150531459115313e-16,1.7908528585382403e-57,4.742224581043514e-57,0.0,0.0,1.743549980542505e-44,2.9750426699772235e-67,2.0835052562236213e-14,6.1688887559387594e-16,2.4696130270957448e-18,2.8228767319971513e-30,2.4696129962033798e-18,1.0453241854239754e-29,2.6342861041595523e-41,1.7200450231144176e-76,2.3206469705425655e-56,1.1509609368918953e-89,2.0065318673290699e-80
8.645705018648743e-20,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679995697,0.11866996602992289,0.022821567693053671,0.0,6.1904015330362472e-56,3.7230944869581537e-28,0.0,2.7144794752906115e-42,0.0,7.6305202977418193e-16,9.863851315010379e-83,7.6305202964988832e-16,2.8657532620135612e-56,7.5882316552012261e-56,0.0,0.0,1.3948961582077876e-43,9.521470996248789e-66,4.1672366117623885e-14,1.2338446951784978e-15,4.9394940537886284e-18,1.1291764146134096e-29,4.9394939302091125e-18,4.18163703064179e-29,2.1076289867557555e-40,1.1009856080085429e-74,3.7135388287503816e-55,1.473441499593394e-87,1.2843630057182502e-78
1.7291879122264045e-19,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679991406,0.11866996602988045,0.022821567693053053,0.0,9.9041502520131414e-55,1.4892983947944936e-27,0.0,2.1717210393102589e-41,0.0,1.5261454602626577e-15,6.3134739170756307e-81,1.5261454597654628e-15,4.5855161880350437e-55,1.2140675568111077e-54,0.0,0.0,1.1158478876023089e-42,3.0470842421953785e-64,8.3346993228180577e-14,2.4677563343474562e-15,9.8792561082359403e-18,4.5163601004731334e-29,9.8792556138977717e-18,1.672722862262725e-28,1.6861832350152025e-39,7.0468096531864319e-73,5.942065091469878e-54,1.8861404863158712e-85,8.2205047597249836e-77
3.458422732949465e-19,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679982824,0.11866996602979556,0.022821567693051818,0.0,1.5843665299907414e-53,5.9573147813353267e-27,0.0,1.7374318145077927e-40,0.0,3.0523323219778483e-15,4.0408182157055089e-79,3.0523323199890289e-15,7.3370746719215146e-54,1.942138047762424e-53,0.0,0.0,8.9250433121188968e-42,9.7510111917787632e-63,1.6669624744841935e-13,4.9355796126842362e-15,1.9758780221376785e-17,1.8061574442902444e-28,1.9758778243983928e-17,6.6910274698336834e-28,1.3489786070541736e-38,4.5101187278114301e-71,9.5076265176209862e-53,2.4143464498583475e-83,5.2613054584154642e-75
6.916892374395587e-19,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679965654,0.11866996602962579,0.022821567693049351,0.0,2.5339230151582102e-52,2.3829501531631426e-26,0.0,1.389967441566318e-39,0.0,6.1047060483611885e-15,2.5861860224894226e-77,6.1047060404058323e-15,1.1739518454371498e-52,3.1060682325950546e-52,0.0,0.0,7.1369986478980772e-41,3.1203782195158983e-61,3.3339475588539851e-13,9.8712261693532445e-15,3.9517828464643596e-17,7.2213186498728338e-28,3.9517820554992031e-17,2.6764381270102576e-27,1.0791956933395422e-37,2.8865273366579784e-69,1.5212460289529026e-51,3.0904188706170776e-81,3.3672891527639353e-73
1.3833831657287828e-18,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679931321,0.11866996602928624,0.022821567693044414,0.0,4.050788613793441e-51,9.5318490939805578e-26,0.0,1.1119827435452245e-38,0.0,1.2209453512939698e-14,1.6551790008917695e-75,1.2209453481118112e-14,1.8783388580334117e-51,4.9652509921879128e-51,0.0,0.0,5.7046459185485954e-40,9.9852975862296698e-60,6.6679177274536328e-13,1.9742519282673056e-14,7.903592501911938e-17,2.8858379903340421e-27,7.9035893380354964e-17,1.0705806263860085e-26,8.6336167763774622e-37,1.8473938945139907e-67,2.4340142625283128e-50,3.9557715489674538e-79,2.1550761954559673e-71
2.7667710223072316e-18,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679862653,0.11866996602860716,0.022821567693034544,0.0,6.4700561860393222e-50,3.8127493337627534e-25,0.0,8.8958970175209679e-38,0.0,2.4418948489343971e-14,1.0593209301799128e-73,2.4418948362057379e-14,3.0053548550924641e-50,7.930064096393093e-50,0.0,0.0,4.555771450944166e-39,3.1953091046871999e-58,1.3335858064093193e-12,3.9485105509239888e-14,1.5807211839985392e-16,1.1521804586208593e-26,1.5807199184449535e-16,4.2823328386706754e-26,6.906913910689689e-36,1.1823372974803747e-65,3.8944392718438671e-49,5.0634100529249289e-77,1.3792446063981491e-69
