Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),CH3X(21),HOX(22),HX(19),H2X(49),C2H6X(52),CH3OO(77)
0.0,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996532,0.022821567693054285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.669155158374823e-24,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996532,0.022821567693054285,0.0,3.0116072252711517e-73,6.9032780897198983e-42,0.0,3.120204786118981e-57,0.0,6.7815762044190603e-25,-5.3055017494206101e-118,6.7815762043416448e-25,9.3655750909035788e-80,1.1436896695185279e-72,0.0,0.0,3.7092973251184666e-58,5.596289725039598e-95,2.6894754702803994e-18,1.2931237063347713e-19,4.9843974463610885e-23,5.5047775760092509e-38,4.9843974463618584e-23,4.4135218151616786e-58,5.1651812963473931e-74,3.3807745961134166e-42
1.8673634443449505e-23,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996532,0.022821567693054285,0.0,9.4008822786349078e-72,4.1695799661908264e-41,0.0,4.7152534727600771e-56,0.0,1.8988413372624196e-24,1.0240511707602392e-116,1.8988413372156603e-24,2.6412420248238727e-78,3.5959432235539972e-71,0.0,0.0,4.4036776206236373e-57,2.8968007348112513e-93,7.5305313167851174e-18,3.6207463777373599e-19,1.395631284980856e-22,3.3248855208966091e-37,1.3956312849813203e-22,5.2397330989599346e-57,1.4566637684638669e-72,2.0419878560749557e-41
4.268259301359887e-23,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996531,0.022821567693054285,0.0,2.0930015586293458e-70,2.0074732684905579e-40,0.0,5.0724545166682689e-55,0.0,4.3402087710037788e-24,1.081299359212636e-114,4.3402087707786526e-24,5.7452783234111957e-77,8.0223508547702347e-70,0.0,0.0,4.3235564545113957e-56,1.264856570006666e-91,1.721264300979454e-17,8.2759917205425364e-19,3.1900143656693539e-22,1.6007891165840362e-36,3.1900143656715892e-22,5.144401027752422e-56,3.1685618715732443e-71,9.8312925258346018e-41
9.07005101538976e-23,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.1186699660299653,0.022821567693054285,0.0,3.9168597132394854e-69,8.7671631739443862e-40,0.0,4.6624596077680668e-54,0.0,9.2229436388878184e-24,8.546770965600548e-113,9.2229436379046305e-24,1.0650777745989505e-75,1.5024972786854302e-68,0.0,0.0,3.8241361042462472e-55,4.7087438727771243e-90,3.6576866395813313e-17,1.7586482406152889e-18,6.7787805270423642e-22,6.9910654288310555e-36,6.7787805270521265e-22,4.5501644505590165e-55,5.8739797045211164e-70,4.293583737412049e-40
1.8673634443449506e-22,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999992,0.11866996602996525,0.022821567693054285,0.0,6.7630018265952958e-68,3.6601180431695929e-39,0.0,3.9888323560771168e-53,0.0,1.8988413376261192e-23,6.0576485886479338e-111,1.8988413372156572e-23,1.8305965659832559e-74,2.5951895352880592e-67,0.0,0.0,3.214415779057468e-54,1.6222336589007547e-88,7.5305313167850619e-17,3.6207463777373595e-18,1.3956312849772443e-21,2.9186311873700876e-35,1.3956312849813196e-21,3.824687388669943e-54,1.0095870303743963e-68,1.7924866911725425e-39
3.7880801299569e-22,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999986,0.11866996602996517,0.022821567693054282,0.0,1.1234928215005886e-66,1.4952776473457736e-38,0.0,3.2980437284409656e-52,0.0,3.8519352857429105e-23,4.0765197995111607e-109,3.851935284066039e-23,3.0340795585011034e-73,4.311943339265077e-66,0.0,0.0,2.6353705601876945e-53,5.3836020542196361e-87,1.5276220671192417e-16,7.3449426519814984e-18,2.8311377495168826e-21,1.1923552474375213e-34,2.8311377495335317e-21,3.1357097991104781e-53,1.6733164632269692e-67,7.3228930088173363e-39
7.629513501180798e-22,0.11640260799999998,0.8585084662769803,0.0,0.0,0.3375675631999997,0.11866996602996502,0.022821567693054278,0.0,1.8314237961186486e-65,6.044151324898771e-38,0.0,2.681914387414415e-51,0.0,7.7581231845449598e-23,2.6747537474579732e-107,7.7581231777667773e-23,4.9402120271728548e-72,7.0295465048605423e-65,0.0,0.0,2.1341886490333344e-52,1.7541683484955765e-85,3.0767599380006711e-16,1.4793335200469767e-17,5.7021506785706506e-21,4.8196838799664111e-34,5.7021506786379506e-21,2.5393790940861107e-52,2.724562081352505e-66,2.9600304382592541e-38
1.5312380243628596e-21,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999937,0.11866996602996471,0.022821567693054271,0.0,2.9576262226351318e-64,2.4303266645988104e-37,0.0,2.1630611124228168e-50,0.0,1.5570498992422928e-22,1.733200623348092e-105,1.5570498965168152e-22,7.9735221291216555e-71,1.1352705966969473e-63,0.0,0.0,1.7177762564777962e-51,5.6641032998132369e-84,6.1750356797633643e-16,2.9690120297446258e-17,1.1444176536576153e-20,1.9379683253030319e-33,1.1444176536846761e-20,2.0439132159084647e-51,4.397454183814665e-65,1.1902152214294253e-37
3.067811372852419e-21,0.11640260799999998,0.8585084662769803,0.0,0.0,0.3375675631999987,0.11866996602996409,0.022821567693054257,0.0,4.754176290516128e-63,9.7466969152115017e-37,0.0,1.7374883177306841e-49,0.0,3.1195250649274339e-22,1.1161326844314053e-103,3.1195250539970494e-22,1.281323600597463e-69,1.8249045490728369e-62,0.0,0.0,1.3784001408956446e-50,1.8206753932094178e-82,1.237158716328808e-15,5.9483690491399129e-17,2.2928228252179011e-20,7.7720767293883429e-33,2.2928228253264282e-20,1.6401116346078988e-50,7.0665908202411484e-64,4.7732953818569768e-37
