Time (s),Volume (m^3),N2,Ar,He,Ne,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(28),CO2X(29),OX(20),OCX(21),CH3X(22),HX(19),COX(32),CH2X(58),CHX(26),H2X(31),C2H6X(34),HOX(23),CXHO(27),CX(24),C2H5X(33),C3H8X(38),C2H4OX(44),H2OX(30),CH4OX(41),HOCXO(25)
3.908782769513714e-21,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.24111968799999237,0.099999999999994399,4.7557976976988168e-89,0.099999999999997979,3.1309278900792301e-82,1.5825189047865265e-58,1.7742274481847256e-27,1.6853183603676326e-53,5.0029224152659282e-87,1.8819705476805539e-34,1.1810385996153891e-103,1.1074282446044215e-44,3.8424887748086768e-82,8.9754198506988248e-82,4.0982698862084851e-68,1.5115377180748223e-84,1.2274547977365241e-71,0.0,5.6131089221955794e-15,2.0333727390630983e-15,1.0681987455604787e-23,1.0680213228156603e-23,4.9063675401991957e-24,4.9063675403875011e-24,1.7232901584081851e-41,5.4266366317037695e-38,6.7449595569923128e-49,5.3477559244338697e-72,5.8984371698458257e-67,1.1169476431087007e-48,1.9278126565062714e-56,1.2037353855285946e-45,7.8662069244741645e-74,4.0317609719306989e-117,3.6424066022913936e-98,5.1377498218391962e-96,2.2087477367085405e-95,7.8673815589058839e-47
7.81926279598336e-21,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.24111968799998471,0.099999999999988778,3.8065657073661892e-88,0.099999999999995939,5.0123675427232629e-81,1.2666520596994389e-57,7.0982100294794838e-27,1.3489377563755746e-52,1.6016143446998317e-85,7.5303335706327646e-34,7.564493278294025e-102,4.4311554705059806e-44,1.2302875397604114e-80,1.4369026773374721e-80,6.5598066747396748e-67,4.839799913299527e-83,9.8233709115033721e-71,0.0,1.1228655146243675e-14,4.0676284014335106e-15,2.1368613203633738e-23,2.1361514993604256e-23,9.814865504484772e-24,9.8148655052382389e-24,1.3789725932437387e-40,2.1713615047376353e-37,5.3980175762704182e-48,8.5610216718828727e-71,9.442622281196738e-66,4.4692464604290908e-48,1.5427922145793192e-55,4.81582369562624e-45,1.2592777207695242e-72,5.1646772246775666e-115,2.3325587690053934e-96,1.6450576101273897e-94,7.0722418643901596e-94,3.1479773839375622e-46
1.5640222848922655e-20,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.24111968799996941,0.099999999999977551,3.0460237738965265e-87,0.099999999999991873,8.0220977635869164e-80,1.0135764841723473e-56,2.8389377689540281e-26,1.079423498952363e-51,5.1251152258091623e-84,3.0126237739289357e-33,4.8431473048023425e-100,1.7727507277181388e-43,3.9380262485786724e-79,2.2997136479458622e-79,1.0495388567906392e-65,1.5488422649988608e-81,7.8601925135644376e-70,0.0,2.2459747590749181e-14,8.1361397257022619e-15,4.2741864699688061e-23,4.2713475321998507e-23,1.9631861431923327e-23,1.9631861434937691e-23,1.1030944037137735e-39,8.6868599238614253e-37,4.3192342082532823e-47,1.3701325476049929e-69,1.5112295061609478e-64,1.7879904012056245e-47,1.2341635809887963e-54,1.9260945676948156e-44,2.0153921853467933e-71,6.6133628159228909e-113,1.4929526538214815e-94,5.2657508518612046e-93,2.2637982131164231e-92,1.2593959267271185e-45
3.128214295480124e-20,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.24111968799993883,0.099999999999955083,2.4371275399829253e-86,0.099999999999983741,1.2837212792900974e-78,8.1096313431583924e-56,1.1350212316731558e-25,8.6364812986395373e-51,1.6393012858345537e-82,1.2051475855718043e-32,3.1002132785608097e-98,7.0915800310005558e-43,1.2603453876616945e-77,3.680079797425634e-78,1.6784826527863932e-64,4.9541980578318199e-80,6.2887563141554711e-69,0.0,4.4921932465397458e-14,1.6273162372351462e-14,8.5488367691782377e-23,8.5374865568615056e-23,3.9265853282270076e-23,3.9265853294328503e-23,8.8209053644966982e-39,3.4750267701922491e-36,3.4557154601056726e-46,2.1925073815874765e-68,2.4182952083078437e-63,7.1525500642103005e-47,9.8684388209820764e-54,7.7006204660465935e-44,3.2250657770311909e-70,8.4667532751078229e-111,9.5509286263832427e-93,1.6852920302508782e-91,7.2452483925443698e-91,5.0379936174498976e-45
6.256598316655842e-20,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.24111968799987762,0.099999999999910161,1.949825447864485e-85,0.099999999999967462,2.0541052278080948e-77,6.4881128872587957e-55,4.535107310643184e-25,6.9096223854372544e-50,5.2399398732386531e-81,4.8207865003182737e-32,1.9843281422011843e-96,2.8367474405342093e-42,4.0333883252054038e-76,5.8885657011274895e-77,2.6825360028494068e-63,1.5835594442747586e-78,5.0312522666470688e-68,0.0,8.9846302157243102e-14,3.2547207658096673e-14,1.7098137367591372e-22,1.7052786294484934e-22,7.8533836964842101e-23,7.8533837013077783e-23,7.0495700383166097e-38,1.3900672698414977e-35,2.7647036117916184e-45,3.5082480696918301e-67,3.8695347468915444e-62,2.8611415488012109e-46,7.8854745495730559e-53,3.0768710925854228e-43,5.1604557393002189e-69,1.0838499264116302e-108,6.1057838527920224e-91,5.3933442139445659e-90,2.3186575110579412e-89,2.0152793800401165e-44
1.2513366359007276e-19,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.24111968799975522,0.099999999999820316,1.5599097261475123e-84,0.099999999999934919,3.2866978230303554e-76,5.1906534398548169e-54,1.8099629817155592e-24,5.5278728475347403e-49,1.6728857640705916e-79,1.9283538316690074e-31,1.270031265204401e-94,1.1347220622503089e-41,1.2907294838256081e-74,9.4220799452605963e-76,4.2819373728507404e-62,5.0553015323586954e-77,4.0251107519887746e-67,0.0,1.7969504131113071e-13,6.5095298199374303e-14,3.4196738564394717e-22,3.4015742266223004e-22,1.5706980425750029e-22,1.570698044504469e-22,5.6278436388245371e-37,5.5603822018783387e-35,2.2118153871920529e-44,5.6133859192555227e-66,6.1914655210653405e-61,1.1444839862335595e-45,6.2929883431925635e-52,1.2279803752430096e-42,8.2570090988052563e-68,1.3873953507265657e-106,3.8984572241489692e-89,1.7259401024412051e-88,7.4200077841738054e-88,8.0612809734578906e-44
2.5026902443710148e-19,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.24111968799951042,0.099999999999640612,1.2479475283585708e-83,0.099999999999869818,5.2588473140868528e-75,4.1525880048793479e-53,7.2071989030969601e-24,4.4223682471465915e-48,5.328180416043031e-78,7.7134937843543236e-31,8.1283951521283704e-93,4.538934421476223e-41,4.1304062178731298e-73,1.5075705822351349e-74,6.8185771004895309e-61,1.6098971781595848e-75,3.2201482575513932e-66,0.0,3.5939251869969116e-13,1.3019147916107837e-13,6.8393940957909696e-22,6.7673221067600476e-22,3.1414173855287306e-22,3.1414173932466729e-22,4.483331190828061e-36,2.2241755030305934e-34,1.7694733073359382e-43,8.9815686595802594e-65,9.9065127381166986e-60,4.5780151721703302e-45,5.0096881433530779e-51,4.8897678587265817e-42,1.3211436923796527e-66,1.7759090009968672e-104,2.4830795047786137e-87,5.5231483933669701e-87,2.3744631850660472e-86,3.2245447477406116e-43
5.005397461311589e-19,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.24111968799902084,0.099999999999281219,9.9836592171833135e-83,0.09999999999973963,8.4143474721208727e-74,3.3220965052735829e-52,2.8570415681979751e-23,3.5379225733815782e-47,1.6891418715087395e-76,3.0854132004644083e-30,5.2022340816808641e-91,1.815583003119189e-40,1.321741179612197e-71,2.4121681391638015e-73,1.0806709155214235e-59,5.102221130482707e-74,2.5761681964864131e-65,0.0,7.1878746979995298e-13,2.6038384060108188e-13,1.3678834574457287e-21,1.3393130417636926e-21,6.2828560598384443e-22,6.2828560907103706e-22,3.5566600531197872e-35,8.8967472374854654e-34,1.4155870420752003e-42,1.4370630743060027e-63,1.5850554579603849e-58,1.831241509064023e-44,3.9686467427077453e-50,1.9383772002218062e-41,2.1138471944900574e-65,2.2731904633551277e-102,1.5740369088547706e-85,1.7674479041654273e-85,7.5984567009848411e-85,1.2898241047218525e-42
1.0010811895192738e-18,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.24111968799804168,0.099999999998562433,7.9869589699128366e-82,0.099999999999479242,1.3463388190345345e-72,2.6576876447638987e-51,1.1226487708701493e-22,2.8303492294988542e-46,5.3061232980547613e-75,1.2341684136310255e-29,3.3294478117395857e-89,7.2623504815160867e-40,4.2295876987786162e-70,3.8595931073675764e-72,1.6969190396399487e-58,1.601839718068961e-72,2.0609955580851377e-64,0.0,1.4375773572930403e-12,5.2076856154747041e-13,2.7357715531643204e-21,2.6235066760770187e-21,1.2565733362066903e-21,1.2565733485554921e-21,2.7984441842268352e-34,3.5587079245694886e-33,1.1324729875418825e-41,2.2993105693560599e-62,2.5360994283190766e-57,7.3251936742011779e-44,3.1139183338033628e-49,7.6166787544745213e-41,3.3821677318453517e-64,2.909699634193759e-100,9.8848529697186477e-84,5.6560132113802424e-84,2.4315836000602932e-83,5.1593067015690947e-42
2.0021640762955035e-18,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.24111968799608333,0.099999999997124847,6.3895798142924662e-81,0.099999999998958478,2.1542658649359151e-71,2.1261542919687033e-50,4.3369739020820186e-22,2.2642838207014007e-45,1.6375886067822192e-73,4.9366798901715465e-29,2.1308503245388487e-87,2.9049438863710768e-39,1.3534693442273325e-68,6.1757039624302224e-71,2.6171953745004628e-57,4.9380166775546428e-71,1.648886710227894e-63,0.0,2.8751570734494749e-12,1.0415379957057733e-12,5.4715477445428174e-21,5.0378503543324419e-21,2.513148778095996e-21,2.513148827491265e-21,2.1672138984707836e-33,1.4234849633309072e-32,9.0597972420912095e-41,3.6789045654559406e-61,4.0577675126605764e-56,2.93024840304964e-43,2.3983751091887146e-48,2.9424462784695228e-40,5.4114729991079006e-63,3.7244220587955085e-98,6.0962408260959051e-82,1.810026735904465e-82,7.7815084486592532e-82,2.0637230342909719e-41
