Time (s),Volume (m^3),N2,Ar,He,Ne,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(33),CO2X(34),OCX(21),OX(20),CH3X(22),HX(19),COX(37),CH2X(134),CHX(26),H2X(36),C2H6X(39),HOX(23),CXHO(27),CX(24),C2H3X(143),C2H5X(38),C2H4X(51),C2H3X(50),C3H8X(43),C3H6(158),C3H6X(171),C3H5X(169),SX(157),SX(217),H2OX(35),C2H4OX(49)
9.507659596206864e-21,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.24111968799999564,0.099999999999997286,6.8462453308078326e-88,0.099999999999998368,1.0966619555305537e-80,2.2777069969095931e-57,1.0497425253857486e-26,1.2130566001093273e-52,1.3248361581004452e-75,1.113717222218962e-33,5.7403605305036692e-102,6.5535697887927769e-44,1.3588229569639032e-80,1.5718576500567988e-80,4.5960855736081445e-57,1.7454236864291736e-58,1.7674408157588926e-70,6.5753832675378845e-119,2.730646958832923e-15,1.6486475863311159e-15,2.597261389411724e-23,2.5983111319371102e-23,1.1934366188717233e-23,1.1934366189831592e-23,1.2404561310294346e-40,3.211426355691428e-37,9.7123790078839758e-48,9.3644019624380687e-71,1.2913244796352637e-66,6.6100103274921825e-48,2.7746020523556854e-55,7.1220984158054184e-45,7.7471777375802608e-74,1.1255986034137671e-72,6.8482166953268338e-133,1.7872499171242262e-135,4.7685376481601029e-116,1.4912263758885177e-168,1.2594424183522263e-182,1.6434485486902447e-185,4.6843722822003974e-174,6.9504020230343746e-224,1.4596717209580773e-94,1.5351458216234803e-72
1.90235795395868e-20,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.24111968799999126,0.099999999999994552,5.4825488139293936e-87,0.099999999999996717,1.7566965148992578e-79,1.8240001094076406e-56,4.2002505562439742e-26,9.7142911211076144e-52,2.1208003212138094e-74,4.4577713193644356e-33,3.679529465646398e-100,2.6231358250943728e-43,4.3531385288668301e-79,2.5178990515732597e-79,3.6784735853429724e-56,1.396948516499268e-57,1.4150273318012814e-69,4.2126029787155409e-117,5.4636663300281708e-15,3.2987275336232171e-15,5.1946794513125246e-23,5.1988797018687683e-23,2.3879101068677562e-23,2.3879101073137908e-23,9.9279811855546749e-40,1.2854074639967006e-36,7.7758087477376859e-47,1.4999204865176239e-69,2.0683633622875551e-65,2.6457267484269443e-47,2.2210938583681733e-54,2.8497081054823401e-44,1.2405750173747948e-72,1.8029238360900239e-71,8.7748663946973557e-131,2.2900676095528074e-133,6.1132711913547182e-114,7.646390291004946e-166,1.2915815287285531e-179,1.6853869283938445e-182,2.4019517974825461e-171,2.8523462739945832e-220,4.6765537766452707e-93,2.4574644423814304e-71
3.805541942634667e-20,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.24111968799998248,0.099999999999989084,4.3882611563066305e-86,0.099999999999993414,2.8123454019635161e-78,1.459934249964549e-55,1.6794838774090801e-25,7.7753701462065089e-51,3.392539041975817e-73,1.7836891790636554e-32,2.3567240629126563e-98,1.0495960093015624e-42,1.3937895996377374e-77,4.0309814639286547e-78,2.9419947096414521e-55,1.1172610179913043e-56,1.132451920354411e-68,2.6974625094292881e-115,1.0929705071558707e-14,6.5988874278938983e-15,1.0383222002957448e-22,1.0400016841731539e-22,4.7768570821902249e-23,4.7768570839749427e-23,7.9402685455183889e-39,5.1433041756093304e-36,6.2230102239271924e-46,2.4011664513962535e-68,3.3111777583525069e-64,1.058635320457511e-46,1.7764350405838652e-53,1.1394650758072765e-43,1.9847438724363856e-71,2.8862518482736376e-70,1.1237693324898084e-128,2.9328170177637879e-131,7.8311001375600104e-112,3.9178519733897958e-163,1.3235601918192543e-176,1.7271159402061234e-179,1.2307103394836542e-168,1.1694414693205279e-216,1.4973945219375331e-91,3.931083929043406e-70
7.61190991998664e-20,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.24111968799996494,0.099999999999978148,3.5114979842091066e-85,0.099999999999986808,4.5010578492827133e-77,1.1682411364870086e-54,6.709738006918359e-25,6.2218713981058086e-50,5.4223856905869803e-72,7.1359181826099042e-32,1.5088876755681812e-96,4.1990674930813931e-42,4.4613833781775293e-76,6.4514453331525263e-77,2.3510044897651695e-54,8.9282474154267877e-56,9.0613359407634694e-68,1.7268267623985359e-113,2.1861782551179925e-14,1.3199207215181163e-14,2.0735193741385666e-22,2.0802291121454874e-22,9.5547510301567665e-23,9.5547510372967992e-23,6.3452211227937395e-38,2.0576565811903373e-35,4.9793536699213089e-45,3.8429015534490858e-67,5.2993219227008987e-63,4.2352306175012045e-46,1.4193672729971624e-52,4.5522986136053319e-43,3.1722625127582475e-70,4.619262118812751e-69,1.4388032494858887e-126,3.7549936039456135e-129,1.0027721941333541e-109,2.0066872567442897e-160,1.3558308708440778e-173,1.7692260041962801e-176,6.3035836278232593e-166,4.7923384897927506e-213,4.793098671186593e-90,6.283156347770167e-69
1.522464587469059e-19,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.24111968799992989,0.099999999999956291,2.8095540544524559e-84,0.09999999999997361,7.2027368797446007e-76,9.3471041810363278e-54,2.6767088532580435e-24,4.9781273026661036e-49,8.6550772182015066e-71,2.8545995814864565e-31,9.6587505209776362e-95,1.6797636981416624e-41,1.4278436743175953e-74,1.0323812744505458e-75,1.8761386571174204e-53,7.1248822141682264e-55,7.2497570423263758e-67,1.1053230203377091e-111,4.3725937496662963e-14,2.6399846784739321e-14,4.1339168795566745e-22,4.1606839680892752e-22,1.9110538915376278e-22,1.9110538943938736e-22,5.0635865033455007e-37,8.231296188907651e-35,3.9838611701910028e-44,6.1494707839311994e-66,8.4800652375133657e-62,1.694230120202066e-45,1.1322258041236447e-51,1.8160437842957406e-42,5.0628046285897195e-69,7.3918263214545374e-68,1.8419263892618229e-124,4.8070657435187144e-127,1.2837988533168636e-107,1.0276240477893059e-157,1.3886415480485603e-170,1.812040712911565e-173,3.2280636180330656e-163,1.9634312650670643e-209,1.5340214037733377e-88,1.0029017912181871e-67
3.0450117784098485e-19,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.24111968799985975,0.099999999999912562,2.2477855190784803e-83,0.099999999999947214,1.1525214483480934e-74,7.4781534090945274e-53,1.0648485840611573e-23,3.9827539228564284e-48,1.3780139052385604e-69,1.141886294839814e-30,6.1821977024967563e-93,6.7193282041135311e-41,4.5694207112294592e-73,1.6519300572471154e-74,1.4932898413026894e-52,5.6709636771480488e-54,5.8000809404796725e-66,7.0748074825561617e-110,8.7454247332591427e-14,5.2801125903790144e-14,8.2151088215671924e-22,8.3215936799733322e-22,3.8222114642960992e-22,3.8222114757215474e-22,4.030300327616413e-36,3.2926524488024199e-34,3.1872402339953401e-43,9.8398159265591914e-65,1.3569024542189821e-60,6.7771962070194363e-45,9.004223078411132e-51,7.2245872013620476e-42,8.0580311742795075e-68,1.1827725979697468e-66,2.357913112661147e-122,6.1536896488129107e-125,1.6434225950576701e-105,5.2621304742414775e-155,1.4221569588534683e-167,1.8557750300751939e-170,1.6529870033556998e-160,8.0434961879536179e-206,4.9092362278743937e-87,1.5967651952904971e-66
6.090106160291427e-19,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.2411196879997195,0.099999999999825104,1.7982853272033705e-82,0.099999999999894409,1.8441011423642498e-73,5.9827107586930118e-52,4.2131680230554442e-23,3.1863039603139802e-47,2.1832161493755331e-68,4.5676380967231613e-30,3.9567965389479709e-91,2.6877859649233338e-40,1.4622655592772436e-71,2.6431840824450961e-73,1.1825335936737455e-51,4.4908260971556034e-53,4.6401748396152241e-65,4.5287490595949493e-108,1.7491086678429797e-13,1.0560368406162979e-13,1.6222096301423597e-21,1.6643413103727368e-21,7.6445265926713214e-22,7.6445266383740443e-22,3.1915876917319593e-35,1.3170877711576826e-33,2.5498527016455509e-42,1.5744235595844908e-63,2.1711175320044274e-59,2.710933605023334e-44,7.1183212072824653e-50,2.8584721088252892e-41,1.2757634228168161e-66,1.8924999122164015e-65,3.0187081388057735e-120,7.8782347596006912e-123,2.1036827524785499e-103,2.6947641407397582e-152,1.4565877137752403e-164,1.9007037821032981e-167,8.4650316672803613e-158,3.2953371012123023e-202,1.5710144185610109e-85,2.5297883500744208e-65
1.2180294924054587e-18,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.24111968799943898,0.099999999999650188,1.4386510268816998e-81,0.099999999999788799,2.950615238303871e-72,4.7862438206464896e-51,1.6493408387712053e-22,2.549083476337345e-46,3.4258437129826184e-67,1.8270738153027594e-29,2.5324091053543925e-89,1.0751253227183141e-39,4.6793285757404868e-70,4.2291712378988584e-72,9.2719645601122483e-51,3.5211498273704302e-52,3.7121838458017364e-64,2.9003069699293397e-106,3.4982410480710945e-13,2.1120880005626116e-13,3.1637711112413517e-21,3.3287051951179143e-21,1.5289156780854889e-21,1.5289156963667639e-21,2.5024479202270487e-34,5.2684046404756668e-33,2.0399063573331227e-41,2.5191200913026701e-62,3.4738469033688565e-58,1.0843844473437986e-43,5.5625167466280024e-49,1.1190141859497412e-40,1.9991159178082625e-65,3.0280490853701993e-64,3.8664753834472703e-118,1.0090740615026295e-120,2.6927775215925085e-101,1.3806304030515301e-149,1.4925301668184928e-161,1.9476051531617242e-164,4.3369584559139454e-155,1.3506698738706006e-198,5.0273401685779169e-84,3.9696753486882373e-64
2.4360672451580903e-18,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.24111968799887795,0.099999999999300357,1.1509299276150679e-80,0.099999999999577593,4.7210269482795656e-71,3.82902514219166e-50,6.3264107029632846e-22,2.0392828702820478e-45,5.2777012994880324e-66,7.3083323584056911e-29,1.620758910340262e-87,4.300523164436949e-39,1.4973960181498794e-68,6.7667350636060624e-71,7.1329561888375335e-50,2.7088333115402493e-51,2.9697645682088531e-63,1.8609779689558859e-104,6.9965057733032599e-13,4.2241903076133213e-13,6.0247918942854609e-21,6.6574329645857475e-21,3.0578416882954508e-21,3.0578417614209223e-21,1.9251422380265331e-33,2.1073725450825355e-32,1.6319347481997933e-40,4.0306260188278842e-61,5.5582020216511239e-57,4.3375596464876515e-43,4.2511135871324297e-48,4.2922258131260977e-40,3.0714024924110725e-64,4.8449122233122252e-63,4.9617629357315553e-116,1.2949225846153698e-118,3.4467918987636594e-99,7.0869284222570005e-147,1.532261615244465e-158,1.9994507939977611e-161,2.2262087168354753e-152,5.5465161589655099e-195,1.608763838675411e-82,6.1155036869676881e-63
4.872142750663354e-18,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.24111968799775588,0.099999999998600708,9.2074758453804358e-80,0.099999999999155167,7.5536766530580244e-70,3.0632321480188167e-49,2.3370664396299323e-21,1.6314326773025031e-44,7.859281116930756e-65,2.9233403178595354e-28,1.037288737333619e-85,1.7202136404719584e-38,4.7916735718109048e-67,1.0826824064553931e-69,5.2982885004475455e-49,2.0120941290133913e-50,2.375818494107217e-62,1.2032368328261808e-102,1.3993035082871339e-12,8.4483948703470704e-13,1.0977822063754027e-20,1.3314888503431329e-20,6.1156935990083718e-21,6.1156938915109945e-21,1.4299762729726472e-32,8.4295113795670159e-32,1.3055516376852437e-39,6.4490285865788327e-60,8.8931604769771902e-56,1.735028107103661e-42,3.118049917390865e-47,1.5856094980688266e-39,4.5502263000789268e-63,7.7518682851263881e-62,6.4157897361092775e-114,1.6743950080787878e-116,4.4119067770651946e-97,3.6654431596824597e-144,1.5849959860142659e-155,2.0682639771667395e-158,1.1514214833939294e-149,2.2949617973186911e-191,5.1480678747948573e-81,9.1068925472149009e-62
