Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),HX(19),HOX(22),CH3OO(77),CH3X(21),H2OX(23),CH2X(27),CHX(28),CX(26),OCX(25),H2X(49),CO2X(24),C2H4(47),COX(50),CH4OX(60),CHOX(53),C2H4X(210),C2H4X(65)
6.036453294783467e-21,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999688,0.11866996602996237,0.022821567693054243,9.8686746893707804e-101,2.2921995008913314e-54,1.8156993313813715e-30,2.0946026897543657e-72,9.2441480293417651e-46,1.6542609980686138e-110,5.3276502632758475e-17,1.1449842527948133e-89,5.3276502632748393e-17,6.8185990361755441e-61,1.0326065339482664e-58,2.2690473293440429e-93,2.6309544144962628e-94,2.521066945659903e-42,1.5829451214367415e-71,2.9095752308270141e-15,8.6147351307926981e-17,3.4487673481854028e-19,5.5074739599813509e-32,2.0393241621056617e-31,3.4487673437759289e-19,1.1102621865955844e-45,2.1717102725610546e-28,2.5581555826303464e-34,2.840971359323433e-39,1.6973088532171067e-64,7.1809306546120998e-44,8.4040664764018936e-91,1.2789806513068394e-81,3.9960047006878454e-87,9.2534156666984591e-73,1.8128104113831207e-90,1.1960322575153699e-95,1.4920043417403678e-85
1.2078151118928171e-20,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999388,0.1186699660299594,0.022821567693054202,2.5910546569231844e-98,3.6705061277684083e-53,7.2675291856399765e-30,1.3742030062764344e-70,7.4028157571996713e-45,4.3407203202390041e-108,1.0659929240942817e-16,7.3392251054112598e-88,1.0659929240938779e-16,1.092160851361403e-59,1.6540931754549571e-57,2.9770656481369707e-91,3.4518997935438129e-92,2.0183864727978186e-41,5.071109742941898e-70,5.8216783289252621e-15,1.723695482729398e-16,6.9005310234180163e-19,2.2044248727056784e-31,8.1626112758515387e-31,6.9005310057686229e-19,8.8888483426239666e-45,8.6924904841890191e-28,2.0480771263028526e-33,2.3299685920715435e-38,5.5686479098072573e-63,5.7491108451304915e-43,1.1033002928278697e-88,8.1948115592421933e-80,5.2428912173543273e-85,2.9646538059553728e-71,2.3798885975133627e-88,1.5326811313240525e-93,9.5597177467520285e-84
2.416154676721758e-20,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679998789,0.11866996602995347,0.022821567693054115,6.9482373094820919e-96,5.8752005195867898e-52,2.907958322649102e-29,9.2099554784568586e-69,5.9252530046171599e-44,1.1633851624466447e-105,2.132448719627911e-16,4.7007316197703967e-86,2.1324487196262958e-16,1.7484059070898281e-58,2.648088263091426e-56,3.9898353213384826e-89,4.6262035656883811e-90,1.6153226065127116e-40,1.6236653299219548e-68,1.1645884525117485e-14,3.4481394220295986e-16,1.3804058387137945e-18,8.8205708838014368e-31,3.2661077359200858e-30,1.3804058316517297e-18,7.113780145285924e-44,3.4781202432609664e-27,1.6390796591402513e-32,1.9534588762144603e-37,1.8666725841631278e-61,4.6010359613517253e-42,1.4794372038938453e-86,5.2476686077433856e-78,7.0264733815510699e-83,9.4925934274196947e-70,3.1912395427669385e-86,1.9629588688707837e-91,6.1217060460256769e-82
4.8328338063796395e-20,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999759,0.11866996602994161,0.022821567693053942,1.9380483542969981e-93,9.4022338216112615e-51,1.1633726910382016e-28,6.4205931314395568e-67,4.7414028559540609e-43,3.2427456529844245e-103,4.2653603106961127e-16,3.0096295761284691e-84,4.26536031068965e-16,2.7982085030872006e-57,4.2381729611904327e-55,5.5613070215535785e-87,6.4483208656709033e-88,1.2925035082643055e-39,5.1971858378617811e-67,2.3294296917484853e-14,6.8970273006297787e-16,2.7611113167597024e-18,3.5288027118918185e-30,1.30665576751021e-29,2.7611112885067781e-18,5.6921048980858317e-43,1.3914680180820302e-26,1.3115055685403276e-31,1.7051311497830546e-36,6.5104324353938186e-60,3.6815278482684492e-41,2.0635701371549483e-84,3.3594647560839333e-76,9.7939820775717804e-81,3.0385424032175314e-68,4.4512506628947371e-84,2.5133088753439505e-89,3.9190075786208262e-80
9.666192065695402e-20,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679995192,0.11866996602991788,0.022821567693053598,5.7743799035032166e-91,1.5045104509313401e-49,4.6538695577125884e-28,4.7811171239385524e-65,3.7936025236225793e-42,9.6522375929766552e-101,8.5311834928362905e-16,1.9265346404896653e-82,8.5311834928104346e-16,4.4777409314445284e-56,6.7820622623725191e-54,8.2786856221969916e-85,9.5991141918121133e-86,1.0341009852082659e-38,1.6633325875136322e-65,4.6591121702151252e-14,1.3794803057829248e-15,5.5225222940595533e-18,1.4116359629847302e-29,5.2270484284867711e-29,5.5225221810381356e-18,4.5541162173047232e-42,5.5662725755596756e-26,1.0492925697447336e-30,1.5915600078712622e-35,2.4262592077705843e-58,2.9455019653148877e-40,3.0748910524898554e-82,2.1503636809254344e-74,1.4579539986039778e-78,9.7247958702527498e-67,6.6327319440529752e-82,3.217497205794826e-87,2.5085214432043636e-78
1.9332908584326928e-19,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679990396,0.11866996602987043,0.022821567693052908,1.8941357116399535e-88,2.4073391004528453e-48,1.8616236185984513e-27,3.9194506163370594e-63,3.0350741250897283e-41,3.1621417903476073e-98,1.7062829857131735e-15,1.2331011303165778e-80,1.7062829857028309e-15,7.1648713816616323e-55,1.0852088010695127e-52,1.3564961020259079e-82,1.5728536555345978e-83,8.2732005992251179e-38,5.3230372911216166e-64,9.3184771271210764e-14,2.7590354572224641e-15,1.1045344333494146e-17,5.6467736035583292e-29,2.0909044316082884e-28,1.1045343881385889e-17,3.6434658064639117e-41,2.2265576385995181e-25,8.3945549276719468e-30,1.637035040212022e-34,9.9573645434929514e-57,2.3565134931483531e-39,5.0447488688577333e-80,1.3763307563726035e-72,2.3889165275830532e-76,3.1121682723559866e-65,1.0881833023128103e-79,4.1186920191874589e-85,1.6055672147016103e-76
3.866634162158998e-19,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679980798,0.11866996602977552,0.022821567693051527,6.9778014063610979e-86,3.8518402741545059e-47,7.4466463409359049e-27,3.6084186842467738e-61,2.4281361431688793e-40,1.1633102281585877e-95,3.4126122585782972e-15,7.8922279190202326e-79,3.4126122585369273e-15,1.1464182923323146e-53,1.7363971257275297e-51,2.4960215204326095e-80,2.8941303573070359e-81,6.6187175421122889e-37,1.7034316118197703e-62,1.8637207040823654e-13,5.5181457601001198e-15,2.2090988751724939e-17,2.2587553821512733e-28,8.3637877338506103e-28,2.2090986943221557e-17,2.9148416262236792e-40,8.9060758259178708e-25,6.7155087301378145e-29,1.891598411223717e-33,4.5897954578025779e-55,1.8852556284550827e-38,9.2952817800196331e-78,8.8088304166473616e-71,4.3957272735215319e-74,9.9593118834581091e-64,2.0050474326407438e-77,5.2721149505473612e-83,1.0275985325498046e-74
7.733320769611608e-19,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679961602,0.11866996602958571,0.022821567693048769,2.8760762459082047e-83,6.1630219936754153e-46,2.9786891281801084e-26,3.7171181285212556e-59,1.9425396494833613e-39,4.7892413364109435e-93,6.8252708043326864e-15,5.0511476783415751e-77,6.8252708041672063e-15,1.834300360736421e-52,2.7782857419270667e-50,5.1394356694471012e-78,5.9591620042688342e-79,5.2950368140434328e-36,5.4510766110155974e-61,3.7274666867791507e-13,1.103636636584974e-14,4.4182278945809144e-17,9.0351133275671499e-28,3.3455490024954897e-27,4.4182271711453611e-17,2.3319006476207619e-39,3.562197851048977e-24,5.371999401720908e-28,2.4442920249758742e-32,2.366787853977543e-53,1.5082225395779203e-37,1.9161959219998904e-75,5.6377517638109745e-69,9.0510262878728892e-72,3.1870393229287871e-62,4.1333404097730752e-75,6.7484281467751289e-81,6.5767339751113193e-73
1.546669398451683e-18,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679923216,0.1186699660292061,0.022821567693043249,1.2940832333940814e-80,9.8608952601955586e-45,1.1914819441992524e-25,4.1803755475689186e-57,1.5540440092444063e-38,2.1531196629378665e-90,1.3650587895938033e-14,3.2327734779930206e-75,1.3650587895276114e-14,2.9349054372048534e-51,4.4452971545611412e-49,1.1555160402489074e-75,1.3398177455393272e-76,4.2360544906190773e-35,1.7443597661100873e-59,7.4549586519978033e-13,2.2072807577326226e-14,8.8364864765877467e-17,3.6140636242518958e-27,1.3382263085546094e-26,8.8364835826161281e-17,1.8655310629896483e-38,1.4246714571362724e-23,4.2968710324475569e-27,3.4446672255208322e-31,1.3319743754245157e-51,1.2065854111968285e-36,4.3118176961231992e-73,3.608193161400855e-67,2.0349714769899215e-69,1.0198619613997707e-60,9.3007933516891726e-73,8.6380653251246253e-79,4.2091296584335587e-71
3.093344041432727e-18,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679846439,0.11866996602844686,0.022821567693032212,6.1673673379303587e-78,1.5777474155344149e-43,4.7659417583031699e-25,4.9800812521205018e-55,1.2432401162127479e-37,1.0256189823691842e-87,2.7301222079535e-14,2.0689874740228374e-73,2.7301222076887305e-14,4.6958685409219579e-50,7.1125064437017685e-48,2.7524425185816013e-73,3.1914495506708257e-74,3.3888534916040012e-34,5.581975511348085e-58,1.490994258173543e-12,4.4145690000188165e-14,1.7673005814488438e-16,1.4456290550352177e-26,5.3529180552422744e-26,1.767299423685564e-16,1.4924284382246999e-37,5.6969815973326121e-23,3.4363011527193092e-26,5.1372908218214942e-30,7.9378887726722498e-50,9.6527154427281485e-36,1.0275951836780895e-70,2.3092537933256421e-65,4.8473069049819969e-67,3.263572351686063e-59,2.2165541689826111e-70,1.1056772702723072e-76,2.6938325051693903e-69
