Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(55),OX(20),CH3X(21),HOX(22),HX(19),CH2X(27),CHX(28),CX(26),OCX(25),H2X(56),H2OX(23),COX(57),CHOX(60)
0.0,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996532,0.022821567693054285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.221231717221643e-24,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996532,0.022821567693054285,2.3396832326603565e-133,1.5750048036715178e-63,1.3066515064421173e-43,2.0653762300435126e-70,3.9609958845665744e-57,7.2266873364265093e-47,1.5272826648022555e-26,-1.1160280787898004e-108,1.5272826647992152e-26,5.1879244593478273e-69,9.3643904357317328e-73,5.8134588751538233e-71,4.4368567171405252e-100,7.2266873447981567e-47,4.6748589547647029e-86,2.9121118203840255e-18,1.4001692419390909e-19,5.3970087778957462e-23,6.4538774278458344e-38,5.3970087778985075e-23,1.3825677674628276e-35,5.1151725544029764e-44,9.9801482298443937e-51,5.5344160652229921e-76,9.0454492614299561e-60,2.3581486922636048e-54,3.955543200933753e-88,7.1233797901279246e-66
2.02194488082206e-23,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996532,0.022821567693054285,1.8054044009230718e-131,1.8791702985591715e-62,7.8921756790233013e-43,2.4520146603119751e-69,5.985856980806866e-56,4.3649191512100036e-46,4.2763914614561682e-26,6.6803904808566342e-108,4.2763914614378057e-26,7.839991442944239e-68,2.9443141443911488e-71,6.901738376596167e-70,1.0107092972296716e-98,4.3649191611488248e-46,1.318385022983325e-84,8.1539130970752701e-18,3.9204738774294557e-19,1.5111624578103618e-22,3.8981419654548594e-37,1.51116245781203e-22,8.3507092856417232e-35,6.0727328332445023e-43,1.1883178999825229e-49,1.2380391300982248e-74,1.0738758086031619e-58,2.7995941268119955e-53,8.8483919187584416e-87,8.4568764862737871e-65
4.6215882990218517e-23,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996531,0.022821567693054285,1.9676180345571936e-129,1.8647318300059419e-61,3.7997434509030127e-42,2.4074025337521005e-68,6.4393117896721517e-55,2.1015206774454165e-45,9.7746090548034064e-26,3.9008753633975113e-106,9.7746090547149964e-26,8.433905035140427e-67,6.5686028836363705e-70,6.7761676649212912e-69,2.0700731478300764e-97,2.1015206872034113e-45,2.8677753963298276e-83,1.863751565045774e-17,8.9610831484101838e-19,3.4540856178501494e-22,1.8767875545715309e-36,3.4540856178581813e-22,4.0205070230312741e-34,5.9622450570497071e-42,1.174057654203387e-48,2.4462069215193908e-73,1.0543377899994802e-57,2.748658113708052e-52,1.7482931349891592e-85,8.3030114816182382e-64
9.820875135421434e-23,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996528,0.022821567693054285,1.6096337277879402e-127,1.6844700244634832e-60,1.6594483123564414e-41,2.1293202781537626e-67,5.9188369304228321e-54,9.1778929173917405e-45,2.0771044241655526e-25,1.5367819483638779e-104,2.0771044241269413e-25,7.7522117613557659e-66,1.230226622691653e-68,5.9934435620167713e-68,3.9430351494126472e-96,9.1778930037000947e-45,5.3163722718162515e-82,3.9604720757222603e-17,1.9042301690371643e-18,7.3399319379225737e-22,8.1964243184218109e-36,7.3399319379576477e-22,1.7558610184354757e-33,5.2735381447262517e-41,1.0515336722573405e-47,4.3530761451350245e-72,9.3255010763949743e-57,2.43115697158783e-51,3.1109942227658124e-84,7.3439196247450543e-63
2.02194488082206e-22,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999992,0.11866996602996524,0.022821567693054285,1.1584650924985396e-125,1.4750066690299821e-59,6.9278743797303836e-41,1.7898219949870151e-66,5.0636896068841e-53,3.8315896258903998e-44,4.2763914615990344e-25,5.4299343783638973e-103,4.2763914614378401e-25,6.6321803742514209e-65,2.1249105506056931e-67,5.037850446026291e-67,7.5253525240932915e-95,3.8315896984377722e-44,9.1374855966772614e-81,8.1539130970752014e-17,3.9204738774294554e-18,1.5111624578038818e-21,3.4218457987956993e-35,1.5111624578185248e-21,7.3303738869070825e-33,4.4327264171840072e-40,9.0590338196190661e-47,7.3427339191024071e-71,7.8386501404889355e-56,2.0435339187378685e-50,5.2471464691572766e-83,6.173006945362148e-62
4.101659615381893e-22,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999981,0.11866996602996516,0.022821567693054282,7.8524537256204087e-124,1.3062317288615739e-58,2.8302662807263571e-40,1.4674042080254412e-65,4.1867564890892871e-52,1.5653293839184426e-43,8.6749655367182304e-25,1.8242322343906433e-101,8.6749655360596964e-25,5.4836149877342507e-64,3.5305706461410876e-66,4.130334169896809e-66,1.5234092174713302e-93,1.5653294433971608e-43,1.5144712266369123e-79,1.6540795139780964e-16,7.9529612942140344e-18,3.0655009858156893e-21,1.3979356549950072e-34,3.0655009858755101e-21,2.9946967346687657e-32,3.6342166882020774e-39,7.7883498887622441e-46,1.2062693980729668e-69,6.4266064908526939e-55,1.6754125650123822e-49,8.6184538317453125e-82,5.0610040452938039e-61
8.261089084501559e-22,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999964,0.11866996602996499,0.022821567693054278,5.1704082865275946e-122,1.2148204231330473e-57,1.1440417492477985e-39,1.1883419727549742e-64,3.4046008449728972e-51,6.3273116448488548e-43,1.7472113687965544e-24,5.9800864537142793e-100,1.7472113685303648e-24,4.4591846392818048e-63,5.755721176228302e-65,3.3448516971553624e-65,3.4011700405634817e-92,6.3273121265229311e-43,2.4659237919792313e-78,3.3314559225191996e-16,1.6017936127783183e-17,6.174178041793541e-21,5.6506793805356091e-34,6.1741780420353437e-21,1.210504153816782e-31,2.9430825045103842e-38,6.8922506261229012e-45,1.956233106512428e-68,5.2044447282978027e-54,1.3567925223187796e-48,1.3970885055517592e-80,4.0985322817383824e-60
1.6579948022740892e-21,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999931,0.11866996602996466,0.022821567693054271,3.3561563982350265e-120,1.2305292182407007e-56,4.6001646093943338e-39,9.5648100320540172e-64,2.7459339215058254e-50,2.5441841841995943e-42,3.506640999449587e-24,1.9367509331545288e-98,3.5066409983792495e-24,3.5964939579760392e-62,9.295504922099173e-64,2.6922276417587824e-64,8.4782831467235935e-91,2.5441845718927894e-42,3.9800109435435832e-77,6.6862087396012133e-16,3.2147885794921435e-17,1.2391532153566186e-20,2.2721132880142043e-33,1.2391532154538462e-20,4.8673827770604931e-31,2.3688482093345904e-37,6.4892746282395292e-44,3.1537010530574286e-67,4.1890094864201283e-53,1.0920646428061344e-47,2.2499679683106171e-79,3.298855329249609e-59
3.321766589921956e-21,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999859,0.11866996602996399,0.022821567693054254,2.1631312171344213e-118,1.3930322435490312e-55,1.8448902459154253e-38,7.675157681908561e-63,2.2056834558845185e-49,1.0203316495503387e-41,7.0255002623699316e-24,6.234854971128094e-97,7.0255002580773994e-24,2.8888995349273973e-61,1.4942252188525058e-62,2.1603431325260811e-63,2.3243423651277775e-89,1.0203319606497019e-41,6.395770744604021e-76,1.339571437376446e-15,6.440778512919779e-17,2.4826240376379239e-20,9.1121902051746738e-33,2.4826240380278501e-20,1.9520372417142648e-30,1.9008504877588543e-36,6.7186920726526541e-43,5.0767444731983995e-66,3.3614477419692906e-52,8.7631307203762148e-47,3.611696881745903e-78,2.6471236224466602e-58
6.6493101652176886e-21,0.11640260799999998,0.8585084662769803,0.0,0.0,0.3375675631999972,0.11866996602996265,0.022821567693054223,1.3892847400556382e-116,1.7660843484639254e-54,7.3893319941138134e-38,6.1494660002786496e-62,1.7681282984795219e-48,4.0866486219687425e-41,1.4063218794667746e-23,2.001134357518452e-95,1.4063218777475219e-23,2.3158105547245085e-60,2.396330371703671e-61,1.730903415111059e-62,6.8128802259594248e-88,4.086651114549241e-41,1.025548658804864e-74,2.6814725642087833e-15,1.2892758379774985e-16,4.9695656819076401e-20,3.6496287291085159e-32,4.9695656834693785e-20,7.8183231219124266e-30,1.52299189628252e-35,7.8051377530182011e-42,8.207225502842493e-65,2.6932991048921764e-51,7.0211679272231766e-46,5.788132332246588e-77,2.1209201268006711e-57
1.3304397315809154e-20,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999437,0.11866996602995997,0.022821567693054157,8.9070748865535182e-115,2.4546730433314808e-53,2.9577770812518519e-37,4.9233119436628361e-61,1.4159366535173845e-47,1.6357244618699286e-40,2.8138655885091852e-23,6.4132155727074648e-94,2.8138655816276943e-23,1.8545266543022181e-59,3.8385900811041298e-60,1.3857751969784389e-61,2.0798720176930739e-86,1.6357264574496711e-40,1.6426601617930954e-73,5.3652748178722098e-15,2.5796718113485135e-16,9.9434489692754991e-20,1.4608024153033014e-31,9.9434489755265296e-20,3.1293606649122928e-29,1.219316955996197e-34,1.0127002760622294e-40,1.353157449009929e-63,2.1563576044245664e-50,5.6212027943985718e-45,9.268553113703214e-76,1.698025648493865e-56
2.6614571616992084e-20,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319998876,0.1186699660299546,0.022821567693054028,5.7055456455940297e-113,3.6302872091976381e-52,1.1835909856705848e-36,3.9401458577586461e-60,1.1333232085399433e-46,6.5450284909840588e-40,5.6289530169253997e-23,2.0537640073988274e-92,5.6289529893904719e-23,1.4843729814446753e-58,6.1453144536528085e-59,1.1090413253751485e-60,6.4949927121244632e-85,6.5450444616829547e-40,2.6296829294699897e-72,1.0732879325194077e-14,5.1604637580904414e-16,1.989121553932491e-19,5.8451108676709135e-31,1.9891215564337227e-19,1.2521470043768316e-28,9.7581997006554008e-34,1.4312033642313562e-39,2.3938426223125371e-62,1.7258705799623136e-49,4.4986694844686323e-44,1.4835721094958422e-74,1.3589364823246471e-55
5.3234920219357946e-20,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319997749,0.11866996602994385,0.022821567693053772,3.653160709399157e-111,5.5705699567516689e-51,4.7358938450498379e-36,3.1527153449649246e-59,9.0688817639327063e-46,2.6184375940368613e-39,1.1259127915083398e-22,6.5745019877811057e-91,1.1259127804925763e-22,1.1877991324000846e-57,9.8353564648100027e-58,8.8740156632594702e-60,2.0526859602616977e-83,2.61845037301605e-39,4.2086343852536129e-71,2.1468088339817858e-14,1.0322047651573888e-15,3.9786748660678517e-19,2.3384236961830832e-30,3.9786748760744459e-19,5.0093643232137141e-28,7.8079756395498133e-33,2.1385330256480126e-38,5.2214789916485765e-61,1.381165337633067e-48,3.5996172534757089e-43,2.3741983839165418e-73,1.0873554939863836e-54
1.0647561742408968e-19,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319995501,0.11866996602992239,0.022821567693053255,2.3385451010718371e-109,8.7225395774660194e-50,1.8951191068852274e-35,2.5224117831491437e-58,7.2560239487679192e-45,1.0474602898043654e-38,2.2519477876701674e-22,2.1042339147920786e-89,2.2519477436035272e-22,9.5035963647683553e-57,1.5738841048875898e-56,7.0998866731977287e-59,6.5274422312435689e-82,1.0474705139481258e-38,6.7347286213809556e-70,4.2938506368985601e-14,2.0645215438539137e-15,7.9577814828404884e-19,9.3544459660725214e-30,7.9577815228704367e-19,2.0038775728343114e-27,6.2468668344863446e-32,3.30046495549364e-37,1.7036735917880271e-59,1.1053678551827692e-47,2.8799642907951558e-42,3.7991038706945386e-72,8.6996673302046743e-54
2.1295701183355312e-19,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319990999,0.11866996602987945,0.022821567693052221,1.4968442658293101e-107,1.3803723442423794e-48,7.5856440099948727e-35,2.0180252917190173e-57,5.8051865760702721e-44,4.1900117223915702e-38,4.5040178461147357e-22,6.7341781505111006e-88,4.5040176698410042e-22,7.6033587149614289e-56,2.5183922902489588e-55,5.680179084362587e-58,2.0821951299328436e-80,4.1900935192599229e-38,1.0776297102680586e-68,8.5879342427001839e-14,4.1291551012463043e-15,1.5915994686393423e-18,3.7419225712582026e-29,1.5915994846522224e-18,8.0155865659435645e-27,4.9975598684827288e-31,5.1836535824624146e-36,8.2122595685867868e-58,8.8486533991397717e-47,2.3040761016084239e-41,6.0788754618190935e-71,6.9600601252577114e-53
4.2591980065248e-19,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319981995,0.11866996602979356,0.022821567693050156,9.5804720710787152e-106,2.19640120997825e-47,3.0382063716879042e-34,1.6144590185421649e-56,4.644296199490775e-43,1.6760388443780509e-37,9.0081582274875227e-22,2.1550379516779301e-86,9.0081575223782502e-22,6.0828800615739009e-55,4.0295572117186455e-54,4.5442512876790784e-57,6.6524795360565065e-79,1.6761042831623646e-37,1.7242661623718476e-67,1.7176101454175723e-13,8.2584222160284524e-15,3.1832420973529916e-18,1.4967930205573244e-28,3.1832421614078157e-18,3.2060999584437369e-26,3.9978694529410138e-30,8.215764081116143e-35,4.8026122296617475e-56,7.0875554331191328e-46,1.8432970987621016e-40,9.726450396550057e-70,5.568173635578586e-52
8.518453782903338e-19,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319963993,0.11866996602962179,0.022821567693046028,6.1318708943653323e-104,3.5044652185586387e-46,1.2184040274701783e-33,1.2915878078581338e-55,3.7154956836660257e-42,6.7042240263985584e-37,1.8016440048167666e-21,6.8962842292415443e-85,1.8016437227701913e-21,4.8663819814295978e-54,6.4473547423909782e-53,3.6354444291739658e-56,2.1271024638418471e-77,6.7047475386682328e-37,2.758873142769404e-66,3.4352435876615981e-13,1.6516956445582227e-14,6.3665273067925442e-18,5.9871813037947004e-28,6.3665275630304413e-18,1.2822931351168661e-25,3.1978962448632682e-29,1.3081462954193606e-33,2.9936624731128284e-54,5.6836530091354232e-45,1.4746431243058462e-39,1.5562577164822689e-68,4.4545811671994689e-51
