Time (s),Volume (m^3),N2,Ar,He,Ne,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(45),OX(20),CH3X(21),HOX(22),HX(19),CH2X(27),CHX(28),CX(26),OCX(25),CHOX(50),H2X(46),H2OX(23),CO2X(24),COX(47),C2H6X(49)
9.987685219601978e-21,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039999632,0.099999999999997438,0.09999999999999945,1.5974523210987372e-104,5.4761831838711338e-58,4.2835408096730857e-46,5.9704069493505816e-81,1.859324383351645e-48,9.0226259692141807e-134,3.3017961271036288e-34,4.5401211373961134e-125,3.3001862539675862e-34,6.3519896125265955e-80,2.1634044197422063e-66,3.5448698341703995e-116,1.0810041970314975e-117,4.1425065441112598e-57,6.9803749029004947e-97,2.565675754078604e-15,1.1225550512374801e-15,2.0155358061835533e-20,3.1776839302873144e-32,2.0155358062794345e-20,4.9526910713739851e-31,1.6591580500222638e-35,7.9261404632989556e-42,2.5129330397364704e-65,1.3617493742187233e-93,1.6547896817228897e-59,5.3742197201167713e-46,1.6513449810035976e-94,5.824069694804666e-95,1.8597120246782182e-62
1.9984047837309604e-20,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039999263,0.099999999999994871,0.099999999999998895,8.1924933681999631e-102,8.7689628082898152e-57,3.4290105579776457e-45,7.651453283241401e-79,1.4889674850453708e-47,9.2584701488765232e-131,6.609683440856436e-34,2.9111437776403146e-123,6.6032397528619215e-34,1.017422251450857e-78,3.4654477228626174e-65,9.0972602518863005e-114,2.770763988489717e-115,3.316498557638254e-56,2.2362270620330595e-95,5.1335805922155616e-15,2.2460853892266207e-15,4.0328227293950767e-20,1.2718912229819034e-31,4.0328227297788574e-20,1.9823007172088096e-30,1.3282931052836433e-34,1.2691418986014091e-40,1.61022510527812e-63,3.4918399833836176e-91,2.6494749393701437e-58,4.302610451036384e-45,4.234426177522607e-92,1.4927900022040417e-92,2.9787712364375126e-61
3.997677307272485e-20,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039998524,0.099999999999989736,0.099999999999997771,4.1978283227366005e-99,1.403584240042286e-55,2.7439512237698429e-44,9.7993910188870862e-77,1.1917774740948804e-46,9.490135104586245e-128,1.3235129928923097e-33,1.8658202278724374e-121,1.3209346783653759e-33,1.6287592365722355e-77,5.5478526113193894e-64,2.3359913921850364e-111,7.0971797819481521e-113,2.6541659847806971e-55,7.1599403979954302e-94,1.0269390268481873e-14,4.4931460652047054e-15,8.0673965755391394e-20,5.0891377618809055e-31,8.0673965770748182e-20,7.9312534528329784e-30,1.0629706819380839e-33,2.0313013056534082e-39,1.0311207188598214e-61,8.9460837421136004e-89,4.240417192682237e-57,3.4433430639002481e-44,1.0848567689070203e-89,3.8237103795840022e-90,4.7686210499569125e-60
7.996222354355536e-20,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039997048,0.099999999999979466,0.099999999999995523,2.1499238442763748e-96,2.2461249052256805e-54,2.1952522659602841e-43,1.2545618697910373e-74,9.5366343253666813e-46,9.7218573699495638e-125,2.6524710347295246e-33,1.1961856551920721e-119,2.6421560977250115e-33,2.6067218870414324e-76,8.8788616263614053e-63,6.0108462487471791e-109,1.8172280689196471e-110,2.1236707382351329e-54,2.2918233310864873e-92,2.0541009620984093e-14,8.9872674171600844e-15,1.613654426671133e-19,2.0359194056088241e-30,1.6136544272855478e-19,3.1725926580924181e-29,8.5043005077732487e-33,3.2503220296903441e-38,6.6004149274273109e-60,2.2908810095891417e-86,6.7850577524261275e-56,2.7551128860855819e-43,2.7780521833303648e-87,9.7905844891184403e-88,7.6318639260557513e-59
1.5993312448521637e-19,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039994095,0.099999999999958927,0.099999999999991027,1.1007167578343724e-93,3.5939515422256981e-53,1.755909058875427e-42,1.6057002324609562e-72,7.6302733892893816e-45,9.9553902883522156e-122,5.325862095295202e-33,7.6775463112518635e-118,5.2845989892493543e-33,4.1713207856274332e-75,1.4207337288283616e-61,1.5537765819520027e-106,4.6517063605953037e-108,1.6989934101902169e-53,7.3348626605164666e-91,4.1084248325866909e-14,1.7975510121067682e-14,3.227483964459197e-19,8.1438037519836923e-30,3.2274839669174015e-19,1.2688003069080219e-28,6.8023589112745028e-32,5.1997488573140794e-37,4.2238907718208419e-58,5.864458352813435e-84,1.0854434846489648e-54,2.204164022922173e-42,7.1115230206689705e-85,2.5061754722745252e-85,1.2212638711312103e-57
3.1987492636853836e-19,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039988188,0.099999999999917835,0.099999999999982034,5.6334380471341732e-91,5.7499305105076279e-52,1.4040837437585198e-41,2.0544592157700847e-70,6.1046051034620784e-44,1.0190703167449489e-118,1.0734544123957278e-32,4.9403215907788066e-116,1.0569484983518325e-32,6.6745658989905436e-74,2.2730492451920496e-60,4.0534941834033125e-104,1.1903533211624743e-105,1.3590920810870448e-52,2.3473205429276044e-89,8.217072573514606e-14,3.5951995528870231e-14,6.455143038249829e-19,3.2572247852373809e-29,6.4551430480858056e-19,5.0726893545070742e-28,5.4393833644287064e-31,8.3159207480795752e-36,2.7021822691481687e-56,1.5007275633100476e-81,1.7359471474353461e-53,1.763198050653448e-41,1.8198276788884959e-82,6.4132042417291141e-83,1.9541547165915584e-56
6.397585301351823e-19,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039976375,0.099999999999835665,0.099999999999964062,2.8815831656601635e-88,9.1979332745422574e-51,1.1221687720062559e-40,2.6272599442344034e-68,4.8838386392544582e-43,1.0425815597360817e-115,2.1799507811130171e-32,3.1955188359251305e-114,2.1139257816937417e-32,1.0679667554192762e-72,3.6360835417341289e-59,1.0763434800357728e-101,3.0444741826310245e-103,1.087032084916705e-51,7.5116889265193663e-88,1.643436805517584e-13,7.1904966344424816e-14,1.2910461178689111e-18,1.3025731253496727e-28,1.2910461218055878e-18,2.0269455241566167e-27,4.3471969070085975e-30,1.3292741721582403e-34,1.7277797185111706e-54,3.8383240905350793e-79,2.7748934027860865e-52,1.4102450302895216e-40,4.6543328228657127e-80,1.6402554086740671e-80,3.1267535652652254e-55
1.2795257376684702e-18,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.1928957503995275,0.099999999999671324,0.099999999999928105,1.4724594514940156e-85,1.4709878765031727e-49,8.9595495609219495e-40,3.3564472423913774e-66,3.9071327268697631e-42,1.0655649810577068e-112,4.4919833702677734e-32,2.0881398504411171e-112,4.2278806863300188e-32,1.7087757750352123e-71,5.8148738192134224e-58,2.952595417128008e-99,7.7789459323178372e-101,8.6920846830309372e-51,2.4037825628244916e-86,3.2868959017719928e-13,1.4381090797533176e-13,2.5821097430999733e-18,5.2076011274332361e-28,2.5821097588644359e-18,8.0905443550357481e-27,3.4707582411924956e-29,2.1226979163697971e-33,1.1036510378161373e-52,9.80727117897377e-77,4.4313145213618236e-51,1.1276547763739823e-39,1.1891557843736759e-77,4.1910219486462259e-78,5.0028905104085168e-54
2.559060152735046e-18,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039905499,0.099999999999342629,0.099999999999856204,7.509054485575372e-83,2.3513581812490988e-48,7.1392113909589351e-39,4.2797197123796567e-64,3.125730894957172e-41,1.0869332765715116e-109,9.5122079537034526e-32,1.3914131228898134e-110,8.4557918474124166e-32,2.7340644024229189e-70,9.2944065940601249e-57,8.5620302630884005e-97,1.9837619429365207e-98,6.9468783964011715e-50,7.6921715415558998e-85,6.5738140939694581e-13,2.8762279123633695e-13,5.1642369821349231e-18,2.0808587686594006e-27,5.164237045333047e-18,3.2224605327905103e-26,2.7654230929070634e-28,3.3830790626901794e-32,7.0360778935168432e-51,2.5009720460288737e-74,7.0628919286129341e-50,9.0124301467486118e-39,3.0321379805810519e-75,1.0687810248168292e-75,8.0046926284423666e-53
5.1181289828681986e-18,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039810997,0.099999999998685238,0.099999999999712388,3.814248390589611e-80,3.7550454527098024e-47,5.6663603941039364e-38,5.4361118968072232e-62,2.5005945807259424e-40,1.1044764625837862e-106,2.1137294727043128e-31,9.6089419391697343e-109,1.691161957681664e-31,4.3745215388725606e-69,1.4840882463317998e-55,2.6996659178322384e-94,5.039635903240796e-96,5.5466213037055436e-49,2.4615056484616397e-83,1.3147650477118987e-12,5.752465577551122e-13,1.0328491414496127e-17,8.3059695682246037e-27,1.0328491668396015e-17,1.2780988849500429e-25,2.1946302395257588e-27,5.3709940385910298e-31,4.4684873947886915e-49,6.3533100282590866e-72,1.12144382008526e-48,7.1958272743980526e-38,7.7008612450744696e-73,2.7151781775491179e-73,1.2807562347652135e-51
