Time (s),Volume (m^3),N2,Ar,He,Ne,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(33),OX(20),CH3X(22),HOX(23),HX(19),CH2X(134),CHX(26),H2X(36),CXHO(27),OCX(21),COX(37),H2OX(35),C2H6X(39),CO2X(34),HO2X(135),CH3OHX(46),HOCXO(25)
1.1107061946705145e-20,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039999679,0.099999999999997161,0.099999999999999839,1.5690888704256901e-109,4.9615050484417265e-66,9.1364150741455987e-54,7.8746320047844978e-89,1.3912675862391341e-47,6.2358115258763704e-104,8.702897685430379e-37,0.0,5.490449899284527e-45,3.8273578858591799e-100,9.9800352947409872e-67,3.3991313535583097e-87,2.9674190169374284e-98,3.9311629016967527e-58,3.0461994092353389e-138,2.8532256381367184e-15,3.5476991967600414e-16,2.4335350408784892e-21,3.5659158699683724e-35,2.433535040934384e-21,2.796514686258468e-32,5.4393926811554721e-40,3.9248958924170211e-67,5.0991739870913721e-70,3.0977063608263722e-77,8.5425430302430351e-103,6.9002740852422266e-80,1.5475174299223645e-61,1.3553119716524007e-123,2.2909463431761376e-67,1.0407504921900584e-80,1.2176112739174847e-112
2.222377381690873e-20,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039999357,0.099999999999994302,0.099999999999999659,4.0236801584175596e-107,7.947646419826799e-65,7.3165420178893825e-53,1.0092273177913862e-86,1.1141424366295801e-46,7.9952680728138845e-102,3.4834271147304689e-36,0.0,2.1976108122735979e-44,2.4545410278471533e-98,1.5986639381078283e-65,2.1781729760725354e-85,3.8046877115204388e-96,3.1473206361984689e-57,3.9068244543703369e-136,5.7089301861676003e-15,7.0984806691035481e-16,4.8691843606243065e-21,1.4272956522403015e-34,4.8691843608480349e-21,1.1193346454761439e-31,4.3548214494248157e-39,6.286654511103359e-66,1.633750075212968e-68,1.9850189890071469e-75,2.1896669264313082e-100,2.2107429876753441e-78,2.478717321249125e-60,6.9509893055031786e-121,3.6697799104384944e-66,3.3344064752071505e-79,3.1242396470129453e-110
4.44571975573159e-20,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039998716,0.099999999999988584,0.099999999999999298,1.0309349411122778e-104,1.2723629787329491e-63,5.8561990464774187e-52,1.2926270757181352e-84,8.9176551691119611e-46,1.0242545656108332e-99,1.3938245832583325e-35,0.0,8.7933057699087994e-44,1.5725183189542041e-96,2.5593499075736929e-64,1.3949044564581994e-83,4.8740944402011012e-94,2.5188130431523462e-56,5.0056615238083455e-134,1.1420339281316835e-14,1.4200043613790066e-15,9.7404829999475389e-21,5.711041745701173e-34,9.7404830008427428e-21,4.4787964084414995e-31,3.4851805520494324e-38,1.0064107194626851e-64,5.2312250338070908e-67,1.271208422987019e-73,5.609102611117159e-98,7.0786289909583147e-77,3.9681004872892175e-59,3.5619280668728444e-118,5.8750627013536292e-65,1.0676513058146524e-77,8.0072234034329328e-108
8.892404503813024e-20,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039997431,0.099999999999977163,0.09999999999999859,2.6403106329203528e-102,2.0363726001297205e-62,4.6861457000703394e-51,1.6550847824107317e-82,7.1359308464396026e-45,1.311596384143517e-97,5.5762059368752534e-35,0.0,3.5178948937859672e-43,1.006927876152129e-94,4.0961503251981829e-63,8.9301834991273432e-82,6.2414610505421816e-92,2.0154331290105002e-55,6.4104011841795899e-132,2.2843157467965192e-14,2.8403169503161109e-15,1.9483080277920395e-20,2.2847885774322207e-33,1.9483080281501788e-20,1.7918100655758699e-30,2.788673759771145e-37,1.6106940733035931e-63,1.6745077723857478e-65,8.138281034400619e-72,1.4363851869346653e-95,2.2658417434722888e-75,6.3506834881136931e-58,1.824480669390164e-115,9.4028330883623458e-64,3.4175105107279026e-76,2.0510232680396794e-105
1.7785773999975894e-19,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039994863,0.09999999999995432,0.099999999999997174,6.7606224343411957e-100,3.2586697020580923e-61,3.7493912036371193e-50,2.1188417583058341e-80,5.7094674491123583e-44,1.6791950200731611e-95,2.2306639083135696e-34,0.0,1.4072724829168994e-42,6.4459905609994251e-93,6.5547930479362088e-62,5.7162093264181119e-80,7.9907437326006322e-90,1.6124995958226658e-54,8.2073329338341317e-130,4.5688793826661449e-14,5.6809421281895224e-15,3.8968274831171643e-20,9.1398981116789656e-33,3.8968274845498377e-20,7.1678224710560561e-30,2.2311505144738958e-36,2.5774601033295584e-62,5.3592477132158389e-64,5.2093126589672141e-70,3.6777267753062439e-93,7.2517825080709524e-74,1.0162471940957936e-56,9.3433173476519597e-113,1.5046719497590935e-62,1.0937676040791399e-74,5.2521204137308689e-103
3.557251299230163e-19,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039989726,0.099999999999908634,0.09999999999999433,1.7309004333908978e-97,5.214250378099996e-60,2.99970283269902e-49,2.7123282134306595e-78,4.5678630845421801e-43,2.1495926897172575e-93,8.9230187122492628e-34,0.0,5.6293189912871799e-42,4.1259627217851756e-91,1.0488430939286586e-60,3.6586559746950656e-78,1.022921359792672e-87,1.2900609145182205e-53,1.050667903751428e-127,9.138006648565213e-14,1.1362192483933156e-14,7.7938663926896365e-20,3.6561080029005187e-32,7.7938663984205648e-20,2.8672447645783834e-29,1.7850046296091509e-35,4.1242158493466191e-61,1.7150893166121988e-62,3.3342170999449464e-68,9.4157151421830251e-91,2.3207446411897444e-72,1.6261057862102206e-55,4.7842800197188331e-110,2.4076500536834565e-61,3.500319132742247e-73,1.3447336914794995e-100
7.1145990976953105e-19,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039979451,0.099999999999817249,0.099999999999988654,4.4313286393993975e-95,8.3431036701814635e-59,2.3998382176211776e-48,3.4719085326812055e-76,3.6544061193766068e-42,2.7516162411893295e-91,3.569280101143877e-33,0.0,2.2517734097814719e-41,2.6407853562969317e-89,1.6782099107771061e-59,2.3416256856956171e-76,1.3094048270192679e-85,1.0320732234824865e-52,1.3449378142477666e-125,1.8276261157002618e-13,2.2724693195407678e-14,1.5587944207523458e-19,1.4624729473692912e-31,1.5587944230447645e-19,1.1469205256796346e-28,1.4280367691515664e-34,6.5989690989916378e-60,5.4884835424437333e-61,2.133977191701054e-66,2.410512620808467e-88,7.4266616117977654e-71,2.6018574784219083e-54,2.4496751976009215e-107,3.8523800236676772e-60,1.1201441668944971e-71,3.442756044628615e-98
1.4229294694625605e-18,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039958901,0.099999999999634478,0.099999999999977288,1.1344445046546003e-92,1.3349208230120825e-57,1.9199009571106953e-47,4.4441085357363662e-74,2.923571153884137e-41,3.5221436143699892e-89,1.4277265631576e-32,0.0,9.0071852706916017e-41,1.6901567763493462e-87,2.6851846041958735e-58,1.4986623034631751e-74,1.6760737894963785e-83,8.2566836937552765e-52,1.7215742163627164e-123,3.6552770080434524e-13,4.5449694618305716e-14,3.1176099819946627e-19,5.8499512346938755e-31,3.1176099911644364e-19,4.5877230564527177e-28,1.1424416454452923e-33,1.055852950513792e-58,1.7563397420698102e-59,1.3657653281937843e-64,6.1710039470917523e-86,2.3765762965848797e-69,4.1630425329400525e-53,1.2542607175923809e-104,6.1639199417031512e-59,3.5845285721861218e-70,8.8137264065014168e-96
2.8458685888486195e-18,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039917803,0.099999999999268951,0.099999999999954556,2.9041874222168226e-90,2.135892673864834e-56,1.5359329221314169e-46,5.688458483611475e-72,2.3388754217692981e-40,4.5083578210698391e-87,5.7109352927352888e-32,0.0,3.6028924380449098e-40,1.0817176618264749e-85,4.2963342928698252e-57,9.5914368789736539e-73,2.1453811094379863e-81,6.6053860170087147e-51,2.2036533255801507e-121,7.3105787553526664e-13,9.089969746389779e-14,6.2352410975815052e-19,2.3399923447889466e-30,6.2352411342608304e-19,1.8350939842811827e-27,9.1395661446003135e-33,1.6893790211808162e-57,5.6202847639940978e-58,8.7408963996211043e-63,1.5797769736734835e-83,7.6051153398385143e-68,6.6609244746028763e-52,6.4218360686949917e-102,9.862361274944427e-58,1.1470598792890934e-68,2.2563315098511787e-93
5.691746827620738e-18,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039835608,0.099999999998537897,0.099999999999909106,7.4346208084576488e-88,3.4174436622051848e-55,1.2287512053322949e-45,7.2811179439733727e-70,1.8711077291767304e-39,5.7706201999262091e-85,2.2843799207884325e-31,0.0,1.4411606438786516e-39,6.9230484401422635e-84,6.8741657799006257e-56,6.1384270653498092e-71,2.7460507837461812e-79,5.2843242774765979e-50,2.8207207039832846e-119,1.462118210046243e-12,1.8179970315426593e-13,1.2470503301164022e-18,9.3599927755522512e-30,1.2470503447882061e-18,7.340358028083369e-27,7.3116406046562358e-32,2.7030178245991435e-56,1.7984635877161287e-56,5.5940893608420831e-61,4.0441687623056912e-81,2.4336482101744848e-66,1.0657524192842079e-50,3.2879363745040768e-99,1.5779849036404073e-56,3.6706086507414969e-67,5.7761434242754371e-91
