Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),HX(19),HOX(22),CH3X(21),CH3OO(77),H2X(49),C2H4(47),C2H6X(52),C2H4X(205),C2H4X(65),CH2X(27),CHX(28),CX(26),OCX(25),COX(50)
0.0,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999988,0.11866996602996532,0.022821567693054285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.305033531594134e-24,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999988,0.11866996602996532,0.022821567693054285,0.0,7.2501798046393778e-72,2.970007247223372e-36,4.922376135107372e-91,1.8423403295053116e-54,1.6740226909652176e-134,5.5646920903778859e-20,-6.7087114431198631e-106,5.5646920903778486e-20,2.6594431780090941e-72,2.2268639707073656e-72,1.1043781811785368e-114,1.2805239817422611e-115,1.4202021865388194e-55,1.2484267572995187e-85,3.0390311159895404e-18,8.9980309981672622e-20,3.6022135345364833e-22,9.0087834342421149e-38,3.6022135345326897e-22,3.3357983340900487e-37,2.1456307125139074e-52,2.0725052467394177e-98,3.4461953275919293e-71,4.0136043279997606e-115,2.4176976361504927e-102,6.578002570669177e-36,2.6209444205913246e-46,5.272302953694636e-53,6.6553708959734628e-84,1.944913916127889e-108
1.7654093888463576e-23,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999988,0.11866996602996532,0.022821567693054285,0.0,1.7872756645534088e-70,1.7938843773229164e-35,5.4517115900802665e-89,2.7841447288681045e-53,6.0539666170172837e-132,1.5581137853058199e-19,1.2951259393887318e-104,1.558113785305797e-19,7.5000553324465811e-71,7.0016165695081399e-71,2.2126943864866851e-112,2.5656140934784869e-113,1.6860640135663918e-54,6.4622164930079902e-84,8.5092871247707105e-18,2.5194486794868334e-19,1.0086197896702552e-21,5.4413051156896632e-37,1.0086197896679635e-21,2.0148221937883488e-36,2.5472927818965017e-51,1.9517441944577379e-96,9.7188222922320539e-70,6.8436662756046854e-113,2.2768228608724066e-100,3.9731135525274202e-35,3.1115852145555748e-45,6.2738582373315408e-52,4.0580627542337712e-82,3.8967630633718793e-106
4.035221460220246e-23,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999988,0.11866996602996531,0.022821567693054285,0.0,3.6776317903005808e-69,8.6367810749255595e-35,4.9564971308461917e-87,2.9950558531106394e-52,2.2027006289068707e-129,3.5614029378419287e-19,1.3675162600475632e-102,3.5614029378418209e-19,1.6314258577857954e-69,1.5620220948565543e-69,4.0254476349501428e-110,4.6674973497737602e-111,1.655387599522916e-53,2.8216566287241588e-82,1.9449799142333041e-17,5.7587398388270478e-19,2.3054166621036272e-21,2.6197541047887469e-36,2.3054166620925945e-21,9.7005015555032435e-36,2.5009471585061833e-50,1.705834502997739e-94,2.1140561358500485e-68,1.1961077763412305e-110,1.9899549356147165e-98,1.9128831473154517e-34,3.0549728117728639e-44,6.1905948519648606e-51,1.8410538951021982e-80,7.0891921420200318e-104
8.574845602968022e-23,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999988,0.11866996602996528,0.022821567693054285,0.0,6.6636784228665782e-68,3.771909203973675e-34,3.7879168020415522e-85,2.7529723318252621e-51,6.7440453367232818e-127,7.5679812429143356e-19,1.0809076325080639e-100,7.5679812429138618e-19,3.0243885924490908e-68,2.9254943372569405e-68,6.159191019399228e-108,7.1415679364916246e-109,1.4641715011099305e-52,1.0504320156119982e-80,4.1330823177457633e-17,1.2237322157507477e-18,4.8990104069710057e-21,1.1441153743302658e-35,4.8990104069228221e-21,4.2364638842627207e-35,2.2120594393732819e-49,1.2726054667952735e-92,3.9191037892096085e-67,1.7864169294574102e-108,1.4845681246761338e-96,8.354063262320021e-34,2.7020888496292241e-43,5.5304503641303137e-50,7.0201298029060487e-79,1.0846915060231198e-101
1.7654093888463574e-22,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999982,0.11866996602996524,0.022821567693054285,0.0,1.133654618257956e-66,1.5746978424778247e-33,2.6826638608069719e-83,2.3552257899152543e-50,1.9119992585025663e-124,1.5581137853059897e-18,7.6610905026553938e-99,1.5581137853057924e-18,5.1981512558399155e-67,5.0530633466962786e-67,8.7286512932170115e-106,1.0120851262458587e-106,1.2307242283229463e-51,3.6188975620136152e-79,8.5092871247706566e-17,2.5194486794868328e-18,1.0086197896708294e-20,4.7764558804689435e-35,1.0086197896507137e-20,1.7686402767060666e-34,1.8593692453730496e-48,8.7783609518760053e-91,6.7359380783658005e-66,2.4658835069082342e-106,1.0240467442380648e-94,3.4876569607819428e-33,2.2712684812251628e-42,4.741099777745965e-49,2.4832777497643549e-77,1.5371976428199065e-99
3.581259045945468e-22,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999971,0.11866996602996516,0.022821567693054285,0.0,1.8698979546221138e-65,6.4331544977756507e-33,1.8561121914233703e-81,1.9473462287028731e-49,5.2929370172089271e-122,3.1607451073354019e-18,5.1555627002615932e-97,3.1607451073345965e-18,8.6155544921772638e-66,8.3957383252388488e-66,1.2080615099245045e-103,1.4007445648941013e-104,1.0090218478674141e-50,1.2009801573298391e-77,1.7261696738820348e-16,5.1108816069590024e-18,2.0460572876193014e-20,1.9513375987340524e-34,2.0460572875371217e-20,7.2254726233312988e-34,1.5244232457148247e-47,5.829753227422007e-89,1.116432337457059e-64,3.2761425032576761e-104,6.8007454229419542e-93,1.4248216669656884e-32,1.8621231088447938e-41,4.0386057050334413e-48,8.5878902045623716e-76,2.1275100161743562e-97
7.21295836014369e-22,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999955,0.11866996602996498,0.022821567693054282,0.0,3.0375155839630124e-64,2.6003839052918774e-32,1.3010935773598975e-79,1.5835496124714019e-48,1.4838878548426381e-119,6.3660077513954275e-18,3.3827532618365155e-95,6.3660077513921703e-18,1.4028197053735275e-64,1.3687165923072711e-64,1.6934922093948314e-101,1.9636003535463865e-102,8.1713167771793783e-50,3.9132189897184719e-76,3.4766515966919347e-16,1.0293747461903335e-17,4.1209322835203004e-20,7.8876146826287871e-34,4.120932283188116e-20,2.9206515596175421e-33,1.2345174677213659e-46,3.8001719354373104e-87,1.81782064535126e-63,4.271773438872837e-102,4.4331210666735052e-91,5.7593569795138593e-32,1.5079955459024054e-40,3.5160571108067724e-47,3.010532689717056e-74,2.9823991643319583e-95
1.4476356988540132e-21,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999921,0.11866996602996462,0.022821567693054278,0.0,4.8969022086056656e-63,1.0456029314139351e-31,9.5616136015034757e-78,1.2771901304790747e-47,4.3598270146110238e-117,1.2776533039520282e-17,2.1919737711122263e-93,1.2776533039507187e-17,2.2641566602039218e-63,2.2104788459812921e-63,2.4882418672034433e-99,2.885110768751436e-100,6.5769805885662683e-49,1.2635546988235005e-74,6.9776154423115806e-16,2.0659479171791989e-17,8.2706822753385207e-20,3.1715720497997298e-33,8.2706822740028245e-20,1.1743811465488685e-32,9.9364705861430279e-46,2.454458859584712e-85,2.9339698504892095e-62,5.518512393168441e-100,2.8632686678898862e-89,2.3158121046608221e-31,1.2137659654239175e-39,3.2252134052583835e-46,1.1069447684737508e-72,4.3820281095225171e-93
2.9003154245333017e-21,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999849,0.11866996602996391,0.022821567693054268,0.0,7.8646699416856004e-62,4.1933354123108583e-31,7.6302190869773735e-76,1.0259085693740532e-46,1.390539951618898e-114,2.5597583615789199e-17,1.4115697476274746e-91,2.5597583615736684e-17,3.6384389699833488e-62,3.5532734127396205e-62,3.9691148899789995e-97,4.6021796603838311e-98,5.2776030215968421e-48,4.0615836724335786e-73,1.3979543133550254e-15,4.1390942591569213e-17,1.6570182259039846e-19,1.2719397389959731e-32,1.6570182253683105e-19,4.7097936518159104e-32,7.9733918683165691e-45,1.5780416987586305e-83,4.7148107851626037e-61,7.0962746672748054e-98,1.8408771855519448e-87,9.2874422620031207e-31,9.7397067862936583e-39,3.2222531513946189e-45,4.4215583768656497e-71,6.9899848742006141e-91
