Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),CH3X(21),HOX(22),HX(19),H2X(49),C2H6X(52),CH3OO(77)
0.0,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996532,0.022821567693054285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.669155158374823e-24,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996532,0.022821567693054285,0.0,2.2586458764247965e-74,6.9032758212391885e-42,0.0,3.1202046480415532e-57,0.0,6.7815739759307087e-25,-5.3055010550355332e-118,6.7815739758532923e-25,9.3655769427393515e-80,8.5774451245092099e-74,0.0,0.0,2.7818992726812024e-59,5.5962924180926387e-95,2.6894754702803994e-18,1.2931237063347713e-19,4.9843974463610885e-23,5.5047747207268261e-38,4.9843974463618584e-23,4.4135203648377931e-58,5.1651810677742675e-74,3.380773037764676e-42
1.8673634443449505e-23,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996532,0.022821567693054285,0.0,7.0504724381710557e-73,4.1695785960284766e-41,0.0,4.7152532640974698e-56,0.0,1.8988407132856814e-24,1.0240510367309923e-116,1.8988407132389217e-24,2.6412425470711945e-78,2.6968846127289656e-72,0.0,0.0,3.3026691789642739e-58,2.8968021288130693e-93,7.5305313167851174e-18,3.6207463777373599e-19,1.395631284980856e-22,3.324882131107121e-37,1.3956312849813203e-22,5.2397313771354164e-57,1.4566637040025899e-72,2.0419869148323171e-41
4.268259301359887e-23,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996531,0.022821567693054285,0.0,1.5697074194599614e-71,2.0074726088163668e-40,0.0,5.0724542921985576e-55,0.0,4.3402073447712337e-24,1.0812992176907301e-114,4.3402073445461067e-24,5.7452794594131937e-77,6.0165945367449735e-71,0.0,0.0,3.2425767157976567e-57,1.2648571786824151e-91,1.721264300979454e-17,8.2759917205425364e-19,3.1900143656693539e-22,1.6007857884724432e-36,3.1900143656715892e-22,5.1443993372548977e-56,3.1685617313558865e-71,9.8312879941564629e-41
9.07005101538976e-23,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.1186699660299653,0.022821567693054285,0.0,2.9375568565071172e-70,8.7671602929738794e-40,0.0,4.6624594014417296e-54,0.0,9.2229406081436593e-24,8.5467698469877383e-113,9.2229406071604699e-24,1.0650779851945755e-75,1.1268390561721388e-69,0.0,0.0,2.8680162136625631e-56,4.7087461387243273e-90,3.6576866395813313e-17,1.7586482406152889e-18,6.7787805270423642e-22,6.9910359921289945e-36,6.7787805270521265e-22,4.5501629553331017e-55,5.8739794445817672e-70,4.2935817583091484e-40
1.8673634443449506e-22,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999992,0.11866996602996525,0.022821567693054285,0.0,5.0720786235188103e-69,3.6601168404211177e-39,0.0,3.9888321795605914e-53,0.0,1.8988407136493804e-23,6.0576477958147884e-111,1.8988407132389183e-23,1.8305969279433284e-74,1.9463255550242044e-68,0.0,0.0,2.4107300582033744e-55,1.622234439553922e-88,7.5305313167850619e-17,3.6207463777373595e-18,1.3956312849772443e-21,2.9186064441628425e-35,1.3956312849813196e-21,3.8246861318424671e-54,1.0095869856974637e-68,1.7924858649360399e-39
3.7880801299569e-22,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999986,0.11866996602996517,0.022821567693054282,0.0,8.4258396547275326e-68,1.4952771559837773e-38,0.0,3.2980435824936887e-52,0.0,3.8519340199615263e-23,4.076519265970801e-109,3.8519340182846548e-23,3.0340801584233773e-73,3.2338201407078075e-67,0.0,0.0,1.9764451292846592e-54,5.3836046449228751e-87,1.5276220671192417e-16,7.3449426519814984e-18,2.8311377495168826e-21,1.1923349616491199e-34,2.8311377495335317e-21,3.1357087686873794e-53,1.6733163891782289e-67,7.3228896333716309e-39
7.629513501180798e-22,0.11640260799999998,0.8585084662769803,0.0,0.0,0.3375675631999997,0.11866996602996502,0.022821567693054278,0.0,1.3734870624837774e-66,6.0441493387350204e-38,0.0,2.6819142687325138e-51,0.0,7.7581206351542845e-23,2.6747533973826272e-107,7.7581206283761019e-23,4.940213003990759e-72,5.2718488439619457e-66,0.0,0.0,1.6005489378264786e-53,1.7541691926385091e-85,3.0767599380006711e-16,1.4793335200469767e-17,5.7021506785706506e-21,4.8195196034345166e-34,5.7021506786379506e-21,2.5393782596227704e-52,2.7245619607833295e-66,2.9600290738501311e-38
1.5312380243628596e-21,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999937,0.11866996602996471,0.022821567693054271,0.0,2.218015987757044e-65,2.4303258659711022e-37,0.0,2.163061016701563e-50,0.0,1.5570493875813671e-22,1.7332003965044776e-105,1.5570493848558899e-22,7.9735237057096888e-71,8.5137458428467531e-65,0.0,0.0,1.2882166492054633e-52,5.6641060254996114e-84,6.1750356797633643e-16,2.9690120297446258e-17,1.1444176536576153e-20,1.93783610615518e-33,1.1444176536846761e-20,2.043912544259772e-51,4.3974539892155273e-65,1.1902146728065176e-37
3.067811372852419e-21,0.11640260799999998,0.8585084662769803,0.0,0.0,0.3375675631999987,0.11866996602996409,0.022821567693054257,0.0,3.5650694572884877e-64,9.7466937123571963e-37,0.0,1.7374882408421683e-49,0.0,3.1195240398227909e-22,1.1161325383504683e-103,3.1195240288924083e-22,1.2813238539509282e-69,1.36846201524836e-63,0.0,0.0,1.0336415137459321e-51,1.8206762693569478e-82,1.237158716328808e-15,5.9483690491399129e-17,2.2928228252179011e-20,7.7710158325744415e-33,2.2928228253264282e-20,1.6401110956521218e-50,7.0665905075255605e-64,4.7732931816337373e-37
