Time (s),Volume (m^3),N2,Ar,He,Ne,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(33),CO2X(34),OCX(21),OX(20),COX(37),CH3X(22),HX(19),H2X(36),C2H6X(39),CH2X(134),CHX(26),CXHO(27),HOX(23),C2H4X(51),C2H5X(38),C2H3X(50),SX(149),C2H4OX(49),CH2OX(40),H2OX(35),C3H8X(43),CH3OX(44),CH3OHX(46),C2H3OX(47),CH2(T)(29)
9.408100206460982e-21,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.24111968799999567,0.099999999999997313,6.6334065091053364e-88,0.099999999999998382,3.9506920617127915e-79,2.2069000760899428e-57,1.4514394580304745e-23,1.1753461460000683e-52,1.7936362979447472e-72,1.0905144998576437e-33,5.3890056812696907e-102,6.4170362076867539e-44,1.2891528841788322e-80,1.5070438839021609e-80,6.2882853587978902e-54,2.3880598397982571e-55,1.7124951513720519e-70,6.1729240128463132e-119,2.7020530086532997e-15,1.631383784873448e-15,3.6291377916678038e-20,3.630589231125863e-20,1.6971715764921958e-37,1.18093962047674e-23,1.1809396205858544e-23,8.9782805357327735e-71,1.2380791695031959e-66,3.1445214931277204e-37,9.4104533276068354e-48,3.7961725089279356e-52,2.4321328669386436e-46,6.3617362980939302e-133,1.0791866901409731e-72,1.6602880979642211e-135,3.368027328175609e-171,2.0783669972603415e-69,1.8299076350780464e-86,5.2033603889121099e-93,4.4297885657085374e-116,2.1547465741733153e-60,1.4883264278761815e-94,5.3582230124452589e-55,6.202825417913689e-63
1.8824374261928447e-20,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.24111968799999134,0.099999999999994607,5.3121051366874884e-87,0.099999999999996744,6.3284469571257051e-78,1.7672975434055862e-56,5.8075493242425347e-23,9.4123016430629415e-52,2.8712659073132002e-71,4.3648999618906735e-33,3.4543135560808038e-100,2.5684868109738408e-43,4.1299428020907179e-79,2.4140763419872375e-79,5.0328414237816694e-53,1.9112883393045976e-54,1.3710373909956896e-69,3.9547623224847821e-117,5.4064535869727402e-15,3.2641849317513635e-15,7.258525204179741e-20,7.2643327535035369e-20,1.3583345734422507e-36,2.3629052525686276e-23,2.3629052530053699e-23,1.4380744187688206e-69,1.9830783309710315e-65,1.2586280830652396e-36,7.5340846198097116e-47,3.0388821813598719e-51,9.7348697853760741e-46,8.1515215367189922e-131,1.7285837079002998e-71,2.1273868569761251e-133,1.7269847019719477e-168,3.3270648609022021e-68,5.858846256196142e-85,1.6670731144977336e-91,5.6789944473758406e-114,1.7255448355572464e-59,4.7683717801005507e-93,4.2893228051516816e-54,4.9660319173655758e-62
3.7656922372863376e-20,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.24111968799998265,0.099999999999989195,4.2518371328162412e-86,0.099999999999993483,1.013139071039464e-76,1.4145493743049987e-55,2.3221843527997181e-22,7.533656165997735e-51,4.5930516569889408e-70,1.7465285390285224e-32,2.2124741645774755e-98,1.0277292852896227e-42,1.3223267047292122e-77,3.8647685184469093e-78,4.0252274797849829e-52,1.5286335675223306e-53,1.0972465983010513e-68,2.532358975157392e-115,1.0815254742769573e-14,6.5297872252002007e-15,1.4508597954737628e-19,1.4531819798258123e-19,1.0863854406783645e-35,4.7268365160967555e-23,4.7268365178442912e-23,2.3021594011175927e-68,3.1746476379987688e-64,5.0361517701597765e-36,6.0295574567404741e-46,2.4305228545886622e-50,3.8952159368161396e-45,1.0439395185506483e-128,2.7672427549257042e-70,2.7244768984167119e-131,8.8487117187098133e-166,5.3221753941993243e-67,1.8744772249082788e-83,5.3378326773773168e-90,7.2747916487490501e-112,1.3811352403824912e-58,1.5267959659172817e-91,3.4306358757883039e-53,3.9743348117840885e-61
7.532201859473324e-20,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.2411196879999653,0.099999999999978384,3.4023311259888131e-85,0.099999999999986947,1.6214927126204895e-75,1.1319241045922504e-54,9.2775370931924898e-22,6.0284512430055937e-50,7.3412929429049131e-69,6.987251424984836e-32,1.4165319791514891e-96,4.1115863582781044e-42,4.2326376847051499e-76,6.1854273073738712e-77,3.2166800268221827e-51,1.221576937846808e-52,8.7796398756581294e-68,1.6211328270767649e-113,2.1632857050995053e-14,1.306099181086991e-14,2.8974018516809684e-19,2.9066793887764256e-19,8.6816319356993309e-35,9.4546990405304176e-23,9.4546990475216985e-23,3.6844475874373657e-67,5.0808144572123355e-63,2.0147886416931312e-35,4.8245620640174136e-45,1.9420124356094332e-49,1.5583400136798535e-44,1.3365941308487335e-126,4.4287956526000459e-69,3.4882478992100209e-129,4.5322274186365957e-163,8.5066860832683802e-66,5.9922904937505106e-82,1.7086184286137362e-88,9.3153690529568375e-110,1.1051880091229271e-57,4.8872147934400867e-90,2.7411134843823636e-52,3.1800716889008282e-60
1.5065221103847295e-19,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.24111968799993061,0.099999999999956748,2.7222095107551925e-84,0.099999999999973888,2.5947645556020013e-74,9.0565313959619568e-54,3.7011849702500542e-21,4.8233715880357853e-49,1.1718294314703886e-67,2.7951280386375144e-31,9.0675596514858171e-95,1.6447683962664543e-41,1.3546347483710791e-74,9.8981220441025281e-76,2.5670304404410616e-50,9.7486388166203989e-52,7.0243787931027305e-67,1.0376692663788449e-111,4.3268061653973273e-14,2.612340097729747e-14,5.7766623570058283e-19,5.813674206676437e-19,6.9282655424790283e-34,1.8910424078907369e-22,1.8910424106874771e-22,5.8959102852247159e-66,8.1304058681565319e-62,8.0598104754596643e-35,3.860016127451569e-44,1.5491872092545774e-48,6.23386735509538e-44,1.7110800192046549e-124,7.0870384638881656e-68,4.4655824427344957e-127,2.320952061350062e-160,1.3578514258379792e-64,1.9130802862666557e-80,5.4683982579610153e-87,1.1925998936332592e-107,8.8426234723307169e-57,1.56414360327844e-88,2.1866491195790502e-51,2.5442989115851283e-59
3.013125959259524e-19,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.24111968799986122,0.099999999999913478,2.1779054610023518e-83,0.099999999999947756,4.1519242683580268e-73,7.245680568179212e-53,1.4724900544748831e-20,3.8589415147975039e-48,1.8658189685281995e-66,1.1180967097401106e-30,5.8037989942484984e-93,6.5793413005022961e-41,4.3351357009100232e-73,1.5838145964865663e-74,2.0433059305588801e-49,7.7597254389328549e-51,5.6197697827763474e-66,6.6417726089745826e-110,8.6538470806038737e-14,5.2248219290505106e-14,1.1480414837205161e-18,1.162766384247159e-18,5.5147635850234909e-33,3.782187411369978e-22,3.7821874225573938e-22,9.4340918049115496e-65,1.3009531610513665e-60,3.2240553723675585e-34,3.0881594965085181e-43,1.2320949583148997e-47,2.4936483947993925e-43,2.1904103707649894e-122,1.1340032284996204e-66,5.7165404241217807e-125,1.1884835204555352e-157,2.162008279818702e-63,6.0926040692770823e-79,1.7500185317999323e-85,1.5266765591807025e-105,7.0745465576071346e-56,5.0056353273527984e-87,1.7390807688083374e-50,2.035535756807706e-58
6.026333657009112e-19,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.24111968799972242,0.099999999999826936,1.7423795114412636e-82,0.099999999999895506,6.6433195663336277e-72,5.7967266406410107e-52,5.8266952913600866e-20,3.0872508997792766e-47,2.9563571598974127e-65,4.4724778206426016e-30,3.7146097508133265e-91,2.6317900642366305e-40,1.3872917501877841e-71,2.5341953875229131e-73,1.6182607865066009e-48,6.1455600360353111e-50,4.495922491612968e-65,4.2515391357882426e-108,1.7307928889460571e-13,1.0449785583833053e-13,2.2672973584807043e-18,2.3255643114042437e-18,4.3675914728540555e-32,7.5644774015438631e-22,7.5644774462944347e-22,1.5095055143678281e-63,2.0815956281019398e-59,1.2896483824711035e-33,2.4705862305476755e-42,9.741569441013521e-47,9.9747964009191478e-43,2.8042541518939911e-120,1.8144662996727427e-65,7.3185520155996998e-123,6.0862651830125898e-155,3.4256638493950134e-62,1.9310258821377564e-77,5.6002690019512507e-84,1.9542406006432205e-103,5.6598163517233946e-55,1.6018634175341191e-85,1.3750080902086206e-49,1.6284672546028769e-57
1.2052749052508287e-18,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.24111968799944483,0.099999999999653852,1.3939256665409221e-81,0.099999999999791006,1.0629503340169352e-70,4.6374541880422116e-51,2.2814936145730897e-19,2.469839775135471e-46,4.6399549696631614e-64,1.789009317949118e-29,2.377405940751379e-89,1.0527267345932859e-39,4.4394083824759869e-70,4.0547861579919796e-72,1.2690996236473968e-47,4.819574101094014e-49,3.596780601176368e-64,4.596466316675784e-108,3.4616092420948387e-13,2.0899712861962197e-13,4.4230108042430812e-18,4.6511601657106276e-18,3.4252257862616839e-31,1.5129057314753245e-21,1.5129057493757352e-21,2.4152494710328361e-62,3.3306094309109418e-58,5.158645970361637e-33,1.9764924284173013e-41,7.6142410085962985e-46,3.9899590551423292e-42,8.8204180976472459e-120,2.9031932990654804e-64,2.3019557183557387e-122,8.2511489055674763e-154,5.3765241498522772e-61,6.0632857680134255e-76,1.792119538334604e-82,2.5014870605811571e-101,4.5279247059657742e-54,5.126058999851764e-84,1.0747425541082904e-48,1.3027892589253036e-56
2.4105579843506642e-18,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.24111968799888966,0.099999999999307684,1.1151493562481527e-80,0.099999999999582007,1.7007358963488691e-69,3.7099925008373372e-50,8.7548087611962703e-19,1.9758874096149804e-45,7.150787557455589e-63,7.1560735968918774e-29,1.5215558585719903e-87,4.2109283562350962e-39,1.420621021548286e-68,6.4877164100866449e-71,9.7670138647864721e-47,3.7091528793910795e-48,2.8774414300643721e-63,9.2898919563600144e-107,6.9232419139021711e-13,4.1799567292476698e-13,8.4268709981600972e-18,9.3023518742922563e-18,2.6360599028291023e-30,3.0258216872618471e-21,3.0258217588638528e-21,3.8644316303181868e-61,5.329020130159158e-57,2.0634688546563855e-32,1.5812033049155497e-40,5.8217692121161035e-45,1.5959916651032593e-41,2.5200511290240764e-118,4.6451416518926757e-63,6.5768380387552402e-121,8.816615617682147e-152,8.2859382538145793e-60,1.8699794120527475e-74,5.7348360227400995e-81,3.2019375438847992e-99,3.6223683848079982e-53,1.6403541777631521e-82,8.2174264110006576e-48,1.0422375818770019e-55
4.821124142550335e-18,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.24111968799777933,0.099999999998615363,8.9212301420684863e-80,0.099999999999163994,2.7211895445079223e-68,2.96800566082764e-49,3.2365702025055812e-18,1.5807161111385421e-44,1.0655770585915734e-61,2.862436660231441e-28,9.737986230718948e-86,1.6843756260514522e-38,4.5459934047625405e-67,1.0380392219839838e-69,7.2598993518593702e-46,2.7570427244939168e-47,2.3019597730914611e-62,2.2698415011749744e-104,1.3846507119555923e-12,8.3599275650530581e-13,1.5368165088795889e-17,1.8604735291330958e-17,1.9594041965757484e-29,6.0516534914134803e-21,6.0516537778222237e-21,6.183116455369572e-60,8.5264679195090881e-56,8.2538961786523219e-32,1.2649663640614988e-39,4.2735672834212939e-44,6.3839822989840253e-41,1.1908884654990004e-115,7.4322352531879454e-62,3.107984805337866e-118,1.6518579386358801e-148,1.2347318265082461e-58,5.5794058385028785e-73,1.8351559569587479e-79,4.0984923723704662e-97,2.8979061078753172e-52,5.2491573782036219e-81,6.0322236475219488e-47,8.3379252356178243e-55
