Time (s),Volume (m^3),N2,Ar,He,Ne,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(45),OX(20),CH3X(21),HX(19),CH2X(27),CHX(28),CX(26),HOX(22),H2OX(23),H2X(46),OCX(25),CHOX(50)
9.572665321291324e-21,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.1928957503999964,0.099999999999997521,0.099999999999999478,0.0,9.7211605172481331e-55,3.5233437840303536e-33,8.2409012228317024e-78,1.6370384847186238e-48,3.439870449395697e-124,3.1645310144587431e-34,3.5194046652771104e-125,3.1630610868109402e-34,5.3602081356897722e-80,1.2726817688962338e-56,1.4549617610252753e-112,1.4307711757767058e-114,2.5425958557888034e-47,5.6457131261567265e-97,2.4590638147610227e-15,1.0759093397468601e-15,3.4217585959142678e-17,3.4217588891215495e-17,1.3504067269602343e-24,7.7086434080577627e-26,3.8875952945978962e-32,2.9191093657133915e-32,4.7317618189786303e-46,1.3067187284562747e-46,1.1343752083136723e-55,5.6509512190864068e-84
1.9153647467362225e-20,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039999279,0.099999999999995023,0.099999999999998937,0.0,1.5571956905188619e-53,2.6848104747923719e-32,9.6070790976750333e-76,1.3109583822728376e-47,3.2111179328265539e-121,6.3347717064867564e-34,2.2566247318888012e-123,6.3288881653667615e-34,8.5856478857579599e-79,2.0386606564769968e-55,5.6942382823851669e-110,3.3356780288825781e-112,2.0356228386333331e-46,1.8086557980867249e-95,4.9202640880903169e-15,2.1527534399973485e-15,6.8464897632457721e-17,6.8464909647248235e-17,5.1262889007716833e-24,5.8740328262028939e-25,5.6651686546488672e-31,1.1684045784639585e-31,3.7882868422627852e-45,1.9947483558314962e-45,6.6131512363255493e-54,1.3182406441245583e-81
3.8315611759504024e-20,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039998558,0.099999999999990027,0.099999999999997854,0.0,2.4929625055362922e-52,1.9589350050683984e-31,1.0989889966303216e-73,1.0492978804800059e-46,2.9398011983359572e-118,1.268413785272203e-33,1.44628321010045e-121,1.2660596026282312e-33,1.3744491206557988e-77,3.263754350535198e-54,2.3560201945624724e-107,7.6322313193685545e-110,1.6291171733385344e-45,5.7909440476830644e-94,9.8426646347419159e-15,4.3064416404981399e-15,1.3695951240295951e-16,1.3695956241330553e-16,1.8576300467475618e-23,4.2859032309702822e-24,8.0949022150072742e-30,4.6751409541500448e-31,3.0317812490225251e-44,2.9196703271497142e-44,3.7818881442259278e-52,3.0164279381241647e-79
7.663954034378762e-20,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039997114,0.099999999999980049,0.099999999999995703,0.0,3.9899014099090923e-51,1.330674109762535e-30,1.1881218745165073e-71,8.3965062986493268e-46,2.5427211717610593e-115,2.5418409185009972e-33,9.271668661239374e-120,2.5324226563410185e-33,2.1997146325194945e-76,5.2235259270000016e-53,9.6481444607907544e-105,1.650667628631124e-107,1.3035416347776346e-44,1.853621120146387e-92,1.968746572801715e-14,8.6138180414989868e-15,2.7394870763945841e-16,2.7394891968052691e-16,6.2350191399843666e-23,2.9113420452556796e-23,1.0921120213614041e-28,1.8703613869732163e-30,2.4258863329790538e-43,3.9875400912436446e-43,2.0432602308306401e-50,6.5213690506016692e-77
1.5328739751235481e-19,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039994228,0.099999999999960079,0.099999999999991401,0.0,6.3847766159378577e-50,8.154651065049401e-30,1.170777225870735e-69,6.7180513039443268e-45,2.0040971263583271e-112,5.102910793765856e-33,5.9502262225676345e-118,5.0652346899595878e-33,3.5200187190514222e-75,8.358858867344393e-52,3.6959417319095674e-102,3.2546062518280308e-105,1.0429329284735687e-43,5.9324155097694879e-91,3.9377067914455794e-14,1.7228570843497725e-14,5.479269608945065e-16,5.479278710788089e-16,1.8747071714903122e-22,1.7841249701888215e-22,1.3414461571826657e-27,7.4820590733112291e-30,1.9408944600449923e-42,4.928203940666768e-42,1.005803152963518e-48,1.284772264764377e-74
3.065831118494892e-19,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039988457,0.099999999999920153,0.099999999999982783,0.0,1.0216407197075248e-48,4.4240135787507145e-29,1.028442891589467e-67,5.3747745447791445e-44,1.4078436348380685e-109,1.0281912922567266e-32,3.8279868769574635e-116,1.0131202462620907e-32,5.6324051271245611e-74,1.3375154614711558e-50,1.2796265740591698e-99,5.7214179055856713e-103,8.3438691580985004e-43,1.8985037508298484e-89,7.8756272286885739e-14,3.4458076447483379e-14,1.0958829185333504e-15,1.0958868136621001e-15,4.9567662253149171e-22,9.6790564294639555e-22,1.4673485910125247e-26,2.9929491160578412e-29,1.5527910742774765e-41,5.4074017392204208e-41,4.4121102431329176e-47,2.25591338813697e-72
6.13174540523758e-19,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039976917,0.0999999999998403,0.099999999999965547,0.0,1.6346919248983023e-47,2.1422662853072792e-28,8.0854330640997271e-66,4.2999450004066158e-43,8.850652889002565e-107,2.0867366237598843e-32,2.4749584553558608e-114,2.0264512835079304e-32,9.0121320478809214e-73,2.1401052366053837e-49,3.9934839453673098e-97,9.0021949465627832e-101,6.6752691856118801e-42,6.0754104519619725e-88,1.5751468102995625e-13,6.8917087655407348e-14,2.1917926383304382e-15,2.1918090344936276e-15,1.1674823163417893e-21,4.68687423898396e-21,1.436090519739165e-25,1.1972069661064325e-28,1.2422652145054574e-40,5.3003738113359055e-40,1.7320175644127558e-45,3.5449004207198387e-70
1.2263573978722956e-18,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039953835,0.099999999999680594,0.099999999999931088,0.0,2.6155785795557008e-46,9.5421380560321418e-28,5.8369773612678313e-64,3.4399932827136683e-42,5.109502911254063e-104,4.2948065452126138e-32,1.6159207932707296e-112,4.0536632932533594e-32,1.4419586172166949e-71,3.4242393733875242e-48,1.1486239605873437e-94,1.300503260112605e-98,5.3403033935246855e-41,1.9441561729564106e-86,3.1503149850893998e-13,1.3783511007106544e-13,4.3836032960374285e-15,4.3836710105816716e-15,2.5411487972318037e-21,2.0875745051518907e-20,1.2914151959915602e-24,4.7889002795123788e-28,9.9382855669132171e-40,4.7701341016188484e-39,6.2446572616357125e-44,5.1154216505155506e-68
2.4527231125693707e-18,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039907672,0.099999999999361183,0.099999999999862171,0.0,4.1850526532267047e-45,4.0393279880431697e-27,3.9889042093469652e-62,2.7519889567296329e-41,2.7926764696303092e-101,9.0748605057266578e-32,1.111062807997983e-110,8.1102870890120271e-32,2.3071310805853925e-70,5.478853179784893e-47,3.1334237891893905e-92,1.7782009659766408e-96,4.2723075338491378e-40,6.2212951649440472e-85,6.3006513343827801e-13,2.7567115490161824e-13,8.7671894841839949e-15,8.7674652161837407e-15,5.2972094853615284e-21,8.8364573792208988e-20,1.1005292601814157e-23,1.9155888150844435e-27,7.950749080510045e-39,4.0668045547526274e-38,2.1320635674281331e-42,6.9889709538536655e-66
4.905454541963521e-18,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039815346,0.099999999998722347,0.099999999999724337,0.0,6.6963818334431526e-44,1.6631552048342885e-26,2.6416884171928236e-60,2.2015559663259919e-40,1.4793674494614782e-98,2.0090601568146036e-31,7.867722491711122e-109,1.6232334067683245e-31,3.6913541285989095e-69,8.7662818180197701e-46,8.2919443385191938e-90,2.3558714432853366e-94,3.4179193160295649e-39,1.9907853581323357e-83,1.260132403182436e-12,5.5134324455963898e-13,1.7534221353659505e-14,1.7535334699904438e-14,1.0810563996543657e-20,3.6378713736021824e-19,9.0974391775496987e-23,7.662526428567641e-27,6.3607356532781606e-38,3.3628057507908975e-37,7.0565488589634516e-41,9.2549348665056228e-64
