Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),HX(19),CH3X(21),CH2X(27),CHX(28),CX(26),CH3OO(77),H2X(49),C2H4(47),OCX(25),CHOX(53),COX(50),O(29),H2OX(23)
5.726682421324683e-21,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999705,0.11866996602996252,0.022821567693054247,0.0,1.1680593990363786e-45,1.6341476358684596e-30,2.9728296709042819e-71,7.6975118383911068e-46,2.113355068142976e-109,5.0542513714426189e-17,8.1404184455628893e-90,5.0542513714420556e-17,5.3864171453145154e-61,3.2972476319774793e-60,3.0554246899691317e-92,3.5427579572616939e-93,5.8861374315464559e-32,1.1862932825997214e-71,2.76026542643807e-15,8.1726553372841869e-17,3.2717880195906414e-19,3.2717879416910941e-19,3.8936027358954854e-27,8.6679220102068931e-32,1.8731265627136488e-35,1.8353909924148099e-31,6.1312498349202408e-44,9.0930843779997918e-82,1.0075424004936524e-60,4.8828627993927054e-88,5.3808904377248085e-86,7.7516371377621362e-26,1.0263133660846434e-58
1.1458340240061464e-20,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999422,0.1186699660299597,0.022821567693054205,0.0,9.351577493515525e-45,6.5409241529974672e-30,1.9071705377745822e-69,6.1642524274907829e-45,5.4231989387209772e-107,1.0112893925658002e-16,5.2179200962769396e-88,1.0112893925655746e-16,8.6276284969367602e-60,5.2817357148513683e-59,3.9203375249840796e-90,4.5456224153855124e-91,2.3559889443036839e-31,3.8003992318437271e-70,5.5229289983365781e-15,1.6352411157050651e-16,6.5464186784581981e-19,6.5464183666535327e-19,1.558421072754513e-26,6.9394619803118208e-31,1.5013919299497963e-34,7.3463471325991072e-31,4.9087803920063626e-43,5.8262111233877325e-80,3.2318271720970934e-59,6.26775105384066e-86,6.9040833355226579e-84,1.5510020755797532e-25,1.6434385709533475e-57
2.2921655877535026e-20,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999885,0.11866996602995408,0.022821567693054122,0.0,7.48410413015867e-44,2.6172815901014441e-29,1.2241370540973461e-67,4.9339003450930257e-44,1.3923662840736654e-104,2.023017903408878e-16,3.3420479185465674e-86,2.023017903407976e-16,1.3811698716551127e-58,8.4556919663413377e-58,5.0325983030234011e-88,5.8352862475967588e-89,9.4270245949264137e-31,1.2168098869416801e-68,1.1048256142129752e-14,3.2711922796583111e-16,1.3095680230342188e-18,1.3095678982689633e-18,6.2354363652390415e-26,5.5534448008914754e-30,1.2043735228695668e-33,2.9394957558424084e-30,3.9286001576968906e-42,3.7309003380059628e-78,1.0371991353339612e-57,8.0478348092969233e-84,8.8628792303060574e-82,3.1026823354716927e-25,2.6305719881551772e-56
4.584828715248215e-20,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679997712,0.11866996602994283,0.022821567693053959,0.0,5.988420401273183e-43,1.0471310122670381e-28,7.8725575311070959e-66,3.9481198813654743e-43,3.5817017917615764e-102,4.0464749250950413e-16,2.1397363379016739e-84,4.0464749250914308e-16,2.2104714150236252e-57,1.3533040292504532e-56,6.4729383435913039e-86,7.5053572321764914e-87,3.771423688946243e-30,3.8948833826787001e-67,2.2098910429700723e-14,6.5430946075646138e-16,2.619420427085139e-18,2.6194199279206824e-18,2.4943582742794815e-25,4.4432254532226511e-29,9.6816798860262405e-33,1.1759897082256226e-29,3.1436113720024303e-41,2.3884564999255514e-76,3.33527243284797e-56,1.0352593112193204e-81,1.1399453558066338e-79,6.2060570003950152e-25,4.2097715908622893e-55
9.17015497023764e-20,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679995436,0.11866996602992032,0.022821567693053633,0.0,4.7911912085397294e-42,4.1892484714265021e-28,5.084822514672029e-64,3.1588957959603316e-42,9.2531058221004296e-100,8.0933889684673921e-16,1.3696955299879005e-82,8.093388968452955e-16,3.5372340281310594e-56,2.1656011500491798e-55,8.3613582370108333e-84,9.6949757732774767e-85,1.508692254516323e-29,1.2465373874718819e-65,4.4200219004781168e-14,1.3086899263376466e-15,5.2391256100000334e-18,5.2391236130021686e-18,9.9764670434178321e-25,3.5543193229673125e-28,7.8178475485627785e-32,4.7043416564609308e-29,2.5153428251084552e-40,1.5288298836719514e-74,1.0771862750897469e-54,1.3374509395423747e-79,1.4725138611201096e-77,1.2412862910799432e-24,6.7363196837720535e-54
1.834080748021649e-19,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679990884,0.1186699660298753,0.022821567693052977,0.0,3.8331349316708278e-41,1.6760742580624953e-27,3.312880959414989e-62,2.5272766027703726e-41,2.4112035781856282e-97,1.6187217055212198e-15,8.7668971604552441e-81,1.6187217055154448e-15,5.6599582818884115e-55,3.4652136232921017e-54,1.0894509639354958e-81,1.2632158999988851e-82,6.0350145846784791e-29,3.9891991843933391e-64,8.8402836154696092e-14,2.6174508574997154e-15,1.0478537476013795e-17,1.0478529486277759e-17,3.9893273786401099e-24,2.8426331810435086e-27,6.3693534076441281e-31,1.8818132176365848e-28,2.0127135367960874e-39,9.7852080088445912e-73,3.5095374029054793e-53,1.7429293197641723e-77,1.9186256354647081e-75,2.4826701053839368e-24,1.0778659399357817e-52
3.668211250017419e-19,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767998178,0.11866996602978526,0.022821567693051669,0.0,3.0665807333950712e-40,6.7068844943866402e-27,2.1949324073090888e-60,2.0218852703953539e-40,6.3888963638926277e-95,3.2374873228702236e-15,5.6110848404567821e-79,3.2374873228471218e-15,9.0562403259229661e-54,5.5445432320745592e-53,1.4434353426970572e-79,1.6736599674391427e-80,2.4140549480636601e-28,1.2765884647130866e-62,1.7680807045354202e-13,5.2349727198226438e-15,2.0957367216222705e-17,2.095733524528284e-17,1.5946270689617184e-23,2.2726303379149063e-26,5.279074141319463e-30,7.5274058842905894e-28,1.6107585258482058e-38,6.262756073128405e-71,1.1629145385686588e-51,2.3098741806106552e-75,2.5420253656188921e-73,4.9655282628843601e-24,1.7246292610328141e-51
7.336472254008958e-19,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679963573,0.1186699660296052,0.022821567693049053,0.0,2.4532937026140169e-39,2.6847380512230274e-26,1.5000970548063384e-58,1.617533811699096e-39,1.7459563703326271e-92,6.4750185575683981e-15,3.5911809064554231e-77,6.4750185574759917e-15,1.4490230168059134e-52,8.8714303224284998e-52,1.9725359356823683e-77,2.2871508639913504e-78,9.6563180214758263e-28,4.0851546296331011e-61,3.5361853904729811e-13,1.047001644446364e-14,4.1915050788782533e-17,4.1914922813136174e-17,6.369500377640211e-23,1.8156822381211886e-25,4.5162927859000732e-29,3.0109928774685149e-27,1.2894995928633941e-37,4.0082352027365607e-69,3.9757531351307548e-50,3.1580802072035814e-73,3.4738210941676683e-71,9.9316066934549464e-24,2.7594415786055438e-50
1.4672994261992038e-18,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679927157,0.11866996602924505,0.022821567693043818,0.0,1.9626466089833061e-38,1.0754600408488923e-25,1.081603683732934e-56,1.2940372871435413e-38,5.0326068012358505e-90,1.295008102696542e-14,2.2983834896803623e-75,1.2950081026595794e-14,2.3184564731231094e-51,1.4194417437978488e-50,2.8433959046349099e-75,3.2969109102923579e-76,3.8625468544918451e-27,1.3072609156349533e-59,7.0723947621906775e-13,2.0940103893726013e-14,8.3830514775504464e-17,8.3830002148433757e-17,2.5405836688826429e-22,1.4486596393772176e-24,4.0800066752213934e-28,1.2044031923497686e-26,1.033004372323898e-36,2.5652933143884974e-67,1.4344131485497204e-48,4.5559112563645726e-71,5.0074868306366408e-69,1.9865212016875045e-23,4.415133549779203e-49
2.93460382779582e-18,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679854321,0.11866996602852478,0.022821567693033347,0.0,1.5701219466802905e-37,4.314227369303267e-25,8.4660046242442584e-55,1.0352339241289869e-37,1.574366714195465e-87,2.5900205965762155e-14,1.4709742933691699e-73,2.5900205964283653e-14,3.709546055916586e-50,2.2711171038602506e-49,4.4487608088110835e-73,5.1583275247346343e-74,1.5450226709616597e-26,4.1832531430666628e-58,1.4144813504996363e-12,4.1880278792170815e-14,1.6766183386274229e-16,1.6765977761914347e-16,1.0104981906268331e-21,1.1527471662251473e-23,4.0053496933391456e-27,4.817624344828323e-26,8.2862655667623945e-36,1.6417949653692333e-65,5.6199939987915116e-47,7.1361530970421051e-69,7.8346834620467014e-67,3.9738216512830582e-23,7.0642327870081746e-48
