Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),CH3X(21),HOX(22),HX(19),H2X(49),CH3OO(77)
0.0,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996532,0.022821567693054285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.553161002830065e-24,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996532,0.022821567693054285,0.0,2.1055629181004929e-74,6.6652318274033472e-42,0.0,2.9602141457977326e-57,0.0,6.6636245613032846e-25,-4.7753787066186665e-118,6.6636245612852995e-25,8.7308113235346692e-80,1.9237821513352026e-74,0.0,0.0,2.6392556221195183e-59,5.1262582687764711e-95,2.642698415522306e-18,1.2706328827193013e-19,4.8977056602267985e-23,5.3149549546067448e-38,4.897705660226973e-23,4.1872142665341884e-58,3.2641946571236457e-42
1.8348850807924183e-23,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996532,0.022821567693054285,0.0,6.5726165264209237e-73,4.02580002375163e-41,0.0,4.4734756171184581e-56,0.0,1.8658148771707463e-24,9.2172556631839016e-117,1.865814877159884e-24,2.462228486212071e-78,6.0486757626228912e-73,0.0,0.0,3.133322748005605e-58,2.6534989161506259e-93,7.3995555634624574e-18,3.5577720716140437e-19,1.3713575848634471e-22,3.2102310846775664e-37,1.3713575848635524e-22,4.9710607772293789e-57,1.9715735729077674e-41
4.194023041811242e-23,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996531,0.022821567693054285,0.0,1.4633182685339945e-71,1.9382494154089044e-40,0.0,4.8123609325270365e-55,0.0,4.2647197192748877e-24,9.7325353196047052e-115,4.2647197192225914e-24,5.3558847754867274e-77,1.3494248163257018e-71,0.0,0.0,3.0763116207658272e-57,1.1586214741207847e-91,1.6913269859342745e-17,8.1320504494035286e-19,3.1345316225447554e-22,1.5455863389449908e-36,3.1345316225452627e-22,4.8806169490722207e-56,9.4922780629918373e-41
8.912298963848889e-23,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.1186699660299653,0.022821567693054285,0.0,2.7384598723371358e-70,8.4648444208023588e-40,0.0,4.4233887937688258e-54,0.0,9.0625294035763937e-24,7.6927586890804861e-113,9.0625294033480025e-24,9.9289077335819036e-76,2.5273177975971627e-70,0.0,0.0,2.7209570382096492e-56,4.313257247113132e-90,3.5940698451103261e-17,1.7280607204982499e-18,6.6608796979064668e-22,6.7499663199085178e-36,6.6608796979086833e-22,4.3168504202260231e-55,4.1455272146258451e-40
1.8348850807924181e-22,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999992,0.11866996602996525,0.022821567693054285,0.0,4.7283118372843366e-69,3.5339059148893512e-39,0.0,3.7843022414038316e-53,0.0,1.8658148772552305e-23,5.4523549304821829e-111,1.8658148771598808e-23,1.7065255547127581e-74,4.3652938457731655e-69,0.0,0.0,2.2871186637944057e-55,1.4859825199309366e-88,7.3995555634624035e-17,3.5577720716140435e-18,1.3713575848626267e-21,2.8179652918354718e-35,1.3713575848635521e-21,3.6285728879501457e-54,1.7306760072778896e-39
3.7221954496074766e-22,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999986,0.11866996602996518,0.022821567693054282,0.0,7.8547685313236648e-68,1.4437158747429553e-38,0.0,3.1289342744187153e-52,0.0,3.7849387511995709e-23,3.6691849156232693e-109,3.7849387508100368e-23,2.8284409562704233e-73,7.2529373694474208e-68,0.0,0.0,1.8751021935873139e-54,4.9314342005996272e-87,1.5010527000166457e-16,7.2171947738456284e-18,2.7818968150051376e-21,1.1512203312428754e-34,2.781896815008918e-21,2.9749232826813351e-53,7.070376195716661e-39
7.496816187237595e-22,0.11640260799999998,0.8585084662769803,0.0,0.0,0.3375675631999997,0.11866996602996503,0.022821567693054278,0.0,1.2803977700410178e-66,5.8357303960200052e-38,0.0,2.5443973879254063e-51,0.0,7.6231864996848845e-23,2.4074864305037528e-107,7.6231864981103239e-23,4.6053828718101815e-72,1.1823910947574273e-66,0.0,0.0,1.5184806696256154e-53,1.6068360366030802e-85,3.0232469873574168e-16,1.4536040178308787e-17,5.6029752752843629e-21,4.653332254536315e-34,5.6029752752996432e-21,2.4091700044098549e-52,2.8579591041493011e-38
1.5046057662497829e-21,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999937,0.11866996602996473,0.022821567693054271,0.0,2.0676892886895886e-65,2.3465215257651911e-37,0.0,2.0521486704768398e-50,0.0,1.5299681999042045e-22,1.5600153786740095e-105,1.5299681992710797e-22,7.433106522570637e-71,1.9094977529646748e-65,0.0,0.0,1.2221639750651311e-52,5.1883761927041975e-84,6.0676355620387971e-16,2.9173730987235074e-17,1.1245132195819628e-20,1.8710165716742736e-33,1.1245132195881069e-20,1.9391096126022492e-51,1.1491727862197021e-37
3.0144540613018297e-21,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999875,0.11866996602996412,0.022821567693054257,0.0,3.3234499301619147e-64,9.4106008257241125e-37,0.0,1.6483974127423226e-49,0.0,3.0652673007302482e-22,1.0046062338966738e-103,3.0652672981911367e-22,1.1944802634525668e-69,3.0692464137795015e-64,0.0,0.0,9.8064322928611957e-52,1.6677571656201049e-82,1.2156412711400919e-15,5.8449112605087531e-17,2.2529446036797415e-20,7.5030690269580564e-33,2.2529446037043826e-20,1.556013343255085e-50,4.6086968544525706e-37
