Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),HX(19),HOX(22),CH3X(21),CH3OO(77),H2X(49),C2H4(47),CH2X(27),CHX(28),CX(26),OCX(25),C2H6X(52),COX(50),C2H4X(205),C2H4X(65),acetyl(43)
1.884338840946745e-19,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679990634,0.11866996602987283,0.022821567693052942,0.0,1.3966127144939987e-54,1.7685418438283057e-27,1.5307939684093222e-63,2.8103115404843933e-41,1.1698159641905179e-98,1.6630784581501554e-15,1.0572294347121965e-80,1.6630784580647736e-15,6.4662943205775331e-55,2.3296478421731137e-55,5.1536948633677237e-83,5.9756974284701765e-84,1.4439325350654256e-42,4.6823999607718353e-64,9.0825280182345003e-14,2.6891751196756596e-15,1.07656697641845e-17,5.3630648317858415e-29,1.0765669660958381e-17,1.9863583955201048e-28,2.1820022517629311e-39,1.1800309437822127e-72,1.0618338362574948e-26,1.9586850126850551e-32,1.7610045274457952e-37,1.0093782714580533e-59,8.3792402381421678e-54,9.0761415136602904e-77,3.4418481177828499e-85,1.3765731813963307e-76,8.2172061908749445e-91
3.7687287992426193e-19,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679981281,0.11866996602978033,0.022821567693051596,0.0,2.234117285420841e-53,7.074311302914455e-27,1.8985762304503213e-61,2.2483203863206582e-40,5.8024628433337104e-96,3.3262020315733641e-15,6.7665947762993365e-79,3.3262020312318315e-15,1.0346421732667811e-53,3.7266507952299354e-54,1.2782300223844673e-80,1.482104790624892e-81,1.1548982455940572e-41,1.4984204847211272e-62,1.8165302422354942e-13,5.3784231898722548e-15,2.1531631601734479e-17,2.1447217741684562e-28,2.1531631188821474e-17,7.9455950930918001e-28,1.7456432355925388e-38,7.5524668977261797e-71,4.2474138940888846e-26,1.5669692596867349e-31,2.7324266117999382e-36,6.2609072514705943e-58,1.3407238993287452e-52,2.2510832797914752e-74,4.4057236734502872e-83,8.8103730966215094e-75,4.0763918773292639e-88
7.537508715834368e-19,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679962573,0.11866996602959533,0.022821567693048907,0.0,3.5729489648482053e-52,2.8297533069442348e-26,2.3906709003453752e-59,1.7986847702559835e-39,2.9222967536999343e-93,6.652449178896074e-15,4.3307250995777086e-77,6.6524491775299294e-15,1.6554555407915087e-52,5.9598038433925165e-53,3.2188758879920857e-78,3.7322792269853373e-79,9.2348953860008119e-41,4.7950295230522216e-61,3.63308512301804e-13,1.0756919330260041e-14,4.306355536071787e-17,8.5745950198836509e-28,4.3063553709048004e-17,3.1782702539558632e-27,1.3965311622507951e-37,4.8336648138901713e-69,1.6989765484310039e-25,1.2535647749816584e-30,4.3036730868042195e-35,3.9423221725350358e-56,2.1451946072913498e-51,5.668742927227289e-72,5.6394274342123179e-81,5.6387277102657398e-73,2.053134016653348e-85
1.5075068549017865e-18,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679925159,0.11866996602922532,0.02282156769304353,0.0,5.7113555244152956e-51,1.1319070799605929e-25,3.0333243667329737e-57,1.4389591994784625e-38,1.4830766089124384e-90,1.3304943475446662e-14,2.7716974777894319e-75,1.3304943469982052e-14,2.6487513082716245e-51,9.5263595425399241e-52,8.1680822088744753e-76,9.470872575478025e-77,7.3809294687993434e-40,1.534422866826396e-59,7.2661948844169585e-13,2.1513911611013998e-14,8.6127403214223909e-17,3.4263569611485264e-27,8.61273966075025e-17,1.2713144763382294e-26,1.1172315591677553e-36,3.0935729539026914e-67,6.7958904225623867e-25,1.0028169562792068e-29,6.8311081950324931e-34,2.5011949875448149e-54,3.4323404625761296e-50,1.4384759190643408e-69,7.2185317316029195e-79,3.6088031981799713e-71,1.042007950264594e-82
3.0150188215384854e-18,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767985033,0.1186699660284853,0.022821567693032774,0.0,9.120954215508227e-50,4.5276398342464757e-25,3.8618423589632111e-55,1.1511719108408619e-37,7.5524955265885839e-88,2.6609932076168499e-14,1.7738970680049101e-73,2.6609932054310015e-14,4.2380200219702955e-50,1.5212206575030924e-50,2.0797921176253392e-73,2.411514158631458e-74,5.8935430104011466e-39,4.9101745414528275e-58,1.4532414406550104e-12,4.3027896172435472e-14,1.7225510026343752e-16,1.3677554487033872e-26,1.722550738364181e-16,5.0852701059598146e-26,8.9378789878935271e-36,1.9798954216826914e-65,2.7183228132108981e-24,8.0219064832519881e-29,1.0885317228857568e-32,1.592226883079618e-52,5.4917680000212017e-49,3.6627084772356764e-67,9.2397616906049323e-77,2.3096255633709599e-69,5.3064501002065162e-80
6.0300427548118834e-18,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679700666,0.11866996602700527,0.02282156769301126,0.0,1.45386615336901e-48,1.8110582365921261e-24,4.9203992376232709e-53,9.2093934586940271e-37,3.8490566000596099e-85,5.3219909308094849e-14,1.135297528591447e-71,5.32199092206608e-14,6.7808462957780979e-49,2.4244001715042306e-49,5.2997381882151448e-71,6.1450340474070221e-72,4.6969911341854036e-38,1.5712592057776974e-56,2.9064853448157633e-12,8.605586529493281e-14,3.4451049973102625e-16,5.4488290056791501e-26,3.4451039402228306e-16,2.0341100433614685e-25,7.1503137913443443e-35,1.2671357867781394e-63,1.087298294010077e-23,6.4164901657479357e-28,1.7378893582357847e-31,1.0143395742800894e-50,8.7868473666119404e-48,9.3333317102080693e-65,1.1826920534254806e-74,1.4781396343716841e-67,2.7043861105337376e-77
1.2060090621358681e-17,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679401345,0.11866996602404523,0.022821567692968232,0.0,2.30881369271567e-47,7.244237552239692e-24,6.259584831002438e-51,7.3675219827890422e-36,1.9586794811323043e-82,1.0643986389387802e-13,7.2659149095714296e-70,1.0643986354414178e-13,1.0849365218094539e-47,3.8487973724516103e-48,1.3484418042978658e-68,1.5635150474275715e-69,3.729347100144209e-37,5.0280343981141701e-55,5.8129731520737614e-12,1.7211180353854622e-13,6.8902132014567812e-16,2.1619735582502751e-25,6.8902089730620088e-16,8.1364406622334359e-25,5.7202552657970335e-34,8.1096767427883711e-62,4.3489382512231747e-23,5.1315253510559868e-27,2.776958434713112e-30,6.4519847330779983e-49,1.4058970507432683e-46,2.3747298598361128e-62,1.5138472812702833e-72,9.4597968021990421e-66,1.3761746868144475e-74
2.4120186354452273e-17,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727678802696,0.11866996601812513,0.022821567692882176,0.0,3.6396992474194066e-46,2.8976959421351583e-23,7.9272922598359057e-49,5.8940203878303594e-35,9.9223459485478514e-80,2.1287977355316631e-13,4.6501887574823572e-68,2.1287977215422144e-13,1.7358992421112722e-46,6.0634073212302695e-47,3.415461068105691e-66,3.960218564483019e-67,2.9392542853603887e-36,1.6089715261203511e-53,1.1625948762335729e-11,3.442236800202568e-13,1.3780430469152441e-15,8.5105470046479904e-25,1.3780413555232334e-15,3.2545735521201484e-24,4.5762058934158766e-33,5.1901943187987048e-60,1.7393697355169531e-22,4.1025510278767339e-26,4.4381064921057941e-29,4.0853292659617445e-47,2.2494364164821098e-45,6.0149328529580511e-60,1.9377249798208557e-70,6.0538799087121344e-64,6.9712921497914831e-72
4.8240377820639456e-17,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727677605403,0.11866996600628492,0.022821567692710064,0.0,5.6566970509878391e-45,1.1590785611519609e-22,9.9431675355343484e-47,4.7152172953272141e-34,4.9785080862762018e-77,4.2575959482262653e-13,2.9761215557463916e-66,4.2575958922685152e-13,2.7774391631598877e-45,9.4114107415648899e-46,8.568324692562322e-64,9.9349491590077899e-65,2.2836092614000563e-35,5.1487079751979674e-52,2.3251899965843559e-11,6.8844743296168134e-13,2.7560868443907165e-15,3.2990956842092352e-24,2.7560800785575994e-15,1.3018266298771094e-23,3.6609653673427382e-32,3.3217231325391027e-58,6.9558316487738075e-22,3.2777751144496298e-25,7.0902560752678963e-28,2.5619080027355291e-45,3.5990990390027276e-44,1.5089548245998295e-57,2.4802870651062326e-68,3.8739807482606664e-62,3.4976338646429627e-69
9.648076075301384e-17,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727675210819,0.1186699659826045,0.022821567692365839,0.0,8.5591755802357876e-44,4.6363146136178537e-22,1.223848232377662e-44,3.772174013365202e-33,2.451386035642691e-74,8.5151924516506476e-13,1.9047176942951337e-64,8.515192227819948e-13,4.4439020977111701e-44,1.4205113960114613e-44,2.1094145399648469e-61,2.4458594880470283e-62,1.7270370340758663e-34,1.6475852941827204e-50,4.6503802304794793e-11,1.3768949387570181e-12,5.5121758164347529e-15,1.2424438034518423e-23,5.5121487510558174e-15,5.2072829503710928e-23,2.9287725234010588e-31,2.1259003415236345e-56,2.7810150323282381e-21,2.6154163079801927e-24,1.1314501144686004e-26,1.5764123727062885e-43,5.7585586465813042e-43,3.714839151991489e-55,3.1747637810081943e-66,2.4787038300322612e-60,1.7220246321717371e-66
