Time (s),Volume (m^3),N2,Ar,He,Ne,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(28),CO2X(29),HX(19),CH3X(22),CH2X(58),CHX(26),H2X(31),C2H6X(34),CX(24),C2H5X(33),C3H8X(38),CH2(48),HOCXO(25),OCX(21),COX(32),HOX(23),OX(20),CH4OX(41),H2OX(30),CH3OX(39)
3.908782769513714e-21,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.24111968799999237,0.099999999999994399,4.755245426934227e-89,0.099999999999997979,2.637391411400915e-86,1.5825189047865265e-58,4.4624843924999364e-40,1.6853183603676326e-53,0.0,1.8819705476805539e-34,1.1810385996153891e-103,1.1074282446044215e-44,3.8424887748086768e-82,3.2069386318223597e-83,0.0,0.0,1.2653963567857251e-71,0.0,5.6131089221955794e-15,2.0333727390630983e-15,4.9063675403875011e-24,4.9063675401991957e-24,5.4266366317037695e-38,6.7449595569923128e-49,5.3477559244338697e-72,5.8984371698458257e-67,3.0275996327987875e-58,7.8662069244741645e-74,4.0317609719306989e-117,1.1730305878004107e-77,7.8673815819647857e-47,2.6862556369524726e-36,4.3343684280802529e-54,5.7871665183226231e-55,2.6867018853917222e-36,7.8880220365456468e-97,4.3259263488762031e-100,5.9520891113507088e-98
7.81926279598336e-21,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.24111968799998471,0.099999999999988778,3.8061215390241959e-88,0.099999999999995939,4.344221775806013e-85,1.2666520596994389e-57,1.785320788698607e-39,1.3489377563755746e-52,0.0,7.5303335706327646e-34,7.564493278294025e-102,4.4311554705059806e-44,1.2302875397604114e-80,5.2935348241441002e-82,0.0,0.0,1.0430682948707497e-70,0.0,1.1228655146243675e-14,4.0676284014335106e-15,9.8148655052382389e-24,9.814865504484772e-24,2.1713615047376353e-37,5.3980175762704182e-48,8.5610216718828727e-71,9.442622281196738e-66,1.2112617297641825e-57,1.2592777207695242e-72,5.1646772246775666e-115,9.3842454456118752e-77,3.1479774023916915e-46,5.372785059584281e-36,3.4683510737765642e-53,2.3898568837209158e-54,5.3745703803729795e-36,2.6029168764127208e-95,1.4245027151736956e-98,1.906661543961863e-96
1.5640222848922655e-20,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.24111968799996941,0.099999999999977551,3.045669264196485e-87,0.099999999999991873,7.3448082906296332e-84,1.0135764841723473e-56,7.1404122950514339e-39,1.079423498952363e-51,0.0,3.0126237739289357e-33,4.8431473048023425e-100,1.7727507277181388e-43,3.9380262485786724e-79,8.9825026661953773e-81,0.0,0.0,8.832089494315849e-70,0.0,2.2459747590749181e-14,8.1361397257022619e-15,1.9631861434937691e-23,1.9631861431923327e-23,8.6868599238614253e-37,4.3192342082532823e-47,1.3701325476049929e-69,1.5112295061609478e-64,4.8444560790233983e-57,2.0153921853467933e-71,6.6133628159228909e-113,7.5073987124738879e-76,1.2593959414932258e-45,1.0743166958039541e-35,2.7744704124959657e-52,1.0154972102754082e-53,1.0750307370334591e-35,8.8262751911194685e-94,4.8130075671263549e-97,6.1069269663438756e-95
3.128214295480124e-20,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.24111968799993883,0.099999999999955083,2.436844862837545e-86,0.099999999999983741,1.3009453591993234e-82,8.1096313431583924e-56,2.8547718257203756e-38,8.6364812986395373e-51,0.0,1.2051475855718043e-32,3.1002132785608097e-98,7.0915800310005558e-43,1.2603453876616945e-77,1.6007561407962362e-79,0.0,0.0,7.8439496736548487e-69,0.0,4.4921932465397458e-14,1.6273162372351462e-14,3.9265853294328503e-23,3.9265853282270076e-23,3.4750267701922491e-36,3.4557154601056726e-46,2.1925073815874765e-68,2.4182952083078437e-63,1.936837279754846e-56,3.2250657770311909e-70,8.4667532751078229e-111,6.0059265090361228e-75,5.0379937355899694e-45,2.1473233631997012e-35,2.2186080232869406e-51,4.5375488176890304e-53,2.1501781350254221e-35,3.1413207249264961e-92,1.7026701526988823e-95,1.9566632366215568e-93
6.256598316655842e-20,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.24111968799987762,0.099999999999910161,1.9495989327452533e-85,0.099999999999967462,2.483738979321873e-81,6.4881128872587957e-55,1.1406567750241739e-37,6.9096223854372544e-50,0.0,4.8207865003182737e-32,1.9843281422011843e-96,2.8367474405342093e-42,4.0333883252054038e-76,3.0841437708037731e-78,0.0,0.0,7.5196881814934152e-68,0.0,8.9846302157243102e-14,3.2547207658096673e-14,7.8533837013077783e-23,7.8533836964842101e-23,1.3900672698414977e-35,2.7647036117916184e-45,3.5082480696918301e-67,3.8695347468915444e-62,7.7388551537195283e-56,5.1604557393002189e-69,1.0838499264116302e-108,4.804765335618417e-74,2.015279474556657e-44,4.2890663632576625e-35,1.7730870020080832e-50,2.1952923525942323e-52,4.3004729310079057e-35,1.2078659453233447e-90,6.4878969627211425e-94,6.2751501080343821e-92
1.2513366359007276e-19,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.24111968799975522,0.099999999999820316,1.5597285954483931e-84,0.099999999999934919,5.2609012901519604e-80,5.1906534398548169e-54,4.5523653493086002e-37,5.5278728475347403e-49,0.0,1.9283538316690074e-31,1.270031265204401e-94,1.1347220622503089e-41,1.2907294838256081e-74,6.607663103078667e-77,0.0,0.0,8.0067093850895264e-67,0.0,1.7969504131113071e-13,6.5095298199374303e-14,1.570698044504469e-22,1.5706980425750029e-22,5.5603822018783387e-35,2.2118153871920529e-44,5.6133859192555227e-66,6.1914655210653405e-61,3.0885799162887669e-55,8.2570090988052563e-68,1.3873953507265657e-106,3.8438894851480742e-73,8.0612817296080993e-44,8.5555388694740073e-35,1.4154985837571217e-49,1.1823001597951285e-51,8.6010625229671071e-35,5.1617988941932669e-89,2.7412010625162094e-92,2.0166048736782267e-90
2.5026902443710148e-19,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.24111968799951042,0.099999999999640612,1.2478025708746925e-83,0.099999999999869818,1.2535417921925546e-78,4.1525880048793479e-53,1.8127333477800175e-36,4.4223682471465915e-48,0.0,7.7134937843543236e-31,8.1283951521283704e-93,4.538934421476223e-41,4.1304062178731298e-73,1.592568200996596e-75,0.0,0.0,9.5907867975689572e-66,0.0,3.5939251869969116e-13,1.3019147916107837e-13,3.1414173932466729e-22,3.1414173855287306e-22,2.2241755030305934e-34,1.7694733073359382e-43,8.9815686595802594e-65,9.9065127381166986e-60,1.2298599510460776e-54,1.3211436923796527e-66,1.7759090009968672e-104,3.075358690735313e-72,3.2245453526678555e-43,1.7020968372084329e-34,1.1276341985322552e-48,7.1625961596378858e-51,1.7202241706862445e-34,2.4815711346413382e-87,1.3028138487592142e-90,6.5074306602703583e-89
5.005397461311589e-19,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.24111968799902084,0.099999999999281219,9.9824997215094182e-83,0.09999999999973963,3.3234058165601579e-77,3.3220965052735829e-52,7.1859464353638911e-36,3.5379225733815782e-47,0.0,3.0854132004644083e-30,5.2022340816808641e-91,1.815583003119189e-40,1.321741179612197e-71,4.2611808684078954e-74,0.0,0.0,1.2769253771679618e-64,0.0,7.1878746979995298e-13,2.6038384060108188e-13,6.2828560907103706e-22,6.2828560598384443e-22,8.8967472374854654e-34,1.4155870420752003e-42,1.4370630743060027e-63,1.5850554579603849e-58,4.8753490589387484e-54,2.1138471944900574e-65,2.2731904633551277e-102,2.4610776958850884e-71,1.2898245886663559e-42,3.3686005431023584e-34,8.9456061525336701e-48,4.8117406024239606e-50,3.4404600074560863e-34,1.3251643938568959e-85,6.8930042573152438e-89,2.1170516532684131e-87
1.0010811895192738e-18,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.24111968799804168,0.099999999998562433,7.9860314006552704e-82,0.099999999999479242,9.534202326674287e-76,2.6576876447638987e-51,2.8236529783114715e-35,2.8303492294988542e-46,0.0,1.2341684136310255e-29,3.3294478117395857e-89,7.2623504815160867e-40,4.2295876987786162e-70,1.2299699278287869e-72,0.0,0.0,1.8369981460377727e-63,0.0,1.4375773572930403e-12,5.2076856154747041e-13,1.2565733485554921e-21,1.2565733362066903e-21,3.5587079245694886e-33,1.1324729875418825e-41,2.2993105693560599e-62,2.5360994283190766e-57,1.9157246142612708e-53,3.3821677318453517e-64,2.909699634193759e-100,1.9713925591188306e-70,5.1593105731339863e-42,6.5985663831270217e-34,7.0385640286303851e-47,3.4820547254809353e-49,6.8809316809588696e-34,7.6393076808726419e-84,3.9491162927073953e-87,6.9963578258512127e-86
2.0021640762955035e-18,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.24111968799608333,0.099999999997124847,6.3894870573667826e-81,0.099999999998958478,2.8748317965918183e-74,2.1261542919687033e-50,1.0908228462209521e-34,2.2642838207014007e-45,0.0,4.9366798901715465e-29,2.1308503245388487e-87,2.9049438863710768e-39,1.3534693442273325e-68,3.7221286170150092e-71,0.0,0.0,2.774329646868571e-62,0.0,2.8751570734494749e-12,1.0415379957057733e-12,2.513148827491265e-21,2.513148778095996e-21,1.4234849633309072e-32,9.0597972420912095e-41,3.6789045654559406e-61,4.0577675126605764e-56,7.4007555255678207e-53,5.4114729991079006e-63,3.7244220587955085e-98,2.0930980843084797e-70,2.0637261315432887e-41,1.2671052181590449e-33,5.4509122869399075e-46,2.6387074393000564e-48,1.3761875027816829e-33,4.6197955416595968e-82,2.3794630441534815e-85,2.7103864482939547e-84
