Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),HX(19),HOX(22),CH3OO(77),CH3X(21),H2OX(23),H2X(49),C2H4(47),C2H6X(52),CH4OX(60),C2H4X(205),CH2X(27),CHX(28),CX(26),OCX(25),C2H4X(65),COX(50),CH2OH(40),CH2OX(54)
6.111443168677453e-21,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999688,0.11866996602996233,0.022821567693054243,0.0,2.3649618955067531e-54,1.8610912778247258e-30,9.5173706490189889e-74,9.5929558521249546e-46,1.1015428377798781e-84,5.3938332431164151e-17,1.2330220523340484e-89,5.3938332430931079e-17,7.1637882797627632e-61,1.0848804137063656e-58,1.0415714095951687e-94,1.2076996359549528e-95,4.2678085783278229e-43,1.6837418534533309e-71,2.9457204089622089e-15,8.7217545790582065e-17,3.4916108198201035e-19,5.6451608068288004e-32,2.0903064079585008e-31,3.4916108174426687e-19,1.1521561619042316e-45,7.451889489743382e-44,1.3773215267326776e-81,9.2830762101689032e-60,9.8426264701375275e-73,1.3039957819553056e-95,4.1219639933410744e-30,9.102676574687656e-38,4.3218410344429277e-44,2.6233093483848702e-69,1.6067254332173842e-85,1.8343052223449886e-88,8.8808612445457426e-74,1.0080544466861974e-98
1.2228196018648282e-20,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999383,0.11866996602995933,0.022821567693054198,0.0,3.787020779625377e-53,7.4492152551434561e-30,9.5846466647404221e-72,7.6821449110605631e-45,7.0584884893352366e-83,1.0792352701085445e-16,7.9035378696319059e-88,1.0792352700992158e-16,1.1474511208440929e-59,1.7378287161057862e-57,2.0965999994944237e-92,2.4310028684920711e-93,3.4168418699302303e-42,5.3940213100621621e-70,5.8940000884780955e-15,1.7451086703363018e-16,6.9862551852494934e-19,2.2595354919308431e-31,8.3666731226816266e-31,6.9862551757335602e-19,9.2242548708332427e-45,5.9660426596139127e-43,8.824910960598132e-80,1.486905501178017e-58,3.1534279939693116e-71,1.6710333001298149e-93,1.6498597747804361e-29,7.2876739245311722e-37,5.4582863760276128e-43,1.3225315060534239e-67,1.0294770063507008e-83,3.6923098440600441e-86,2.8452930288294069e-72,1.2918988436471021e-96
2.4461701718589944e-20,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679998778,0.11866996602995332,0.022821567693054112,0.0,6.0616998493771889e-52,2.9806564072770159e-29,1.0602267737572271e-69,6.1488295413127289e-44,4.5201912086581033e-81,2.1589391617159731e-16,5.0621707113326634e-86,2.1589391616786464e-16,1.836918358046115e-58,2.7821430422914785e-56,4.6363232346709328e-90,5.3758061517569469e-91,2.7345119390508294e-41,1.7270549907315688e-68,1.1790559447505492e-14,3.4909750951972072e-16,1.397554391656843e-18,9.0410851316700126e-31,3.3477590548197982e-30,1.3975543878492304e-18,7.3822072926360106e-44,4.7746473298312154e-42,5.6511620651277985e-78,2.3803401838105219e-57,1.0097033840491744e-69,2.1401513789516648e-91,6.6015878419034298e-29,5.8323505675698597e-36,7.5665969787831604e-42,7.3213092064242414e-66,6.5924076169977199e-82,8.1650014514841521e-84,9.1104094013767994e-71,1.6546483234762821e-94
4.892871311847327e-20,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679997562,0.11866996602994132,0.022821567693053938,0.0,9.7006934501368487e-51,1.1924566515992711e-28,1.2502361690845268e-67,4.9203093818954045e-43,2.8938054253024884e-79,4.3183469449853222e-16,3.2410398901953346e-84,4.3183469448359888e-16,2.9398668514235693e-57,4.452722949054168e-55,1.0931367576687342e-87,1.2674895684874517e-88,2.1880250113846423e-40,5.5281255156496511e-67,2.3583678165542779e-14,6.9827079449187887e-16,2.7954121381046924e-18,3.6170227589126079e-30,1.3393216117896463e-29,2.7954121228717625e-18,5.9068873800574869e-43,3.8204432997022975e-41,3.617774140887746e-76,3.8095776937538836e-56,3.2320214294163061e-68,2.740180418800798e-89,2.6410647670313573e-28,4.6667610790904197e-35,1.1172684720768757e-40,4.3191410569296027e-64,4.2203423648548568e-80,1.9251166893246324e-81,2.9162067764278795e-69,2.1186014792347424e-92
9.78627359182399e-20,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679995131,0.11866996602991729,0.022821567693053588,0.0,1.5522688405738615e-49,4.7702148114142824e-28,1.5315649519417869e-65,3.9367458653517675e-42,1.8523180838552743e-77,8.637162511741987e-16,2.0746658225445628e-82,8.6371625111446023e-16,4.7044250347079686e-56,7.1253920900958053e-54,2.6778020796980436e-85,3.104905390298293e-86,1.7505862015248899e-39,1.7692481287516782e-65,4.7169915601547308e-14,1.3966173644361042e-15,5.5911276317366411e-18,1.4469268448798723e-29,5.3577224392306199e-29,5.5911275707999619e-18,4.7259584870044033e-42,3.056644845060929e-40,2.3157052338577698e-74,6.0961511465624875e-55,1.0344021668326745e-66,3.5079344714290985e-87,1.0565116953773698e-27,3.7337545344029332e-34,1.712895797716676e-39,2.6463642186914562e-62,2.7014031164263438e-78,4.715861420267105e-79,9.3332630772592047e-68,2.7122269867539298e-90
1.957307815177732e-19,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679990274,0.11866996602986925,0.02282156769305289,0.0,2.4837563790781057e-48,1.9081635683297616e-27,1.9155862733471224e-63,3.1495960475138585e-41,1.1855739969291892e-75,1.7274793646127179e-15,1.3279142338813865e-80,1.7274793643737538e-15,7.5275905456983741e-55,1.140145550741083e-52,6.6978903603066923e-83,7.7661885685436498e-84,1.4005354267057166e-38,5.6619907756511125e-64,9.4342390473276246e-14,2.7933105043241903e-15,1.1182558621945536e-17,5.7879428039781074e-29,2.1431761622505392e-28,1.1182558378188902e-17,3.7809460990097848e-41,2.4454319643100349e-39,1.4821568856201405e-72,9.7545033478549591e-54,3.3103353617210294e-65,4.4904784023673608e-85,4.2262172158663018e-27,2.987131316825054e-33,2.6808287549133191e-38,1.6552340295286831e-60,1.7290202009432619e-76,1.1795615032836541e-76,2.9868683747407763e-66,3.471917446862756e-88
3.914668727168398e-19,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679980559,0.11866996602977316,0.022821567693051492,0.0,3.9741109264246237e-47,7.6328095635804164e-27,2.4211829794228083e-61,2.519756581145596e-40,7.5879626833262209e-74,3.4550055918385012e-15,8.4990610551024678e-79,3.4550055908826258e-15,1.2044553266569521e-53,1.8242990723620017e-51,1.6930728541762622e-80,1.9631141044369391e-81,1.1204549042179204e-37,1.8119005272982901e-62,1.8868734021561348e-13,5.5866967840989043e-15,2.2365420614143329e-17,2.3152241540763058e-28,8.5728789055348316e-28,2.2365419639096955e-17,3.0248283915063334e-40,1.9563920078990113e-38,9.4861417560002079e-71,1.5607734576502306e-52,1.0593470089787271e-63,5.7480185974552266e-83,1.6905200547146687e-26,2.38973919219185e-32,4.2414502151872102e-37,1.0461449473434895e-58,1.1066111604265151e-74,2.9816605130638447e-74,9.5583371830145284e-65,4.4442250033901764e-86
7.829390551149729e-19,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679961125,0.11866996602958099,0.022821567693048699,0.0,6.358657193610009e-46,3.0531548837358985e-26,3.0741150601550735e-59,2.0158371604295736e-39,4.8563882937196834e-72,6.9100580476850479e-15,5.4395302545004984e-77,6.9100580438615085e-15,1.9271611904779816e-52,2.918931263092088e-50,4.2992263924781898e-78,4.9849431617215062e-79,8.9637451017586607e-37,5.7981832205382095e-61,3.7737723969580569e-13,1.11734693436425e-14,4.4731144645658989e-17,9.2609902561522691e-28,3.4291863180798532e-27,4.4731140745433866e-17,2.4198909770980256e-39,1.565132180997914e-37,6.0712387345229405e-69,2.4972798675191407e-51,3.3899735746610796e-62,7.3575957401826336e-81,6.7621392033002166e-26,1.9117779087524758e-31,6.7479263010829429e-36,6.6415587737885834e-57,7.082422561002165e-73,7.5713416628995369e-72,3.058725026246444e-63,5.6887168399922746e-84
1.5658834199112393e-18,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679922261,0.11866996602919666,0.022821567693043113,0.0,1.0173912508629205e-44,1.2212681651627553e-25,3.9053901415329202e-57,1.6126824830823368e-38,3.1081175712743854e-70,1.3820162964958072e-14,3.4813413266150694e-75,1.382016294966383e-14,3.0834840257198264e-51,4.6703315577484132e-49,1.0923544905293718e-75,1.2665825239677969e-76,7.1710378131877224e-36,1.855434853446077e-59,7.5475703863826092e-13,2.2347014462706369e-14,8.9462592897171083e-17,3.7044144897449413e-27,1.3716814018352928e-26,8.9462577296191605e-17,1.9359235410567471e-38,1.2521131744799054e-36,3.8856272877837394e-67,3.9956816467320697e-50,1.0848014139878643e-60,9.4178068273299451e-79,2.7048615959711705e-25,1.529373590378458e-30,1.0765671775521702e-34,4.2187746721221721e-55,4.53277165365302e-71,1.9237387423015233e-69,9.7880101133346552e-62,7.281626195606077e-82
3.131772149503772e-18,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679844535,0.118669966028428,0.022821567693031938,0.0,1.6278299946810856e-43,4.8850850838555035e-25,4.9460775441975291e-55,1.2901510826785542e-37,1.9892039910599833e-68,2.7640372821823813e-14,2.2280718593326607e-73,2.7640372760646691e-14,4.9335952946837203e-50,7.4725616052659938e-48,2.7669123601817736e-73,3.2082284901799359e-74,5.7368459581846535e-35,5.937417343170145e-58,1.509516636451455e-12,4.4694104700740803e-14,1.7892549015412232e-16,1.4817692007478941e-26,5.486738743772014e-26,1.7892542775004824e-16,1.5487422626040694e-37,1.0016935110832606e-35,2.486812418926677e-65,6.3931176904192475e-49,3.4713788234759438e-59,1.2054846269730072e-76,1.0819411155295329e-24,1.2234100120615698e-29,1.7199324005523347e-33,2.6714196703441453e-53,2.9009622809424502e-69,4.8727914408845216e-67,3.1321767604339764e-60,9.3205228615689562e-80
