Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),CH3X(21),HOX(22),HX(19),H2OX(23),CH3OO(77),C2H6X(52),C2H4(47),C2H4X(65),CH4OX(60),H2X(49)
2.079564586186894e-08,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33274890972053711,0.11424584747859129,0.022624296511317817,0.0,3.7592664180636764e-10,4.6573579838756938e-10,0.0,1.3283359803368196e-13,0.0,4.0299967603778538e-07,4.1725545700963569e-28,1.8463886624632811e-09,2.0238370351768006e-21,1.519133712337998e-13,0.0,0.0,6.5338926471922283e-10,6.6357883516775949e-22,0.0044237140972222923,0.0003945377322317096,1.3846216097426375e-09,3.4628215982978661e-09,3.9679705472566775e-07,7.9778913117370766e-14,6.9436023576942418e-11,2.910452886825965e-16,2.5395434823177932e-25,2.0074612379500925e-28,2.6196804954381367e-18,5.4306155189764982e-12
2.0938697286953596e-08,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33273279914781057,0.11423240823837125,0.022622960765735483,0.0,3.881859342274961e-10,4.7836135676559171e-10,0.0,1.3656368733460665e-13,0.0,4.0743814625184963e-07,4.3859338507336226e-28,1.8578035678579861e-09,2.0914948199342115e-21,1.5631158679984404e-13,0.0,0.0,6.6876230672101472e-10,6.8993987018562859e-22,0.0044371488908145715,0.00039720913408002972,1.391999156592667e-09,3.5229627543355436e-09,4.0110666482105809e-07,8.1962483248403287e-14,7.0204154114931131e-11,2.9953583606898294e-16,2.6411769760710023e-25,2.0871080879975961e-28,2.6954185768258121e-18,5.5856660435233706e-12
2.108174871203825e-08,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33271682264908997,0.11421910265281546,0.02262162522846093,0.0,4.0077968968780782e-10,4.9125410104101859e-10,0.0,1.403755465886777e-13,0.0,4.1189900888777516e-07,4.6088460409442592e-28,1.8692073686053864e-09,2.1609947636953963e-21,1.6080996897798919e-13,0.0,0.0,6.8439797395079347e-10,7.1717949900643845e-22,0.0044504500073438537,0.00039988011804274862,1.3993789288187747e-09,3.5837690509961645e-09,4.0543654657089483e-07,8.4197995392583683e-14,7.0976123676685557e-11,3.0821980749820218e-16,2.7462224703386669e-25,2.1694057839449865e-28,2.7728786418510738e-18,5.7441829584112971e-12
2.1224800137122907e-08,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33270097889584016,0.11420592939555016,0.022620289898393799,0.0,4.137152982468854e-10,5.0441809792574961e-10,0.0,1.4427048113747009e-13,0.0,4.1638226055662973e-07,4.8416572326280513e-28,1.8806001733161878e-09,2.2323762456632201e-21,1.6541019492700742e-13,0.0,0.0,7.0029908080087088e-10,7.4532157497981442e-22,0.004463618773187239,0.00040255068630721825,1.4067609427146203e-09,3.6452436172382186e-09,4.0978666752418417e-07,8.6486492854591831e-14,7.1751930972737504e-11,3.171004114700235e-16,2.8547732432845307e-25,2.2544262200770444e-28,2.8520894677574885e-18,5.9062223096266027e-12
2.1367851562207563e-08,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33268526657271952,0.1141928871533726,0.022618954774444779,0.0,4.2700027490079758e-10,5.1785745102151679e-10,0.0,1.4824980971799045e-13,0.0,4.2088789792570362e-07,5.0847453722943298e-28,1.8919820900802145e-09,2.3056792831773944e-21,1.7011395996235981e-13,0.0,0.0,7.1646845346812019e-10,7.7439046006047011e-22,0.004476656501550832,0.00040522084103862343,1.4141452142974685e-09,3.7073895695461027e-09,4.1415699496233546e-07,8.8829029109920715e-14,7.2531574724005946e-11,3.2618089068015922e-16,2.9669245743608767e-25,2.3422427207640109e-28,2.9330801428145959e-18,6.0718406917074862e-12
2.1510902987292218e-08,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33266968437744848,0.11417997462611991,0.022617619855535454,0.0,4.4064226097962806e-10,5.3157630088353157e-10,0.0,1.5231486452837708e-13,0.0,4.2541591771757287e-07,5.3385005779476136e-28,1.9033532264685866e-09,2.3809445397343631e-21,1.7492297764014118e-13,0.0,0.0,7.3290892989501227e-10,8.0441103303524832e-22,0.004489564492600742,0.000407890584380202,1.4215317593123409e-09,3.770210014538629e-09,4.1854749589272039e-07,9.1226683937347452e-14,7.3315053661625511e-11,3.35464522194349e-16,3.0827737768249618e-25,2.4329302517874435e-28,3.0158800678691372e-18,6.2410952490536761e-12
2.1653954412376874e-08,0.11640260799999998,0.8585084662769803,0.0,0.0,0.3326542310206797,0.11416719052653949,0.02261628514059821,0.0,4.5464902563267589e-10,5.455788250808863e-10,0.0,1.5646699129360452e-13,0.0,4.2996631670917676e-07,5.6033254628488898e-28,1.9147136895358665e-09,2.4582133331060386e-21,1.7983897985435103e-13,0.0,0.0,7.4962335971077694e-10,8.354086978535658e-22,0.0045023440335927676,0.00041055991845346314,1.4289205932345382e-09,3.8337080498142907e-09,4.2295813704389445e-07,9.3680551684846218e-14,7.4102366526777194e-11,3.4495461762245327e-16,3.2024202306642042e-25,2.5265653952118527e-28,3.1005189575811038e-18,6.4140436772055932e-12
2.179700583746153e-08,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33263890522586992,0.11415453358016066,0.022614950628576127,0.0,4.6902846725792676e-10,5.5986923825574438e-10,0.0,1.6070754933119325e-13,0.0,4.3453909173090802e-07,5.8796354662748732e-28,1.9260635858221526e-09,2.537527643558865e-21,1.8486371691873707e-13,0.0,0.0,7.6661460417259671e-10,8.6740939206252845e-22,0.0045149963990007806,0.00041322884535841036,1.4363117312741849e-09,3.8978867598745983e-09,4.2738888486586015e-07,9.6191733097755532e-14,7.489351207052172e-11,3.5465452329255438e-16,3.3259654159351398e-25,2.6232261959637334e-28,3.1870268420571993e-18,6.590744224092544e-12
2.1940057262546185e-08,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33262370572915184,0.11414200252516743,0.02261361631842285,0.0,4.8378861489569488e-10,5.7445179218047687e-10,0.0,1.6503791161692457e-13,0.0,4.3913423966571598e-07,6.1678591913995605e-28,1.9374030213551466e-09,2.6189301221746648e-21,1.8999895764521136e-13,0.0,0.0,7.8388553610531827e-10,9.0043959534796054e-22,0.0045275228506438383,0.00041589736717375432,1.4437051883808062e-09,3.9627492183098711e-09,4.3183970552410086e-07,9.8761356998894663e-14,7.5688489053635256e-11,3.645676204250674e-16,3.4535129465212582e-25,2.7229924241540988e-28,3.2754340684993457e-18,6.7712556912495931e-12
2.208310868763084e-08,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33260863127920881,0.11412959611227273,0.022612282209102531,0.0,4.9893762974056424e-10,5.8933077581096995e-10,0.0,1.6945946485055981e-13,0.0,4.43751757448223e-07,6.4684387504243075e-28,1.9487321016521791e-09,2.702464099274761e-21,1.9524648944240336e-13,0.0,0.0,8.0143903984105584e-10,9.3452633818272233e-22,0.0045399246378120426,0.00041856548595712391,1.4511009792453308e-09,4.0282984903390133e-09,4.3631056489310318e-07,1.0139057107192438e-13,7.6487296246447402e-11,3.746973253068587e-16,3.5851686043148961e-25,2.8259455872394143e-28,3.3657713023480505e-18,6.9556374350028493e-12
