Time (s),Volume (m^3),N2,Ne,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(56),OX(20),CH3X(21),HOX(22),HX(19),H2OX(23),CH3OO(85),C2H6X(60)
7.433628086600878e-21,0.09977366400000001,0.80000000000000004,0.0,0.28934362559999705,0.099999999999997674,0.099999999999999672,5.7971862835131992e-123,3.2224314843554029e-54,8.5082735987087712e-41,4.3878034074749387e-66,3.3640444757876929e-49,2.2900127862243173e-43,3.847117067929586e-26,3.9607861599737675e-103,3.8470597263248362e-26,1.1794990765249857e-65,7.4842187743630107e-59,1.036183481626645e-66,4.4030039911092308e-95,2.3030028534163483e-43,1.1250549425825371e-80,2.3387477480458831e-15,6.8217845895384753e-16,1.5460097228651607e-20,1.0442405485213271e-31,1.5460097229120598e-20,1.7714758095687048e-45,5.6936107585933714e-40,3.067141947777068e-63
1.487371458161757e-20,0.09977366400000001,0.80000000000000004,0.0,0.28934362559999405,0.099999999999995329,0.099999999999999326,3.7325377703663708e-121,5.1586703332823492e-53,3.4055267748911172e-40,3.512952604792784e-65,2.6939639405990266e-48,9.166136244647684e-43,7.6976913314408482e-26,1.2693978202735452e-101,7.6974618155853228e-26,9.445823076239475e-65,1.1988685710813947e-57,8.2958672547235735e-66,7.0506244748459813e-94,9.2701357672855715e-43,1.8020919410484691e-79,4.6795274228911297e-15,1.3649496011908649e-15,3.0933626339272845e-20,4.1796835605640043e-31,3.0933626341150031e-20,1.418257777279095e-44,2.2789572290197666e-39,4.9127575080124108e-62
2.975388757165095e-20,0.09977366400000001,0.80000000000000004,0.0,0.289343625599988,0.099999999999990652,0.099999999999998646,2.4111782881507861e-119,8.2560968527484151e-52,1.3626543126175045e-39,2.811496817713571e-64,2.1562630296417281e-47,3.6677421962733027e-42,1.5399184356519474e-25,4.0654251903558595e-100,1.5398265994139172e-25,7.5609100375224225e-64,1.9193052962539936e-56,6.639373487421531e-65,1.1285851429244267e-92,3.7509734218527498e-42,2.8850684788256085e-78,9.3610867725764692e-15,2.7304918856648326e-15,6.1880684557694953e-20,1.672417850876579e-30,6.1880684565206164e-20,1.1350372537027328e-43,9.1190304935947005e-39,7.8646787570672939e-61
5.95142335517177e-20,0.09977366400000001,0.80000000000000004,0.0,0.2893436255999759,0.099999999999981284,0.099999999999997286,1.5697698142871794e-117,1.3211534477885451e-50,5.4515046557391879e-39,2.2497319606071821e-63,1.7254472809609535e-46,1.4674107228512719e-41,3.0803548398900869e-25,1.3016233928075979e-98,3.0799874351378379e-25,6.0509370900404637e-63,3.0717812259622829e-55,5.3127610314023204e-64,1.8061870645023561e-91,1.5340083488737606e-41,4.6178622529947037e-77,1.8724205471926524e-14,5.4615764546124986e-15,1.2377480098325771e-19,6.6907603978501467e-30,1.2377480101330739e-19,9.0820224582445049e-43,3.6483925020082488e-38,1.2586900377247416e-59
1.190349255118512e-19,0.09977366400000001,0.80000000000000004,0.0,0.28934362559995169,0.099999999999962563,0.099999999999994552,1.0380845522773342e-115,2.1139878532969014e-49,2.1807794148382319e-38,1.8001282239002081e-62,1.3805325885336428e-45,5.8707207792494694e-41,6.1617788452558238e-25,4.1672598888670631e-97,6.160309106638284e-25,4.8424463296609068e-62,4.9155642593385116e-54,4.2510180087780291e-63,2.8904602090427295e-90,6.4035523729772594e-41,7.3911827400276397e-76,3.7450442870544136e-14,1.0923745592506759e-14,2.4756303378925748e-19,2.6765219622623247e-29,2.4756303390946608e-19,7.2663077039422524e-42,1.4596249937697876e-37,2.0141772478442939e-58
2.380763094321182e-19,0.09977366400000001,0.80000000000000004,0.0,0.28934362559990334,0.099999999999925107,0.099999999999989084,7.0697183256794514e-114,3.3824943400714638e-48,8.7234732478788996e-38,1.4404457802747411e-61,1.1044959798483008e-44,2.3488640247855847e-40,1.2326831643543523e-24,1.3344714708502759e-95,1.232095244984959e-24,3.8759367004344838e-61,7.8654742335635931e-53,3.4016248794485181e-62,4.6258257155346603e-89,2.7751495317207898e-40,1.1831818299933023e-74,7.4902917667449406e-14,2.1848083868290992e-14,4.9513949922075386e-19,1.0706523380741836e-28,4.9513949970160792e-19,5.8133219003550177e-41,5.8399313582294371e-37,3.2229021598598822e-57
4.761590772726523e-19,0.09977366400000001,0.80000000000000004,0.0,0.28934362559980659,0.099999999999850195,0.099999999999978162,5.0694658263396561e-112,5.4120816541684195e-47,3.4894607947625452e-37,1.1528237219522685e-60,8.8362474713783583e-44,9.3994885856341465e-40,2.4665756390330935e-24,4.2757830753435396e-94,2.4642239137113861e-24,3.1036234706183291e-60,1.2585215714785847e-51,2.7224029588003969e-61,7.4042427091606314e-88,1.2809853517537591e-39,1.8947952936366874e-73,1.4980786725993997e-13,4.369676041984229e-14,9.9029242936173397e-19,4.2826963881356447e-28,9.9029243128518948e-19,4.6507675421499398e-40,2.3369751317744825e-36,5.1568183054705601e-56
9.523246129537204e-19,0.09977366400000001,0.80000000000000004,0.0,0.28934362559961307,0.099999999999700384,0.099999999999956318,3.9422938686027939e-110,8.6594022206744372e-46,1.3957989184671605e-36,9.2297352326425065e-60,7.0691098126015399e-43,3.7629067774207891e-39,4.9378882484650837e-24,1.3716623168396655e-92,4.9284812515009037e-24,2.4873823251538517e-59,2.0136710023903611e-50,2.1796097727535707e-60,1.1855685760073765e-86,6.4912309882618982e-39,3.0369755660909583e-72,2.9961776643964155e-13,8.7394113522876248e-14,1.9805982867556432e-18,1.7130959049365672e-27,1.9805982944495442e-18,3.7206576015161937e-39,9.3556361929473937e-36,8.2510491480284893e-55
1.9046556843158565e-18,0.09977366400000001,0.80000000000000004,0.0,0.28934362559922605,0.099999999999400763,0.099999999999912617,3.417875669930844e-108,1.3855097630268882e-44,5.583227285627798e-36,7.3950896725859628e-59,5.6553325538304546e-42,1.507628856048596e-38,9.8946241075447165e-24,4.411049917034042e-91,9.8569959284265947e-24,1.99704088538556e-58,3.221902576908821e-49,1.7463566737814528e-59,1.8997207707491507e-85,3.6903009938430092e-38,4.8760272293030667e-71,5.9923756477792615e-13,1.7478881972866965e-13,3.9612099899912594e-18,6.8524178581413726e-27,3.9612100207670198e-18,2.9765428019861627e-38,3.7483860008368398e-35,1.3201790451756471e-53
3.809317827040129e-18,0.09977366400000001,0.80000000000000004,0.0,0.289343625598452,0.09999999999880152,0.099999999999825229,3.3369838578359931e-106,2.2168189287308144e-43,2.2332991650223785e-35,5.9341016179657151e-58,4.5242838753656123e-41,6.0501987255308744e-38,1.9864538385907486e-23,1.4254811279428199e-89,1.9714025287664597e-23,1.6090568374601003e-57,5.1550666052095269e-48,1.4013431103956661e-58,3.0485196891519423e-84,2.3511624711069334e-37,7.8556424829670926e-70,1.1984771613700213e-12,3.4957823213915822e-13,7.9224333502536822e-18,2.740973622051485e-26,7.9224334733570427e-18,2.3812397995816516e-37,1.5042482173539204e-34,2.1122953939919177e-52
7.618642112488673e-18,0.09977366400000001,0.80000000000000004,0.0,0.28934362559690391,0.099999999997603034,0.099999999999650438,3.6178590435550099e-104,3.5469096737479426e-42,8.9332285888989799e-35,4.7761081022866483e-57,3.619434154399895e-40,2.4358169591393297e-37,4.0030137178174366e-23,4.6515471416481046e-88,3.9428084027687085e-23,1.305602671862297e-56,8.2481223255270251e-47,1.1278819633602568e-57,4.9063010442490059e-83,1.6404973791318564e-36,1.2742546964055131e-68,2.3969563542163143e-12,6.9915705695574232e-13,1.5844879885943284e-17,1.0963904494616295e-25,1.5844880378357395e-17,1.9049922543260186e-36,6.0561206009984336e-34,3.3796796925018388e-51
1.5237290683385762e-17,0.09977366400000001,0.80000000000000004,0.0,0.28934362559380777,0.099999999995206063,0.099999999999300856,4.2402284574023816e-102,5.6750445609469818e-41,3.5733101631261998e-34,3.8670009730478589e-56,2.8955500190428257e-39,9.8691492395486876e-37,8.1264415662691301e-23,1.5471213800171334e-86,7.8856201593917996e-23,1.0741262499293465e-55,1.3197001195166604e-45,9.1319554675010451e-57,7.9418057338165086e-82,1.2162241191915992e-35,2.094840102245133e-67,4.7939147385573166e-12,1.3983147065713395e-12,3.1689772217981593e-17,4.3855614381768986e-25,3.1689774187639539e-17,1.5239910756702631e-35,2.4537458636298276e-33,5.4074929168375736e-50
3.0474587825179946e-17,0.09977366400000001,0.80000000000000004,0.0,0.2893436255876155,0.09999999999041212,0.099999999998601694,5.248139768291715e-100,9.0800291968268918e-40,1.4293376842066849e-33,3.1673805991375865e-55,2.3164408916475508e-38,4.0483611419393174e-36,1.6734529589420476e-22,5.3393122370766717e-85,1.5771243707112352e-22,9.0761229968303686e-55,2.1115183471147825e-44,7.4797960439251722e-56,1.300039155585999e-80,9.345088465009761e-35,3.5343254229462634e-66,9.5878315018329769e-12,2.7966300057322481e-12,6.3379553924694937e-17,1.7542226145788235e-24,6.3379561803331295e-17,1.21918713960291e-34,1.00653552984352e-32,8.651992223247096e-49
6.094918210876831e-17,0.09977366400000001,0.80000000000000004,0.0,0.28934362557523091,0.09999999998082422,0.099999999997203382,6.7837013769256566e-98,1.4527906261268112e-38,5.7174569622812888e-33,2.6519508313859844e-54,1.8531527410092906e-37,1.6999048678793152e-35,3.5395634670749405e-22,1.9747266541862828e-83,3.1542490940450944e-22,8.062095954475436e-54,3.3784205775410616e-43,6.2626042929085809e-55,2.1739823458268755e-79,7.3221745269786404e-34,6.2601816051130833e-65,1.9175665006758929e-11,5.5932606037729237e-12,1.2675910550867122e-16,7.0168714269374752e-24,1.2675913702323591e-16,9.7534001570377331e-34,4.2264377375594016e-32,1.3843187935800219e-47
1.2189837067594505e-16,0.09977366400000001,0.80000000000000004,0.0,0.28934362555046172,0.09999999996164842,0.099999999994406757,1.653774917738146e-95,2.3244195990461274e-37,2.2870672200369853e-32,2.3104342361985062e-53,1.4825216872856512e-36,7.4441011001645757e-35,7.8497558813830614e-22,8.7432355738322933e-82,6.3084985958718085e-22,7.860066310362049e-53,5.4054421791501162e-42,5.4561099682070241e-54,3.7789150605788072e-78,5.7961581071137359e-33,1.2143479519092419e-63,3.8351331930109334e-11,1.1186521798729708e-11,2.5351816135884354e-16,2.8067326766176726e-23,2.5351828741724419e-16,7.8025628233066531e-33,1.8508111724850347e-31,2.2149093107556797e-46
2.4379674781029847e-16,0.09977366400000001,0.80000000000000004,0.0,0.28934362550092335,0.099999999923296834,0.099999999988813495,2.4563107781949696e-93,3.7189257095283015e-36,9.1489432706642465e-32,2.1505447128021825e-52,1.1860163210635694e-35,3.493225141190416e-34,1.878202457440635e-21,4.6951588157148335e-80,1.2616997820161216e-21,8.8680371623538168e-52,8.6486077954408453e-41,5.0785295080591497e-53,7.0080091191504439e-77,4.6122570747853679e-32,2.7203257284448128e-62,7.6702665430804204e-11,2.2373044184145008e-11,5.0703608378824039e-16,1.1226802216920832e-22,5.0703658802289307e-16,6.2417977187399629e-32,8.6851317442969934e-31,3.543851764399898e-45
4.875935020790053e-16,0.09977366400000001,0.80000000000000004,0.0,0.2893436254018466,0.099999999846593662,0.099999999977626972,4.0143792525178187e-91,5.9498148085701155e-35,3.6601166025812127e-31,2.2039508428086178e-51,9.4881132285834259e-35,1.809757265407412e-33,4.989408359603038e-21,3.4273865072763329e-78,2.5233997151283945e-21,1.2297197291430077e-50,1.3837452051418679e-39,5.2046485356104489e-52,1.4290459861139676e-75,3.6798790135293856e-31,7.4797323061751217e-61,1.5340533104817021e-10,4.4746088936982549e-11,1.0140711715646239e-15,4.4906178307796645e-22,1.0140731885114867e-15,4.9930338021980304e-31,4.4995608582839219e-30,5.6701522347933475e-44
