Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),CH3X(21),HOX(22),HX(19),CH2X(27),CHX(28),CX(26),OCX(25),H2X(49),H2OX(23),COX(50)
0.0,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996532,0.022821567693054285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.114244592107898e-24,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996532,0.022821567693054285,0.0,8.3677173495322542e-66,7.8554517967149819e-42,2.2183113025188619e-93,3.7875379447731215e-57,1.0405596546606933e-142,7.2341660732120292e-25,-7.8175306066064536e-118,7.2341660732107995e-25,1.2127364198099348e-79,3.6666688272233732e-72,4.7284250079869945e-121,2.8571331319771855e-122,8.0050411517245098e-56,7.730191523759357e-95,2.8689670379046562e-18,1.3794248471136902e-19,5.3170486719243188e-23,6.2640575035204041e-38,5.3170486719249688e-23,3.2284890368628919e-36,2.8311869812480749e-45,1.3426356109119142e-52,4.188167210042567e-83,5.3574613648160551e-58,2.2548814827669725e-54,4.1854962866455091e-111
1.9919884857902116e-23,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996532,0.022821567693054285,0.0,1.8718310327787892e-64,4.7446928852931074e-41,2.4796952777219747e-91,5.7237273421372567e-56,3.7978031170058594e-140,2.0255665004997652e-24,1.5089319972535777e-116,2.0255665004990235e-24,3.4201107416889459e-78,1.1528593509674418e-70,9.561321197959396e-119,5.7773925850616587e-120,9.5035848532069205e-55,4.0013697622111589e-93,8.0331077061330364e-18,3.8623895719183324e-19,1.4887736281387026e-22,3.7834907312045137e-37,1.4887736281390962e-22,1.9500073766139211e-35,3.3611851796364944e-44,1.6129241437968893e-51,2.577654416366391e-81,6.3603781324044384e-57,2.6769952957348797e-53,8.4634681319490531e-109
4.5531165389490546e-23,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996531,0.022821567693054285,0.0,3.6984281110860976e-63,2.2843653826006043e-40,2.299092443828454e-89,6.1573246860526714e-55,1.4090467281685588e-137,4.6298662868584793e-24,1.5932859153188686e-114,4.629866286854911e-24,7.4394879088056702e-77,2.5719657923865919e-69,1.7737821634677311e-116,1.0718012402846499e-117,9.3306759598767905e-54,1.7471546357822945e-91,1.8361389042589783e-17,8.8283190215276172e-19,3.4029111500308176e-22,1.8215879206410189e-36,3.402911150032713e-22,9.388446094428315e-35,3.3000315313889753e-43,1.623712222132663e-50,1.1927403454691947e-79,6.2446569671235305e-56,2.628289854434368e-52,1.5701123832834805e-106
9.67537264526674e-23,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.1186699660299653,0.022821567693054285,0.0,6.5811596422109876e-62,9.9764237830255355e-40,1.8245387375888021e-87,5.659642200106822e-54,4.4789210756296452e-135,9.8384658595822664e-24,1.2593598261144157e-112,9.8384658595666793e-24,1.3791556788094169e-75,4.8170072793653966e-68,2.817876873914653e-114,1.702691565308394e-115,8.2528772119779705e-53,6.5042186451208092e-90,3.9017951715503193e-17,1.8760177920746187e-18,7.2311861938133427e-22,7.9553530151828631e-36,7.2311861938216201e-22,4.1001810512212665e-34,2.9188405008845772e-42,1.5075495322443887e-49,4.724053601414836e-78,5.523328369288031e-55,2.3246926095279255e-51,2.4943217185222935e-104
1.9919884857902113e-22,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999992,0.11866996602996525,0.022821567693054285,0.0,1.1100091244218321e-60,4.1649605436960417e-39,1.3850831151453466e-85,4.84194305812976e-53,1.3606496421462731e-132,2.0255665005055275e-23,8.9258964618491965e-111,2.0255665004990203e-23,2.3704162360720883e-74,8.3201821532778163e-67,4.2795824155567852e-112,2.5859216736772543e-113,6.9370405563817641e-52,2.240801941252868e-88,8.0331077061329741e-17,3.8623895719183326e-18,1.4887736281371571e-21,3.3212032755072726e-35,1.4887736281406123e-21,1.7117448643095606e-33,2.4534612857939807e-41,1.3872912814127717e-48,1.7920741940029523e-76,4.6426903004876629e-54,1.9540442077038475e-50,3.7881908411149798e-102
4.0408909283172856e-22,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999981,0.11866996602996517,0.022821567693054282,0.0,1.8231936047181712e-59,1.7015222818881532e-38,1.0798308943980487e-83,4.003412154450862e-52,4.2420446268324356e-130,4.1090063296103026e-23,6.0067191282748816e-109,4.1090063295837164e-23,3.9287910731797318e-73,1.3824107030954647e-65,6.6717077676955688e-110,4.0313544737930285e-111,5.6874049444163721e-51,7.4364046559364085e-87,1.6295732775298161e-16,7.8351331316057558e-18,3.0200836456460725e-21,1.3568199006050377e-34,3.0200836456601886e-21,6.9930361983756081e-33,2.0114957471895804e-40,1.3343470109768092e-47,6.9880839687652778e-75,3.80635800885871e-53,1.6020434935537048e-49,5.9056468143885083e-100
8.138695813371434e-22,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999964,0.118669966029965,0.022821567693054278,0.0,2.9554756122223157e-58,6.8778251172162622e-38,9.0980784159233417e-82,3.2555082769985098e-51,1.428620281699301e-127,8.275885987860546e-23,3.9412281268799159e-107,8.2758859877530811e-23,6.3970177900294278e-72,2.2536783303738564e-64,1.1237051430487993e-107,6.7899463126763866e-109,4.6058079442172595e-50,2.4230441891422226e-85,3.2820982913628068e-16,1.5780620250980593e-17,6.0827036806529871e-21,5.4844829295338474e-34,6.0827036807100458e-21,2.8266969588186002e-32,1.6289613318351449e-39,1.3996060026613538e-46,2.9467502814890096e-73,3.0824874036659204e-52,1.2973763466577357e-48,9.9467871330528575e-98
1.6334305583479732e-21,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999931,0.11866996602996467,0.022821567693054271,0.0,4.7597024771610262e-57,2.765543232928938e-37,8.5274416495376967e-80,2.6256853642626005e-50,5.3512295678665635e-125,1.6609645304523809e-22,2.5538571723812938e-105,1.6609645304091695e-22,1.0324812503852755e-70,3.6396964649127807e-63,2.1051819493508829e-105,1.2720483218322133e-106,3.7071548722688493e-49,7.8238628574373736e-84,6.5871483190285983e-16,3.167159448973023e-17,1.2207943750623142e-20,2.2052864277025297e-33,1.2207943750852576e-20,1.1366023492582905e-31,1.3111296742917173e-38,1.6400729936702765e-45,1.3826407021842579e-71,2.481054035383653e-51,1.0442413365543322e-47,1.86346007698811e-95
3.2725525123696327e-21,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999864,0.11866996602996401,0.022821567693054254,0.0,7.6403765092475184e-56,1.1091065308112601e-36,8.8887358396461924e-78,2.1090932754338964e-49,2.2293717806177485e-122,3.3277163938501428e-22,1.6446125276877292e-103,3.3277163936768468e-22,1.6591696516338185e-69,5.8507055777845645e-62,4.3863758698628731e-103,2.6504512191425438e-104,2.9747582243007448e-48,2.5149108041885933e-82,1.3197248374359425e-15,6.3453542967229351e-17,2.4458423890388766e-20,8.8441846197368341e-33,2.4458423891308903e-20,4.5582832520368361e-31,1.0520987957580188e-37,2.1402365052416375e-44,7.213939753877736e-70,1.9908896161945294e-50,8.3793788219916793e-47,3.882722021494644e-93
