Time (s),Volume (m^3),N2,Ne,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(56),OX(20),CH3X(21),HOX(22),HX(19),CH2X(27),CHX(28),CX(26),OCX(25),H2X(57),H2OX(23)
7.821727116607723e-21,0.09977366400000001,0.80000000000000004,0.0,0.28934362559999688,0.099999999999997549,0.099999999999999659,7.8339857203444528e-123,3.9493795748654521e-54,9.4199265111352114e-41,5.111489956742985e-66,3.9189274420083067e-49,2.5353391334298034e-43,4.0479096147467844e-26,5.1082606221390018e-103,4.0479091810962563e-26,1.374010871162277e-65,1.2122376514759728e-60,1.2070826714651836e-66,5.3969876808424758e-95,2.5353750285139929e-43,1.3790134844381531e-80,2.4608504039593553e-15,7.1779401506281763e-16,1.6267246667794877e-20,1.1561231049505327e-31,1.6267246668180527e-20,2.4846327597736445e-31,1.3373918661931261e-37,5.0553530150071508e-44,5.3515673201043459e-68,3.739216352866593e-54,2.0636716301045472e-45
1.5650249825844992e-20,0.09977366400000001,0.80000000000000004,0.0,0.28934362559999371,0.099999999999995093,0.099999999999999298,5.0226288497221489e-121,6.32249842444134e-53,3.7704464110964452e-40,4.0923003292888915e-65,3.138320343566271e-48,1.0147964750445202e-42,8.0993369608222789e-26,1.6370910048587416e-101,8.0993352250900423e-26,1.100323461640489e-64,1.941836853609152e-59,9.6640017797364596e-66,8.6422127832228107e-94,1.0148252129292591e-42,2.2088189284664429e-79,4.9238388186934903e-15,1.436211656550513e-15,3.2548626477510307e-20,4.6275039211405345e-31,3.2548626479053922e-20,9.9450008246570129e-31,1.0707257458255086e-36,8.0533744008083987e-43,3.4113707197721474e-66,2.9936621760206201e-53,1.6521916209545787e-44
3.1307295244319526e-20,0.09977366400000001,0.80000000000000004,0.0,0.28934362559998733,0.099999999999990166,0.099999999999998576,3.2173782641948378e-119,1.0118786607260734e-51,1.508686415603547e-39,3.2750846646108823e-64,2.5119282521106872e-47,4.0605084798479545e-42,1.6202194258303856e-25,5.242614124330263e-100,1.6202187313114013e-25,8.807053649714763e-64,3.1087440309848561e-58,7.734139837498457e-65,1.3833171387903064e-92,4.0607384701323453e-42,3.5360310952828836e-78,9.8498156481560506e-15,2.8730469395258297e-15,6.5111386096113908e-20,1.8516031744385931e-30,6.5111386102290366e-20,3.9792914413935566e-30,8.5690450968388255e-36,1.2857194920746176e-41,2.1789025468907338e-64,2.3958643694158532e-52,1.3222546571086365e-43
6.262138608126859e-20,0.09977366400000001,0.80000000000000004,0.0,0.28934362559997462,0.099999999999980313,0.099999999999997133,2.0601165530929693e-117,1.619227632438947e-50,6.0358619036058979e-39,2.6205675851254236e-63,2.0100515167682252e-46,1.6244683933086726e-41,3.2407919274589364e-25,1.6782666235099667e-98,3.240789148930756e-25,7.0474372889957598e-63,4.9754304714306274e-57,6.1884890787051637e-64,2.2137596045481671e-91,1.6246524202655971e-41,5.6591927055654111e-77,1.9701769307058337e-14,5.7467175054761668e-15,1.3023690533001221e-19,7.4076091533150919e-30,1.3023690535472208e-19,1.5919722640552882e-29,6.8565139723248124e-35,2.0548882145552644e-40,1.393092620915479e-62,1.917095188195787e-51,1.0580033830985816e-42
1.2524956775516673e-19,0.09977366400000001,0.80000000000000004,0.0,0.28934362559994919,0.099999999999960607,0.09999999999999426,1.3188867683546962e-115,2.5909372350357985e-49,2.4146483422578285e-38,2.0966719008589952e-62,1.6082448041488168e-45,6.4984071958335775e-41,6.4819410992449784e-25,5.3714754658045574e-97,6.4819299842277038e-25,5.6386797474407209e-62,7.9618265486552997e-56,4.9512647440893863e-63,3.5424056254764344e-90,6.4998795478512342e-41,9.0559616438657571e-76,3.9405676624771572e-14,1.1494058637375651e-14,2.6048794378457302e-19,2.9632774271239486e-29,2.6048794388342103e-19,6.3683798945433884e-29,5.4856935350147784e-34,3.2859934803588341e-39,8.9112486190149414e-61,1.5338852643664459e-50,8.4648109059124721e-42
2.5050593110296305e-19,0.09977366400000001,0.80000000000000004,0.0,0.28934362559989829,0.099999999999921194,0.099999999999988515,8.4441797971904625e-114,4.1456238995355201e-48,9.6598430842987687e-38,1.6776412615143122e-61,1.2866772843397046e-44,2.5994724723787097e-40,1.2964256116932817e-24,1.7190446192444955e-95,1.2964211655054561e-24,4.5112551121502404e-61,1.2739786669167331e-54,3.9612052736474945e-62,5.6688502588928927e-89,2.600650404428253e-40,1.4490601440257143e-74,7.8813491259832724e-14,2.2988740901169876e-14,5.2099002064075159e-19,1.1853532917725382e-28,5.2099002103616254e-19,2.5474336705393814e-28,4.3887016125517667e-33,5.2560737177806841e-38,5.7016861340808451e-59,1.2272680529941536e-49,6.7721384795389454e-41
5.010186577985556e-19,0.09977366400000001,0.80000000000000004,0.0,0.28934362559979648,0.099999999999842382,0.099999999999977024,5.4159016725207656e-112,6.6330525848696925e-47,3.8647011954354578e-37,1.3449873062035303e-60,1.0293744044837095e-43,1.039813200744697e-39,2.5928952848771493e-24,5.5012756421956532e-94,2.5928774997640107e-24,3.6091595473620971e-60,2.0384202472484891e-53,3.1690481336893434e-61,9.0884715767626943e-88,1.0407555599792394e-39,2.3186004862721922e-73,1.5762912052849368e-13,4.5978105428739323e-14,1.041994174141337e-18,4.7414623395996164e-28,1.0419941757230345e-18,1.0189766445931988e-27,3.5109461376146118e-32,8.4083340043931481e-37,3.648520082628318e-57,9.8200028488659486e-49,5.4177886114919523e-40
1.0020441111897407e-18,0.09977366400000001,0.80000000000000004,0.0,0.28934362559959287,0.099999999999684744,0.099999999999954028,3.5656708352055201e-110,1.0612783250708099e-45,1.5464444613460375e-36,1.1123404416997111e-59,8.2351255396574523e-43,4.1593195678022212e-39,5.1858613098300629e-24,1.7604978771626988e-92,5.1857901686538537e-24,2.8874393073452119e-59,3.2614686763708924e-52,2.5352825075214444e-60,1.50040068226788e-86,4.1668583907849968e-39,3.7099057143128543e-72,3.1526037905997034e-13,9.1956834483802217e-14,2.0840024802954192e-18,1.8965663945950392e-27,2.0840024866224515e-18,4.0758076051361276e-27,2.8086326684988996e-31,1.3451679501930175e-35,2.3347781783851654e-55,7.858696028465671e-48,4.3342010989508913e-39
2.0040950179721112e-18,0.09977366400000001,0.80000000000000004,0.0,0.28934362559918564,0.099999999999369482,0.099999999999908051,3.2795027453551517e-108,1.6979910563136937e-44,6.1901949674716782e-36,1.3548698949907638e-58,6.5881525436412587e-42,1.6637558528115343e-38,1.037190007407643e-23,5.6339697289723792e-91,1.0371615507924485e-23,2.3100752913630969e-58,5.2181957983163808e-51,2.0282603011409916e-59,3.583720417481425e-85,1.6697867224121701e-38,5.9361619910308026e-71,6.3052289609954239e-13,1.8391429259362405e-13,4.16801908921523e-18,7.586001503507397e-27,4.1680191145249154e-18,1.6302189958386159e-26,2.2466673756824148e-30,2.1519610828801353e-34,1.4940475676572183e-53,6.291154588238711e-47,3.4672514940301328e-38
4.008196831536852e-18,0.09977366400000001,0.80000000000000004,0.0,0.28934362559837118,0.099999999998738959,0.099999999999816097,1.23047070905667e-105,2.7165944797690558e-43,2.4795921441917557e-35,7.0342676243993523e-57,5.2705428637626647e-41,6.655196844171114e-38,2.0744404459929925e-23,1.8030797120015254e-89,2.0743266192429502e-23,1.8482364568342225e-57,8.3485065236745497e-50,1.622648670683122e-58,3.6012609079736738e-83,6.7034403513198218e-38,9.4987395469801234e-70,1.2610479300851617e-12,3.678292088120518e-13,8.3360522935014362e-18,3.0341662160666132e-26,8.3360523947518443e-18,6.5199940298105721e-26,1.7969359836280923e-29,3.4423310010644611e-33,9.559662497391001e-52,5.0395941151272097e-46,2.7736015101943582e-37
8.016400458666333e-18,0.09977366400000001,0.80000000000000004,0.0,0.28934362559674226,0.099999999997477898,0.099999999999632189,1.1274426115869717e-102,4.3459253589893805e-42,9.9464332903929609e-35,8.1757128595266775e-55,4.2164425969723014e-40,2.6622073294614577e-37,4.1491120661068846e-23,5.771144777893205e-88,4.1486567585294573e-23,1.4788623563374472e-56,1.3355578274322132e-48,1.2981778471851521e-57,8.323977137529512e-81,2.7007964451820076e-37,1.5200703873153947e-68,2.5220979976823005e-12,7.3565904124404399e-13,1.6672118647860193e-17,1.2134743909115923e-25,1.6672119052953602e-17,2.6072823748972418e-25,1.4369060365526846e-28,5.505291242156964e-32,6.115460110517099e-50,4.0423261361658694e-45,2.2185519074632807e-36
1.6032807712925297e-17,0.09977366400000001,0.80000000000000004,0.0,0.28934362559348448,0.099999999994955777,0.099999999999264358,1.1540915944000879e-99,6.9514675891498017e-41,4.0010002516239911e-34,1.0389853218144965e-52,3.3731573590161337e-39,1.0649837743060477e-36,8.2991382780985387e-23,1.8475837520216224e-86,8.2973170466444846e-23,1.183523498112697e-55,2.1362352411846246e-47,1.0386342239671158e-56,2.1148249353903653e-78,1.0958458981429815e-36,2.4329755147796941e-67,5.0441981313801802e-12,1.4713187060885743e-12,3.3344251139723096e-17,4.8523522303535035e-25,3.3344252760827591e-17,1.0423392132901312e-24,1.1484948829665287e-27,8.8007842600760215e-31,3.910457451189892e-48,3.2508824026224221e-44,1.7743109242414884e-35
3.2065622221443226e-17,0.09977366400000001,0.80000000000000004,0.0,0.28934362558696891,0.099999999989911548,0.099999999998528696,1.1983363084397235e-96,1.1115903072447184e-39,1.6183125244431339e-33,1.3270580907599646e-50,2.6985271342692525e-38,4.2607377755527536e-36,1.6601922589066116e-22,5.9174878633181568e-85,1.6594637661042601e-22,9.4751122883772538e-55,3.4158691115603521e-46,8.3105356879946565e-56,5.4022620740842219e-76,4.5074879186056011e-36,3.8955161126251236e-66,1.0088398392790346e-11,2.9426380356998193e-12,6.6688515256030465e-17,1.9397038791559341e-24,6.6688521746286447e-17,4.1647700588501288e-24,9.171502082253952e-27,1.4056811473747366e-29,2.4983166594511688e-46,2.6278968827321353e-43,1.4185989316725267e-34
6.413125123847907e-17,0.09977366400000001,0.80000000000000004,0.0,0.28934362557393772,0.099999999979823076,0.099999999997057373,1.2618908657073619e-93,1.7764848536610303e-38,6.616106157045233e-33,1.6926927456336266e-48,2.1588221014067095e-37,1.704936440491651e-35,3.3218418758368653e-22,1.8969363998959407e-83,3.3189279042511078e-22,7.5911647996322646e-54,5.4586544874907409e-45,6.6507638870253805e-55,1.3781488504790333e-73,1.9021018945315352e-35,6.2416390880415558e-65,2.01767988916683e-11,5.8852766946110547e-12,1.3337704001897188e-16,7.7489333663921383e-24,1.3337706602664061e-16,1.6622490800538415e-23,7.3109696611907449e-26,2.241305382171104e-28,1.5933475976014889e-44,2.1456925303167389e-42,1.1335211691800546e-33
1.2826250927255076e-16,0.09977366400000001,0.80000000000000004,0.0,0.2893436255478754,0.099999999959646146,0.099999999994114741,2.339735227364105e-90,2.8358066915548842e-37,2.7600270797439556e-32,2.1516601389219558e-46,1.727057670991786e-36,6.8248747789716581e-35,6.6495121281885937e-22,6.094144974533282e-82,6.6378562416137139e-22,6.0906571959340879e-53,8.7123633169462926e-44,5.3243461690105313e-54,3.5037050108110165e-71,8.3984563384333553e-35,1.001483309923108e-63,4.0353599793654703e-11,1.1770554011188584e-11,2.6675407566616395e-16,3.0916950248699956e-23,2.6675418006923554e-16,6.6199025399568825e-23,5.8071306695082901e-25,3.5613755640488747e-27,1.0126628028677183e-42,1.7855424468963972e-41,9.0465140548460255e-33
2.565250253406942e-16,0.09977366400000001,0.80000000000000004,0.0,0.28934362549575071,0.099999999919292273,0.099999999988229463,2.8053121361073108e-87,4.5164110881795581e-36,1.1937743715848914e-31,2.7163542216237765e-44,1.3816458643719216e-35,2.7340527995616322e-34,1.332233670321099e-21,1.9647018676237e-80,1.327571316061468e-21,4.9009049976839507e-52,1.3871509662439813e-42,4.2654524377016891e-53,8.846715360868811e-69,3.9869716155437443e-34,1.6114065117247029e-62,8.0707201214549498e-11,2.354110863936424e-11,5.3350809144580643e-16,1.23041986721187e-22,5.3350851202503823e-16,2.6249687088357162e-22,4.5801039973662412e-24,5.6203293272418989e-26,6.3918105617718017e-41,1.5375173239529527e-40,7.2027993835512562e-32
5.13050057476981e-16,0.09977366400000001,0.80000000000000004,0.0,0.28934362539150132,0.099999999838584541,0.099999999976458906,3.662587598988126e-84,7.1603365665439394e-35,5.4760188383949978e-31,3.3831414651188463e-42,1.1053161531404259e-34,1.0969033641181209e-33,2.6737922105364035e-21,6.3807242041968942e-79,2.6551427975720428e-21,3.9661950940384212e-51,2.1978964091980466e-41,3.4219225144370017e-52,2.2037853584176561e-66,2.0898533998909294e-33,2.6071969550913736e-61,1.614144025240271e-10,4.7082217875801146e-11,1.0670159009462938e-15,4.8723173009713503e-22,1.0670176068023107e-15,1.0320341816653354e-21,3.5623216089661502e-23,8.750816994684746e-25,3.9799754806777034e-39,1.4005043701622444e-39,5.7079286683739161e-31
7.695750896132677e-16,0.09977366400000001,0.80000000000000004,0.0,0.28934362528725194,0.099999999757876809,0.099999999964688349,2.4993589683201056e-83,2.6239264803432462e-34,1.2645854638935917e-30,2.1928516718673346e-41,3.2814063923350945e-34,2.335740425427824e-33,4.0223443730458476e-21,3.0668028622583028e-78,3.9827143767930853e-21,1.1850238168407006e-50,8.3425458767521619e-41,9.8002635880021954e-52,1.6430724791795391e-65,5.159702645048755e-33,9.9155489366521567e-61,2.4212160230119271e-10,7.0623327092367936e-11,1.600523488388153e-15,1.028201291408078e-21,1.6005271476640623e-15,2.1672241509619882e-21,1.0022796428470709e-22,3.1790430336726764e-24,2.1993630639989454e-38,4.2796492638278637e-39,1.6232832420518394e-30
1.0261001217495545e-15,0.09977366400000001,0.80000000000000004,0.0,0.28934362518300255,0.099999999677169077,0.099999999952917792,2.2448242404162495e-82,6.6285393009153807e-34,2.3130984275447792e-30,9.1216889487787809e-41,7.1500096241621057e-34,3.9920704203045831e-33,5.3778901549326251e-21,1.0220379747993694e-77,5.3102860537246849e-21,2.5985066182653089e-50,2.2340077577112737e-40,2.0701640494483151e-51,7.5611068728655943e-65,9.9196786369963877e-33,2.5941219242020345e-60,3.2282880054604637e-10,9.4164436289025878e-11,2.1340308537715546e-15,1.7428463075887871e-21,2.1340371496665386e-15,3.6571159038460867e-21,2.083448342030761e-22,7.9683095344670968e-24,8.2171585026637488e-38,9.5459957106289423e-39,3.4072235458718534e-30
1.539150186022128e-15,0.09977366400000001,0.80000000000000004,0.0,0.28934362497450378,0.099999999515753613,0.099999999929376679,1.0522057173601861e-80,2.3026515559505554e-33,5.3159420488612023e-30,7.5301984861480494e-40,2.075425893229356e-33,8.2912424214725705e-33,8.1053953061560674e-21,6.0716526790712437e-77,7.9654296369088674e-21,7.633153487390446e-50,8.9436118366327341e-40,5.6679280024033828e-51,7.1818795911814278e-64,2.4351131472525654e-32,9.6122925760576015e-60,4.8424319343951151e-10,1.4124665463556833e-10,3.2010450633812771e-15,3.5703249878562445e-21,3.2010582819915124e-15,7.4366697727194603e-21,5.5545117232377989e-22,2.7319877042979513e-23,5.8496347398683873e-37,2.8390716318577937e-38,9.2308105095222085e-30
2.0522002502947015e-15,0.09977366400000001,0.80000000000000004,0.0,0.28934362476600511,0.099999999354338148,0.099999999905835565,7.4007924274213283e-80,5.7222300174500019e-33,9.8750802393262974e-30,3.1223794642006941e-39,4.5387198813879395e-33,1.4143577946947586e-32,1.0858618465923279e-20,2.0413602588565106e-76,1.0620573579410398e-20,1.6863262191012457e-49,2.4053284949984754e-39,1.1884568356794039e-50,3.3149791379467875e-63,4.7506915382141492e-32,2.5121808293667784e-59,6.4565758069811955e-10,1.8832887290892235e-10,4.2680584564042581e-15,6.0114647591874499e-21,4.268081232740425e-15,1.2434295579936431e-20,1.137509507126629e-21,6.716003028011376e-23,2.1271108147502182e-36,6.3631859232085054e-38,1.9175448248977971e-29
3.0783003788398486e-15,0.09977366400000001,0.80000000000000004,0.0,0.28934362434900762,0.099999999031507261,0.099999999858753352,1.0803502462864624e-77,2.6005410761418568e-32,2.5629537044349294e-29,5.7750811363952435e-38,1.509791063892224e-32,3.1037456819167421e-32,1.6449513615256404e-20,1.7444243361164613e-75,1.5930862644290297e-20,5.7686726985489807e-49,1.1781990889907833e-38,3.7757575994326443e-50,1.0430938951705316e-61,1.3428778917169795e-31,1.2750280803757154e-58,9.6848633671243483e-10,2.8249330921541524e-10,6.4020825610718123e-15,1.2791029289737723e-20,6.4021336938350488e-15,2.6038673348755478e-20,3.3835348433302127e-21,2.9429866374256646e-22,2.3845341316016694e-35,2.3726587272791441e-37,5.9334429602679853e-29
4.104400507384996e-15,0.09977366400000001,0.80000000000000004,0.0,0.28934362393201024,0.099999998708676416,0.099999999811671139,1.0514813093218346e-76,7.43361739739034e-32,5.1525577324627351e-29,3.157165205166951e-37,3.5123601145679074e-32,5.4862042503744139e-32,2.2151729339289662e-20,6.9106950027910399e-75,2.1241153264492009e-20,1.3740383529542231e-48,3.4737991506565048e-38,8.6332563453803737e-50,6.8419502858593829e-61,2.8568814462570244e-31,3.8760458363394358e-58,1.2913150683361734e-09,3.7665774520539438e-10,8.5361031311455351e-15,2.1959358046839791e-20,8.5361953730624695e-15,4.4043890730556703e-20,7.3101488373280929e-21,8.1811798721252459e-22,1.0662584334413628e-34,6.079726328844613e-37,1.3263165617576774e-28
6.1566007644752905e-15,0.09977366400000001,0.80000000000000004,0.0,0.28934362309801542,0.099999998063014753,0.099999999717506699,1.4061255082796198e-74,3.6369476771541078e-31,1.433225471182304e-28,5.8350512340896215e-36,1.195951383412429e-31,1.2410554172252602e-31,3.3891660080350259e-20,6.119903697808365e-74,3.1861739192397313e-20,4.9381822295253753e-48,1.7180285926242093e-37,2.9189638083521598e-49,2.1101587466235691e-59,8.6419216982739444e-31,2.1327021518572852e-57,1.9369724580748351e-09,5.6498661623223364e-10,1.2804133618716615e-14,4.6689870048603973e-20,1.2804350700328703e-14,9.0902162284699381e-20,2.1677636675893531e-20,3.7260818534701319e-21,1.2041261994642019e-33,2.5297356180133633e-36,4.2512514385569667e-28
1.026100127865588e-14,0.09977366400000001,0.80000000000000004,0.0,0.28934362143002612,0.099999996771691732,0.099999999529177833,4.5162637947685591e-72,2.7727334383418985e-30,5.3060156272915094e-28,2.2940897311600819e-34,5.6881211842838495e-31,3.5355797039360513e-31,5.8713854444952165e-20,1.0339137006795191e-72,5.3102929803311875e-20,2.6177579202134167e-47,1.2819287507769807e-36,1.4106015587087653e-48,1.6137551442465655e-57,3.5518880578325647e-30,1.9972394520182619e-56,3.2282869434420485e-09,9.4164435447676311e-10,2.1340151973057073e-14,1.1748675366351768e-19,2.1340812162729597e-14,2.1686677290379762e-19,8.012994920072889e-20,2.4485527288492606e-20,2.4695427607057299e-32,1.6172121174357556e-35,1.8360035596402515e-27
1.846980230701706e-14,0.09977366400000001,0.80000000000000004,0.0,0.28934361809404868,0.09999999418904687,0.099999999152520114,2.3390249160433049e-69,2.7055288926659614e-29,2.3317373458950543e-27,1.2036900288403568e-32,3.4176274080217662e-30,1.2133451640214534e-30,1.1372896825051547e-19,2.8385122163410909e-71,9.5585386068884901e-20,1.9144418347782545e-46,1.2026622605028793e-35,8.9104107370518769e-48,1.6858605215371175e-55,1.7555546881260386e-29,2.7736772899567438e-55,5.8109147374202497e-09,1.6949598157499009e-09,3.8412018155602151e-14,3.1968542722255686e-19,3.841447583036022e-14,5.4381010420156313e-19,3.1136524549444054e-19,1.8437516907923992e-19,6.5335278842371436e-31,1.341655825442763e-34,9.3683641793824121e-27
3.488740436373941e-14,0.09977366400000001,0.80000000000000004,0.0,0.28934361142209869,0.099999989023761837,0.099999998399204662,1.2763006064431453e-66,2.8260328566106888e-28,1.0750139005561214e-26,6.3122134601365267e-31,2.3529940533252359e-29,4.8310606724631726e-30,2.4524232198483708e-19,1.1464146127310215e-69,1.8055059881421969e-19,1.8208671351693716e-45,1.2040382437017129e-34,6.785937265259951e-47,1.7680311668415972e-53,9.1345764682393096e-29,5.1417902195504771e-54,1.0976165618218848e-08,3.2015906775409521e-09,7.2555068419487603e-14,8.5635910103468568e-19,7.2565381882845041e-14,1.3177246193854162e-18,1.0856684371592348e-18,1.3031690743224852e-18,1.7132013781670262e-29,1.2167873466597e-33,4.9456222132427117e-26
