Time (s),Volume (m^3),N2,Ar,He,Ne,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(28),OX(20),CH3X(22)
0.0,0.06564596693807057,0.80000000000000004,0.0,0.0,0.0,0.19037330412040465,0.10000000000000001,0.10000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9.657652713537752e-24,0.06564596693807057,0.80000000000000004,0.0,0.0,0.0,0.19037330412040465,0.10000000000000001,0.10000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4808957094297782e-18,3.0847443670348756e-19,0.0
2.704142759790571e-23,0.06564596693807057,0.80000000000000004,0.0,0.0,0.0,0.19037330412040465,0.10000000000000001,0.10000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.946507986402822e-18,8.6372842276976523e-19,0.0
6.180897736664162e-23,0.06564596693807057,0.80000000000000004,0.0,0.0,0.0,0.19037330412040465,0.099999999999999992,0.10000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5877732540346679e-17,1.9742363949023205e-18,0.0
1.3134407690411344e-22,0.06564596693807057,0.80000000000000004,0.0,0.0,0.0,0.19037330412040462,0.099999999999999978,0.10000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3740181648225464e-17,4.1952523391674304e-18,0.0
2.7041427597905705e-22,0.06564596693807057,0.80000000000000004,0.0,0.0,0.0,0.1903733041204046,0.099999999999999936,0.10000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.9465079863947325e-17,8.6372842276976494e-18,0.0
5.485546741289443e-22,0.06564596693807057,0.80000000000000004,0.0,0.0,0.0,0.19037330412040451,0.099999999999999867,0.10000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4091487629524826e-16,1.752134800475808e-17,0.0
1.1048354704287187e-21,0.06564596693807057,0.80000000000000004,0.0,0.0,0.0,0.19037330412040435,0.099999999999999728,0.099999999999999992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8381446915727883e-16,3.5289475558878904e-17,0.0
2.2173970630282677e-21,0.06564596693807057,0.80000000000000004,0.0,0.0,0.0,0.19037330412040401,0.099999999999999437,0.099999999999999978,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.6961365487905513e-16,7.0825730667120416e-17,0.0
4.4425202482273655e-21,0.06564596693807057,0.80000000000000004,0.0,0.0,0.0,0.19037330412040337,0.099999999999998868,0.099999999999999936,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1412120263134675e-15,1.4189824088360295e-16,0.0
8.892766618625563e-21,0.06564596693807057,0.80000000000000004,0.0,0.0,0.0,0.1903733041204021,0.09999999999999773,0.099999999999999867,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2844087691457329e-15,2.8404326131656599e-16,0.0
1.7793259359421954e-20,0.06564596693807057,0.80000000000000004,0.0,0.0,0.0,0.19037330412039952,0.09999999999999544,0.099999999999999728,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5708022546640238e-15,5.6833330218248408e-16,0.0
3.5594244841014737e-20,0.06564596693807057,0.80000000000000004,0.0,0.0,0.0,0.19037330412039438,0.09999999999999086,0.09999999999999945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.1435892251156495e-15,1.1369133839142875e-15,0.0
7.11962158042003e-20,0.06564596693807057,0.80000000000000004,0.0,0.0,0.0,0.19037330412038411,0.099999999999981715,0.099999999999998881,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8289163163679079e-14,2.2740735473777664e-15,0.0
1.4240015773057143e-19,0.06564596693807057,0.80000000000000004,0.0,0.0,0.0,0.19037330412036355,0.099999999999963424,0.099999999999997743,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6580311031446647e-14,4.5483938743042056e-15,0.0
2.8480804158331374e-19,0.06564596693807057,0.80000000000000004,0.0,0.0,0.0,0.19037330412032241,0.099999999999926842,0.099999999999995468,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.3162606729544622e-14,9.0970345281550147e-15,0.0
5.696238092887983e-19,0.06564596693807057,0.80000000000000004,0.0,0.0,0.0,0.19037330412024014,0.099999999999853678,0.099999999999990916,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4632719797599188e-13,1.8194315835848359e-14,0.0
1.1392553446997673e-18,0.06564596693807057,0.80000000000000004,0.0,0.0,0.0,0.19037330412007561,0.099999999999707351,0.099999999999981812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9265637986989168e-13,3.6388878451201942e-14,0.0
