Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),HX(19),HOX(22),CH3X(21),CH2X(27),CHX(28),CX(26),OCX(25),H2X(49),CH3OO(77),C2H4(47),COX(50),CHOX(53),CO2X(24)
9.17015497023764e-20,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679995436,0.11866996602992032,0.022821567693053633,3.7338767610208542e-91,7.8346753338105331e-56,4.18848139489647e-28,3.4352054933836254e-65,3.2390328012145663e-42,6.2419540989458411e-101,8.0933889684763733e-16,1.404442892688618e-82,8.0933889684531048e-16,3.6269689736158173e-56,6.5601711152365537e-58,5.6431783868261787e-85,6.5432524470368853e-86,1.6644386084176245e-43,1.2781603911089356e-65,4.4200219004781168e-14,1.308689926337634e-15,5.2391246617406657e-18,1.2703144349070775e-29,5.2391245600214547e-18,5.0096492549363391e-26,8.9590240831448869e-31,1.3389772566868879e-35,1.8373989612070758e-58,2.5149129429273379e-40,4.7043416564654048e-29,1.5676142743075059e-74,9.9381681300023797e-79,4.5208380962280476e-82,2.0958194690668353e-82
1.834080748021649e-19,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679990884,0.1186699660298753,0.022821567693052977,1.214733885998816e-88,1.2534775047773886e-54,1.6754607718010329e-27,2.7929855949925104e-63,2.5913902640845463e-41,2.0281508460143056e-98,1.6187217055248129e-15,8.9893017343945336e-81,1.6187217055155049e-15,5.8035439298978756e-55,1.0495773710323346e-56,9.1707577514081683e-83,1.0633472629968355e-83,1.3314596772817922e-42,4.0903998861796755e-64,8.8402836154696092e-14,2.6174508574996657e-15,1.0478533681405384e-17,5.0808328736234589e-29,1.0478533274508398e-17,2.0039053889238307e-25,7.1674103666541433e-30,1.3658520581811945e-34,7.4786395552219556e-57,2.0120259117002932e-39,1.8818132176401645e-28,1.0033445780909125e-72,1.6150567121717766e-76,7.3560485152131122e-80,3.4101781734549121e-80
3.668211250017419e-19,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767998178,0.11866996602978526,0.022821567693051669,4.4347030517152415e-86,2.0051610740792014e-53,6.7019797502540479e-27,2.5482455188187365e-61,2.0731778211180966e-40,7.3942566543729173e-96,3.2374873228845955e-15,5.7534306296887617e-79,3.2374873228473632e-15,9.2859851457824684e-54,1.6789808367149079e-55,1.6723043222022505e-80,1.9390330239753997e-81,1.0649460253109895e-41,1.3089738229401618e-62,1.7680807045354202e-13,5.2349727198224497e-15,2.0957352026158234e-17,2.0318693579720772e-28,2.095735039850848e-17,8.0154978138460606e-25,5.7338257549924823e-29,1.5640813323239503e-33,3.4162805849923432e-55,1.6096590054743012e-38,7.5274058843192323e-28,6.4216338983788037e-71,2.9450851593504591e-74,1.3432245327725264e-77,6.2269623649135757e-78
7.336472254008958e-19,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679963573,0.1186699660296052,0.022821567693049053,1.8135333817977869e-83,3.2068274509366575e-52,2.6808194192827009e-26,2.604461636374232e-59,1.6585684989998425e-39,3.0202702694290886e-93,6.4750185576258895e-15,3.682284403180827e-77,6.4750185574769573e-15,1.4857828089036539e-52,2.6851262972502798e-54,3.4163700424698166e-78,3.9612731778490927e-79,8.5157199309467955e-41,4.1887895846496089e-61,3.5361853904729811e-13,1.0470016444462899e-14,4.1914989937508332e-17,8.1235217570926946e-28,4.1914983426613506e-17,3.2060023026434344e-24,4.5867332521105241e-28,2.0053957415392691e-32,1.7478994071321324e-53,1.2877425984603867e-37,3.0109928774914307e-27,4.1099188140036804e-69,6.0165485988871858e-72,2.7473708141022192e-75,1.2736062718465989e-75
1.4672994261992038e-18,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679927157,0.11866996602924505,0.022821567693043818,8.1141466181500706e-81,5.1262399051494578e-51,1.0723334206014202e-25,2.9127309008303612e-57,1.3268652925456465e-38,1.3502430530956361e-90,1.2950081027195387e-14,2.3566904234636943e-75,1.295008102659966e-14,2.3772726316699009e-51,4.2921128237875368e-53,7.6382358519905327e-76,8.8565166302715665e-77,6.806305821813937e-40,1.3404243873095319e-59,7.0723947621906775e-13,2.0940103893723315e-14,8.38302706487916e-17,3.246199022510422e-27,8.3830244603243595e-17,1.2822239288159727e-23,3.6687976300652747e-27,2.810627062127888e-31,9.7822372550610805e-52,1.0302003699012974e-36,1.2044031923681008e-26,2.6303713958279459e-67,1.3451649621752458e-69,6.1477410143431326e-73,2.8497977666463016e-73
2.93460382779582e-18,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679854321,0.11866996602852478,0.022821567693033347,3.8535091337977347e-78,8.1869446470749869e-50,4.2893461798713408e-25,3.4580958450807161e-55,1.0614964256684975e-37,6.4097111082631303e-88,2.590020596668203e-14,1.5082909466996638e-73,2.5900205964299105e-14,3.8036522847849571e-50,6.8542372525439655e-52,1.8132023229674585e-73,2.1024037597878666e-74,5.4349910226297662e-39,4.2893766888658127e-58,1.4144813504996363e-12,4.1880278792162264e-14,1.6766085163533076e-16,1.2959091012835109e-26,1.6766074743818852e-16,5.1274412236039506e-23,2.9340700132563587e-26,4.1776630960416515e-30,5.8099461554156508e-50,8.2416302582122351e-36,4.8176243449749832e-26,1.68344511129713e-65,3.1932187116108e-67,1.4601392501217076e-70,6.7678994392868577e-71
5.869212630989052e-18,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679708649,0.11866996602708423,0.022821567693012405,1.8948161977379033e-75,1.3051170656331624e-48,1.7157419238863013e-24,4.2514679213937616e-53,8.4919880803504537e-37,3.15141444753769e-85,5.1800455847045901e-14,9.653090920454407e-72,5.1800455837514177e-14,6.0858564001019726e-49,1.0924875647907998e-50,4.4577420643659168e-71,5.168740783877064e-72,4.3319738237928649e-38,1.3726034584601852e-56,2.8289650988088896e-12,8.3760628588712721e-14,3.3532209194125802e-16,5.1631663807468616e-26,3.3532167503485329e-16,2.0498060074718171e-22,2.3456978815722444e-25,6.4258065296198984e-29,3.5724862945510663e-48,6.5933185381200907e-35,1.9270516472792298e-25,1.07740717378348e-63,7.8504972723509008e-65,3.5907401939971806e-68,1.6640482138487702e-68
1.1738430237375515e-17,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767941731,0.11866996602420313,0.022821567692970526,9.4896604138963812e-73,2.0730031131307369e-47,6.8629822047452151e-24,5.3249230828019664e-51,6.7935969877960177e-36,1.5786682688145681e-82,1.0360095561333594e-13,6.177987193501639e-70,1.0360095557520904e-13,9.7373800681377042e-48,1.734709902014149e-49,1.1165718104982432e-68,1.2946619808319477e-69,3.4402135104949592e-37,4.3923353141549646e-55,5.6579325944198648e-12,1.6752132818050497e-13,6.7064488649987395e-16,2.0490665259986206e-25,6.7064321793557507e-16,8.1898595253475199e-22,1.8740651728846373e-24,1.0065004620868128e-27,2.2375904063059779e-46,5.274666012343879e-34,7.7082071611890465e-25,6.8954123690077763e-62,1.9663850164592642e-62,8.9951626324883498e-66,4.1671160149439197e-66
2.3476865450148443e-17,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727678834631,0.11866996601844092,0.022821567692886766,4.7926004384985949e-70,3.2692269634306469e-46,2.7452018453085213e-23,6.7282389312173348e-49,5.4348799652581388e-35,7.9784077104331296e-80,2.072019551681652e-13,3.9539143891786653e-68,2.0720195501565761e-13,1.5579814795106194e-46,2.7339722652391406e-48,2.8215619886831682e-66,3.2715922315620496e-67,2.7124341696686362e-36,1.405547710136846e-53,1.1315867581611683e-11,3.350427273588632e-13,1.3412917363112184e-15,8.0694669074313604e-25,1.3412850545689331e-15,3.2684730012705843e-21,1.4952743847866625e-23,1.5900622025646759e-26,1.4137389403642114e-44,4.2197459698724325e-33,3.0832803816878186e-24,4.4130648157665933e-60,4.9690209089091001e-60,2.273093658624371e-63,1.0522850338200968e-63
4.69537358756943e-17,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727677669269,0.11866996600691651,0.022821567692719244,2.4248197547420997e-67,5.0847079809621858e-45,1.0980873440728234e-22,8.5234883206521964e-47,4.3479045471992059e-34,4.0428334041585677e-77,4.1440395436681503e-13,2.5305056574059905e-66,4.1440395375679033e-13,2.4927705256896349e-45,4.2468717960983698e-47,7.1487706586334844e-64,8.2889708179022409e-65,2.1089640200698299e-35,4.4977516002842388e-52,2.2631737539874796e-11,6.7008552569473404e-13,2.682590517782211e-15,3.1306259871564374e-24,2.6825637311819717e-15,1.3014499341750614e-20,1.1898955162257611e-22,2.5181865888492279e-25,8.9549708338259751e-43,3.3758158395499704e-32,1.2333095783632328e-23,2.8243602767513819e-58,1.2589580383458115e-57,5.7586062714215983e-61,2.6620315460635319e-61
