Time (s),Volume (m^3),N2,Ne,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(56),OX(20),CH3X(21),HOX(22),HX(19),CH2X(27),CHX(28),CX(26),OCX(25),H2X(57),COX(58),CHOX(61)
7.946882697360115e-21,0.09977366400000001,0.80000000000000004,0.0,0.28934362559999682,0.099999999999997508,0.099999999999999645,8.6167396821145552e-123,2.1648684109862162e-57,9.7317508242102807e-41,5.3608037472881468e-66,4.1100740771351982e-49,2.6171240727306216e-43,4.1126799256054199e-26,5.5302358978184715e-103,4.1126798406757912e-26,1.4410283380311869e-65,2.8238958455798204e-65,1.2659583340707502e-66,5.2122036964466242e-91,2.6171240770685189e-43,1.4694168302839001e-80,2.5002265106504496e-15,7.2927944858363544e-16,1.6527539140933122e-20,1.1901552361623569e-31,1.6527539143518445e-20,1.3517362647488681e-30,3.8960555011138524e-36,1.5609325869869699e-42,2.0835716093585909e-66,3.9245924935048987e-54,3.8232969661332183e-81,8.2557257817714314e-60
1.590066972373618e-20,0.09977366400000001,0.80000000000000004,0.0,0.2893436255999936,0.09999999999999501,0.099999999999999284,5.5244191935431554e-121,1.733213449532047e-56,3.8984431076168093e-40,4.2919026768481113e-65,3.2913926780010417e-48,1.0475316898607637e-42,8.228933157568653e-26,1.7723248900562963e-101,8.2289328176288078e-26,1.1539916244012647e-64,4.5115494873508437e-64,1.0135364412021073e-65,1.6698721523186332e-89,1.0475316933248767e-42,2.3536210819103207e-79,5.0026252424202669e-15,1.4591925022485521e-15,3.3069437566226223e-20,4.7507276130525611e-31,3.3069437576575556e-20,5.4104521873407828e-30,3.1192037907434535e-35,2.4353864861045193e-41,1.1255877876181765e-64,3.144474594758388e-53,6.1222566377218799e-80,6.6096002677147237e-59
3.1808243776488313e-20,0.09977366400000001,0.80000000000000004,0.0,0.28934362559998716,0.09999999999999,0.099999999999998548,3.5387374799083583e-119,1.387101311172135e-55,1.5624511418879003e-39,3.4348267728998941e-64,2.6344481600059195e-47,4.1914913811151858e-42,1.6461440131774588e-25,5.6756841089350439e-100,1.6461438771572413e-25,9.2366138414611806e-64,7.1847268245437969e-63,8.1113721471830363e-65,5.3467400522664971e-88,4.1914914086981168e-42,3.7678393027209617e-78,1.0007422705954008e-14,2.9190186095783086e-15,6.6153234409400157e-20,1.8905895580064996e-30,6.6153234450821397e-20,2.1648731365848422e-29,2.4962956907066864e-34,3.8468592654630923e-40,6.8272836583873793e-63,2.5203996307408937e-52,9.7995983279747876e-79,5.2896886986499885e-58
6.362339188199258e-20,0.09977366400000001,0.80000000000000004,0.0,0.28934362559997423,0.099999999999979994,0.099999999999997091,2.265788633919406e-117,1.109897773807985e-54,6.2713538101120155e-39,2.7483849967046765e-63,2.1080922644982511e-46,1.6768696047603501e-41,3.2926456121304318e-25,1.8168994651659231e-98,3.2926450679609924e-25,7.3911682616566454e-63,1.1379228531837566e-61,6.4903305563184371e-64,1.7114607152731989e-86,1.6768696266093202e-41,6.0301832762612544e-77,2.0017017632997919e-14,5.8386708242375152e-15,1.3232082806609897e-19,7.4822571359817513e-30,1.3232082823189321e-19,8.6608023533454672e-29,1.997391292334875e-33,6.115090294726614e-39,4.2952288258594585e-61,2.022886574931572e-51,1.5682556900229196e-77,4.2325541547242349e-57
1.2725368809300112e-19,0.09977366400000001,0.80000000000000004,0.0,0.28934362559994836,0.099999999999959968,0.099999999999994177,1.4504342738488724e-115,8.8801180073062842e-54,2.5251719632331261e-38,2.1989364932807371e-62,1.6866873308522443e-45,6.7080252753805172e-41,6.5856496264835257e-25,5.8151747385657028e-97,6.5856474496286119e-25,5.9136926049579274e-62,1.7837535298868053e-60,5.1927581582976473e-63,5.4774797270142214e-85,6.7080254467449249e-41,9.6496168413383706e-76,4.0036207486991454e-14,1.1677975253554701e-14,2.6465601526090034e-19,2.9299989803133629e-29,2.6465601592477056e-19,3.464522991410457e-28,1.5980254998504535e-32,9.7520542988658408e-38,2.7325535713436987e-59,1.6283578447023129e-50,2.5094855377034788e-76,3.386364044907819e-56
2.5451428051501817e-19,0.09977366400000001,0.80000000000000004,0.0,0.28934362559989663,0.099999999999919931,0.099999999999988334,9.2848884012240037e-114,7.1045713752741052e-53,1.0232505930289832e-37,1.7594814048375654e-61,1.3494352753391788e-44,2.6833200555756588e-40,1.3171660920978293e-24,1.8610360628600722e-95,1.3171652213204328e-24,4.73126854664856e-61,2.7418806451682955e-59,4.1544048627063697e-62,1.7529217911042373e-83,2.6833201874671552e-40,1.5440481418182942e-74,8.0074587194601415e-14,2.3356584112184175e-14,5.2932638917611808e-19,1.1244069537677731e-28,5.2932639183653502e-19,1.3858016670719664e-27,1.278418279196478e-31,1.5577056477135896e-36,1.7447129138453396e-57,1.3185797596847011e-49,4.0159152709546462e-75,2.7092185847868952e-55
5.090354653590522e-19,0.09977366400000001,0.80000000000000004,0.0,0.28934362559979321,0.099999999999839856,0.099999999999976649,5.9537605339866162e-112,5.6839912370455738e-52,4.1981998580020554e-37,1.4107934531402941e-60,1.0795823819648842e-43,1.0733504679181727e-39,2.6343696573122097e-24,5.9556337044851089e-94,2.6343661741317657e-24,3.7851586198894149e-60,4.0653290552006276e-58,3.3236045710798416e-61,5.6095511396427298e-82,1.0733505659610929e-39,2.4705759534221853e-73,1.6015134660831286e-13,4.671380182942356e-14,1.0586671351090139e-18,4.1571276409537268e-28,1.0586671457854686e-18,5.5428081369755207e-27,1.0226584104040479e-30,2.4900530202766129e-35,1.1154083382111148e-55,1.0802169068564755e-48,6.439268418567132e-74,2.1674242944158317e-54
1.0180778350471205e-18,0.09977366400000001,0.80000000000000004,0.0,0.28934362559958632,0.099999999999679706,0.099999999999953293,3.9241144415240655e-110,4.5475046910532824e-51,1.7633675357808408e-36,1.1692538618028107e-59,8.636795646784778e-43,4.2934504131529578e-39,5.2687820130026433e-24,1.9058729497763253e-92,5.2687680801391897e-24,3.0282131998229124e-59,5.6649344211480954e-57,2.6589180806602921e-60,1.7950861633231008e-80,4.2934510996613266e-39,3.9530370383392105e-72,3.2030486542970196e-13,9.34282372638242e-14,2.117348619384648e-18,1.4414986272334555e-27,2.1173486623163601e-18,2.21673686168032e-26,8.1797569451749401e-30,3.9816963303321997e-34,7.1340423400215277e-54,9.04699032044782e-48,1.0651878392271156e-72,1.733956783523161e-53
2.036162574423257e-18,0.09977366400000001,0.80000000000000004,0.0,0.28934362559917259,0.099999999999359393,0.09999999999990658,3.6740247143631878e-108,3.6383105894623117e-50,7.7257262816658227e-36,1.4548421227492457e-58,6.9094910618009859e-42,1.7173927933686251e-38,1.0537627625429901e-23,6.0990288051451168e-91,1.0537571893693071e-23,2.4226511458283127e-58,7.1794371438489398e-56,2.1271516757453211e-59,5.7443087467782658e-79,1.7173932320422296e-38,6.3250680576237254e-71,6.4061190304834465e-13,1.8685710813231362e-13,4.2347115575752813e-18,4.5320412494212915e-27,4.2347117305696899e-18,8.8637226421202567e-26,6.5412737850602509e-29,6.366987946919662e-33,4.5630817437439057e-52,7.8855591726288332e-47,2.5969935980282689e-71,1.3871684894379438e-52
4.07233205317553e-18,0.09977366400000001,0.80000000000000004,0.0,0.28934362559834509,0.09999999999871878,0.099999999999813155,1.4245615910805569e-105,2.9109122251287504e-49,3.6275210156241722e-35,7.806790757193671e-57,5.5276145193211603e-41,6.8696197879077463e-38,2.1075402454467568e-23,1.9518056620319771e-89,2.1075179526956976e-23,1.9382268539458566e-57,8.0594327719342533e-55,1.7017337316812751e-58,1.8381769571805505e-77,6.8696222804971944e-38,1.0120648363309423e-69,1.2812259781890881e-12,3.7371484986804723e-13,8.4694373125140202e-18,1.2578314950075515e-26,8.4694380103046902e-18,3.5428848426166953e-25,5.2289257580160103e-28,1.0178397397268738e-31,2.9178635381832056e-50,7.3441122301102816e-46,2.6987834013341122e-69,1.1097298141209724e-51
