Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),CH3X(21),HOX(22),HX(19),CH2X(27),CHX(28),CX(26),OCX(25),H2X(49),COX(50),CHOX(53),CO2X(24)
6.649310165217266e-21,0.11640260799999998,0.8585084662769803,0.0,0.0,0.3375675631999972,0.11866996602996265,0.022821567693054223,2.5127273936386812e-103,7.8574906720319335e-63,4.5768265938871655e-36,1.5769454697008519e-75,1.7681285712496544e-48,1.6314642713812724e-119,6.7613944651346902e-22,1.1547304796845794e-101,6.7613944649623787e-22,2.8241264074066212e-68,1.0105653112723646e-64,1.5807287003681394e-100,9.5514940258230965e-102,1.0511668993598574e-50,8.6908009020022323e-81,2.6814725642086121e-15,1.2892758379774161e-16,4.9695656819073247e-20,3.6484628499757167e-32,4.9695656834690673e-20,7.8183231219114317e-30,1.5229918962822294e-35,7.805137753016399e-42,1.0878134697722588e-66,1.6681880492748396e-49,1.3992257584054359e-90,8.4989644986910605e-94,6.1091600357696395e-94
1.3304397315808308e-20,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999437,0.11866996602995997,0.022821567693054157,1.0408707226057865e-100,1.2582663730669026e-61,1.8319245786691852e-35,1.6319243027608516e-73,1.4159368719547181e-47,6.7476205770897601e-117,1.3528663295917494e-21,7.4016973630809188e-100,1.3528663295227804e-21,4.5235103052479604e-67,1.6182855539838159e-63,3.2698180294261756e-98,1.9757753004063718e-99,8.413216624381714e-50,2.7841777029896519e-79,5.3652748178718691e-15,2.5796718113483488e-16,9.9434489692748708e-20,1.4598692816143311e-31,9.9434489755259206e-20,3.1293606649118954e-29,1.2193169559959645e-34,1.0127002760619868e-40,5.6351282755685783e-65,1.3355655759607761e-48,2.894369909813426e-88,1.7608352708069186e-91,1.2656840652232489e-91
2.6614571616990393e-20,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319998876,0.1186699660299546,0.022821567693054028,4.6986668017331284e-98,2.0131479597086157e-60,7.3300939954264809e-35,1.8409889224578727e-71,1.1333233833783441e-46,3.0429878905187571e-114,2.7063200958515291e-21,4.7407447407681619e-98,2.7063200955755637e-21,7.241545167038748e-66,2.5891612300518251e-62,7.3744575696127592e-96,4.4559883312183729e-97,6.7291160146761324e-49,8.9143659603164829e-78,1.0732879325193394e-14,5.1604637580901131e-16,1.9891215539323663e-19,5.8376474163550987e-31,1.9891215564336095e-19,1.2521470043766728e-28,9.7581997006535431e-34,1.4312033642310045e-39,3.1810837050824059e-63,1.068859657760683e-47,6.5277051060834214e-86,3.9753094233589391e-89,2.8573255039362239e-89
5.3234920219354563e-20,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319997749,0.11866996602994385,0.022821567693053772,2.2439399801207163e-95,3.2179940401187694e-59,2.9325224971673717e-34,2.1976642209003532e-69,9.0688831629941484e-46,1.4524832093064502e-111,5.4132276287839655e-21,3.0352478564260004e-96,5.4132276276799224e-21,1.1589616095960741e-64,4.1387449625616906e-61,1.7602065395560734e-93,1.0635981807121052e-94,5.3779023137461115e-48,2.8533969187687991e-76,2.1468088339816485e-14,1.0322047651573231e-15,3.9786748660676052e-19,2.3324589168873188e-30,3.9786748760742774e-19,5.0093643232130819e-28,7.8079756395483326e-33,2.1385330256474796e-38,1.899628881291725e-61,8.5525218988963565e-47,1.5580954727578492e-83,9.4943652040584301e-87,6.8236871616671351e-87
1.0647561742408291e-19,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319995501,0.11866996602992239,0.022821567693053255,1.1073117229224069e-92,5.1368581388354802e-58,1.1731105412380207e-33,2.711297259209145e-67,7.2560250681588008e-45,7.1663678892061342e-109,1.0827042696300346e-20,1.9429335006204719e-94,1.0827042691883811e-20,1.8545901143169246e-63,6.6066339511387315e-60,4.3426021740097206e-91,2.6240009317429834e-92,4.2925041753143514e-47,9.1321500184133257e-75,4.2938506368982856e-14,2.0645215438537819e-15,7.9577814828400069e-19,9.3068366702083178e-30,7.957781522870506e-19,2.003877572834062e-27,6.2468668344851689e-32,3.3004649554928148e-37,1.172123657356991e-59,6.8427002455870755e-46,3.8439741733618455e-81,2.3431233723483762e-84,1.6837481513009869e-84
2.129570118335396e-19,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319990999,0.11866996602987945,0.022821567693052221,5.5614670830003034e-90,8.1792803001196488e-57,4.6926817008224028e-33,3.4052669039973714e-65,5.8051874716396994e-44,3.599884356245219e-106,2.1654672837939125e-20,1.2435974091676557e-92,2.1654672820272272e-20,2.9675454182960384e-62,1.0519518133762301e-58,1.0907436434870362e-88,6.5907767024839445e-90,3.417916094486472e-46,2.9224927922533602e-73,8.5879342426996336e-14,4.1291551012460416e-15,1.5915994686392512e-18,3.7040136388478895e-29,1.5915994846525408e-18,8.0155865659425887e-27,4.9975598684818013e-31,5.1836535824611263e-36,7.3617368568258248e-58,5.4744729827372938e-45,9.6550175304282099e-79,5.8863003158616511e-82,4.228458074298661e-82
4.2591980065245295e-19,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319981995,0.11866996602979356,0.022821567693050156,2.8183168098352211e-87,1.2960182221249666e-55,1.8771497406776259e-32,4.3168030034288049e-63,4.6442969159690519e-43,1.8253263112324834e-103,4.3309933147640775e-20,7.9594072898749832e-91,4.3309933076971923e-20,4.7482336309562058e-61,1.6668167127039641e-57,2.7653346870117998e-86,1.6709426476171604e-87,2.7087508111102365e-45,9.3523045431611676e-72,1.7176101454174625e-13,8.2584222160279301e-15,3.1832420973528317e-18,1.4667497326243702e-28,3.1832421614107808e-18,3.2060999584433649e-26,3.9978694529402921e-30,8.2157640811141384e-35,4.6665252125162663e-56,4.3797669880958919e-44,2.4478116517300293e-76,1.4924684294272539e-79,1.0714210660932026e-79
8.518453782902797e-19,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319963993,0.11866996602962179,0.022821567693046028,1.4339714929871923e-84,2.0340880189110143e-54,7.5089862565522659e-32,5.4981284871329352e-61,3.7154962568578094e-42,9.2993197543925007e-101,8.6620453872740439e-20,5.0941434431440792e-89,8.6620453590062156e-20,7.597302477613251e-60,2.6160041912852859e-56,7.044049249141699e-84,4.2563378861521366e-85,2.1270889890228178e-44,2.9927898319376993e-70,3.4352435876613789e-13,1.6516956445581201e-14,6.3665273067923077e-18,5.7512635852900455e-28,6.3665275630542812e-18,1.2822931351167318e-25,3.1978962448627267e-29,1.3081462954190547e-33,2.9718882165567834e-54,3.5039905871733699e-43,6.2352306211453163e-74,3.8018758276958639e-77,2.7257394883521626e-77
1.7036965335659331e-18,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319927989,0.11866996602927826,0.02282156769303777,7.3031521320130221e-82,3.1345768379664965e-53,3.0038584234715548e-31,7.0187068386652537e-59,2.9724204116547427e-41,4.7486247853306921e-98,1.7324149574572522e-19,3.2602910102919378e-87,1.7324149461500643e-19,1.215578656818672e-58,4.031176613486672e-55,1.7984192567629424e-81,1.0866868170166355e-82,1.6410867665215911e-43,9.5770110110680591e-69,6.870510471944885e-13,3.3034024904645744e-14,1.273309753372054e-17,2.2128316083519202e-27,1.2733098558989181e-17,5.1279199163450932e-25,2.5576327751204344e-28,2.0875199289290747e-32,1.8969352829971901e-52,2.8034256931043201e-42,1.591918258450447e-71,9.7067440160343664e-75,6.9410473173466565e-75
3.40739884411724e-18,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319855979,0.1186699660285912,0.022821567693021252,3.7133317533335331e-79,4.6692014048812017e-52,1.2017452017477952e-30,8.9683346008003061e-57,2.3779455579967501e-40,2.4272849476975518e-95,3.4648358118283652e-19,2.0865986869396589e-85,3.4648357665994995e-19,1.9449339532259417e-57,6.0043396996008828e-54,4.5959418720353434e-79,2.7770740747206536e-80,1.225321914027372e-42,3.0646567269865455e-67,1.3741044239694583e-12,6.6068161822607263e-14,2.5466237219774155e-17,8.2201154443771976e-27,2.5466241322512636e-17,2.0501509239898414e-24,2.0449940198834261e-27,3.3342990623921709e-31,1.2119381987039071e-50,2.2430935184457888e-41,4.0682132628428164e-69,2.4805996645518738e-72,1.7646029564495372e-72
