Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),CH3X(21),HOX(22),HX(19),H2OX(23),H2X(49),CH3OO(77),C2H6X(52),C2H4(47),CH2X(27),CHX(28),CX(26),OCX(25),COX(50)
2.191309573537714e-19,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319990738,0.11866996602987696,0.022821567693052162,0.0,1.5303900650762999e-48,4.9686205328132533e-33,4.0799069820457865e-65,6.3248706401709899e-44,4.5662323936880646e-106,2.2282483165233712e-20,1.4762184793834878e-92,2.228248182463088e-20,3.326936099087143e-62,2.0273913623512497e-53,1.3446259143415272e-88,8.1248489219922876e-90,8.9119492095579427e-43,3.3714149032101544e-73,8.8369114315168058e-14,4.2488655461859616e-15,1.6377423487201392e-18,3.9620351678773978e-29,1.6377423502575151e-18,2.5103376719306844e-41,5.9644367912902564e-45,2.4333058457682658e-33,1.8348289287888199e-56,8.5056054175247756e-86,1.1820048321174541e-28,1.0560524575868514e-34,1.1062854160810855e-39,1.6626425074484673e-61,1.1902323844030077e-78
4.382678591764507e-19,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319981474,0.11866996602978859,0.022821567693050038,0.0,2.4486764099897313e-47,1.9874886489685103e-32,5.220465973333569e-63,5.0600566440818907e-43,2.3370989363801614e-103,4.4565573479074694e-20,9.4482543998593531e-91,4.4565568116554261e-20,5.3232782537943443e-61,3.2439300881243578e-52,3.4410464828696017e-86,2.0792387311346092e-87,7.1296990431100621e-42,1.0788905701590067e-71,1.7674062585920669e-13,8.4978463533493059e-15,3.2755291224087956e-18,1.5848392721732252e-28,3.2755291285584266e-18,2.0083093592052451e-40,4.7716626924373954e-44,9.7334219073237331e-33,2.9358258302036057e-55,5.4437812742221382e-84,4.728111294593003e-28,8.4485246640594071e-34,1.769853515057957e-38,1.0637210935201928e-59,3.0459362504304602e-76
8.765416628218092e-19,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319962949,0.11866996602961184,0.022821567693045788,0.0,3.9179001792995951e-46,7.9500354693621547e-32,6.6784798233935841e-61,4.0481093591875254e-42,1.1959305754470683e-100,8.9131762150373663e-20,6.0470291428728935e-89,8.9131740700073806e-20,8.5173895846973662e-60,5.1903378008512569e-51,8.8041865979194495e-84,5.3198949367545535e-85,5.7037796398841405e-41,3.4525102994345874e-70,3.5348364894187526e-13,1.6995807967664848e-14,6.5511026612624669e-18,6.3393652661096427e-28,6.55110268586125e-18,1.6066530393051976e-39,3.8173754583899944e-43,3.8934087662071388e-32,4.6974009532829854e-54,3.4840820236589568e-82,1.8912603744631353e-27,6.7587470977044652e-33,2.8315566234284982e-37,6.8040173184763727e-58,7.7932656117445719e-74
1.7530892701125263e-18,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319925901,0.11866996602925835,0.022821567693037292,0.0,6.2685780770652656e-45,3.1800303633799438e-31,8.5395458363407699e-59,3.2385130893807639e-41,6.1168010614630688e-98,1.7826417166743955e-19,3.8701459383927259e-87,1.782640858658039e-19,1.3627938774970828e-58,8.3044731130172319e-50,2.2515273007906332e-81,1.3604764667600553e-82,4.5629751307308148e-40,1.1048129667546953e-68,7.069696950855776e-13,3.3991731196251339e-14,1.3102249704875245e-17,2.535713956403534e-27,1.3102249803270952e-17,1.2853084335624302e-38,3.053918488725986e-42,1.5573717456336211e-31,7.5159051881096626e-53,2.2298323234736792e-80,7.5650529172345187e-27,5.4067852205128973e-32,4.5301746876690365e-36,4.3500165187302107e-56,1.9930004456004791e-71
3.506184484693961e-18,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319851805,0.11866996602855136,0.022821567693020295,0.0,1.0029430213031054e-43,1.2720153811785671e-30,1.090825828717716e-56,2.5908206871823203e-40,3.1254139835428973e-95,3.5652911939944173e-19,2.4769091234379467e-85,3.5652877619202822e-19,2.1804794185610611e-57,1.3286760395636862e-48,5.7521415351271374e-79,3.4757087660345747e-80,3.6502698876238008e-39,3.5354169342592064e-67,1.4139417872864436e-12,6.7983577653245969e-14,2.6204543655722541e-17,1.0142521256627353e-26,2.6204544049306949e-17,1.0282151992306116e-37,2.4431420399977419e-41,6.2295053685510823e-31,1.2025499110924586e-51,1.4270990135941835e-78,3.0260072157439524e-26,4.325049788152613e-31,7.2475509762049311e-35,2.7782933965950805e-54,5.0916626262700477e-69
7.01237491385683e-18,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319703607,0.11866996602713739,0.022821567692986305,0.0,1.6046068843185817e-42,5.0880680019135621e-30,1.3905902358535513e-54,2.0726605957468736e-39,1.5937363037296087e-92,7.1305952965491588e-19,1.5852276267326843e-83,7.1305815682353351e-19,3.4887743753449723e-56,2.1257402879600785e-47,1.4665834048495728e-76,8.8617721674415373e-78,2.9200265843936093e-38,1.131335868398864e-65,2.8278859713420204e-12,1.3596727056652186e-13,5.2409131011904097e-17,4.0567253987815328e-26,5.240913258624835e-17,8.2251802743979176e-37,1.9545165319092444e-40,2.4918073507710762e-30,1.9240838839727156e-50,9.1334536949411289e-77,1.2103871083378732e-25,3.4594191608061657e-30,1.1593976625045562e-33,1.770862935459633e-52,1.2981849721738358e-66
1.4024755772182566e-17,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319407211,0.11866996602430945,0.022821567692918321,0.0,2.5670387171052938e-41,2.0352285006370075e-29,1.7656313035654558e-52,1.6581300305548304e-38,8.0944545596116312e-90,1.4261224093316585e-18,1.0145485013756269e-81,1.4261169180027702e-18,5.5820446338066533e-55,3.4007205652818312e-46,3.724298422997987e-74,2.2503925609937024e-75,2.3357132071410452e-37,3.6202785631109531e-64,5.6557743380685497e-12,2.7193465639022013e-13,1.0481830354221519e-16,1.6224606268162692e-25,1.0481830983963288e-16,6.5792636345696501e-36,1.5636143859717841e-39,9.9672520189387659e-30,3.078537311883053e-49,5.8454164637726229e-75,4.8414129804339648e-25,2.7665365861111845e-29,1.8543810610112502e-32,1.1241958787531523e-50,3.2966572335932612e-64
2.804951748883404e-17,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756318814418,0.11866996601865357,0.022821567692782353,0.0,4.1061941022285755e-40,8.1409166377377817e-29,2.2241820550151506e-50,1.3265045429157201e-37,4.0788549762313238e-87,2.8522564053476363e-18,6.4931318264866932e-80,2.8522344400261489e-18,8.9312752446341837e-54,5.4396597561381402e-45,9.3833599799811655e-72,5.6698579864107017e-73,1.8680757803505455e-36,1.1584896593581736e-62,1.1311551065983123e-11,5.4386942802620236e-13,2.0963663987463006e-16,6.4880007884067978e-25,2.0963666506460248e-16,5.2619966594447533e-35,1.2508919737214751e-38,3.9869150980652428e-29,4.9256617819742311e-48,3.741068099970539e-73,1.93645499175248e-24,2.2116303817581449e-28,2.9649295137735857e-31,7.0803538733024731e-49,8.3059003988061043e-62
5.6099040922137e-17,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756317628833,0.1186699660073418,0.022821567692510418,0.0,6.5664921332132605e-39,3.2563672104865366e-28,2.759295332112868e-48,1.0612036767431946e-36,2.0242586996336799e-84,5.7045573440241658e-18,4.1556270854191145e-78,5.7044694827325268e-18,1.4290041292449959e-52,8.6986738667130771e-44,2.3283210357877776e-69,1.40687868998235e-70,1.4936687458841158e-35,3.7071671881892967e-61,2.2623104499658304e-11,1.0877389712525111e-12,4.192732776266361e-16,2.5937268748994182e-24,4.1927337838889191e-16,4.2073339312418452e-34,1.0007137661796809e-37,1.5947767111766271e-28,7.8810592533320068e-47,2.3942835868749406e-71,7.7449348116348487e-24,1.7667500977250463e-27,4.7372549584212535e-30,4.391362192003352e-47,2.0609584826914994e-59
1.121980877887429e-16,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756315257663,0.11866996598471827,0.022821567691966547,0.0,1.0495461862166037e-37,1.3025470179502108e-27,3.3262236403014601e-46,8.4896269439390136e-36,9.762383851395417e-82,1.1409291007911302e-17,2.659653715500002e-76,1.1408939562783764e-17,2.2864059865871307e-51,1.3902593799280977e-42,5.6140626548207029e-67,3.3922747272741233e-68,1.1936696071225761e-34,1.1862931911925844e-59,4.524621127839284e-11,2.1754780575225166e-12,8.3854641347940152e-16,1.0363136230885873e-23,8.3854681654730745e-16,3.362250344360253e-33,8.0057108978149748e-37,6.3791906993954003e-28,1.2609691081644272e-45,1.5323408599615616e-69,3.0972652885467161e-23,1.4093288722623409e-26,7.5584752506772834e-29,2.6461817483573291e-45,4.9693514918461905e-57
