Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),HX(19),HOX(22),CH3OO(77),CH3X(21),H2X(49),C2H4(47),H2OX(23),CH2X(27),CHX(28),CX(26),OCX(25),C2H6X(52),COX(50),C2H4X(205),C2H4X(65),acetyl(43)
5.960520041959394e-21,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999694,0.1186699660299624,0.022821567693054243,0.0,2.1318415161559406e-54,1.7703068453947736e-30,1.4079940521291771e-73,8.8996681888093829e-46,1.0822876839434708e-111,5.2606331267888433e-17,1.0612393889520876e-89,5.2606331267802971e-17,6.4819307088924106e-61,5.3799165108411069e-59,1.5042988960782141e-94,1.7442306164139084e-95,1.0536550519271218e-44,1.4858583116304077e-71,2.8729753433063212e-15,8.5063693688536182e-17,3.4053848978460615e-19,5.3697869235537319e-32,1.9883410580699268e-31,3.4053848968127712e-19,6.9133358550418286e-44,1.1854352071321644e-81,1.0688886320337639e-45,1.0628953388367626e-29,6.2058512645905044e-37,5.0345978768285947e-43,2.9184790360589675e-68,8.3995043630283578e-60,2.6492111394728236e-88,1.0946090837723593e-95,1.3828782122752237e-85,7.5777732659908784e-104
1.1926218641731091e-20,0.16628943999999996,0.8585084662769803,0.0,0.0,0.452307276799994,0.11866996602995947,0.022821567693054202,0.0,3.4137239636152062e-53,7.08584093436606e-30,1.194894001350732e-71,7.1269524994812411e-45,3.6704077575605356e-109,1.0525836742843625e-16,6.8024295944658665e-88,1.0525836742809418e-16,1.0382354093664533e-59,8.6178835739058395e-58,2.5516105820577428e-92,2.9585857636303279e-93,8.4356468128288047e-44,4.7600832516893007e-70,5.7484467555454921e-15,1.702012915418738e-16,6.8137284275081638e-19,2.1493141008316064e-31,7.9585459940906027e-31,6.8137284233723073e-19,5.5348722881889306e-43,7.5954379203600025e-80,8.5576080593032899e-45,4.254351091135303e-29,4.9684528344227288e-36,5.3593828620313298e-42,1.239982973106654e-66,1.3453804495366768e-58,4.4936250308276389e-86,1.4027102349179178e-93,8.8605140235232199e-84,2.5726498538772559e-101
2.3857615841274486e-20,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679998806,0.11866996602995361,0.022821567693054115,0.0,5.4641812049701581e-52,2.8352593472700024e-29,1.140029350380363e-69,5.7044505898912366e-44,1.399376495024409e-106,2.1056243975000928e-16,4.356917171501923e-86,2.1056243974864049e-16,1.6620783655586088e-58,1.3796631988804198e-56,4.8657136503012545e-90,5.6417821886916104e-91,6.751080773161311e-43,1.5240810267187482e-68,1.1499389580019669e-14,3.4047648724854364e-16,1.3630415487673081e-18,8.6000554107989799e-31,3.1844550426304073e-30,1.3630415471124268e-18,4.429579991216455e-42,4.8638508463874539e-78,6.8486868031329899e-44,1.7022943917555146e-28,3.9762697200195142e-35,6.4157700668318278e-41,5.9230345723006118e-65,2.1537771863057003e-57,8.5689770914250546e-84,1.7965005505249067e-91,5.6739606494767277e-82,9.8170295280296257e-99
4.7720410240361274e-20,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679997623,0.1186699660299419,0.022821567693053945,0.0,8.7444677794131833e-51,1.1342883599093793e-28,1.2097498658080987e-67,4.5647161901203513e-43,5.9350926082919487e-104,4.2117058439506477e-16,2.7895033883713939e-84,4.2117058438958869e-16,2.6600469586676847e-57,2.2081025635076106e-55,1.0321073945891862e-87,1.196725811054481e-88,5.4018896357989013e-42,4.8784267191598474e-67,2.3001275228951366e-14,6.8102687866186157e-16,2.7263789611365794e-18,3.4405816831862506e-30,1.2739893734091292e-29,2.7263789545159768e-18,3.5443370010222874e-41,3.113751404679981e-76,5.4799892355817893e-43,6.8102844375779332e-28,3.1816158108154271e-34,8.5368466267057339e-40,3.1459929102722391e-63,3.4469785379853066e-56,1.8176377060281879e-81,2.3001810431048923e-89,3.6323689273906079e-80,4.1663110268710321e-96
9.544599903853484e-20,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679995253,0.11866996602991847,0.022821567693053605,0.0,1.3992568081325294e-49,4.5375227079372886e-28,1.3886950568456887e-65,3.6522352956155602e-42,2.7237371672405161e-101,8.4238687369281374e-16,1.7856266933883117e-82,8.4238687367090756e-16,4.256652474299978e-56,3.5334766169902648e-54,2.3687019018530323e-85,2.7465036278553689e-86,4.3219209096902168e-41,1.5613153718671615e-65,4.6005046526748137e-14,1.3621276614884109e-15,5.4530537872202707e-18,1.3763442951107027e-29,5.0963722184680612e-29,5.4530537607357041e-18,2.8357388327675502e-40,1.9930847379928646e-74,4.3844064357045477e-42,2.7243342065858184e-27,2.5455277679621822e-33,1.2275831705167496e-38,1.8069711286463161e-61,5.5159137988403983e-55,4.1715056899273989e-79,2.944654416673781e-87,2.325046632960578e-78,1.9127974530841235e-93
1.9089717663488197e-19,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679990512,0.11866996602987162,0.022821567693052925,0.0,2.2389235670718335e-48,1.8150829394648531e-27,1.6751473468231042e-63,2.9219731848566082e-41,1.3138114323339385e-98,1.6848194523188633e-15,1.1429113437100046e-80,1.684819452231235e-15,6.8111058614980786e-55,5.6539703132674844e-53,5.713396030605534e-83,6.6246676719246322e-84,3.4576990574363001e-40,4.9965593247915499e-64,9.2012589122075226e-14,2.7243292271411625e-15,1.0906403444768259e-17,5.5055981127853341e-29,2.0386318213728767e-28,1.0906403338825668e-17,2.2686987646976643e-39,1.2756650654994021e-72,3.5076897132211246e-41,1.0897770038492284e-26,2.0365083946326767e-32,1.8534609539340281e-37,1.0903148692024638e-59,8.8260606299036658e-54,1.0061824912721224e-76,3.7694281839384833e-85,1.4881350455410186e-76,9.2287090252468991e-91
3.8179953182757623e-19,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679981036,0.1186699660297779,0.022821567693051562,0.0,3.5823649573185076e-47,7.2604794730715261e-27,2.0784104578571935e-61,2.3376525289567549e-40,6.5192219998282518e-96,3.3696846096931685e-15,7.3149854460193918e-79,3.369684609342648e-15,1.0898138905263758e-53,9.0466712720105282e-52,1.4175952525222296e-80,1.6436979647178453e-81,2.7662220043751685e-39,1.5989550033683316e-62,1.8402767431166347e-13,5.4487323584452783e-15,2.1813102781386706e-17,2.2022815769386393e-28,8.1546930449428101e-28,2.1813102357607648e-17,1.815002092224699e-38,8.1645470653942308e-71,2.8062152572122817e-40,4.3591885260252434e-26,1.6292285928338105e-31,2.8769726615628849e-36,6.7655180698273013e-58,1.4122175862091444e-52,2.4965178083225648e-74,4.8250412034303232e-83,9.5243935974572493e-75,4.5799422600675295e-88
7.6360424221296485e-19,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679962085,0.11866996602959048,0.022821567693048838,0.0,5.7318444782157213e-46,2.904221332536061e-26,2.6176360962763186e-59,1.8701516151943555e-39,3.2839339530992314e-93,6.739414924930605e-15,4.6817035925182853e-77,6.7394149235285089e-15,1.7437317848346434e-52,1.4474905301980374e-50,3.5705407777553491e-78,4.1400326230229492e-79,2.2129992269122573e-38,5.1167456162381128e-61,3.6805784468657633e-13,1.0897538621047966e-14,4.3626501540713931e-17,8.8091961287225643e-28,3.2619102809839169e-27,4.362649984557982e-17,1.4520189060728048e-37,5.225403090213771e-69,2.2449938551830029e-39,1.7436866060193432e-25,1.3033714723127039e-30,4.5322350865918191e-35,4.2609008588766834e-56,2.2595864456086279e-51,6.2880559572354169e-72,6.176163497091254e-81,6.0957078759985193e-73,2.3072132351814672e-85
1.5272136629837419e-18,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679924182,0.11866996602921565,0.022821567693043388,0.0,9.1709699881891526e-45,1.1616944417038616e-25,3.3216186307637428e-57,1.4961331276954624e-38,1.6667689155394666e-90,1.3478875557360781e-14,2.9963264211219216e-75,1.3478875551752366e-14,2.789994495353662e-51,2.3159957482496025e-49,9.0613203503669708e-76,1.0506577005423223e-76,1.7704024625099527e-37,1.6373729167047902e-59,7.3611818541934759e-13,2.1795151146231147e-14,8.7253299403733098e-17,3.5236805410666366e-27,1.3047706536814127e-26,8.7253292623157075e-17,1.1616220176236182e-36,3.3442876763790021e-67,1.795997751070802e-38,6.9747295625385791e-25,1.0426603742244088e-29,7.1946245817412162e-34,2.7035720254384738e-54,3.6153689550733494e-50,1.5957830563238364e-69,7.9055600398493862e-79,3.9012717123956359e-71,1.1710703724978765e-82
3.054432504525296e-18,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767984837,0.11866996602846595,0.02282156769303249,0.0,1.4673472274281022e-43,4.6467895842338264e-25,4.2290322553033124e-55,1.196911234211358e-37,8.4882464441279695e-88,2.695779683004234e-14,1.917660457270456e-73,2.6957796807608628e-14,4.4640100768686808e-50,3.7055775923873015e-48,2.3073153596495782e-73,2.6753260311877468e-74,1.4163142930128957e-36,5.2396161327676052e-58,1.4722388668166713e-12,4.3590376196508762e-14,1.7450689650725757e-16,1.4094631347330153e-26,5.2190951265866248e-26,1.7450686938484412e-16,9.293003708976722e-36,2.1403535505406573e-65,1.4367896791181071e-37,2.7898570511580696e-24,8.3406199550831272e-29,1.1465154210181732e-32,1.7211181412894095e-52,5.7846148281062709e-49,4.0633969576392422e-67,1.0119161829070592e-76,2.4968044597836349e-69,5.963917580796833e-80
6.108870187608405e-18,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679696753,0.11866996602696658,0.022821567693010695,0.0,2.3477188632571239e-42,1.8587181971903495e-24,5.388200849141485e-53,9.5753087670819279e-37,4.3259240338239065e-85,5.3915639406690306e-14,1.2273063734313963e-71,5.3915639316955358e-14,7.1424311425427477e-49,5.9288338267508657e-47,5.8794742954059777e-71,6.8172346653412064e-72,1.1330341089782948e-35,1.6766807386973887e-56,2.9444802293384453e-12,8.718082629670898e-14,3.4901409622447052e-16,5.6377583808470247e-26,2.0876400964146146e-25,3.4901398773435603e-16,7.4344139893295537e-35,1.3698292079825805e-63,1.1494129934033178e-36,1.1159107456678708e-23,6.6714056276783795e-28,1.8305063885882244e-31,1.0964426750477584e-50,9.2554032808453453e-48,1.0354297712514807e-64,1.2952555131466879e-74,1.5979321089734202e-67,3.0394377121864942e-77
1.2217745553774621e-17,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679393518,0.11866996602396783,0.022821567692967105,0.0,3.7562237890716876e-41,7.4348775158425718e-24,6.8543442885717334e-51,7.6602545152452006e-36,2.2012280367368288e-82,1.0783132468512541e-13,7.8547723826740476e-70,1.0783132432618559e-13,1.1427901562370347e-47,9.4858128011375352e-46,1.4958681653439501e-68,1.734455039412833e-69,9.0639755088757457e-35,5.3653836269810106e-55,5.8889629532904995e-12,1.743617264956894e-13,6.9802851770130438e-16,2.2550237285279868e-25,8.3505608244633641e-25,6.980280837379876e-16,5.947535592222511e-34,8.7669152445421002e-62,9.1949835024871361e-36,4.463377892505031e-23,5.3353688072376123e-27,2.9249762078964946e-30,6.9738513368816877e-49,1.4808660752760032e-46,2.634360388788077e-62,1.6579286444877105e-72,1.0226440237628846e-65,1.5465895956643064e-74
2.4435496286107057e-17,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727678787047,0.11866996601797034,0.022821567692879925,0.0,6.0095464824030601e-40,2.9739519518209511e-23,8.67943193442025e-49,6.1282065235751399e-35,1.1149676266792194e-79,2.1566269574255241e-13,5.0270577967611509e-68,2.1566269430679312e-13,1.8284650986907559e-46,1.5176246509140438e-44,3.7884069149072301e-66,4.3926470157364627e-67,7.2506966054257682e-34,1.7169233091088052e-53,1.1777928396828632e-11,3.4872352688797014e-13,1.396057448838645e-15,9.0194493860467751e-25,3.3402214953457794e-24,1.3960557129641358e-15,4.758030221115001e-33,5.6108270336525963e-60,7.3554659565919514e-35,1.7851374179040762e-22,4.2654834952442218e-26,4.674658816450364e-29,4.4152186833023327e-47,2.3693869154956486e-45,6.6717216713426456e-60,2.1221491595275387e-70,6.5444945380422763e-64,7.8335904652455667e-72
4.887099775077193e-17,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727677574101,0.11866996600597535,0.022821567692705564,0.0,9.6139518382472566e-39,1.189580969880859e-22,1.0883835024615953e-46,4.9025662406055769e-34,5.5929148345425201e-77,4.3132543985963148e-13,3.2173177965080872e-66,4.3132543411659656e-13,2.9255445487687336e-45,2.4278601696509589e-43,9.501543964922644e-64,1.1017011014234629e-64,5.799780125946504e-33,5.4941535874813302e-52,2.355585926644099e-11,6.9744712764981127e-13,2.7921156639605043e-15,3.6072617158081957e-24,1.3360856934987025e-23,2.7921087202956593e-15,3.8064248550837972e-32,3.5909279397800049e-58,5.883536302389048e-34,7.138836927051493e-22,3.4078938038791065e-25,7.4680702109373461e-28,2.7680822895736406e-45,3.7910198761353203e-44,1.673302058868734e-57,2.7163499056395144e-68,4.1879262828820004e-62,3.929277524940304e-69
9.774200068010166e-17,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727675148213,0.11866996598198537,0.022821567692356839,0.0,1.5378087878325149e-37,4.7583242582404586e-22,1.338983834472235e-44,3.9220531726937273e-33,2.7525923518876516e-74,8.6265093610265779e-13,2.0590832736617085e-64,8.6265091313055698e-13,4.6808706687838004e-44,3.8834871775622235e-42,2.3380360117888101e-61,2.7109445235778414e-62,4.6385798413806709e-32,1.7581277850246975e-50,4.7111720935810078e-11,1.3948943290826164e-12,5.5842335064936842e-15,1.4424900783046292e-23,5.3443182628445406e-23,5.5842057305049539e-15,3.045140122138012e-31,2.2981911795328327e-56,4.7054899154709798e-33,2.8541648115806628e-21,2.7191490545354639e-24,1.1917038714986656e-26,1.7024526395711261e-43,6.0656319878484321e-43,4.1174571327836615e-55,3.4769238095221208e-66,2.6795676955956311e-60,1.9336074683437138e-66
1.9548400653876115e-16,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727670296433,0.11866996593400542,0.022821567691659394,0.0,2.4591395159692187e-36,1.9033297793723392e-21,1.5896983984393537e-42,3.1376422446602538e-32,1.3074877635033688e-71,1.7253019606239839e-12,1.3178127643392543e-62,1.7253018687358923e-12,7.4893896324693417e-43,6.2100991224394938e-41,5.5524543813756561e-59,6.438046349001373e-60,3.708874092307006e-31,5.6259990340649654e-49,9.4223443995125718e-11,2.7897887315847386e-12,1.1168474847981746e-14,5.7666454301574699e-23,2.1377074416392178e-22,1.116836373334322e-14,2.4361121398100461e-30,1.4708385896076054e-54,3.7622504808155731e-32,1.1405712868935961e-20,2.1639281983999838e-23,1.8969456225589454e-25,1.0103119770826206e-41,9.7050098476603052e-42,9.7781871026311447e-53,4.4504511220000484e-64,1.7140211141528102e-58,9.1827066288388638e-64
