Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(55),OX(20),CH3X(21),HOX(22),HX(19),H2OX(23),H2X(56),CH3OO(84)
0.0,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996532,0.022821567693054285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.669155158375245e-24,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996532,0.022821567693054285,1.4518251162944576e-133,1.2401471263088567e-63,1.1144967882993274e-43,1.6269634474021398e-70,3.1202041666622924e-57,6.1639391995183823e-47,1.4105190724314117e-26,-7.7206654260407115e-109,1.4105190722451572e-26,4.0866953639960968e-69,4.8919732346904545e-71,4.579448991068038e-71,3.193425127181651e-100,6.163939206113001e-47,3.4010003303865411e-86,2.6894754702805677e-18,1.2931237063348532e-19,4.9843974463619924e-23,5.5047778062115896e-38,4.9843974463621723e-23,1.8575897551355422e-54,7.1253914794653769e-60,7.0317670591727286e-44
1.8673634443450684e-23,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996532,0.022821567693054285,1.1202933021139246e-131,1.4790863925138268e-62,6.7315606013287763e-43,1.9315310049813477e-69,4.7152525366727277e-56,3.7230192769837898e-46,3.9494534034114209e-26,4.4662633953765857e-108,3.949453402286443e-26,6.1758140361935325e-68,1.5381146692744611e-69,5.4367218428307706e-70,7.1435642732993066e-99,3.7230192848129202e-46,9.5913650949225857e-85,7.530531316785592e-18,3.6207463777375891e-19,1.3956312849812992e-22,3.3248857941924072e-37,1.3956312849814085e-22,2.2053305568288683e-53,8.4592647644222319e-59,4.2471873042817306e-43
4.2682593013601564e-23,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996531,0.022821567693054285,1.2209504445334563e-129,1.4665450239449734e-61,3.2409566603756796e-42,1.8963885949910663e-68,5.0724535096732678e-55,1.7924735199319734e-45,9.0273220677853045e-26,2.6207340914514328e-106,9.0273220623690237e-26,6.6436589255041239e-67,3.4314492148877396e-68,5.3378057459567681e-69,1.4114479213957827e-97,1.7924735276186602e-45,2.086331410952633e-83,1.7212643009795624e-17,8.2759917205430603e-19,3.1900143656712657e-22,1.6007893849072397e-36,3.1900143656717909e-22,2.1652066171350403e-52,8.3053563084676925e-58,2.0448378616195311e-42
9.070051015390332e-23,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.1186699660299653,0.022821567693054285,9.9881327681843343e-128,1.3227040924887251e-60,1.4154109211414107e-41,1.6773342372018873e-67,4.6624586821712948e-54,7.8282027907459621e-45,1.9183059406188542e-25,1.032545074761667e-104,1.9183059382534212e-25,6.1066671613952955e-66,6.4267246076702878e-67,4.7212287359640145e-68,2.511596163985703e-96,7.828202858733834e-45,3.8677068258716004e-82,3.657686639581563e-17,1.7586482406154002e-18,6.7787805270502588e-22,6.9910678021181074e-36,6.7787805270525553e-22,1.9151007309075457e-51,7.3459935996755437e-57,8.9303441735410777e-42
1.8673634443450684e-22,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999992,0.11866996602996525,0.022821567693054285,7.1885317540979995e-126,1.1548141558204642e-59,5.9090619715743714e-41,1.4099004947672277e-66,3.9888315642180402e-53,3.2681205702064992e-44,3.949453412161688e-25,3.6483144183952609e-103,3.949453402286472e-25,5.2243823364091846e-65,1.1100568525310894e-65,3.9684772319732562e-67,4.2361740373425197e-95,3.2681206273544026e-44,6.6475998455760638e-81,7.530531316785539e-17,3.6207463777375891e-18,1.3956312849804496e-21,2.9186331822598344e-35,1.3956312849814078e-21,1.6097575548362628e-50,6.1747502498517121e-56,3.7282429023259199e-41
3.788080129957139e-22,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999986,0.11866996602996517,0.022821567693054282,4.8726209750596618e-124,1.0173053920114965e-58,2.4140446233374524e-40,1.1559216105545769e-65,3.2980430737305117e-52,1.335133891978981e-43,8.0117483706961029e-25,1.2256820682505775e-101,8.0117483303526234e-25,4.3196203659146951e-64,1.8443760558359246e-64,3.2535974066659547e-66,6.9579285904615178e-94,1.3351339388322849e-43,1.1017909282795086e-79,1.5276220671193384e-16,7.3449426519819622e-18,2.8311377495297961e-21,1.1923568829674475e-34,2.8311377495337108e-21,1.3197764960442097e-49,5.0624333175344088e-55,1.5231088784795318e-40
7.62951350118128e-22,0.11640260799999998,0.8585084662769803,0.0,0.0,0.3375675631999997,0.11866996602996502,0.022821567693054278,3.2083525563287704e-122,9.3805921780345212e-58,9.7579543400976968e-40,9.3609529331590418e-65,2.6819138550374224e-51,5.3968246843779117e-43,1.6136338349559924e-24,4.0179559937521066e-100,1.613633818648513e-24,3.5126435765078523e-63,3.0067984448354555e-63,2.6348475458155067e-65,1.1279102127027367e-92,5.3968250638081114e-43,1.7939809225463751e-78,3.0767599380008659e-16,1.4793335200470701e-17,5.7021506786224852e-21,4.8196971248939752e-34,5.7021506786383102e-21,1.0687892161323306e-48,4.0996897530017296e-54,6.1566496377243327e-40
1.5312380243629562e-21,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999937,0.11866996602996471,0.022821567693054271,2.0825692021663986e-120,9.388993391209096e-57,3.9236305231431193e-39,7.5345093662333052e-64,2.1630606830780615e-50,2.1700394883540576e-42,3.2385518554467532e-24,1.3012822274936028e-98,3.2385517898750955e-24,2.8330743525625129e-62,4.8559874467893971e-62,2.120754548633785e-64,1.816464640321601e-91,2.1700397937524878e-42,2.8954924950437766e-77,6.1750356797637547e-16,2.9690120297448138e-17,1.144417653678385e-20,1.9379789859450729e-33,1.1444176536847484e-20,8.6025453101754652e-48,3.2997869781879021e-53,2.475561762914252e-39
3.0678113728526126e-21,0.11640260799999998,0.8585084662769803,0.0,0.0,0.3375675631999987,0.11866996602996409,0.022821567693054257,1.3422707414505826e-118,1.0484924135003985e-55,1.5735513284704718e-38,6.0459693576782688e-63,1.7374879729163899e-49,8.7028290734811e-42,6.4883879953002595e-24,4.1891325538760175e-97,6.4883877323285838e-24,2.2756794756927769e-61,7.8058577608616479e-61,1.7017719924352257e-63,2.9158280798553391e-90,8.7028315241110997e-42,4.6529788791437124e-76,1.2371587163288867e-15,5.9483690491402876e-17,2.2928228253010523e-20,7.772162273881351e-33,2.2928228253265723e-20,6.903000638439674e-47,2.6478712367098933e-52,9.9281100639092392e-39
