Time (s),Volume (m^3),N2,Ne,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(56),OX(20),CH3X(21),HOX(22),HX(19),CH2X(27),CHX(28),CX(26),OCX(25),H2X(57)
7.6945360852849e-21,0.09977366400000001,0.80000000000000004,0.0,0.28934362559999693,0.099999999999997591,0.099999999999999659,7.0999791366750455e-123,1.9662142504541336e-57,9.1160570923575228e-41,4.8661652442774179e-66,3.7308394814986825e-49,2.4535539964288798e-43,3.9820855524666875e-26,4.7062169744093018e-103,3.9820851328048865e-26,1.3080655491175716e-65,5.5292150533285164e-62,1.149149033376306e-66,5.0544109325249029e-95,2.4535556607264722e-43,1.2914798428947054e-80,2.4208339093738985e-15,7.0612178977393751e-16,1.6002720962717649e-20,1.1188221172448655e-31,1.6002720963090855e-20,2.404483336956381e-31,1.2732040900431395e-37,4.7352693798252319e-44,4.8510408922576337e-68,3.5597532824728213e-54
1.539575725839368e-20,0.09977366400000001,0.80000000000000004,0.0,0.28934362559999383,0.099999999999995162,0.099999999999999312,4.5519868185462059e-121,1.5750482674202771e-56,3.6488184496981693e-40,3.8958913682178425e-65,2.9876974291134993e-48,9.8206110194798346e-43,7.9676316196741171e-26,1.5082443891650067e-101,7.9676299399332432e-26,1.0475136950579018e-64,8.8569855664811267e-61,9.2001803611074892e-66,8.0936435826008943e-94,9.8206243439019192e-43,2.0686129170464833e-79,4.8437710628027534e-15,1.4128570650298442e-15,3.2019345244858148e-20,4.478176008751209e-31,3.2019345246351965e-20,9.6241945149412894e-31,1.0193365555702505e-36,7.5428288348355299e-43,3.0920423799833882e-66,2.8499816152332498e-53
3.079819960461124e-20,0.09977366400000001,0.80000000000000004,0.0,0.28934362559998755,0.099999999999990319,0.099999999999998604,2.9158370886939365e-119,1.2619279325417859e-55,1.4600185854238538e-39,3.1178977559289284e-64,2.3913688723134801e-47,3.9295243118573315e-42,1.5938726275376641e-25,4.8299961354003201e-100,1.5938719554225181e-25,8.3843610771525512e-64,1.4179245826147018e-59,7.3629416536109878e-65,1.2955103180203943e-92,3.9295349753192395e-42,3.311579515328702e-78,9.6896453696549396e-15,2.8263276155415853e-15,6.4052593808338602e-20,1.7918311501384671e-30,6.4052593814315858e-20,3.8509273361987639e-30,8.1577763462055143e-36,1.2041595561774275e-41,1.9748561925230629e-64,2.2808746795473488e-52
6.160308429704636e-20,0.09977366400000001,0.80000000000000004,0.0,0.28934362559997501,0.099999999999980632,0.099999999999997188,1.8669614950599761e-117,1.0119914299913323e-54,5.841152468521256e-39,2.4947939720753137e-63,1.9135795876781122e-46,1.5720661682858229e-41,3.1880925671932358e-25,1.54617923163707e-98,3.1880898782949963e-25,6.7091969547774452e-63,2.2692835709278537e-58,5.8914739988888369e-64,2.0732399135632481e-91,1.5720747004749543e-41,5.299972118695328e-77,1.9381393983337219e-14,5.6532687165647797e-15,1.281190909320973e-19,7.168310845511917e-30,1.2811909095601042e-19,1.540618427953692e-29,6.5274380118362629e-35,1.9244946785006652e-40,1.262607069643864e-62,1.8250834468247277e-51
1.2321285368191661e-19,0.09977366400000001,0.80000000000000004,0.0,0.28934362559994997,0.099999999999961245,0.099999999999994357,1.1951317716536768e-115,8.1328185974003386e-54,2.3367530900461541e-38,1.9960414860495938e-62,1.5310574895925658e-45,6.2887810069473436e-41,6.3765364805646441e-25,4.9487150769537189e-97,6.3765257240963138e-25,5.3680521985419261e-62,3.631204430854804e-57,4.7136299030443773e-63,3.3175476739263972e-90,6.288849267732693e-41,8.4811287687363053e-76,3.8764891210613379e-14,1.1307150918610021e-14,2.5625208516680592e-19,2.867413281117853e-29,2.5625208526246797e-19,6.1629491483185681e-29,5.2224102116302619e-34,3.0774470540782395e-39,8.0764794015176701e-61,1.4602648519613878e-50
2.464323924516571e-19,0.09977366400000001,0.80000000000000004,0.0,0.2893436255998999,0.099999999999922484,0.099999999999988709,7.6505480528216875e-114,6.5643475492284437e-53,9.3482082803922503e-38,1.597108913364291e-61,1.2249235239579486e-44,2.5156184014023421e-40,1.2753440443548513e-24,1.5837475430399308e-95,1.2753397415924394e-24,4.2947377325851204e-61,5.8097829344403323e-56,3.7710880307338063e-62,5.3089719343217671e-89,2.5156730074893896e-40,1.357080015748514e-74,7.7531885664812181e-14,2.2614915322695903e-14,5.1251807358498794e-19,1.1468964587893755e-28,5.1251807396766531e-19,2.4652590814875978e-28,4.1780688619184193e-33,4.9224702416423251e-38,5.1675484629514788e-59,1.1683624788452845e-49
4.928714699911381e-19,0.09977366400000001,0.80000000000000004,0.0,0.28934362559979976,0.099999999999844949,0.099999999999977399,4.904756160734839e-112,5.3440319326150407e-52,3.7400118451308287e-37,1.2802518845989209e-60,9.7996983266067469e-44,1.0062707432244905e-39,2.5507312914480443e-24,5.0682976641904391e-94,2.5507140800482328e-24,3.4359375441609733e-60,9.2941785821553516e-55,3.0169501772807082e-61,8.5104302460263839e-88,1.0063144209191609e-39,2.1714252728951415e-73,1.5506587457179558e-13,4.5230444130849288e-14,1.0250500502164114e-18,4.5867552063036796e-28,1.0250500517472612e-18,9.8610698276140291e-28,3.3424421889914717e-32,7.8746385634449591e-37,3.3067167717803064e-57,9.3486438994520506e-49
9.857496250701e-19,0.09977366400000001,0.80000000000000004,0.0,0.28934362559959947,0.099999999999689879,0.099999999999954778,3.2215259730707202e-110,4.4230784045302451e-51,1.4965419011909633e-36,1.0566119700420127e-59,7.839882711303848e-43,4.0251471991848354e-39,5.1015316036200883e-24,1.6219371392648437e-92,5.1014627573205313e-24,2.7488553237950859e-59,1.4865161091877023e-53,2.413601815223848e-60,1.4022310801383486e-86,4.0254964935690765e-39,3.4744149235937111e-72,3.101338523801056e-13,9.0461501747082543e-14,2.0501140026594959e-18,1.8339819829372734e-27,2.0501140087838303e-18,3.9443343603041757e-27,2.6738379116819082e-31,1.259786600122891e-35,2.1160487794122583e-55,7.4814393282987563e-48
1.971505935228024e-18,0.09977366400000001,0.80000000000000004,0.0,0.28934362559919885,0.099999999999379738,0.09999999999990955,2.9043029078149022e-108,3.7746923190677152e-50,5.9903732360166476e-36,1.2598728301126221e-58,6.2719557800661511e-42,1.6100856934439804e-38,1.0203235499906636e-23,5.1905410784098209e-91,1.0202960113307973e-23,2.1992005262679157e-58,2.3765950889777089e-52,1.9309137567182476e-59,3.2812290707344434e-85,1.610364920725254e-38,5.5593528695360493e-71,6.2026980797409868e-13,1.8092361697925485e-13,4.100241904266611e-18,7.3300617662485259e-27,4.1002419287710497e-18,1.5776348217452196e-26,2.1388469310804612e-30,2.0153726509546743e-34,1.3540819517304213e-53,5.9890833616262724e-47
3.943018555543871e-18,0.09977366400000001,0.80000000000000004,0.0,0.28934362559839766,0.099999999998759456,0.099999999999819095,1.0483444559829073e-105,3.3968161444729402e-49,2.3994949103863335e-35,6.3131493707041197e-57,5.0175844535572259e-41,6.4405081491619321e-38,2.0407056380248261e-23,1.6611630836221048e-89,2.0405954831054235e-23,1.7595255719789004e-57,3.7966551874325941e-51,1.5447689433702417e-58,3.1806918361165894e-83,6.442738623193827e-38,8.8957762768906399e-70,1.2405417190715768e-12,3.6184784744242287e-13,8.2004976943646382e-18,2.9273199953888117e-26,8.2004977924383158e-18,6.3096999182190164e-26,1.7107049654911277e-29,3.2238510112689503e-33,8.6641204371823381e-52,4.7975139924041344e-46
7.886043796175567e-18,0.09977366400000001,0.80000000000000004,0.0,0.28934362559679527,0.099999999997518907,0.09999999999963817,9.5005138676148112e-103,3.3179367434705808e-48,9.6246979288083967e-35,7.2926966365146489e-55,4.0140754706936173e-40,2.5763257329926625e-37,4.0816350491995007e-23,5.3168909903070996e-88,4.0811944289632278e-23,1.4078763526231691e-56,6.0558201170504347e-50,1.2358703557607629e-57,7.3044149635376231e-81,2.5781047767873687e-37,1.4235749006334478e-68,2.4810855409045015e-12,7.2369630836405304e-13,1.6401009222095863e-17,1.1671766650512182e-25,1.6401009614834819e-17,2.5231991015049111e-25,1.3679620443385749e-28,5.1559135444856589e-32,5.5426068301542929e-50,3.8479861831248517e-45
