Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(55),OX(20),CH3X(21),HOX(22),HX(19),CH2X(27),CHX(28),CX(26),OCX(25),H2X(56),H2OX(23),COX(57)
6.550796420413366e-21,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999726,0.11866996602996269,0.022821567693054223,1.2702703246324434e-116,1.6703127171583268e-54,7.1717151910979137e-38,5.880170788357034e-62,1.6906990527562864e-48,3.9664530871331638e-41,1.3854863346599681e-23,1.8572219582644491e-95,1.3854863277228134e-23,2.2143974175189871e-60,7.0370210143444346e-62,1.6551043127028267e-62,6.0509134852867157e-89,3.9664532658854126e-41,9.6610942652753475e-75,2.6417448485019718e-15,1.2701743992223499e-16,4.8959384169224352e-20,3.5422809102779328e-32,4.8959384172909673e-20,1.8256904671338444e-30,8.429590153454933e-37,3.0354891769957134e-43,4.089791774868997e-68,2.5752600801979294e-51,6.713689180297106e-46,5.4526610107112782e-77
1.310728423650042e-20,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999448,0.11866996602996004,0.02282156769305416,8.1440383318438288e-115,2.3176609253415583e-53,2.8705566584600415e-37,4.7077120451270408e-61,1.3539304593762569e-47,1.5876149291770884e-40,2.7721764072163461e-23,5.9520065987307313e-94,2.7721763794496484e-23,1.7733139071373675e-59,1.1272317288076656e-60,1.3250898297511444e-61,9.6893453778809914e-88,1.5876150722873404e-40,1.5474541008881959e-73,5.2857848706326542e-15,2.5414523383223576e-16,9.7961304724097443e-20,1.4178329969568462e-31,9.7961304738848382e-20,7.3075163802046538e-30,6.7487926505798914e-36,4.5449538597092943e-42,2.44815077221647e-66,2.0617749911081622e-50,5.3750246560000952e-45,8.7313619379282202e-76
2.6220259868674528e-20,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319998893,0.11866996602995475,0.022821567693054032,5.2167680384417982e-113,3.424053744982463e-52,1.1485978343956807e-36,3.7676004361098423e-60,1.0836931223089821e-46,6.3525277354719305e-40,5.545556594008637e-23,1.9060667810337718e-92,5.54555648290568e-23,1.419369887416353e-58,1.80461350210494e-59,1.0604745941513689e-60,1.5509262887055862e-86,6.3525288807850983e-40,2.4772705782218476e-72,1.0573864914889176e-14,5.0840082165222725e-16,1.959651458226636e-19,5.6731586967709938e-31,1.9596514588168661e-19,2.9239556992924296e-29,5.4010771750844024e-35,7.0221694509509809e-41,1.5125323717988274e-64,1.6500483027535543e-49,4.3016390612974152e-44,1.3975865451896327e-74
5.244621113302274e-20,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319997783,0.11866996602994417,0.022821567693053778,3.3401994019249e-111,5.2509689329509961e-51,4.5951493707294338e-36,3.0146528276227177e-59,8.6717405319892819e-46,2.5414247896029368e-39,1.1092317134311359e-22,6.1016943935840664e-91,1.1092316689827188e-22,1.1357835190309087e-57,2.8882012054243405e-58,8.4854081209228223e-60,2.4819870407064625e-85,2.5414257060214213e-39,3.9647085605109137e-71,2.1150025003382855e-14,1.0169119972921705e-15,3.9197282797507609e-19,2.2696168069120301e-30,3.9197282821120656e-19,1.1697705152301923e-28,4.3216694841447358e-34,1.1035527727667639e-39,9.5063149139856708e-63,1.3202920537103827e-48,3.4419420251423179e-43,2.2365935127366313e-73
1.0489811366171917e-19,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319995568,0.11866996602992302,0.022821567693053268,2.1381979711249481e-109,8.2194074011072403e-50,1.8382174332118436e-35,2.4119513382082718e-58,6.9382707512718862e-45,1.0166526870100367e-38,2.218583888178938e-22,1.9529073542679955e-89,2.2185837103707999e-22,9.0874192762040389e-57,4.6217301639534607e-57,6.7889712759374238e-59,3.9715833983943227e-84,1.0166534202047366e-38,6.344394697321093e-70,4.2302345180292747e-14,2.0339343485718974e-15,7.8398819210102113e-19,9.0790774092829233e-30,7.8398819304562227e-19,4.6794455907591657e-28,3.4576432751532613e-33,1.7496768863153167e-38,6.0283435344745969e-61,1.0563382726555705e-47,2.7537786020681073e-42,3.5789137612204811e-72
2.0980191871911203e-19,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319991132,0.11866996602988072,0.022821567693052252,1.3685979170129317e-107,1.3005069508154011e-48,7.3532336538561766e-35,1.9296528261475553e-57,5.5509679480072e-44,4.0667765058229755e-38,4.4372885044235709e-22,6.2498888527194602e-88,4.437287793162077e-22,7.2703967740305747e-56,7.395102721099461e-56,5.4314352074167444e-58,6.354857158219305e-83,4.0667823715038351e-38,1.0151721548041271e-68,8.4606985533802647e-14,4.0679790511307127e-15,1.5680189196373915e-18,3.631675786965063e-29,1.5680189234159647e-18,1.8718405704626021e-27,2.7662129908697604e-32,2.7866511646430303e-37,3.8402784270024036e-59,8.4511767907462692e-47,2.2030691117158092e-41,5.7265536177985603e-71
4.1960952883389776e-19,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319982262,0.11866996602979611,0.022821567693050219,8.7595207790026382e-106,2.0690525979006724e-47,2.9414050782847728e-34,1.5437594631309546e-56,4.44091489392529e-43,1.6267439221175246e-37,8.8746988039089453e-22,2.0000587413098446e-86,8.8746959588050922e-22,5.816503366702482e-55,1.1831945027719362e-54,4.345251861300391e-57,1.0168033599483783e-81,1.6267486145252879e-37,1.6243310307614558e-67,1.6921626623958295e-13,8.1360684562457873e-15,3.1360803718480542e-18,1.4526175110134379e-28,3.1360803869627736e-18,7.4874039587181176e-27,2.2129702053612849e-31,4.4482989159805147e-36,2.4520184621399171e-57,6.7612129896586233e-46,1.7624037594998118e-40,9.1627216492916243e-70
8.392247490634692e-19,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319964526,0.11866996602962689,0.022821567693046149,5.6062792036858561e-104,3.3008239143563004e-46,1.1766154184495582e-33,1.2350271708377672e-55,3.5527881181009881e-42,6.507043669776608e-37,1.7749523670864126e-21,6.4003430450460203e-85,1.7749512290332962e-21,4.6532793144904746e-54,1.8929378760399447e-53,3.4762436364517213e-56,1.6269122208438873e-80,6.5070812055118573e-37,2.5989753277511968e-66,3.3843482764618563e-13,1.6272247266465718e-14,6.2722032648210694e-18,5.8098703769496478e-28,6.2722033252815123e-18,2.9949035270074232e-26,1.7703128342376073e-30,7.1087580898412064e-35,1.5673930385630845e-55,5.4092123035428699e-45,1.4097903791288544e-39,1.4660595371663087e-68
1.678455189522612e-18,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319929054,0.11866996602928845,0.022821567693038013,3.5882646199853699e-102,5.272780331103402e-45,4.7068169336312406e-33,9.8808728639181403e-55,2.8422529564688161e-41,2.6028321371433769e-36,3.549919047671208e-21,2.0481372586228362e-83,3.5499144954356094e-21,3.7226576858919605e-53,3.0280636152398051e-52,2.7810128381781465e-55,2.6032241987427602e-79,2.6028621595558776e-36,4.1584009436670022e-65,6.7687195043955919e-13,3.2544604886864703e-14,1.2544449004973853e-17,2.3234331157002505e-27,1.254444924682447e-17,1.1978966909621453e-25,1.4161237391379104e-29,1.1366411102460774e-33,1.0024528149182772e-53,4.3276798488234979e-44,1.1276000893921631e-38,2.3458432503869813e-67
3.356916070440898e-18,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319858111,0.11866996602861156,0.022821567693021742,2.2983510117078757e-100,8.4270292218157557e-44,1.8829965754174354e-32,7.9123013421930736e-54,2.2738113190160261e-40,1.0411366470397885e-35,7.0998592376157363e-21,6.5541003048960327e-82,7.099841028627186e-21,2.9781455794808013e-52,4.8427987203404194e-51,2.2248191540784983e-54,4.1689312029398298e-78,1.0411606548810411e-35,6.6534862490152794e-64,1.3537461959469788e-12,6.5089320127499208e-14,2.5088940302106435e-17,9.2895439189126785e-27,2.5088941269572235e-17,4.7910325376445136e-25,1.132686505469086e-28,1.8177662981062983e-32,6.4126161420185047e-52,3.4626090034925956e-43,9.0170073121637845e-38,3.7567474958061491e-66
