Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),CH3X(21),HOX(22),HX(19),H2X(49),CH2X(27),CHX(28),CX(26),OCX(25),COX(50),CH3OO(77),C2H6X(52)
0.0,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996532,0.022821567693054285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.221231717221184e-24,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996532,0.022821567693054285,0.0,3.104635283954594e-74,8.0934984500183634e-42,6.0896645612069203e-94,3.9609966709401003e-57,2.943086276639981e-143,7.3429590430331193e-25,-8.5499494745568873e-118,7.3429590430278654e-25,1.2873489661108017e-79,6.8245840257856534e-75,1.3175588653390637e-121,7.9612973505993882e-123,3.5315344213942958e-59,8.32918461158931e-95,2.912111820383841e-18,1.4001692419390023e-19,5.3970087778966561e-23,6.4538735109194158e-38,5.3970087778968618e-23,5.6028198196809355e-58,8.0028049887350785e-37,1.7138463716304622e-46,2.0400320555277032e-54,6.5564358801997955e-85,1.1662732871938023e-111,3.9636667678146871e-42,7.0998211397460958e-74
2.0219448808219315e-23,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996532,0.022821567693054285,0.0,9.6912688223940913e-73,4.8884730638122245e-41,7.0445235512747774e-92,5.9858581691465766e-56,1.1113187312448671e-140,2.0560285320509754e-24,1.6503068779073965e-116,2.0560285320478019e-24,3.6305300602798459e-78,2.1457572083777258e-73,2.7566491995248491e-119,1.6656943796632725e-120,4.1926354141539218e-58,4.3114258354903541e-93,8.1539130970747509e-18,3.9204738774292063e-19,1.5111624578110224e-22,3.8981373152827919e-37,1.5111624578111473e-22,6.6516676899265924e-57,4.8336942121963611e-36,2.0346784108501433e-45,2.5383466114580991e-53,4.1771779014541489e-83,2.4401234799756195e-109,2.3940547277616541e-41,2.002263158553688e-72
4.621588299021558e-23,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996531,0.022821567693054285,0.0,2.1576504698958415e-71,2.353589349267041e-40,6.9911551249665509e-90,6.4393130680383211e-55,4.4121659342267448e-138,4.6994937875531109e-24,1.742563872466101e-114,4.6994937875378316e-24,7.8971958880737698e-77,4.7870605387261586e-72,5.4729452902204982e-117,3.307005552863206e-118,4.116349543716361e-57,1.8825372517312016e-91,1.8637515650456551e-17,8.9610831484096137e-19,3.4540856178535733e-22,1.8767829890105569e-36,3.4540856178541728e-22,6.5306467818243966e-56,2.3272156892247236e-35,1.997659325968889e-44,2.7387650842659307e-52,2.0697723978611021e-81,4.8445273013102381e-107,1.1526342960828861e-40,4.3553597188375235e-71
9.820875135420811e-23,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996528,0.022821567693054285,0.0,4.0378351297305677e-70,1.0278743031540902e-39,6.2296454288896497e-88,5.9188381054737066e-54,1.5739808053759421e-135,9.9864242985846165e-24,1.3773516176886068e-112,9.9864242985178866e-24,1.464007024303359e-75,8.9656129396574271e-71,9.7592142004355016e-115,5.8969665949500953e-116,3.640856073605981e-56,7.0082141798323051e-90,3.9604720757220076e-17,1.904230169037043e-18,7.3399319379380197e-22,8.1963839366472129e-36,7.3399319379406369e-22,5.7762831213072866e-55,1.016356232019937e-34,1.766907045208629e-43,2.861089258261076e-51,9.2109388789271867e-80,8.6386355291053225e-105,5.0338567951491939e-40,8.0741028994548008e-70
2.0219448808219317e-22,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999992,0.11866996602996524,0.022821567693054285,0.0,6.9718513323584606e-69,4.2911728782155576e-39,5.6326528671203891e-86,5.0636906121859134e-53,5.6919186363720356e-133,2.0560285320756558e-23,9.7621804951923732e-111,2.0560285320477977e-23,2.5162540193652439e-74,1.5485791902720223e-69,1.7646582517486691e-112,1.0662877715707199e-113,3.0603446395597429e-55,2.4144360446238992e-88,8.1539130970746812e-17,3.9204738774292058e-18,1.5111624578104294e-21,3.421811855639727e-35,1.5111624578115223e-21,4.8553140106347659e-54,4.2430871910825766e-34,1.4851918258113828e-42,3.1429023001107362e-50,4.1648075608169819e-78,1.5620355447623496e-102,2.1015361203174342e-39,1.3877319941950631e-68
4.1016596153816325e-22,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999981,0.11866996602996516,0.022821567693054282,0.0,1.1581771971088351e-67,1.7530841382811724e-38,5.4934945881612739e-84,4.1867573203271014e-52,2.2191760298254916e-130,4.1708007365536185e-23,6.5694999449370261e-109,4.1708007364398083e-23,4.1705065037562203e-73,2.5729626063994557e-68,3.4407328592585274e-110,2.0790492263487771e-111,2.5090320352298328e-54,8.0126329387623905e-87,1.6540795139779909e-16,7.9529612942135291e-18,3.0655009858426361e-21,1.3979078266047903e-34,3.0655009858471008e-21,3.9806797716495359e-53,1.7334395599734079e-33,1.2176499742027872e-41,3.7869710758336961e-49,2.032613083018708e-76,3.0456588524649856e-100,8.5854607659443271e-39,2.3000640089272731e-67
8.261089084501034e-22,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999964,0.11866996602996499,0.022821567693054278,0.0,1.8879294073940636e-66,7.0862463810268612e-38,5.8592192771692823e-82,3.4046015209783395e-51,9.4614085852579437e-128,8.4003451456838379e-23,4.3104892055106462e-107,8.4003451452237988e-23,6.7905887081037713e-72,4.1944973118910277e-67,7.3363579460837368e-108,4.432965282664451e-109,2.0318412958417022e-53,2.6107997856934805e-85,3.3314559225189876e-16,1.6017936127782166e-17,6.1741780419028585e-21,5.6504540232224288e-34,6.1741780419209066e-21,3.2236576851977097e-52,7.0068398051584996e-33,9.8608449272693241e-41,5.0269855010068537e-48,1.0849273132861682e-74,6.4939780087029131e-98,3.4703805113804378e-38,3.7450579858507301e-66
1.6579948022739839e-21,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999931,0.11866996602996466,0.022821567693054271,0.0,3.0487693359526607e-65,2.8493485034121356e-37,6.7250365109876059e-80,2.7459344668200977e-50,4.3416354923875185e-125,1.6859433964641458e-22,2.7931328560409016e-105,1.6859433962791665e-22,1.0960037552436255e-70,6.7738623614950361e-66,1.6835284300006833e-105,1.0172653975462578e-106,1.635341637916185e-52,8.4301143013124855e-84,6.6862087396007864e-16,3.2147885794919389e-17,1.2391532154006536e-20,2.2719319076120936e-33,1.2391532154079106e-20,2.5946801569649652e-51,2.8174194287302298e-32,7.936865451594963e-40,7.2016482220027135e-47,6.23040422429595e-73,1.4902212624212887e-95,1.3954247404010004e-37,6.0445386880782652e-65
3.3217665899217445e-21,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999859,0.11866996602996399,0.022821567693054254,0.0,4.9003299764433368e-64,1.1427161901310121e-36,8.1042760995366856e-78,2.2056838940574238e-49,2.0921702404320601e-122,3.3777611605345424e-22,1.7986993699303368e-103,3.3777611597926926e-22,1.7612486116505926e-69,1.0887943680552412e-64,4.0567608149989787e-103,2.4512816829653956e-104,1.3121607822712425e-51,2.7097849135973257e-82,1.3395714373763604e-15,6.4407785129193685e-17,2.4826240378146825e-20,9.110734850298824e-33,2.4826240378437875e-20,2.0820674187761665e-50,1.1299111712231993e-31,6.368834004543688e-39,1.0843043686638797e-45,3.7556691915751158e-71,3.5909528545641415e-93,5.5962773284819757e-37,9.7134114016535572e-64
