Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),HX(19),HOX(22),CH3X(21),CH3OO(77),CH2X(27),CHX(28),CX(26),OCX(25),H2X(49),C2H4(47),COX(50),C2H4X(210),acetyl(43),C2H4X(65)
5.95017111235554e-18,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767970463,0.11866996602704448,0.022821567693011829,0.0,1.3784911099491317e-48,1.763398815658285e-24,4.5164457441114972e-53,8.8482670246776999e-37,3.440113976064269e-85,5.2514978671792844e-14,1.0480067401891689e-71,5.2514978636718391e-14,6.4286555447622786e-49,8.4796961834098698e-50,4.8002357313127592e-71,5.5658621191244311e-72,4.5132614905598535e-38,1.4699181604746804e-56,2.8679871504166266e-12,8.4916002182262418e-14,3.3994726320767468e-16,5.3060092788875459e-26,3.3994717410836689e-16,1.9805808451789917e-25,2.8696533031653315e-23,4.5299898602349445e-27,1.2149365764168537e-30,6.9338833124264943e-50,6.8699297145499867e-35,1.1697082174114733e-63,8.4536615129916732e-65,1.0772961973144381e-74,2.4170442873355043e-77,1.3644889800190499e-67
1.1900347268737906e-17,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679409272,0.11866996602412364,0.02282156769296937,0.0,2.1893294331560168e-47,7.0535997726666687e-24,5.7587687939553583e-51,7.0786205722212931e-36,1.7545260608970637e-82,1.0503000191930081e-13,6.7072530544370028e-70,1.0503000177900293e-13,1.0285859468327102e-47,1.3463117331354641e-48,1.2241130202120126e-68,1.4193561213847154e-69,3.583822713054765e-37,4.7037427534011942e-55,5.7359767306774536e-12,1.6983207634697907e-13,6.7989487872759497e-16,2.1055291284076543e-25,6.7989452231040306e-16,7.9223239105803825e-25,1.1476806910438541e-22,3.6224941888027346e-26,1.937780166041562e-29,4.42066074134839e-48,5.4959478569656469e-34,7.4861397410066503e-62,2.1557754894464475e-62,1.3789404623562652e-72,1.2327468929966579e-74,8.7324592190275847e-66
2.3800699581502637e-17,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727678818555,0.11866996601828195,0.022821567692884456,0.0,3.452004257929944e-46,2.8214408263483598e-23,7.3454800837111461e-49,5.662899180875225e-35,8.9517809268855141e-80,2.1006004858885193e-13,4.2926449426682087e-68,2.100600480276603e-13,1.6457382900498853e-46,2.1214103515137164e-47,3.1227805302473139e-66,3.6208562220964269e-67,2.8251076608595103e-36,1.5051981784178095e-53,1.1471955887057029e-11,3.3966422467104122e-13,1.3597903022913574e-15,8.2900768451045649e-25,1.3597888764644402e-15,3.1689269659992986e-24,4.5892739840724774e-22,2.8955980274146466e-25,3.0936968882120467e-28,2.8193499154619454e-46,4.3967599301588612e-33,4.7911305896388064e-60,5.4994963996313733e-60,1.7650442269749474e-70,6.2895662605826561e-72,5.5884186825638698e-64
4.76014042070321e-17,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727677637123,0.11866996600659857,0.022821567692714623,0.0,5.366970338057996e-45,1.1285765262056651e-22,9.3564963191540828e-47,4.5303203413081697e-34,4.5610632008964257e-77,4.2012014262609294e-13,2.7472934817343102e-66,4.2012014038132812e-13,2.6331816517916496e-45,3.2940513694845243e-46,7.9554902299546767e-64,9.22436931398387e-65,2.1957410124972745e-35,4.8166333983317528e-52,2.2943914183247862e-11,6.7932852129774259e-13,2.7195819203481188e-15,3.2149126054608346e-24,2.7195762157737611e-15,1.2675681033964207e-23,1.834550718393067e-21,2.3126485113159891e-24,4.9385851347007745e-27,1.7955906115864235e-44,3.5174086186610759e-32,3.0663224975345292e-58,1.401029561579724e-57,2.2592558243020334e-68,3.2045562874196266e-69,3.5761303809456304e-62
9.520281345809103e-17,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727675274252,0.11866996598323182,0.022821567692374957,0.0,8.1263313590050813e-44,4.5143065936099607e-22,1.1872986828113619e-44,3.6242565234798638e-33,2.3151689781790545e-74,8.402403334931298e-13,1.7582677586965836e-64,8.4024032451407637e-13,4.2130902094133597e-44,4.9754255341919618e-45,2.0190651085305062e-61,2.3410996314644832e-62,1.6617250120369404e-34,1.5413215601183837e-50,4.5887830709356267e-11,1.3586571144659308e-12,5.4391682467201663e-15,1.2116325479115899e-23,5.439145418408601e-15,5.0702497408535581e-23,7.3289464831472644e-21,1.8440130615659415e-23,7.8737806255680645e-26,1.1392289521842258e-42,2.8139271913384006e-31,1.9624441974410696e-56,3.5557274323404279e-55,2.891844226224412e-66,1.6265363054977459e-66,2.2881370155648402e-60
1.9040563196020888e-16,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727670548515,0.11866996593649831,0.022821567691695629,0.0,1.1737029736017796e-42,1.8057228128297298e-21,1.4945643757813931e-42,2.89940508182286e-32,1.1657848078469474e-71,1.6804807263973732e-12,1.1252909554347595e-62,1.6804806904812231e-12,6.7409416087105776e-43,7.153317199629695e-44,5.0833396147197288e-59,5.8941118454776519e-60,1.1992265614381304e-33,4.9322207647689256e-49,9.1775663496480062e-11,2.7173143004644828e-12,1.0878353312600513e-14,4.3393990646189086e-23,1.0878261919832716e-14,2.0280815166206194e-22,2.9241992076493755e-20,1.4655128921738317e-22,1.2515741656555942e-24,7.169812657034985e-41,2.2511419138078369e-30,1.2559612071022522e-54,8.9520569554620111e-53,3.7015515653245533e-64,8.1894937301215617e-64,1.4636573292934778e-58
3.808112689644446e-16,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727661097042,0.11866996584303129,0.022821567690336973,0.0,1.5701714794544943e-41,7.222892217783467e-21,1.8513528751558347e-40,2.3195236312638722e-31,5.7769096439043713e-69,3.3609615568861844e-12,7.2018558470574916e-61,3.3609614132221164e-12,1.0785496778205725e-41,9.4933324826148864e-43,1.2594541270458024e-56,1.4603298062099124e-57,8.0122617318058845e-33,1.5783052170739966e-47,1.8355132801035547e-10,5.4346286711270603e-12,2.1756773508389072e-14,1.4307670524590618e-22,2.175640730801577e-14,8.112178548941157e-22,1.163817497527829e-19,1.157120534235077e-21,1.9770737769511154e-23,4.4401336457039253e-39,1.8009136616172737e-29,8.038111472756527e-53,2.2179268049528112e-50,4.7379623523826969e-62,4.0574118674535761e-61,9.3578159590521122e-57
7.61622542972916e-16,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727642194096,0.11866996565609723,0.022821567687619657,0.0,1.8872256755486751e-40,2.8891575645700564e-20,2.2228011079349945e-38,1.8556181242932765e-30,2.774928266213387e-66,6.7219233965822885e-12,4.609179393797168e-59,6.7219228219303066e-12,1.7256762641865061e-40,1.1267650502649604e-41,3.0246893024402763e-54,3.5070993052224719e-55,4.8064583995521905e-32,5.0505416988992273e-46,3.671026527966178e-10,1.0869257407184597e-11,4.3513817421338293e-14,4.2046210686105391e-22,4.3512347631457737e-14,3.2447533148607291e-21,4.609024259332134e-19,9.0193542806928225e-21,3.0846004999959859e-22,2.664804224115723e-37,1.4407310837827907e-28,5.1443395515223035e-51,5.3263280927213562e-48,6.0645309459262363e-60,1.9482078608108865e-58,5.9767628482888956e-55
1.1424338169813875e-15,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072762329115,0.11866996546916321,0.022821567684902341,0.0,6.2274813289290916e-40,6.1394607843747761e-20,1.4251971656657042e-37,5.5088649650337346e-30,2.3225180633285581e-65,1.008288541499425e-11,2.6169539605299925e-58,1.00828841938649e-11,6.5285780921988177e-40,3.7961573601715922e-41,2.2337406560075692e-53,2.5899995312352107e-54,1.1845716545078322e-31,2.3560600973686048e-45,5.506539733413916e-10,1.6303886138012625e-11,6.5271068110319149e-14,7.3883566900770786e-22,6.5267937507712249e-14,6.8949273078199667e-21,9.7270312476854622e-19,2.5408074273395675e-20,1.1217070590756865e-21,1.4542287880450711e-36,4.1195906758619434e-28,2.8767498916706991e-50,3.9334638370591906e-47,3.9712852935122842e-59,1.6348606938575534e-57,3.3399222050179389e-54
1.5232450909898589e-15,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727604388204,0.11866996528222917,0.022821567682185025,0.0,1.4488127831731857e-39,1.0473199286430176e-19,5.8777137699096144e-37,1.2003523692009464e-29,1.1659492057704574e-64,1.3443847612119061e-11,1.0064267755277722e-57,1.34438455290259e-11,1.6993837843203482e-39,9.0377972867564472e-41,1.0198592132295174e-52,1.1825145109887843e-53,2.212523898771398e-31,7.174203643764936e-45,7.3420528964467712e-10,2.1738514863629004e-11,8.7028528864648876e-14,1.0787426424551083e-21,8.7023176942515536e-14,1.1761662318168946e-20,1.6488741648071127e-18,5.2875526465117046e-20,2.8141066717239039e-21,5.3827300957599656e-36,8.6894102685278884e-28,1.0069994264103571e-49,1.7958838839571911e-46,1.5749799980207051e-58,9.0735550158503718e-57,1.1683918307192914e-53
