Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(55),OX(20),CH3X(21),HOX(22),HX(19),CH3OO(84),CH2X(27),CHX(28),CX(26),OCX(25),H2X(56)
0.0,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996532,0.022821567693054285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.005623792274171e-24,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996532,0.022821567693054285,1.9506091004345217e-133,1.429987550858809e-63,1.2297895595203256e-43,1.8858440090522633e-70,3.6166874828900161e-57,6.801588081556034e-47,1.4816818229063815e-26,-9.6964116619991573e-109,1.4816818228569352e-26,4.736965652528831e-69,6.0452968503299513e-75,5.3081256732324628e-71,3.8883083589909226e-100,6.8015880815592583e-47,4.1410515310740993e-86,2.8251634421301292e-18,1.3583636890013839e-19,5.2358675890953002e-23,6.0742340027528117e-38,5.2358675890954936e-23,7.7591912369421885e-44,7.5320504265193315e-37,1.5648702672117778e-46,1.8596790779494896e-54,5.9106328219623515e-85,8.2591756174218082e-60
1.961574661836768e-23,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996532,0.022821567693054285,1.505177369238183e-131,1.6976812204828639e-62,7.4279289396064668e-43,2.2388740076129139e-69,5.4655381241251692e-56,4.1081592013922212e-46,4.1487091042980755e-26,5.7303279366342917e-108,4.1487091039994208e-26,7.1585024947343681e-68,1.9007370097523968e-73,6.3018067994475388e-70,8.6979902669763901e-99,4.1081592013960491e-46,1.1678427886869686e-84,7.9104576379643625e-18,3.8034183292038749e-19,1.4660429249466454e-22,3.6688352510033268e-37,1.4660429249467625e-22,4.686551507263962e-43,4.5493584567049437e-36,1.8578139798612197e-45,2.310937826075993e-53,3.6431620939553971e-83,9.8052932931284932e-59
4.48359922705547e-23,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996531,0.022821567693054285,1.6404159259579768e-129,1.6667934895953739e-61,3.5762280392406298e-42,2.1981397771561228e-68,5.8795765071631995e-55,1.9779018143150593e-45,9.4827636677222941e-26,3.3521700337781733e-106,9.4827636662844028e-26,7.7007903238369877e-67,4.2404347627517573e-72,6.1871512852962285e-69,1.7185763031898031e-97,1.977901814318818e-45,2.5403131545390092e-83,1.8081046029632814e-17,8.6935276096088575e-19,3.3509552570207219e-22,1.7663841180149982e-36,3.3509552570212867e-22,2.2563728119291089e-42,2.1903202626627233e-35,1.8240127792069783e-44,2.4873350894381069e-52,1.7818870870074798e-81,9.6268951000552959e-58
9.527648357492874e-23,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.1186699660299653,0.022821567693054285,1.3419620814586863e-127,1.474259966088797e-60,1.5618327407515071e-41,1.9442297400026104e-67,5.4043437719119818e-54,8.6380168656279991e-45,2.0150872797134053e-25,1.3206555370983826e-104,2.0150872790854399e-25,7.0783530390897346e-66,7.9418464029610582e-71,5.4724652452863264e-68,3.0581147087298176e-96,8.6380168656612412e-45,4.7093124647983885e-82,3.8422222812969647e-17,1.847374617041882e-18,7.1207799211682591e-22,7.7142448403855193e-36,7.1207799211707238e-22,9.8541728732552213e-42,9.5657040275322037e-35,1.6133186417490071e-43,2.5886103680966017e-51,7.8666305118581837e-80,8.5148796953528294e-57
1.961574661836768e-22,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999992,0.11866996602996525,0.022821567693054285,9.6581985673966914e-126,1.2392043329587661e-59,6.5203442460229527e-41,1.6342422455208504e-66,4.6235298778570239e-53,3.606202002687661e-44,4.1487091066210845e-25,4.6662953653313659e-103,4.1487091039994538e-25,6.0556800535614391e-65,1.3717500331447306e-69,4.5999367806088299e-67,5.1579574410084201e-95,3.6062020027156014e-44,8.094104897214629e-81,7.9104576379643036e-17,3.8034183292038752e-18,1.4660429249460871e-21,3.2205297595917236e-35,1.4660429249471159e-21,4.1139231959315241e-41,3.9934931234079368e-34,1.3560915194296336e-42,2.8295990477861636e-50,3.5332465111963126e-78,7.1572694447276059e-56
3.9791943140117295e-22,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999981,0.11866996602996517,0.022821567693054282,6.5466414822794643e-124,1.0159745827721569e-58,2.6637733787278189e-40,1.3398505303224288e-65,3.8228239133103509e-52,1.4732511863808612e-43,8.4159527645377524e-25,1.5676813065678628e-101,8.415952753827535e-25,5.0069533797467437e-64,2.2791618160636966e-68,3.771306091150593e-66,8.4719605894804595e-94,1.4732511864037683e-43,1.3415385289362729e-79,1.6046928351298862e-16,7.715505753527857e-18,2.9739727906036222e-21,1.3156787368164939e-34,2.973972790607825e-21,1.6806718604686685e-40,1.6314722398055139e-33,1.1118057449583771e-41,3.391913450741868e-49,1.7142855116582826e-76,5.8679619160960732e-55
8.014433618361652e-22,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999964,0.118669966029965,0.022821567693054278,4.3106027289054524e-122,8.2276255973362305e-58,1.0767397902660709e-39,1.0850456985383119e-64,3.1086569184460395e-51,5.9551168544912521e-43,1.6950440096776331e-24,5.1390769243404832e-100,1.6950440053483925e-24,4.0715713449425401e-63,3.7155392803938485e-67,3.0541014534580788e-65,1.3733413210884482e-92,5.9551168546767565e-43,2.1843477283510125e-78,3.2319869777967529e-16,1.5539680602175811e-17,5.9898325219147483e-21,5.3180807103581072e-34,5.9898325219317348e-21,6.7935443837809974e-40,6.594671598161657e-33,9.003690946669901e-41,4.4832281751529601e-48,9.1083344288742502e-75,4.7520276989504313e-54
1.6084912227061498e-21,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999931,0.11866996602996469,0.022821567693054271,2.7980490802109395e-120,6.6223088951079348e-57,4.3295233440429079e-39,8.7333917681665291e-64,2.5072444235493569e-50,2.3945263008958511e-42,3.4019414826874462e-24,1.6643759530638974e-98,3.401941465279759e-24,3.2838698084838409e-62,6.0003807077757952e-66,2.4582065556047855e-64,2.2117238642945688e-91,2.3945263010451563e-42,3.5255460567946861e-77,6.4865752631303021e-16,3.1188030299471677e-17,1.2021551984521221e-20,2.1382939532584224e-33,1.2021551984589525e-20,2.7316543236203101e-39,2.6516884089313494e-32,7.24695340525523e-40,6.4036683126738964e-47,5.2145975100071192e-73,3.824845312577299e-53
3.222586944446119e-21,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999864,0.11866996602996403,0.022821567693054254,1.8034161531676629e-118,5.313985873402377e-56,1.7363325069297793e-38,7.0079969128895927e-63,2.013955070782664e-49,9.6031214868492364e-42,6.8157364549554608e-24,5.3580161682615662e-97,6.8157363851428499e-24,2.637782840357684e-61,9.6447129567279674e-65,1.972555956520463e-63,3.5503066393819176e-90,9.6031214880472288e-42,5.6654579208139146e-76,1.2995751833796667e-15,6.2484729694063279e-17,2.4084990909671044e-20,8.5748501814019556e-33,2.4084990909944972e-20,1.0955155648065519e-38,1.0634456225523748e-31,5.8152231134651662e-39,9.6244514913928431e-46,3.1376174156521239e-71,3.0691974884488809e-52
