Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),CH3X(21),HOX(22),HX(19),CH2X(27),CHX(28),CX(26),OCX(25),H2X(49),COX(50),CHOX(53),CO2X(24),H2OX(23)
0.0,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996532,0.022821567693054285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.326656734914361e-24,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996532,0.022821567693054285,-1.2663613029666421e-125,9.4126435530381421e-66,8.331539794643291e-42,1.0889123528163465e-92,4.1370250361824596e-57,5.4174076985070655e-142,7.4501587477858904e-25,-9.3267403737946923e-118,7.4501587477855755e-25,1.3641892692882217e-79,5.58160455246917e-75,2.3903637296343745e-120,1.444368346327625e-121,4.9180849962996902e-58,8.9552046555362244e-95,2.9546266505694328e-18,1.4206107501034383e-19,5.475801395025083e-23,6.6436970469486709e-38,5.4758013950279242e-23,1.423231525252321e-35,5.3424932195478823e-44,1.0424175406287469e-50,3.4487496087911843e-81,5.8518098425015843e-58,2.1158966246415874e-110,-1.9505601150953714e-113,-1.4021153201545746e-113,2.4629458121066051e-54
2.051463885776021e-23,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996532,0.022821567693054285,2.3010168521467839e-123,2.1055706688653557e-64,5.0322500420234825e-41,1.2067678626798552e-90,6.2518722347180377e-56,1.9603825426238468e-139,2.0860444493801507e-24,1.8002469583321151e-116,2.0860444493799612e-24,3.8472320096990809e-78,1.7549457080530716e-73,4.7922446511470221e-118,2.8956959127008273e-119,5.8387502690793878e-57,4.6354718396270491e-93,8.2729546215944087e-18,3.9777101002896271e-19,1.5332243906065632e-22,4.0127928373459089e-37,1.5332243906082801e-22,8.5963183813644385e-35,6.34260792551124e-43,1.2412402064101424e-49,2.104182379348072e-79,6.9472686526779405e-57,4.2419880103567553e-108,1.9798513447030794e-111,1.4231706484847553e-111,2.9240091486699399e-53
4.6890603103451914e-23,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996531,0.022821567693054285,9.7739536826890905e-121,4.1602525016260433e-63,2.4228117813706683e-40,1.0986305029226089e-88,6.725478860858324e-55,7.1423230543901342e-137,4.7681015985836806e-24,1.9008858217087595e-114,4.7681015985827681e-24,8.3685699616813977e-77,3.915186977479654e-72,8.730031157324185e-116,5.2750886859442958e-117,5.7325191322514054e-56,2.0240284189999545e-91,1.8909610563644344e-17,9.0919088006620048e-19,3.5045128928128332e-22,1.9319868327360644e-36,3.5045128928211002e-22,4.1387572286943815e-34,6.2272100200233982e-42,1.2264564020079771e-48,9.5591897158391974e-78,6.8208695761660238e-56,7.7276287406777245e-106,4.1720148753368364e-109,2.9989570325861354e-109,2.8708092682561241e-52
9.964253159483531e-23,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996528,0.022821567693054285,3.1831472021901852e-118,7.4029458027909339e-62,1.0581055633110436e-39,8.4184873233110675e-87,6.1818737710868336e-54,2.1925768761510845e-134,1.0132215896992359e-23,1.5024919316021942e-112,1.0132215896988375e-23,1.5513918333662252e-75,7.3327105590172448e-71,1.3392997164125705e-113,8.0926684608105858e-115,5.0703473549708128e-55,7.5349503194938133e-90,4.0182922447744138e-17,1.9320306201406762e-18,7.4470898972180114e-22,8.4374924749536712e-36,7.4470898972541179e-22,1.8075039887731016e-33,5.507896648593702e-41,1.0986612722610604e-47,3.6548147022647768e-76,6.032981925092403e-55,1.1855182179712179e-103,6.7887586401056962e-107,4.8799431597592725e-107,2.5391978367453529e-51
2.0514638857760212e-22,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999992,0.11866996602996524,0.022821567693054285,9.3307843001395276e-116,1.248614586905996e-60,4.4173824836419777e-39,5.9929367192798385e-85,5.2887231619478766e-53,6.2481223795931739e-132,2.0860444493816201e-23,1.0649130723174927e-110,2.0860444493799571e-23,2.6664461792181495e-74,1.2665429315453392e-69,1.9077998231585835e-111,1.1527809099099727e-112,4.2619309511855027e-54,2.5959046311850008e-88,8.2729546215943406e-17,3.9777101002896277e-18,1.5332243905998924e-21,3.5224856770890409e-35,1.5332243906149658e-21,7.5459731122117036e-33,4.6297188520117524e-40,9.4683166833054415e-47,1.2995769461554556e-74,5.0710848710273184e-54,1.6887418243101367e-101,9.9465681299667908e-105,7.1498619438856024e-105,2.1343480226616833e-50
4.161541025431357e-22,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999981,0.11866996602996516,0.022821567693054282,2.6449213993496651e-113,2.0508518016636257e-59,1.8046449172409591e-38,4.186775159965651e-83,4.3728185841360025e-52,1.7463801732525669e-129,4.2316901687489823e-23,7.1663767877243284e-109,4.2316901687421885e-23,4.4194389941042215e-73,2.1043784751363794e-68,2.6660124861581697e-109,1.6109280763457152e-110,3.4941860092361208e-53,8.6148610147970824e-87,1.678227937523407e-16,8.069069060587526e-18,3.1102551923442974e-21,1.4390492408601058e-34,3.1102551924058768e-21,3.082776044931792e-32,3.7957229735717304e-39,8.1454646190432242e-46,4.5383134986574916e-73,4.1575818389400155e-53,2.3598947510339059e-99,1.4095717102018795e-102,1.0132382315794173e-102,1.7498662189991138e-49
8.381695304742029e-22,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999964,0.11866996602996499,0.022821567693054278,7.5985757000430901e-111,3.3245145825597097e-58,7.2946635927757874e-38,2.9855578196924883e-81,3.555903450620089e-51,4.9802479408716864e-127,8.5229816074940834e-23,4.7021219337803832e-107,8.5229816074666203e-23,7.1959107369805337e-72,3.430662983551596e-67,3.8016782039493236e-107,2.2971498393090259e-108,2.8296784070440742e-52,2.8070270362744388e-85,3.3800928882513025e-16,1.6251786981183313e-17,6.2643167957859971e-21,5.8168582702872391e-34,6.2643167960349107e-21,1.246107212740799e-31,3.0738744582767738e-38,7.2163717742893477e-45,1.6185955379390972e-71,3.3669176947360053e-52,3.3651606967177799e-97,2.0248697339782364e-100,1.4555310688637402e-100,1.4170850210739725e-48
1.6822003863363374e-21,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999931,0.11866996602996464,0.022821567693054271,2.3044298489195502e-108,5.354013538525984e-57,2.9331523883282082e-37,2.2551540533646511e-79,2.8679649542675894e-50,1.5038547680508521e-124,1.7105564485025793e-22,3.0469050354352042e-105,1.7105564484915363e-22,1.1614228940796499e-70,5.5405135750854014e-66,5.740969356898487e-105,3.4689592649425469e-106,2.2775648933840219e-51,9.0637202023594726e-84,6.7838227897068934e-16,3.2617222822374845e-17,1.2572440002480955e-20,2.3389260135449069e-33,1.2572440003481826e-20,5.0105410584290528e-31,2.4741209146044394e-37,6.8063697260815397e-44,6.1179303852847124e-70,2.7099884835629962e-51,5.0817779387153034e-95,3.0709894935733388e-98,2.207510191666758e-98,1.1405900706398812e-47
3.370262098060606e-21,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999859,0.11866996602996396,0.022821567693054254,7.6541721268570999e-106,8.5943302440000899e-56,1.1763254892852145e-36,1.8687687732041025e-77,2.3037054177213699e-49,4.980380094927345e-122,3.4270730240255235e-22,1.962121549240508e-103,3.4270730239812366e-22,1.8663754114130813e-69,8.9061613289685668e-65,9.5090918823281856e-103,5.7458332028723591e-104,1.8275920153744834e-50,2.9134518686199804e-82,1.3591282592617271e-15,6.5348094504757748e-17,2.5188686415117094e-20,9.3800823685468341e-33,2.5188686419131045e-20,2.0094500731951528e-30,1.9853251432877646e-36,7.0633576580664588e-43,2.5378682077108138e-68,2.1745954221502389e-50,8.4172358831371273e-93,5.1016185070152536e-96,3.667181096724823e-96,9.1524650339954709e-47
