Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),HX(19),HOX(22),CH3OO(77),CH3X(21),CH2X(27),CHX(28),CX(26),OCX(25),H2X(49),C2H4(47),COX(50),CHOX(53),H2OX(23),CO2X(24)
5.8056748758918786e-21,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999705,0.11866996602996248,0.022821567693054247,7.2182093305819262e-101,1.9185125622703326e-54,1.6795213995271399e-30,1.656268454467102e-72,8.2239270034763132e-46,1.2099765971938213e-110,5.1239684768202871e-17,9.0620080986122958e-90,5.123968476819354e-17,5.8341619006276466e-61,6.4684906681845649e-62,1.7256188515061563e-93,2.0008511214275992e-94,2.5912082271287226e-46,1.3026273003271555e-71,2.7983398516025134e-15,8.2853869431123323e-17,3.3169182246418412e-19,5.094406870535598e-32,1.8863740755232904e-31,3.3169182205630789e-19,2.0088317271276399e-28,2.2758279632514239e-34,2.5250754060395545e-39,1.3954567098617666e-64,6.3884162744657164e-44,1.01225268486782e-81,3.0389772026192952e-87,1.3786399664956326e-90,9.8772859626423836e-46,6.3912855477495602e-91
1.1616393778609032e-20,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999416,0.11866996602995962,0.022821567693054205,1.8935154751156606e-98,3.0721161680759582e-53,6.7224625670659716e-30,1.0856812235363082e-70,6.5858115008785932e-45,3.1721898305059745e-108,1.0252388707313603e-16,5.8086490867071138e-88,1.0252388707309867e-16,9.3447982416579404e-60,1.0361616563399388e-60,2.2621087087582417e-91,2.6229098864571681e-92,2.0745396591556407e-45,4.173085917311423e-70,5.5991109280965017e-15,1.6577972311023021e-16,6.636718224198156e-19,2.039087768538554e-31,7.5504123306135433e-31,6.6367182078724686e-19,8.0405529595419189e-28,1.822043768913607e-33,2.069052116946067e-38,4.5743018712488361e-63,5.1146174571608892e-43,6.4858057034799847e-80,3.9837863294784668e-85,1.8083232466723473e-88,7.9078250825126698e-45,8.3832695459793929e-89
2.323783158404334e-20,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679998839,0.11866996602995392,0.022821567693054122,5.0694390511086912e-96,4.9173751423707862e-52,2.6898606760246769e-29,7.2644574762472785e-69,5.271318463594032e-44,8.4882605638911767e-106,2.0509229168302414e-16,3.720406451358164e-86,2.050922916828747e-16,1.4959793171469021e-58,1.6588187037850619e-59,3.0267507204056271e-89,3.5095105530147798e-90,1.6602582398496335e-44,1.3361365196687199e-68,1.1200653081080526e-14,3.3163143046843888e-16,1.3276318235571374e-18,8.1589861388424481e-31,3.0211484156362296e-30,1.3276318170247289e-18,3.217261219558836e-27,1.4581849259499414e-32,1.731829378453819e-37,1.530849801409462e-61,4.0932484135918354e-42,4.1532814684631624e-78,5.330392866450811e-83,2.420865319284474e-86,6.3286482092527934e-44,1.1222975369304417e-86
4.6480707194911954e-20,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679997684,0.11866996602994251,0.022821567693053955,1.4099593130447626e-93,7.8693645927938648e-51,1.0761194299385128e-28,5.0498608952698809e-67,4.2181227364579161e-43,2.3592402401723348e-103,4.1022910090288767e-16,2.3819792740819341e-84,4.1022910090228976e-16,2.3942163708905526e-57,2.6548683097039576e-58,4.2068868405799619e-87,4.8778756875744351e-88,1.3284524701036123e-43,4.2768356690514556e-67,2.2403737387032777e-14,6.6333484518483572e-16,2.655551830736056e-18,3.2641089580955056e-30,1.2086560889371012e-29,2.6555518046021104e-18,1.287108146554689e-26,1.1667633361385158e-31,1.5072829520684464e-36,5.3238460231901406e-60,3.2752206563524533e-41,2.6588574391298409e-76,7.4087236142095889e-81,3.3670392018887845e-84,5.0638557759085172e-43,1.560937757496565e-84
9.296645841664919e-20,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679995375,0.11866996602991969,0.022821567693053622,4.1819418511592086e-91,1.2592147152341498e-49,4.3048281016862205e-28,3.7434029574255061e-65,3.3749254269813528e-42,6.9907976396558601e-101,8.205027193429634e-16,1.5247609276961426e-82,8.2050271934057177e-16,3.8312658370572458e-56,4.2483643856751117e-57,6.2342272316191382e-85,7.2285722319636296e-86,1.062852689180454e-42,1.3687792513088156e-65,4.4809905998874073e-14,1.3267416746175471e-15,5.3113918647112971e-18,1.3057364226440365e-29,4.8350178130042562e-29,5.3113917601665403e-18,5.148804907983295e-26,9.3348945058043376e-31,1.4004464637680952e-35,1.9750451722024479e-58,2.6204253433706362e-40,1.7019111332622216e-74,1.0979060758175242e-78,4.9944434980802618e-82,4.0514303389026493e-42,2.3153922838638953e-82
1.8593796086012365e-19,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679990762,0.11866996602987405,0.02282156769305296,1.363414393006296e-88,2.0148085446821597e-48,1.722001349896288e-27,3.0500584108864266e-63,2.7001112462205385e-41,2.2763045667881016e-98,1.6410499562245108e-15,9.7594114528139613e-81,1.6410499562149443e-15,6.1304410801371996e-55,6.7977416357804291e-56,1.0152864168182581e-82,1.1772222772197014e-83,8.5030620078230097e-42,4.3804005604856881e-64,8.962224322230385e-14,2.6535553334826408e-15,1.0623072011133846e-17,5.2230508302742807e-29,1.9340858065508847e-28,1.0623071592934076e-17,2.0595684109299343e-25,7.4681125786166933e-30,1.4316245732469837e-34,8.0560836113153406e-57,2.0964398417591572e-39,1.0893006882325599e-72,1.7880148905503842e-76,8.1440314304850178e-80,3.2412358380215131e-41,3.7755223621041292e-80
3.7188096574707257e-19,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679981531,0.11866996602978278,0.022821567693051634,4.9892603176015659e-86,3.223655726804431e-47,6.8881458632336431e-27,2.7893343237632273e-61,2.1601573594412321e-40,8.3184924452100401e-96,3.2821444299931883e-15,6.2463246243373435e-79,3.2821444299549218e-15,9.8090383210066146e-54,1.0876348769480525e-54,1.8557463213963407e-80,2.1517336007285469e-81,6.8023500137363842e-41,1.4017772899722501e-62,1.7924691766815217e-13,5.3071826512115136e-15,2.1246432617886821e-17,2.0891769277891668e-28,7.7365004884715115e-28,2.1246430945023849e-17,8.2381423986501175e-25,5.9743797930092451e-29,1.6432509082813747e-33,3.688709985601999e-55,1.6771917563832873e-38,6.971772586701884e-71,3.2681437669417716e-74,1.4906071413912516e-77,2.5929505379376311e-40,6.9103661659206031e-78
7.437669755209705e-19,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679963073,0.11866996602960023,0.02282156769304898,2.0445624812369748e-83,5.1575310130195674e-46,2.7552866324176992e-26,2.8567412067946022e-59,1.7281532305949816e-39,3.4047981715063462e-93,6.5643333775528763e-15,3.9977441670581262e-77,6.5643333773998065e-15,1.5694727355035296e-52,1.7401088668286363e-53,3.7989454204216785e-78,4.4048684440159964e-79,5.441526944225885e-40,4.4857658791045491e-61,3.5849626655580382e-13,1.0614437286663997e-14,4.2493155087181092e-17,8.3561055083725233e-28,3.0946315655364397e-27,4.2493148395422296e-17,3.2950514171608753e-24,4.7791572623566383e-28,2.1112067018326425e-32,1.8911613288103671e-53,1.341769446640057e-37,4.4620138379301946e-69,6.6902997719808904e-72,3.0550916663387571e-75,2.0742255758226554e-39,1.4163240250381586e-75
1.4875389950687662e-18,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679926153,0.11866996602923512,0.022821567693043672,9.1616964130317923e-81,8.2508743924817899e-45,1.1021204656960857e-25,3.1995719207748704e-57,1.3825335179983182e-38,1.5243980319860997e-90,1.3128711272761575e-14,2.5585871056060623e-75,1.3128711272149297e-14,2.5111776482956784e-51,2.7837562168797559e-52,8.5061162954563916e-76,9.8628219710327594e-77,4.3525792901301625e-39,1.4354576321570846e-59,7.1699496431492726e-13,2.122894655754791e-14,8.4986605050177158e-17,3.3419095576939546e-27,1.2378588342033985e-26,8.4986578281095372e-17,1.3178360575397868e-23,3.8227033537802365e-27,2.9632153455223428e-31,1.0599511514325278e-51,1.0734221149442197e-36,2.8557142110747353e-67,1.4980068429634494e-69,6.8463570564525751e-73,1.6591352056711576e-38,3.1739417289511889e-73
2.9750830341643574e-18,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679852312,0.11866996602850491,0.022821567693033059,4.3553359819028633e-78,1.3197514083998063e-43,4.4084947299127679e-25,3.8020739328609344e-55,1.1060311817796091e-37,7.2430038787905427e-88,2.6257467063536276e-14,1.6375056004988406e-73,2.6257467061087156e-14,4.0179012160979478e-50,4.4526123851847258e-51,2.0210532104552864e-73,2.3434063640147575e-74,3.4810052807228197e-38,4.5934843925581913e-58,1.4339923597684539e-12,4.2457965099231549e-14,1.6997352508380157e-16,1.3363277069098456e-26,4.9514472242692608e-26,1.6997341799195087e-16,5.2698285476711673e-23,3.0571399487897577e-26,4.408370730756018e-30,6.3009982052361501e-50,8.5874054047530289e-36,1.8276651474385155e-65,3.5592635266145844e-67,1.627530021844562e-70,1.3269041204531882e-37,7.5451949878617292e-71
