Time (s),Volume (m^3),N2,Ar,He,Ne,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(33),OX(20),CH3X(22),HOX(23),HX(19),CH2X(134),CHX(26),H2OX(35),H2X(36),CXHO(27),OCX(21),COX(37),CH3OHX(46),C2H6X(39),HOCXO(25),CO2X(34),CX(24),HO2X(135),CH2O3(144),SX(162),CH2O2(69),SX(192),CHO3X(143)
1.19308984003694e-20,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039999654,0.099999999999996939,0.099999999999999825,2.7812491176896673e-109,6.1458675845828873e-64,1.1323943186545554e-53,1.2994173546899926e-88,1.7243782135544203e-47,1.0289888089318334e-103,1.0041805021655541e-36,0.0,6.3351344991790373e-45,5.8795324828370221e-100,1.1501396431842717e-62,5.2216969740071274e-87,4.8966216300298002e-98,4.2176018900437447e-54,5.0266194016584095e-138,3.064855977678433e-15,3.8108402451264137e-16,2.6140359589054206e-21,3.8280741425341387e-33,2.6140359589661284e-21,3.226747710260052e-32,6.7417442298570841e-40,9.1814242751788604e-78,5.2254531111690301e-67,7.2923850988791309e-70,4.758660144736023e-77,1.5141870363298634e-102,1.2883654627671197e-76,2.0603042706043059e-61,2.0079903744981292e-110,2.5805101788968635e-123,2.3123300582356879e-60,1.2104412111794546e-64,4.6950153059450301e-150,3.6631310435055286e-164,1.2401695626193549e-108,1.1251754903230518e-122,7.9844329744126305e-140
2.3872162481364664e-20,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.1928957503999931,0.099999999999993872,0.099999999999999631,7.132073292880107e-107,9.8448316673890477e-63,9.0683386711643897e-53,1.6653571662065411e-86,1.380901103083987e-46,1.3193216776063387e-101,4.0193389785392423e-36,0.0,2.5357047833962815e-44,3.7706308461572581e-98,1.8423649987433175e-61,3.3460781562080579e-85,6.2782222292176864e-96,3.376645993967533e-53,6.4467610170475662e-136,6.1323747317025526e-15,7.6249913853396277e-16,5.2303430176310955e-21,1.5322272816470209e-32,5.2303430178740854e-21,1.2915399718237162e-31,5.3974945476732987e-39,2.9415888229247703e-76,8.3698063016461006e-66,2.336444032791456e-68,3.0493628494202326e-75,3.8812391616297479e-100,4.1277272253653554e-75,3.3000674395251986e-60,5.1522544530489522e-108,1.3234663995921583e-120,3.7027407683993185e-59,1.9389597895778717e-63,9.6476151374528217e-147,1.5054480116899518e-160,3.1821214104694974e-106,5.7741476463427039e-120,8.1984078926824114e-137
4.775469064335519e-20,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039998619,0.099999999999987738,0.099999999999999256,1.8273578383331392e-104,1.576089149064084e-61,7.2583463813271187e-52,2.1330038347629645e-84,1.1052805687241607e-45,1.6901512542107886e-99,1.608259134532116e-35,0.0,1.014612204223182e-43,2.4156801668185562e-96,2.9494983759509004e-60,2.142832240148461e-83,8.0428802641739772e-94,2.7023430259035801e-52,8.2599830004295859e-134,1.2267412238697873e-14,1.5253293665765482e-15,1.0462957134910887e-20,6.1309049428074952e-32,1.0462957135883163e-20,5.1678419799234257e-31,4.3196358783380797e-38,9.4187410883894424e-75,1.3398959282407088e-64,7.4812326299634311e-67,1.9528154217112875e-73,9.9422739608658575e-98,1.3216665079244454e-73,5.282974021514379e-59,1.3204893572270089e-105,6.7819008969895107e-118,5.9267964042650006e-58,3.1041399258012382e-62,1.979138073425477e-143,6.1766367125099671e-157,8.1555705544167126e-104,2.9597597424997008e-117,8.4066307542002619e-134
9.551974696733625e-20,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039997239,0.09999999999997547,0.099999999999998493,4.6800161952636228e-102,2.5224757431954634e-60,5.8081476423094008e-51,2.7311064209502197e-82,8.8444838410918976e-45,2.164302016910687e-97,6.434083773343769e-35,0.0,4.0591094928534531e-43,1.5468282121309816e-94,4.7205693506405137e-59,1.3718419624341654e-81,1.0299210110249351e-91,2.1622849996377237e-51,1.057798346367913e-131,2.4537487248476844e-14,3.0509898226614884e-15,2.0928185368784225e-20,2.4527611958863477e-31,2.092818537267396e-20,2.067473128729602e-30,3.4563647366080108e-37,3.0149025609746019e-73,2.1444151862292573e-63,2.3947319820405486e-65,1.2501931276686221e-71,2.5460284297450331e-95,4.2306033418052329e-72,8.4550519811379626e-58,3.3823888848778359e-103,3.4738059202702307e-115,9.4848031302771545e-57,4.9680677615714512e-61,4.0566632055350431e-140,2.5320658859263648e-153,2.0890218641249446e-101,1.5162666343891293e-114,8.6142608357280613e-131
1.9104985961529836e-19,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.1928957503999448,0.099999999999950934,0.099999999999996966,1.1983370685575919e-99,4.0365477649021983e-59,4.6471064012049953e-50,3.4963659419935794e-80,7.0764828978909689e-44,2.7708867177553894e-95,2.5738429711519785e-34,0.0,1.6237759418459865e-42,9.9022385725370147e-93,7.5540086916815062e-58,8.7811582571410125e-80,1.3185749962871e-89,1.72999224705252e-50,1.3543151148728156e-129,4.9077637251188105e-14,6.1023107348304503e-15,4.1858641833785946e-20,9.8118432671851623e-31,4.1858641849346147e-20,8.2705641987984854e-30,2.7653539071081208e-36,9.6491370977976816e-72,3.431529722978329e-62,7.6643187397978868e-64,8.0024842558188586e-70,6.5188617795403431e-93,1.3539963859495449e-70,1.352991826433776e-56,8.6613902878202664e-101,1.7789648409027525e-112,1.5177226587806076e-55,7.9500637035249141e-60,8.3115136649447306e-137,1.0375671477109818e-149,5.3494244907259904e-99,7.7655084091020545e-112,8.8240058655912231e-128
3.821100849112226e-19,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039988963,0.099999999999901848,0.099999999999993913,3.0680636024231452e-97,6.4589457100012041e-58,3.7179204512931753e-49,4.4756957792746298e-78,5.6615446688060616e-43,3.5471027533163254e-93,1.029579082199357e-33,0.0,6.4953680670201911e-42,6.3382449643391911e-91,1.2087292136183665e-56,5.6203739775581157e-78,1.6879510193169877e-87,1.3840594972571989e-49,1.7337366976238082e-127,9.8157937189223921e-14,1.2204952559164695e-14,8.3719554752809521e-20,3.9248970006882128e-30,8.3719554815052917e-20,3.308359191031868e-29,2.2123874603451627e-35,3.0879557084698488e-70,5.4908199165229147e-61,2.4527677515151146e-62,5.1219842472175068e-68,1.6689586711357208e-90,4.3331137589854341e-69,2.1649337389568822e-55,2.2176305007352776e-98,9.1092540811210607e-110,2.4284790377548173e-54,1.2721026202359994e-58,1.702551445135856e-133,4.2507577026011261e-146,1.3696470023274581e-96,3.9765056327577369e-109,9.0373106510570683e-125
7.642305355030711e-19,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039977927,0.09999999999980369,0.099999999999987807,7.8546376010655437e-95,1.0334688539007159e-56,2.9744304976744443e-48,5.7291014499594546e-76,4.5293790773978106e-42,4.5405177352961336e-91,4.1184001168384777e-33,0.0,2.5982000883296885e-41,4.0567367220329312e-89,1.9340369944011632e-55,3.5971705795022599e-76,2.1606849642380504e-85,1.107273873824237e-48,2.2193198075527834e-125,1.9631853679574863e-13,2.4410236207818462e-14,1.6744138054693735e-19,1.5699907327266415e-29,1.6744138079591603e-19,1.3233697151499668e-28,1.7699508743354582e-34,9.8818291742454359e-69,8.7856097431900721e-60,7.8491381150434172e-61,3.2781895145764345e-66,4.2726921311297613e-88,1.3866484498786208e-67,3.4640114355115476e-54,5.6775253448536828e-96,4.6641730060979802e-107,3.8856629293659612e-53,2.0354381289097226e-57,3.4871803258761418e-130,1.7412876475085485e-142,3.5065381728286588e-94,2.0361116045469131e-106,9.2549702118322726e-122
1.528471436686768e-18,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039955853,0.099999999999607375,0.099999999999975608,2.0108296936267456e-92,1.6535801858824948e-55,2.379582055986734e-47,7.3333554229139243e-74,3.6235605961839348e-41,5.8119840128280732e-89,1.6473768037505883e-32,0.0,1.0392906082529624e-40,2.5963946842095862e-87,3.0945153666833493e-54,2.3022219065971416e-74,2.7657344887620341e-83,8.8582960236007233e-48,2.8408183747242121e-123,3.9263973493061059e-13,4.8820803505067135e-14,3.3488503195951532e-19,6.2800267413370687e-29,3.3488503295544095e-19,5.2935256262085342e-28,1.4159757358376849e-33,3.1622446510918754e-67,1.4057213825439098e-58,2.511759024369589e-59,2.0980711218350155e-64,1.0938250258274846e-85,4.4373582711278113e-66,5.5425122471738439e-53,1.4534907130514611e-93,2.3881071472459374e-104,6.2171322279232761e-52,3.2567601290660182e-56,7.1420800989593881e-127,7.1326486393567897e-139,8.9770118662654831e-92,1.0425210553320821e-103,9.4774425544307838e-119
3.0569532390541618e-18,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039911708,0.099999999999214731,0.099999999999951197,5.1477370798001708e-90,2.6457522710862652e-54,1.9036807122298317e-46,9.3866872882385369e-72,2.8988714051477204e-40,7.4393570993082519e-87,6.5895407232445078e-32,0.0,4.1571835831294327e-40,1.6617192125544038e-85,4.9512694393509663e-53,1.4734206429599057e-72,3.5401485019339116e-81,7.0866787164108624e-47,3.6363118969246749e-121,7.8528212688758463e-13,9.7641938099329004e-14,6.6977233408196126e-19,2.5120234146451173e-28,6.6977233806568957e-19,2.1174153537955825e-27,1.1327844812256674e-32,1.0119277589956472e-65,2.2491732489674244e-57,8.0376194315680471e-58,1.3427642623901232e-62,2.800189938768663e-83,1.4199679348194234e-64,8.8680947120734863e-52,3.7209628361746289e-91,1.2227140028910237e-101,9.9474507645220827e-51,5.2108634168340907e-55,1.4627205252132492e-123,2.9215778793930857e-135,2.2981319870746345e-89,5.3377473954914879e-101,9.7050037429799489e-116
6.113916843788949e-18,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039823414,0.099999999998429442,0.099999999999902375,1.3178012219422542e-87,4.2332226774646232e-53,1.5229506034817426e-45,1.2014762281550843e-69,2.3191062863442994e-39,9.5222345325349961e-85,2.6358229862112257e-31,0.0,1.6628776666297742e-39,1.0635088075715292e-83,7.9220667026608781e-52,9.4297359960091198e-71,4.5313222309919878e-79,5.6693595466718868e-46,4.6545583562369058e-119,1.570566893550533e-12,1.9528420728691084e-13,1.3395469355160127e-18,1.0048118742596558e-27,1.3395469514510114e-18,8.4696376232917161e-27,9.062257467810974e-32,3.2381838544714941e-64,3.5986923569597514e-56,2.5719949983441262e-56,8.5935489985126715e-61,7.1683688195038267e-81,4.5439184659992526e-63,1.4189011490915589e-50,9.5255453362730491e-89,6.2602033709927291e-99,1.5915894876915131e-49,8.3374189524971619e-54,2.995626518046699e-120,1.1966682658938001e-131,5.883146698434261e-87,2.7328936838186657e-98,9.9378161922695772e-113
