Time (s),Volume (m^3),N2,Ne,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(56),OX(20),CH3X(21),HOX(22),HX(19),CH2X(27),CHX(28),CX(26),OCX(25),H2OX(23),COX(58)
7.821727116607723e-21,0.09977366400000001,0.80000000000000004,0.0,0.28934362559999688,0.099999999999997549,0.099999999999999659,7.8356009536354806e-123,3.9498254680726823e-54,9.4275075416863721e-41,5.1114875036955464e-66,3.9189272421011803e-49,2.5353379041240071e-43,4.0479076019123659e-26,5.1082531273057971e-103,4.0479075196367922e-26,1.3740095040832598e-65,4.7226470922957271e-60,1.2070820714506222e-66,5.3969814900091092e-95,2.5360749171965836e-43,1.379012586404321e-80,2.4608504039593553e-15,7.1779401506281763e-16,1.6267246666737352e-20,1.1561234476990554e-31,1.6267246669241561e-20,1.3094942963371596e-30,3.7148609311953398e-36,1.4661009217614911e-42,1.5530488436419267e-66,2.0636722011833009e-45,3.5880731205131258e-81
1.5650249825844992e-20,0.09977366400000001,0.80000000000000004,0.0,0.28934362559999371,0.099999999999995093,0.099999999999999298,5.0247046723999087e-121,6.3232143767895235e-53,3.7765173768503664e-40,4.0922980812289882e-65,3.138320183097438e-48,1.0147959074646866e-42,8.0993322300443319e-26,1.6370882362951161e-101,8.0993319007276219e-26,1.100322188514558e-64,7.5650288459275359e-59,9.6639963045807543e-66,8.6422022891376711e-94,1.0153859660498884e-42,2.2088171435714168e-79,4.9238388186934903e-15,1.436211656550513e-15,3.2548626473277468e-20,4.6275066652119403e-31,3.2548626483300844e-20,5.2413749533663191e-30,2.9741385500705281e-35,2.2865154106496763e-41,9.6889328048786922e-65,1.6521925354243747e-44,5.745592001714413e-80
3.1307295244319526e-20,0.09977366400000001,0.80000000000000004,0.0,0.28934362559998733,0.099999999999990166,0.099999999999998576,3.2200406557030109e-119,1.0119938216320734e-51,1.513545626704441e-39,3.2750824115408114e-64,2.5119281230606706e-47,4.0605056042953168e-42,1.6202181980641473e-25,5.2426029100330793e-100,1.6202180662945677e-25,8.8070406042768273e-64,1.211108529543318e-57,7.7341343810763661e-65,1.383315273494393e-92,4.0652278661516265e-42,3.5360271284928577e-78,9.8498156481560506e-15,2.8730469395258297e-15,6.5111386079177052e-20,1.8516053705283577e-30,6.5111386119283736e-20,2.0972208001835689e-29,2.3802003531371411e-34,3.6109571775968092e-40,6.1205524156848339e-63,1.3222561208549865e-43,9.1966895451038497e-79
6.262138608126859e-20,0.09977366400000001,0.80000000000000004,0.0,0.28934362559997462,0.099999999999980313,0.099999999999997133,2.0635278388805771e-117,1.61941367794181e-50,6.0747450384638183e-39,2.6205650612629404e-63,2.0100514125259583e-46,1.6244667592264474e-41,3.240788345916859e-25,1.6782615301234064e-98,3.2407878187527394e-25,7.0474222803470629e-63,1.9383368773465358e-56,6.1884829929982882e-64,2.2137560298489313e-91,1.6282452859740487e-41,5.6591828058546281e-77,1.9701769307058337e-14,5.7467175054761668e-15,1.3023690526225368e-19,7.4076267253483894e-30,1.3023690542270758e-19,8.3901535999862349e-29,1.9044988928062725e-33,5.7394854618838183e-39,3.8913787605968971e-61,1.0580057255665122e-42,1.471770549003448e-77
1.2524956775516673e-19,0.09977366400000001,0.80000000000000004,0.0,0.28934362559994919,0.099999999999960607,0.09999999999999426,1.3232554472149254e-115,2.5912405021501179e-49,2.4457581319759809e-38,2.0966687617556252e-62,1.6082447191824769e-45,6.4983967892663724e-41,6.4819294325554215e-25,5.3714495398744939e-97,6.4819273237273227e-25,5.6386604265969997e-62,3.1017893870729374e-55,4.9512571232160504e-63,3.5423980726567688e-90,6.528627870033966e-41,9.0559344369883313e-76,3.9405676624771572e-14,1.1494058637375651e-14,2.6048794351351691e-19,2.9632914860510644e-29,2.6048794415539229e-19,3.3562583950644478e-28,1.5237069392948465e-32,9.1525710245570022e-38,2.4821874779864154e-59,8.464848389123179e-42,2.3550910823962749e-76
2.5050593110296305e-19,0.09977366400000001,0.80000000000000004,0.0,0.28934362559989829,0.099999999999921194,0.099999999999988515,8.5001185578674123e-114,4.1461269266124439e-48,9.9087265767222882e-38,1.6776371652183549e-61,1.2866772138630225e-44,2.5994652136914054e-40,1.296421476956508e-24,1.719030162181247e-95,1.2964206333909448e-24,4.5112279538837219e-61,4.9632224768942756e-54,3.9611947734974738e-62,5.6688329692376056e-89,2.6236512209694569e-40,1.4490521535140515e-74,7.8813491259832724e-14,2.2988740901169876e-14,5.2099001955648318e-19,1.1853645393932696e-28,5.2099002212414993e-19,1.3424970389889324e-27,1.2189644725378881e-31,1.4619113290560423e-36,1.5858898410812947e-57,6.7721984554414831e-41,3.768807833703158e-75
5.010186577985556e-19,0.09977366400000001,0.80000000000000004,0.0,0.28934362559979648,0.099999999999842382,0.099999999999977024,5.487611426994369e-112,6.6339143048299709e-47,4.0637973352743875e-37,1.3449825465856782e-60,1.0293743441015598e-43,1.039807820447482e-39,2.5928798098514511e-24,5.5011899513779803e-94,2.5928764355205538e-24,3.6091190984358732e-60,7.9414407293607575e-53,3.1690326881436422e-61,9.0884339872601142e-88,1.0591570767684908e-39,2.318576061821954e-73,1.5762912052849368e-13,4.5978105428739323e-14,1.0419941698041743e-18,4.7415523218227939e-28,1.0419941800755385e-18,5.3696098780853811e-27,9.7510041820380938e-31,2.3368940597969477e-35,1.0140315812927394e-55,5.4178845744641378e-40,6.042259405074111e-74
1.0020441111897407e-18,0.09977366400000001,0.80000000000000004,0.0,0.28934362559959287,0.099999999999684744,0.099999999999954028,3.6594105599036524e-110,1.0614343937505647e-45,1.7056967587592201e-36,1.1123340932784883e-59,8.2351249926072921e-43,4.1592782320870952e-39,5.1858015376133454e-24,1.7604452218537552e-92,5.1857880401525055e-24,2.8873769924630897e-59,1.2706523987835877e-51,2.535258878442375e-60,1.5003913183403846e-86,4.3140739794055247e-39,3.7098293882754097e-72,3.1526037905997034e-13,9.1956834483802217e-14,2.0840024629465922e-18,1.8966383798223398e-27,2.0840025040363684e-18,2.1474758691963723e-26,7.7993873758069272e-30,3.7367748634446827e-34,6.48589758304594e-54,4.3343546387393027e-39,9.9750436389352412e-73
2.0040950179721112e-18,0.09977366400000001,0.80000000000000004,0.0,0.28934362559918564,0.099999999999369482,0.099999999999908051,3.4388838546080698e-108,1.6982989768672248e-44,7.4637894302593633e-36,1.3546831332884251e-58,6.58815200362036e-42,1.6637234669148735e-38,1.0371665241024883e-23,5.6336397286695827e-91,1.0371611250907353e-23,2.3099775098275319e-58,2.0330584649026523e-50,2.0282233616651417e-59,3.5832438680304249e-85,1.7875605750456848e-38,5.9359206781122429e-71,6.3052289609954259e-13,1.8391429259362405e-13,4.1680190198195722e-18,7.586577366254997e-27,4.1680191842107084e-18,8.5868292865492189e-26,6.2371344388398981e-29,5.9753583850596019e-33,4.1485697427691829e-52,3.4674971499115953e-38,2.3822456278518021e-71
4.008196831536852e-18,0.09977366400000001,0.80000000000000004,0.0,0.28934362559837118,0.099999999998738959,0.099999999999816097,1.3312542172982558e-105,2.7172734016970155e-43,3.4977780115536616e-35,7.0281796505198387e-57,5.2705422679398911e-41,6.6549404877201595e-38,2.0743473639396648e-23,1.8028707442222292e-89,2.0743257678380804e-23,1.8480815426510663e-57,3.2528960326283679e-49,1.6225902611684073e-58,3.5981679772257672e-83,7.6456366990335779e-38,9.4979720266812748e-70,1.2610479300851619e-12,3.678292088120518e-13,8.336052015918107e-18,3.0346268716544046e-26,8.3360526737336775e-18,3.4322486718382411e-25,4.9858662250877731e-28,9.552428473507108e-32,2.652838117281219e-50,2.7739945309632163e-37,2.3921667024469296e-69
