Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(55),OX(20),CH3X(21),HOX(22),HX(19),CH2X(27),CHX(28),CX(26),OCX(25),H2OX(23),COX(57),H2X(56)
6.550796420413366e-21,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999726,0.11866996602996269,0.022821567693054223,1.2702778980716197e-116,1.6705370481317069e-54,7.1719944413725197e-38,5.8801707704632416e-62,1.6906990523881614e-48,3.9664530742021698e-41,1.3854863293915e-23,1.8572219400493257e-95,1.3854863277228134e-23,2.2143974017952137e-60,3.009997453177873e-60,1.6551043076662108e-62,6.0509134674663521e-89,3.9664848540000814e-41,9.6610941988827881e-75,2.6417448485019718e-15,1.2701743992223499e-16,4.8959384163514325e-20,3.54228715006622e-32,4.8959384178672387e-20,7.5883726608754266e-30,1.4562976224896866e-35,7.3947210689689463e-42,1.0003572729203546e-66,6.7137002193559543e-46,5.4526609946528105e-77,2.5753536801451703e-51
1.310728423650042e-20,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999448,0.11866996602996004,0.02282156769305416,8.1441354687346153e-115,2.3180233898784529e-53,2.8707802280709857e-37,4.7077120164738606e-61,1.3539304587865737e-47,1.5876149188244304e-40,2.7721763861287427e-23,5.9520064819593218e-94,2.7721763794496484e-23,1.7733138819527793e-59,4.8216005193372435e-59,1.3250898216859962e-61,9.6893453208082399e-88,1.5876403619860014e-40,1.5474540796194088e-73,5.2857848706326542e-15,2.5414523383223576e-16,9.7961304701242517e-20,1.4178379925732261e-31,9.7961304761914282e-20,3.0373208207039913e-29,1.1659211349874429e-34,9.5736487199113499e-41,5.170756880832524e-65,5.3750423328486106e-45,8.7313618864982375e-76,2.0619248727128694e-50
2.6220259868674528e-20,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319998893,0.11866996602995475,0.022821567693054032,5.2168924998157235e-113,3.4246440110083869e-52,1.1487767573837818e-36,3.7676003902473921e-60,1.0836931213649421e-46,6.3525276526192041e-40,5.5455565096307556e-23,1.9060667062377233e-92,5.54555648290568e-23,1.419369847099756e-58,7.7190473322859168e-58,1.0604745812418796e-60,1.5509262704351292e-86,6.3527312752349451e-40,2.4772705101246313e-72,1.0573864914889176e-14,5.0840082165222725e-16,1.9596514573121417e-19,5.6731986767517579e-31,1.9596514597398076e-19,1.215319291637558e-28,9.3308732686737776e-34,1.350941454316972e-39,2.9144550241446967e-63,4.301667355675862e-44,1.397586528725572e-74,1.6502882100901576e-49
5.244621113302274e-20,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319997783,0.11866996602994417,0.022821567693053778,3.3403587932789625e-111,5.2519455992426298e-51,4.5965810161105891e-36,3.014652754236171e-59,8.6717405168802519e-46,2.5414247233081658e-39,1.1092316796744893e-22,6.1016939146897432e-91,1.1092316689827188e-22,1.1357834545073428e-57,1.2354065746565825e-56,8.4854079143289575e-60,2.4819869822351683e-85,2.5415876523320936e-39,3.9647083425404404e-71,2.1150025003382855e-14,1.0169119972921705e-15,3.9197282760921859e-19,2.2696487967581979e-30,3.9197282858044672e-19,4.8620312012553767e-28,7.466053435843594e-33,2.0167384263228057e-38,1.7387787719809584e-61,3.4419873050678865e-43,2.2365934600463804e-73,1.3206759808647995e-48
1.0489811366171917e-19,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319995568,0.11866996602992302,0.022821567693053268,2.1384020438189024e-109,8.2210726015461028e-50,1.8393628416726308e-35,2.4119512208309866e-58,6.938270727093936e-45,1.0166526339691843e-38,2.2185837531413631e-22,1.9529070477117263e-89,2.2185837103707999e-22,9.0874182436908575e-57,1.9769376517793892e-55,6.7889709453536156e-59,3.9715832113491818e-84,1.0167829895549084e-38,6.3443939997205431e-70,4.2302345180292747e-14,2.0339343485718974e-15,7.8398819063747221e-19,9.0793333489470634e-30,7.839881945227308e-19,1.9449408954957173e-27,5.9733092874593777e-32,3.1108975110877853e-37,1.0723159415404478e-59,2.7538510563855032e-42,3.5789135926684547e-72,1.0569526099828542e-47
2.0980191871911203e-19,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319991132,0.11866996602988072,0.022821567693052252,1.3688591633748182e-107,1.3008061419282075e-48,7.3623970910581668e-35,1.9296526386735477e-57,5.5509679093196709e-44,4.0667760814760097e-38,4.4372879642512878e-22,6.2498868905546933e-88,4.437287793162077e-22,7.2703951219005119e-56,3.1633295966056041e-54,5.4314346784557474e-58,6.3548565606989196e-83,4.0678189755143896e-38,1.0151719315567362e-68,8.4606985533802647e-14,4.0679790511307127e-15,1.5680189137829577e-18,3.6318805429685597e-29,1.5680189293248638e-18,7.7798412064765118e-27,4.7787133433530437e-31,4.8845984847197847e-36,6.7330238149507714e-58,2.2031850415317916e-41,5.7265530793549076e-71,8.4610064123375255e-47
4.1960952883389776e-19,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319982262,0.11866996602979611,0.022821567693050219,8.7628649551539167e-106,2.0696360840716906e-47,2.9487355772787007e-34,1.5437591653135554e-56,4.4409148320230011e-43,1.6267435826318945e-37,8.874696643175855e-22,2.0000574854587528e-86,8.8746959588050922e-22,5.8165007232070399e-55,5.061509658140974e-53,4.3452510149412709e-57,1.0168031700741461e-81,1.6275779174179474e-37,1.6243303163454161e-67,1.6921626623958295e-13,8.1360684562457873e-15,3.1360803484298431e-18,1.4527813109877897e-28,3.1360804106006428e-18,3.1118086495869142e-26,3.8228039189068829e-30,7.7407074589380783e-35,4.2673898934761811e-56,1.7625892423601767e-40,9.1627199382776909e-70,6.7769399022660607e-46
8.392247490634692e-19,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319964526,0.11866996602962689,0.022821567693046149,5.6105599454186104e-104,3.302092705999168e-46,1.1824792077120381e-33,1.2350267075062682e-55,3.5527880190555301e-42,6.5070409538593332e-37,1.7749515027843838e-21,6.4003350073870264e-85,1.7749512290332962e-21,4.6532750848273625e-54,8.0985575006141089e-52,3.4762422822599094e-56,1.6269116296520554e-80,6.5137157073907787e-37,2.598973041580566e-66,3.3843482764618563e-13,1.6272247266465718e-14,6.2722031711472735e-18,5.8111806528508767e-28,6.2722034198482895e-18,1.2445832291306975e-25,3.0578674971666562e-29,1.2324210593644674e-33,2.7175077566532795e-54,1.4100871248833812e-39,1.466059004425578e-68,5.4343728619829292e-45
1.678455189522612e-18,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319929054,0.11866996602928845,0.022821567693038013,3.5937444770190671e-102,5.2758827294050123e-45,4.7537166571513196e-33,9.8808661488896487e-55,2.8422527979946565e-41,2.6028299643966646e-36,3.5499155904455104e-21,2.0481321144507408e-83,3.5499144954356094e-21,3.7226509183729683e-53,1.2957793485784597e-50,2.781010671457472e-55,2.6032224810404113e-79,2.6081697925521611e-36,4.1583936278562984e-65,6.7687195043955919e-13,3.2544604886864703e-14,1.2544448630276774e-17,2.3244811195957883e-27,1.2544449625208179e-17,4.9771355094681834e-25,2.4456496417178768e-28,1.9666163312542754e-32,1.7345100111459439e-52,1.1280747877406433e-38,2.3458417025140574e-67,4.3679279717426992e-44
3.356916070440898e-18,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319858111,0.11866996602861156,0.022821567693021742,2.3053697050997931e-100,8.435422412047961e-44,1.920499086787187e-32,7.9122913526867719e-54,2.2738110654562369e-40,1.041134908837262e-35,7.0998454086777781e-21,6.5540673819375328e-82,7.099841028627186e-21,2.9781347513985868e-52,2.0732511871423017e-49,2.2248156873143992e-54,4.1689260964388041e-78,1.0454067738665374e-35,6.6534628383060123e-64,1.3537461959469788e-12,6.5089320127499208e-14,2.5088938803314377e-17,9.2979244084037821e-27,2.5088942784027752e-17,1.989881754041423e-24,1.955472039013645e-27,3.1411537370799666e-31,1.1081544346965478e-50,9.0245993796889771e-38,3.7567428941872393e-66,3.5269773388377543e-43
