Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),CH3X(21),HOX(22),HX(19),CH2X(27),CHX(28),CX(26),OCX(25),H2OX(23),COX(50),H2X(49),CHOX(53)
6.649310165217266e-21,0.11640260799999998,0.8585084662769803,0.0,0.0,0.3375675631999972,0.11866996602996265,0.022821567693054223,0.0,1.3000050003079347e-54,4.5768265938871655e-36,1.5769454702172158e-75,1.7681285712496544e-48,1.6314642719133219e-119,6.7613944651346902e-22,1.1547304796845794e-101,6.7613944649623787e-22,2.8241264074066212e-68,3.1951855421134443e-60,1.5807287008843413e-100,9.5514940289422271e-102,3.3235223079664452e-46,8.6908009020022323e-81,2.6814725642086121e-15,1.2892758379774161e-16,4.9695656819073247e-20,3.6496291843695208e-32,4.9695656834690661e-20,7.8183231219114317e-30,1.5229918962822294e-35,7.805137753016399e-42,1.0878134701304007e-66,7.0211687447553302e-46,1.3992257588623658e-90,1.6681880492748396e-49,8.4989645014807725e-94
1.3304397315808308e-20,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999437,0.11866996602995997,0.022821567693054157,0.0,2.0817018908472365e-53,1.8319245786691852e-35,1.6319243038289771e-73,1.4159368719547181e-47,6.7476205814901755e-117,1.3528663295917494e-21,7.4016973630809188e-100,1.3528663295227804e-21,4.5235103052479604e-67,5.1182462798113623e-59,3.2698180315611491e-98,1.9757753016964214e-99,2.6608386651028822e-45,2.7841777029896519e-79,5.3652748178718691e-15,2.5796718113483488e-16,9.9434489692748708e-20,1.4608027797890603e-31,9.9434489755259121e-20,3.1293606649118954e-29,1.2193169559959645e-34,1.0127002760619868e-40,5.63512827927486e-65,5.6212041035160873e-45,2.8943699117032563e-88,1.3355655759607761e-48,1.7608352719618839e-91
2.6614571616990393e-20,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319998876,0.1186699660299546,0.022821567693054028,0.0,3.3320787592208966e-52,7.3300939954264809e-35,1.8409889248668283e-71,1.1333233833783441e-46,3.0429878944872883e-114,2.7063200958515291e-21,4.7407447407681619e-98,2.7063200955755637e-21,7.241545167038748e-66,8.193956575643557e-58,7.3744575792408871e-96,4.4559883370361339e-97,2.1294795750716835e-44,8.9143659603164829e-78,1.0732879325193394e-14,5.1604637580901131e-16,1.9891215539323663e-19,5.8451137846646876e-31,1.989121556433602e-19,1.2521470043766728e-28,9.7581997006535431e-34,1.4312033642310045e-39,3.1810837092634973e-63,4.4986715799095238e-44,6.5277051146060255e-86,1.068859657760683e-47,3.9753094285707376e-89
5.3234920219354563e-20,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319997749,0.11866996602994385,0.022821567693053772,0.0,5.3324106975030638e-51,2.9325224971673717e-34,2.19766422665028e-69,9.0688831629941484e-46,1.4524832130947473e-111,5.4132276287839655e-21,3.0352478564260004e-96,5.4132276276799224e-21,1.1589616095960741e-64,1.3114141401505169e-56,1.7602065441517784e-93,1.0635981834890426e-94,1.7039071381248542e-43,2.8533969187687991e-76,2.1468088339816485e-14,1.0322047651573231e-15,3.9786748660676052e-19,2.3384260302203295e-30,3.9786748760742181e-19,5.0093643232130819e-28,7.8079756395483326e-33,2.1385330256474798e-38,1.8996288862828664e-61,3.5996206068622601e-43,1.5580954768258644e-83,8.5525218988963565e-47,9.494365228944232e-87
1.0647561742408291e-19,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319995501,0.11866996602992239,0.022821567693053255,0.0,8.5327244109562916e-50,1.1731105412380207e-33,2.7112972733947799e-67,7.2560250681588008e-45,7.1663679265868137e-109,1.0827042696300346e-20,1.9429335006204719e-94,1.0827042691883811e-20,1.8545901143169246e-63,2.0985674197278336e-55,4.342602196684282e-91,2.6240009454440017e-92,1.3632550383376642e-42,9.1321500184133257e-75,4.2938506368982856e-14,2.0645215438537819e-15,7.9577814828400069e-19,9.3544646401244244e-30,7.9577815228700303e-19,2.003877572834062e-27,6.246866834485171e-32,3.300464955492816e-37,1.1721236635146512e-59,2.8799696567543312e-42,3.8439741934328597e-81,6.8427002455870755e-46,2.343123384629009e-84
2.129570118335396e-19,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319990999,0.11866996602987945,0.022821567693052221,0.0,1.3653051146558151e-48,4.6926817008224028e-33,3.4052669396278279e-65,5.8051874716396994e-44,3.5998843937994429e-106,2.1654672837939125e-20,1.2435974091676557e-92,2.1654672820272272e-20,2.9675454182960384e-62,3.3579513282653047e-54,1.0907436548770914e-88,6.5907767713079163e-90,1.0906556410257922e-41,2.9224927922533602e-73,8.5879342426996336e-14,4.1291551012460416e-15,1.5915994686392512e-18,3.7419375111770745e-29,1.5915994846521617e-18,8.0155865659425902e-27,4.9975598684818039e-31,5.183653582461129e-36,7.3617369341632527e-58,2.3040846875620082e-41,9.6550176312504188e-79,5.4744729827372938e-45,5.8863003775565691e-82
4.2591980065245295e-19,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319981995,0.11866996602979356,0.022821567693050156,0.0,2.1845429794357656e-47,1.8771497406776259e-32,4.3168030937617813e-63,4.6442969159690519e-43,1.8253263493159719e-103,4.3309933147640775e-20,7.9594072898749832e-91,4.3309933076971923e-20,4.7482336309562058e-61,5.3729156196380459e-53,2.765334744764562e-86,1.6709426825140409e-87,8.7254495984453959e-41,9.3523045431611676e-72,1.7176101454174625e-13,8.2584222160279285e-15,3.1832420973528317e-18,1.4968049727245489e-28,3.1832421614077752e-18,3.2060999584433655e-26,3.997869452940297e-30,8.215764081114148e-35,4.6665253105556977e-56,1.8433108365791983e-40,2.4478117028514675e-76,4.3797669880958919e-44,1.4924684607107483e-79
8.518453782902797e-19,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319963993,0.11866996602962179,0.022821567693046028,0.0,3.4953107714067828e-46,7.5089862565522659e-32,5.4981287172351608e-61,3.7154962568578094e-42,9.2993201424314783e-101,8.6620453872740439e-20,5.0941434431440792e-89,8.6620453590062156e-20,7.597302477613251e-60,8.5968156975469679e-52,7.044049543362477e-84,4.2563380639338356e-85,6.98043830521877e-40,2.9927898319376993e-70,3.4352435876613789e-13,1.6516956445581176e-14,6.3665273067923077e-18,5.987276921439891e-28,6.3665275630306793e-18,1.2822931351167325e-25,3.1978962448627318e-29,1.3081462954190569e-33,2.971888341425424e-54,1.4746651049062253e-39,6.2352308815827911e-74,3.5039905871733699e-43,3.8018759870710514e-77
1.7036965335659331e-18,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319927989,0.11866996602927826,0.02282156769303777,0.0,5.5925249718371472e-45,3.0038584234715548e-31,7.0187074261397878e-59,2.9724204116547427e-41,4.7486251816279323e-98,1.7324149574572522e-19,3.2602910102919378e-87,1.7324149461500643e-19,1.215578656818672e-58,1.3755012585956493e-50,1.7984194069975071e-81,1.086686907795201e-82,5.5843770346087514e-39,9.5770110110680591e-69,6.870510471944885e-13,3.3034024904645561e-14,1.273309753372054e-17,2.3949198495371306e-27,1.273309855880709e-17,5.1279199163451023e-25,2.5576327751204496e-28,2.0875199289290848e-32,1.8969354423998363e-52,1.1797373795073386e-38,1.5919183914345356e-71,2.8034256931043201e-42,9.706744829821007e-75
3.40739884411724e-18,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319855979,0.1186699660285912,0.022821567693021252,0.0,8.9480433735547174e-44,1.2017452017477952e-30,8.9683361021156734e-57,2.3779455579967501e-40,2.427285352836053e-95,3.4648358118283652e-19,2.0865986869396589e-85,3.4648357665994995e-19,1.9449339532259417e-57,2.2008064205966627e-49,4.5959426398960542e-79,2.7770745386965089e-80,4.4675040873419414e-38,3.0646567269865455e-67,1.3741044239694583e-12,6.60681618226059e-14,2.5466237219774155e-17,9.5796789585927573e-27,2.5466241321153075e-17,2.0501509239898459e-24,2.0449940198834397e-27,3.3342990623921923e-31,1.2119384023846853e-50,9.4378997590236989e-38,4.0682139425339873e-69,2.2430935184457888e-41,2.4806000804649297e-72
