Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),HX(19),HOX(22),CH3OO(77),CH3X(21),CH2X(27),CHX(28),CX(26),OCX(25),H2X(49),C2H4(47),H2OX(23),COX(50),CHOX(53)
5.726682421324683e-21,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999705,0.11866996602996252,0.022821567693054247,0.0,1.8178706059801711e-54,1.6341289292370098e-30,1.5250972371490124e-72,7.8927875282639302e-46,1.0840400482787099e-110,5.0542513714429696e-17,8.3469300900072871e-90,5.0542513714420618e-17,5.5230634209047114e-61,1.4105830355769139e-59,1.5673377253018336e-93,1.8173245167069607e-94,5.7282038667299059e-44,1.2163879734590037e-71,2.76026542643807e-15,8.172655337284182e-17,3.2717879826074237e-19,4.9567265396000352e-32,1.835390992414919e-31,3.2717879786388982e-19,1.9545390078883169e-28,2.1841909442354604e-34,2.4226283573105812e-39,1.3026619733798752e-64,6.131184320360457e-44,9.3237638965717888e-82,9.4795846954425361e-46,2.7602292429116253e-87,1.2521822126227862e-90
1.1458340240061464e-20,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999422,0.1186699660299597,0.022821567693054205,0.0,2.9109617992469119e-53,6.5407743893163876e-30,9.9940066966006743e-71,6.3206313547869976e-45,2.8411799388107748e-108,1.0112893925659405e-16,5.3502918245665852e-88,1.011289392565577e-16,8.8465000154894846e-60,2.2595593616098622e-58,2.054008143834413e-91,2.3816177562533394e-92,4.5860460630340507e-43,3.8968103315220252e-70,5.5229289983365781e-15,1.6352411157050634e-16,6.5464185304254862e-19,1.9839823651502754e-31,7.3463471325999812e-31,6.5464185145410343e-19,7.8232409587149549e-28,1.7486785625810795e-33,1.9845016402762692e-38,4.2688386101351224e-63,4.9086754854630032e-43,5.9740143901249383e-80,7.5894316961952859e-45,3.6173016497985056e-85,1.6419606898918007e-88
2.2921655877535026e-20,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999885,0.11866996602995408,0.022821567693054122,0.0,4.659434840582531e-52,2.6171617386256927e-29,6.6834095465881317e-69,5.0590668678629786e-44,7.5983114801785098e-106,2.0230179034094391e-16,3.4268312517527713e-86,2.0230179034079854e-16,1.416208323614055e-58,3.6173975280836284e-57,2.746779207881775e-89,3.1848842231936167e-90,3.670230605786444e-42,1.2476787435858461e-68,1.1048256142129752e-14,3.2711922796583032e-16,1.3095679637990831e-18,7.9385136300264361e-31,2.939495755843107e-30,1.3095679574432265e-18,3.1303084067555986e-27,1.3994706687544155e-32,1.6601129087133384e-37,1.4278198113909852e-61,3.9284322456666188e-42,3.8255483425356241e-78,6.0738518545805642e-44,4.8373366849496859e-83,2.1969190713888296e-86
4.584828715248215e-20,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679997712,0.11866996602994283,0.022821567693053959,0.0,7.4566127400965307e-51,1.0470351208539221e-28,4.6413746335864743e-67,4.0482784578485119e-43,2.1098169783821269e-103,4.0464749250972856e-16,2.1940186171039115e-84,4.0464749250914688e-16,2.2665481495186159e-57,5.7895185344999354e-56,3.8140072963959388e-87,4.4223327531033961e-88,2.9367420607116049e-41,3.993691419680001e-67,2.2098910429700723e-14,6.5430946075645822e-16,2.6194201900838778e-18,3.175922307139682e-30,1.175989708226182e-29,2.619420164656257e-18,1.2523215944237222e-26,1.1197833377803439e-31,1.4434170839660028e-36,4.9606211652982919e-60,3.1433426797176956e-41,2.4490484804927176e-76,4.860004177131926e-43,6.7168257656357626e-81,3.0525489341967482e-84
9.17015497023764e-20,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679995436,0.11866996602992032,0.022821567693053633,0.0,1.1931793643446629e-49,4.18848139489647e-28,3.4352055017723436e-65,3.2390328012145663e-42,6.241954114111206e-101,8.0933889684763733e-16,1.404442892688618e-82,8.0933889684531048e-16,3.6269689736158173e-56,9.2645755435646971e-55,5.6431784005600146e-85,6.5432524629612371e-86,2.3496166304937093e-40,1.2781603911089356e-65,4.4200219004781168e-14,1.308689926337634e-15,5.2391246617406634e-18,1.2704722593369493e-29,4.7043416564654048e-29,5.2391245600214547e-18,5.0096492549363396e-26,8.9590240831448922e-31,1.3389772566868879e-35,1.8373989657246885e-58,2.5149129429273379e-40,1.5676142743075059e-74,3.8883722941066657e-42,9.9381681541889559e-79,4.520838107304716e-82
1.834080748021649e-19,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679990884,0.1186699660298753,0.022821567693052977,0.0,1.9091838935389172e-48,1.6754607718010329e-27,2.792985608625056e-63,2.5913902640845463e-41,2.0281508558679479e-98,1.6187217055248129e-15,8.9893017343945336e-81,1.6187217055155049e-15,5.8035439298978756e-55,1.4824396632495067e-53,9.1707577960324765e-83,1.0633472681710139e-83,1.8797823861890863e-39,4.0903998861796755e-64,8.8402836154696092e-14,2.6174508574996657e-15,1.0478533681405371e-17,5.0820953824120578e-29,1.8818132176401645e-28,1.0478533274508398e-17,2.0039053889238298e-25,7.1674103666541531e-30,1.3658520581811947e-34,7.4786395919522903e-57,2.0120259117002932e-39,1.0033445780909125e-72,3.1108451610578122e-41,1.6150567200305369e-76,7.3560485512265832e-80
3.668211250017419e-19,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767998178,0.11866996602978526,0.022821567693051669,0.0,3.0547712606865651e-47,6.7019797502540479e-27,2.5482455436779345e-61,2.0731778211180966e-40,7.3942567262099349e-96,3.2374873228845955e-15,5.7534306296887617e-79,3.2374873228473632e-15,9.2859851457824684e-54,2.3719891941970993e-52,1.6723043384714367e-80,1.9390330428394838e-81,1.5038613574355444e-38,1.3089738229401618e-62,1.7680807045354202e-13,5.2349727198224497e-15,2.0957352026158139e-17,2.0328791545054389e-28,7.5274058843192323e-28,2.095735039850848e-17,8.0154978138460781e-25,5.7338257549925215e-29,1.5640813323239589e-33,3.4162806185041254e-55,1.6096590054743012e-38,6.4216338983788037e-71,2.4887346398125145e-40,2.9450851880020261e-74,1.3432245459113781e-77
7.336472254008958e-19,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679963573,0.1186699660296052,0.022821567693049053,0.0,4.8876940433140284e-46,2.6808194192827009e-26,2.6044616871593111e-59,1.6585684989998425e-39,3.0202703281056862e-93,6.4750185576258895e-15,3.682284403180827e-77,6.4750185574769573e-15,1.4857828089036539e-52,3.7952502375534506e-51,3.4163701089231156e-78,3.9612732549015388e-79,1.20310296923444e-37,4.1887895846496089e-61,3.5361853904729811e-13,1.0470016444462896e-14,4.1914989937507531e-17,8.1315964761723397e-28,3.0109928774914307e-27,4.1914983426613506e-17,3.2060023026434385e-24,4.5867332521105169e-28,2.0053957415392683e-32,1.7478994413831634e-53,1.2877425984603867e-37,4.1099188140036804e-69,1.9910104430801503e-39,6.0165487159176878e-72,2.747370867801394e-75
1.4672994261992038e-18,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679927157,0.11866996602924505,0.022821567693043818,0.0,7.820353372037088e-45,1.0723334206014202e-25,2.9127310143742989e-57,1.3268652925456465e-38,1.3502431055540013e-90,1.2950081027195387e-14,2.3566904234636943e-75,1.295008102659966e-14,2.3772726316699009e-51,6.0724510070153069e-50,7.6382361490766468e-76,8.8565169747422223e-77,9.6248745466326096e-37,1.3404243873095319e-59,7.0723947621906775e-13,2.0940103893723312e-14,8.3830270648785154e-17,3.2526528456411208e-27,1.2044031923681008e-26,8.3830244603243595e-17,1.2822239288159746e-23,3.6687976300654978e-27,2.810627062127966e-31,9.7822376381113041e-52,1.0302003699012974e-36,2.6303713958279459e-67,1.5928163694656323e-38,1.3451650144948961e-69,6.1477412545125649e-73
2.93460382779582e-18,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679854321,0.11866996602852478,0.022821567693033347,0.0,1.2512583338041356e-43,4.2893461798713408e-25,3.4580961146154066e-55,1.0614964256684975e-37,6.4097116062758688e-88,2.590020596668203e-14,1.5082909466996638e-73,2.5900205964299105e-14,3.8036522847849571e-50,9.7159512486820951e-49,1.8132024639957963e-73,2.1024039233098874e-74,7.6999123692730157e-36,4.2893766888658127e-58,1.4144813504996363e-12,4.1880278792162207e-14,1.676608516352659e-16,1.301062616076172e-26,4.8176243449749832e-26,1.6766074743818852e-16,5.1274412236039641e-23,2.9340700132558003e-26,4.1776630960409733e-30,5.8099466101836598e-50,8.2416302582122351e-36,1.68344511129713e-65,1.2742545775041418e-37,3.1932189599748802e-67,1.4601393641605408e-70
