Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(55),OX(20),CH3X(21),HOX(22),HX(19),H2OX(23),CH3OO(84),CH2X(27),CHX(28),CX(26),OCX(25)
4.132029002663983e-19,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319982534,0.11866996602979869,0.022821567693050281,8.0274256659672782e-106,1.9463408225755716e-47,2.8521712104200226e-34,1.4741289230468232e-56,4.240592185560565e-43,1.577455592943486e-37,8.7392441259026587e-22,1.851989826474908e-86,8.7391964604581989e-22,5.5541832313562845e-55,6.0515607246419956e-52,4.1492613967965062e-57,9.5611640347285606e-82,1.5880785148100175e-37,1.5273924697489872e-67,1.6663266007513767e-13,8.0118463759137992e-15,3.0881984728789199e-18,1.4087584670817266e-28,3.0881984783451432e-18,1.6830825334839727e-40,1.799547319605657e-34,4.2027652842553183e-28,7.0803138956241884e-34,1.3984150352864027e-38,7.4711292486020869e-60
8.264114050318304e-19,0.11640260799999998,0.8585084662769803,0.0,0.0,0.3375675631996507,0.11866996602963205,0.022821567693046274,5.1635391466791082e-104,3.1052420063272295e-46,1.1408801025167586e-33,1.1793264262786513e-55,3.3925274212356335e-42,6.3099160584724526e-37,1.7478702119492021e-21,5.9265894977129082e-85,1.7478511455774913e-21,4.4434623280727796e-54,9.6826725939113831e-51,3.3194629964887567e-56,1.5298172362916376e-80,6.3949004382697658e-37,2.4438935661661909e-66,3.3326758027461872e-13,1.6023801420909504e-14,6.1764388225963797e-18,5.6350909269817141e-28,6.1764388444614994e-18,1.346481792962187e-39,7.1982961481965605e-34,1.681120380424996e-27,5.6641975713024853e-33,2.2372929472620926e-37,4.7789761954860287e-58
1.6528284145626946e-18,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319930137,0.11866996602929877,0.022821567693038263,3.3379291327079088e-102,4.9612632935373002e-45,4.5635437230777293e-33,9.4352798736840074e-55,2.7140433938377605e-41,2.5240028604447007e-36,3.4957904106091774e-21,1.8965843050633147e-83,3.4957141447346409e-21,3.5548706779820888e-53,1.5492415411957724e-49,2.6556093300079948e-55,2.4478733156321708e-79,2.5919907617628914e-36,3.9103402330619637e-65,6.6653742065434994e-13,3.2047711510861288e-14,1.2352919491724783e-17,2.254047623855099e-27,1.2352919579185729e-17,1.0771914843453761e-38,2.8793600206045967e-33,6.7244930478205407e-27,4.5311917258529304e-32,3.5794210483460574e-36,3.0555182796725404e-56
3.305662433624423e-18,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319860276,0.11866996602863222,0.022821567693022238,2.1802177530119373e-100,7.9323184322915132e-44,1.8254222128110712e-32,7.5551503539444618e-54,2.1712432779555542e-40,1.0096225913217163e-35,6.9917452076964165e-21,6.0694477263187599e-82,6.9914401434241653e-21,2.8440240989990155e-52,2.4787972589619011e-48,2.1245308468998624e-54,3.9199834119726232e-78,1.064013064219539e-35,6.2568185104512746e-64,1.333077101336889e-12,6.4095531690606326e-14,2.4705880708755526e-17,9.0162117318400709e-27,2.4705881058600362e-17,8.617551970161625e-38,1.1517684703581045e-32,2.6897859185353852e-26,3.6246550181743271e-31,5.726521100360533e-35,1.951741490718752e-54
6.61133047174788e-18,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319720554,0.11866996602729912,0.02282156769299019,1.4663949465664782e-98,1.2687135511036362e-42,7.301698786148164e-32,6.1306828883797825e-53,1.7369980157057425e-39,4.0386465373940036e-35,1.3984112400931086e-20,1.942448160433455e-80,1.3982892142304115e-20,2.2754098748407762e-51,3.9660831353779747e-47,1.6996865262737063e-53,6.3565291951956738e-77,4.4737708135603825e-35,1.0011723235459127e-62,2.6661564623942736e-12,1.2819117204946226e-13,4.9411802657912734e-17,3.6064879242207459e-26,4.9411804057295318e-17,6.8940430469743365e-37,4.6072520044238733e-32,1.0759012228709853e-25,2.8992338412313623e-30,9.1608577833860308e-34,1.2443130442323158e-52
1.3222666547994794e-17,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319441111,0.11866996602463291,0.022821567692926096,1.1894797622719727e-96,2.0295720215872293e-41,2.9206818916175668e-31,6.001404313772149e-52,1.3895997189913988e-38,1.615580471627316e-34,2.7970677183569282e-20,6.2172463222222961e-79,2.796579614606763e-20,1.820627469023849e-50,6.3457354704957047e-46,1.3598451534663896e-52,1.23131661389093e-75,1.963679906729735e-34,1.6021309977694532e-61,5.3323151832782673e-12,2.563824527646376e-13,9.8823644616610179e-17,1.4425950033432984e-25,9.8823650214155637e-17,5.5152245182267261e-36,1.8430397853639416e-31,4.3034915308236462e-25,2.3185979975348453e-29,1.4652485063589343e-32,7.9028892404527797e-51
2.6445338700488623e-17,0.11640260799999998,0.8585084662769803,0.0,0.0,0.3375675631888222,0.11866996601930049,0.022821567692797903,2.8869125920964182e-94,3.2470075352254609e-40,1.168273544203381e-30,1.8619999251360793e-50,1.1116802163064705e-37,6.4632905777774623e-34,5.5951128332943086e-20,1.9904184658432722e-77,5.5931604177609079e-20,1.4569791774687124e-49,1.015316731449905e-44,1.0880284044562146e-51,7.369277577224438e-74,9.2480831868911326e-34,2.5642225061099905e-60,1.0664632620123156e-11,5.127650141848423e-13,1.9764732077553779e-16,5.7703731795600805e-25,1.9764734316581941e-16,4.4121588346460978e-35,7.3732639805043534e-31,1.7213042890702381e-24,1.8536149782376337e-28,2.3428473324615924e-31,4.9818313078848143e-49
5.289068300547628e-17,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756317764441,0.11866996600863566,0.022821567692541522,2.6284121366391087e-91,5.1949275905918552e-39,4.6730982486573705e-30,1.8645047036118356e-48,8.8934421915838827e-37,2.5860899516223825e-33,1.1194131696349796e-19,6.3750921917953539e-76,1.1186322033674978e-19,1.1663461667314863e-48,1.6245023668227547e-43,8.7066589013880143e-51,1.4585477934690063e-71,4.8139182048406754e-33,4.105354615909947e-59,2.1329267474120533e-11,1.0255301369846673e-12,3.9529464205952863e-16,2.3081427041881884e-24,3.9529473162141233e-16,3.5296918566016334e-34,2.950188057334537e-30,6.8844753988553533e-24,1.4808734085675928e-27,3.7436136346728609e-30,3.0951499702780639e-47
1.0578137161545159e-16,0.11640260799999998,0.8585084662769803,0.0,0.0,0.3375675631552888,0.118669965987306,0.022821567692028758,7.1827570985955475e-88,8.3115339958102258e-38,1.869242110791631e-29,2.219787576777562e-46,7.1147518524063861e-36,1.0350547104210305e-32,2.240388395149759e-19,2.0443939416003286e-74,2.237264530392621e-19,9.3429785941894555e-48,2.5991884457674054e-42,6.9692158489861792e-50,3.4699889077110196e-69,2.8173074828115614e-32,6.5768853369877734e-58,4.2658537103345684e-11,2.0510603824219808e-12,7.9058916049209375e-16,9.2325160749047023e-24,7.9058951874563423e-16,2.8236963633949123e-33,1.1807809135514812e-29,2.7531962762518163e-23,1.1814805438906609e-26,5.9740321009241097e-29,1.8710397408316076e-45
2.115627488354022e-16,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756311057762,0.11866996594464667,0.022821567691003228,1.0799769630754893e-84,1.3297782050516017e-36,7.4769900347095068e-29,2.5539926004856366e-44,5.6917973850820357e-35,4.1451681844098799e-32,4.4870246548493213e-19,6.5679376001044533e-73,4.4745291998121072e-19,7.4939352340183432e-47,4.158651752313934e-41,5.5815938662223754e-49,7.9859785213097204e-67,1.840303110021662e-31,1.0549657380819844e-56,8.5317076046717585e-11,4.1021208726472596e-12,1.5811777008158772e-15,3.6929621969869225e-23,1.5811791338781912e-15,2.2588653858509076e-32,4.7287686119255325e-29,1.1008035592882525e-22,9.4007286400765468e-26,9.5084212006015106e-28,1.0770386159895411e-43
