Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),CH3X(21),HOX(22),HX(19),H2OX(23),CH3OO(77),C2H6X(52),CH2X(27),CHX(28),CX(26),OCX(25),COX(50),CH4OX(60),C2H4(47),C2H4X(65),CO2X(24),C2H5X(51),C2H3X(64),C2H2X(222),C2H3(46),C2H2(235),C2H2X(254),C2H2(252),H2X(49),C2H4O(45),SX(281),C2H4OX(63),C3H8X(57)
8.063472984907063e-21,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999659,0.11866996602996208,0.022821567693054209,1.7131331906494969e-106,2.811524979059573e-54,6.7306229886205181e-36,3.7667289159980308e-75,3.1531924137700668e-48,5.7180827333319606e-119,8.1993951815442971e-22,7.7755886429697533e-91,8.1993951633841357e-22,6.1075524684619595e-68,8.7860416653675202e-59,4.5720027719560648e-100,2.7626155806767082e-101,7.9028651354962723e-45,2.2792313244529738e-80,3.2517631218903585e-15,1.5634766060404694e-16,6.0264835948560164e-20,5.367101791067893e-32,6.0264835950642732e-20,1.2521202676024568e-45,3.2962189776200931e-36,3.3683508436204436e-62,1.6011762032959484e-31,5.2674710288274983e-39,2.0457309148688797e-45,4.1678775801719188e-70,4.0470348091445035e-90,8.7993333688688062e-73,2.1176284709926621e-94,2.4009434771183388e-94,3.4371745631430486e-97,6.1544899137366386e-64,2.6387889484980173e-96,1.1531462668177331e-111,1.1974083812756568e-101,5.4206891315597761e-114,5.8575131390792933e-128,8.0289468892337428e-129,2.9749616678405589e-49,2.0101288651283935e-118,1.6650424929618139e-132,2.2905964447719275e-115,6.4817371678697794e-105
1.6133951593606397e-20,0.11640260799999998,0.8585084662769803,0.0,0.0,0.3375675631999932,0.11866996602995881,0.022821567693054129,8.7548904618511458e-104,4.5021033842645798e-53,2.6940032464301916e-35,4.8103005661634455e-73,2.525111282440196e-47,2.9208716366439096e-116,1.640591411375831e-21,4.9844117007383851e-89,1.640591404107034e-21,9.7827185562728566e-67,1.4074026337508745e-57,1.167724682417472e-97,7.0559327333418995e-99,6.3270973833128462e-44,7.3017412927648803e-79,6.5063514072203999e-15,3.1283115757698892e-16,1.2058203056915761e-19,2.1482394215511467e-31,1.2058203057749333e-19,1.0024575537003726e-44,1.3193466129849722e-35,5.3952152128305917e-61,6.4088773877392849e-31,4.2171779147473402e-38,3.2644116828369069e-44,2.6613411174972248e-68,1.0336438245603107e-87,2.8191727360027354e-71,1.356830643341798e-92,1.5383593564446191e-92,8.7827945973866357e-95,9.8585485463359787e-63,1.6907544243986907e-94,1.4777269539445887e-109,7.6722411597370081e-100,6.9465370311751108e-112,1.5012709241369294e-125,2.0578057992176627e-126,2.3817782383280947e-48,1.0268001814442801e-115,1.7010472421756068e-129,1.1700666986625456e-112,8.3101257301720197e-103
3.2274908811005064e-20,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319998638,0.11866996602995231,0.022821567693053973,4.4782390704698676e-101,7.2062975790426776e-52,1.0779522087523556e-34,6.1499685100886681e-71,2.021112466269483e-46,1.4937235421042132e-113,3.2818952087284878e-21,3.192597048654071e-87,3.2818951796438311e-21,1.5660910941516737e-65,2.2531538426664394e-56,2.9858582793754903e-95,1.8041937014262909e-96,5.0636008320442305e-43,2.3378773409321923e-77,1.301552797787315e-14,6.2579815152285779e-16,2.4121641979879159e-19,8.5957558818707175e-31,2.4121641983214532e-19,8.0227070530013052e-44,5.2791050003323444e-35,8.6370301006412859e-60,2.5643855811328758e-30,3.3750212072664112e-37,5.2160399684498116e-43,1.7012773261481733e-66,2.6430150958915965e-85,9.0267742331167594e-70,8.6887005844490068e-91,9.8511505435801785e-91,2.2462602210418296e-92,1.5782774624148149e-61,1.0827039488637937e-92,1.8925847794492934e-107,4.913145039886481e-98,8.8968775787858626e-110,3.8455573353138039e-123,5.2711406355281804e-124,1.9061464616941386e-47,5.2510202255729297e-113,1.7398171833897853e-126,5.9836801852745349e-110,1.0645610420196569e-100
6.455682324580241e-20,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319997272,0.11866996602993929,0.022821567693053661,2.2917003183319927e-98,1.1532422338985436e-50,4.3125107553916873e-34,7.867113952814522e-69,1.6172994488430278e-45,7.6431315768470718e-111,6.564502847073213e-21,2.0440858797812536e-85,6.5645027307156502e-21,2.506446436118087e-64,3.6060941845966911e-55,7.6390751379225407e-93,4.615882590025474e-94,4.0516499897739263e-42,7.4833661475739485e-76,2.6033881119149304e-14,1.251732139414535e-15,4.8248519821181593e-19,3.4388620621454551e-30,4.8248519834525235e-19,6.4193844924797746e-43,2.1119857706858565e-34,1.382299783482302e-58,1.0259210800713472e-29,2.7005252511056475e-36,8.3400351515237917e-42,1.0881520217620365e-64,6.7619387506722667e-83,2.8894354829066877e-68,5.5623976875285927e-89,6.3065827866378274e-89,5.7475267462794066e-90,2.5259717173133336e-60,6.9313355690307479e-91,2.4232238063778249e-105,3.145452213266473e-96,1.1391791323522194e-107,9.8479116772555716e-121,1.3498622624622697e-121,1.5252067796512598e-46,2.6868585359994609e-110,1.7804690820445467e-123,3.0617482873495167e-107,1.3631918607318997e-98
1.291206521153971e-19,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319994541,0.11866996602991325,0.022821567693053036,1.172988080489149e-95,1.845375261411626e-49,1.7251446962655626e-33,1.0066235262256126e-66,1.294003368940705e-44,3.9118511191903892e-108,1.3129718298320321e-20,1.308478413682108e-83,1.3129717832852186e-20,4.0109248169394939e-63,5.770589230112113e-54,1.9548884596120722e-90,1.181234042417363e-91,3.2416277377053613e-41,2.3950519236308579e-74,5.2070587401584229e-14,2.5036001151976478e-15,9.6502275485288945e-19,1.3756567671417112e-29,9.6502275538667885e-19,5.1359950905373627e-42,8.4486307681042515e-34,2.2119796693903495e-57,4.1040172283181404e-29,2.1606181378043852e-35,1.3339519462173934e-40,6.9616481931380002e-63,1.730423598711676e-80,9.2475820731310894e-67,3.5604992241867052e-87,4.0368521395536236e-87,1.4709128636465304e-87,4.0421363807302217e-59,4.4367584445763565e-89,3.1022220307712891e-103,2.0135599018395075e-94,1.4584912044847552e-105,2.521657519467712e-118,3.4564590078853307e-119,1.2202812802190092e-45,1.3751680793014853e-107,1.8225322100832153e-120,1.5670413813012828e-104,1.7452397629594867e-96
2.5824830985458645e-19,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319989084,0.11866996602986118,0.022821567693051784,6.0040975944958812e-93,2.9527504710333529e-48,6.9008595835545598e-33,1.288097890198858e-64,1.0352682223578298e-43,2.0022759097536815e-105,2.6260149899045146e-20,8.375102182610813e-82,2.6260148037096851e-20,6.4181278118160009e-62,9.2336135496591726e-53,5.0030362735845521e-88,3.0230659615772723e-89,2.5934252684605061e-40,7.6649534555290555e-73,1.0414399996598459e-13,5.0073360667629051e-15,1.930097867395137e-18,5.5028509005596128e-29,1.9300978695303816e-18,4.1089909285611043e-41,3.3795899254438111e-33,3.5394074981585941e-56,1.6416728265224409e-28,1.7285650509082356e-34,2.1339497934761713e-39,4.4541424976328765e-61,4.428575866111633e-78,2.9594483954260358e-65,2.2789555737524952e-85,2.5838516161325607e-85,3.7645331885634568e-85,6.4678813679430901e-58,2.8398195721537665e-87,3.9712578980786441e-101,1.2890053380493033e-92,1.8673421769748795e-103,6.4570798687751023e-116,8.8507782752869763e-117,9.7627136925514871e-45,7.0387799349882303e-105,1.8657205501807798e-117,8.020880936659469e-102,2.2341328539564617e-94
5.165036253329652e-19,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319978171,0.11866996602975703,0.022821567693049279,3.0729990827086657e-90,4.7245204593804984e-47,2.7603999943414197e-32,1.6481502923037779e-62,8.2824078838276439e-43,1.0247833340764766e-102,5.2521015893417253e-20,5.3603307242155832e-80,5.2521008445472558e-20,1.0270033901157819e-60,1.4774318002563001e-51,1.2802999312958789e-85,7.7361644611724551e-87,2.0747894047881679e-39,2.4530311720029546e-71,2.082908250929073e-13,1.0014807969889552e-14,3.8602480895200366e-18,2.2011850789822634e-28,3.8602480980611892e-18,3.2872704427320106e-40,1.3518635552944977e-32,5.6632440172338433e-55,6.5668179885491168e-28,1.3828664365822169e-33,3.4139879718271422e-38,2.8495861255799225e-59,1.1332928308937536e-75,9.4705899598858781e-64,1.4586779623736602e-83,1.6538292143744077e-83,9.6337582757488272e-83,1.0348973738028163e-56,1.8176669488971898e-85,5.0837219707356451e-99,8.2529391975629447e-91,2.391152821807685e-101,1.6536718488566449e-113,2.2667030293250328e-114,7.8103563393995614e-44,3.6025126868600942e-102,1.9097845700106317e-114,4.1051610649641123e-99,2.8598327633000327e-92
1.0330142562897226e-18,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319956338,0.11866996602954874,0.022821567693044272,1.5723894975927875e-87,7.5593274123316342e-46,1.1041712301975446e-31,2.1082883086313727e-60,6.6260311316791276e-42,5.2435559555256856e-100,1.0504275905385127e-19,3.4306919676312304e-78,1.0504272926176949e-19,1.6434512663010515e-59,2.3639336834410282e-50,3.2754830448781407e-83,1.9791983808301702e-84,1.6598511319193919e-38,7.850862064445002e-70,4.1658447533924072e-13,2.0029751776127363e-14,7.7205485219314426e-18,8.8048293667441361e-28,7.7205485560964044e-18,2.6298470431109775e-39,5.4075098797969426e-32,9.0613440196871097e-54,2.6267483799160873e-27,1.1062767946543402e-32,5.4620097358575819e-37,1.8225694086358357e-57,2.8993840062668635e-73,3.0306453908546107e-62,9.3369143123966464e-82,1.0586043272834669e-81,2.4646952274407219e-80,1.6558626449637439e-55,1.1634782293811567e-83,6.5081242567879619e-97,5.2858302676871037e-89,3.0629557091997862e-99,4.2365479486762629e-111,5.8070744709619313e-112,6.248359226794132e-43,1.8433142123579804e-99,1.9543736131285435e-111,2.1005066165599129e-96,3.6606723811351875e-90
2.0660355182032374e-18,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319912673,0.11866996602913214,0.022821567693034256,8.0409082392613317e-85,1.2094996118169284e-44,4.4167073872287364e-31,2.6953205602692778e-58,5.3008668051598606e-41,2.6814382858862658e-97,2.1008629006147816e-19,2.1956626649125456e-76,2.1008617089254534e-19,2.6302418629328448e-58,3.7823278044522849e-49,8.3750376034148987e-81,5.0605851464840182e-82,1.3278886397323808e-37,2.512953735529911e-68,8.331717758018592e-13,4.0059639388541048e-14,1.5441149339400695e-17,3.5219492469412553e-27,1.5441149476061282e-17,2.1038892838312543e-38,2.1630154740078271e-31,1.4498273220632439e-52,1.0507002671257393e-26,8.8497951588291872e-32,8.7385807021277337e-36,1.1650176700376655e-55,7.4133939059007728e-71,9.6981544564853981e-61,5.9772260796435384e-80,6.7768532724098185e-80,6.301989933666096e-78,2.6493945491977443e-54,7.4482555645178981e-82,8.3326328331306407e-95,3.3878976876693949e-87,3.9263167933611139e-97,1.0861392936491392e-108,1.4887807700463088e-109,4.9987170439687743e-42,9.4263002779620788e-97,1.9988409192106171e-108,1.0741525221471716e-93,4.685703446208012e-88
4.132078042030267e-18,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319825348,0.11866996602829895,0.022821567693014227,4.1071101909546601e-82,1.935204044721366e-43,1.7666874493224937e-30,3.4417142682492259e-56,4.2407101555581436e-40,1.3696046391704481e-94,4.2017353082376542e-19,1.4052229016073103e-74,4.2017305414682491e-19,4.210636950945099e-57,6.0517505541667893e-48,2.1388640147208007e-78,1.2924005777878141e-79,1.0623138309291918e-36,8.045684703438776e-67,1.6663463766069031e-12,8.0119414613120702e-14,3.0882350784924962e-17,1.4087829508339788e-26,3.0882351331569054e-17,1.6831150847221091e-37,8.6520880627886788e-31,2.3197335110671907e-51,4.2027763251008258e-26,7.0791024944687703e-31,1.3980139621009517e-34,7.4381140669984756e-54,1.8932734314621094e-68,3.1034228279375283e-59,3.827422799006044e-78,4.3394137034934362e-78,1.6094517115653441e-75,4.2390198193649596e-53,4.7693733911504057e-80,1.0671345017579023e-92,2.1745865494104554e-85,5.0403050208248573e-95,2.7885892873039673e-106,3.8223433029656844e-107,3.9989855005890437e-41,4.814693900816203e-94,2.041893764900045e-105,5.4864744854465828e-91,5.9976957342225622e-86
