Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),CH3X(21),HOX(22),HX(19),H2OX(23),CH3OO(77),C2H6X(52)
0.0,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996532,0.022821567693054285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.669155158374822e-24,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996532,0.022821567693054285,0.0,6.4629702160481736e-66,6.9032758212391834e-42,0.0,3.1202046480195026e-57,0.0,6.7815739758719166e-25,-5.3055010550012428e-118,6.7815739758532905e-25,9.3655769426731698e-80,1.1550000351200368e-70,0.0,0.0,1.1724338038685728e-53,5.5962924180530956e-95,2.6894754702803979e-18,1.2931237063347711e-19,4.9843974463616756e-23,5.50477780750571e-38,4.9843974463618572e-23,1.8575897555721259e-54,3.3807730377353656e-42,5.1651810677377659e-74
1.8673634443449502e-23,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996532,0.022821567693054285,0.0,1.4458009173980833e-64,4.1695785960284756e-41,0.0,4.7152532640975097e-56,0.0,1.8988407132501716e-24,1.0240510367206626e-116,1.8988407132389213e-24,2.641242547070554e-78,3.6315049645716136e-69,0.0,0.0,1.3919134119511377e-52,2.8968021288119826e-93,7.5305313167851143e-18,3.6207463777373594e-19,1.3956312849812105e-22,3.3248857957291926e-37,1.3956312849813201e-22,2.2053305578058584e-53,2.0419869147975209e-41,1.4566637040022365e-72
4.268259301359886e-23,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996531,0.022821567693054285,0.0,2.8567123180743129e-63,2.0074726088163668e-40,0.0,5.0724542922034991e-55,0.0,4.3402073446002698e-24,1.0812992176656907e-114,4.3402073445461052e-24,5.7452794594184694e-77,8.1016878109191309e-68,0.0,0.0,1.3665888417841491e-51,1.2648571786835389e-91,1.7212643009794536e-17,8.2759917205425345e-19,3.1900143656710626e-22,1.600789386416276e-36,3.1900143656715887e-22,2.165206619065826e-52,9.8312879938148407e-41,3.168561731358796e-71
9.070051015389758e-23,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.1186699660299653,0.022821567693054285,0.0,5.0834105260295499e-62,8.7671602929738811e-40,0.0,4.6624594014513811e-54,0.0,9.2229406073970191e-24,8.5467698465541357e-113,9.2229406071604685e-24,1.0650779851967138e-75,1.517356463892362e-66,0.0,0.0,1.2087323544257196e-50,4.7087461387336371e-90,3.6576866395813313e-17,1.7586482406152885e-18,6.7787805270498291e-22,6.9910678154662752e-36,6.7787805270521246e-22,1.9151007343436456e-51,4.2935817580069885e-40,5.873979444593559e-70
1.86736344434495e-22,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999992,0.11866996602996525,0.022821567693054285,0.0,8.5739503344573394e-61,3.660116840421121e-39,0.0,3.9888321795772953e-53,0.0,1.8988407133376734e-23,6.0576477951732301e-111,1.8988407132389183e-23,1.8305969279507615e-74,2.6208559514452418e-65,0.0,0.0,1.0160123754723682e-49,1.622234439560411e-88,7.5305313167850619e-17,3.6207463777373587e-18,1.395631284980361e-21,2.9186331934801477e-35,1.3956312849813194e-21,1.6097575606320554e-50,1.7924858646820574e-39,1.0095869857015636e-68
3.788080129956899e-22,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999986,0.11866996602996517,0.022821567693054282,0.0,1.4082767859412507e-59,1.4952771559837799e-38,0.0,3.2980435825214436e-52,0.0,3.8519340186881009e-23,4.07651926508942e-109,3.8519340182846542e-23,3.0340801584481122e-73,4.3545913614483057e-64,0.0,0.0,8.3298833027746432e-49,5.3836046449660898e-87,1.5276220671192417e-16,7.3449426519814969e-18,2.8311377495296163e-21,1.1923568921666916e-34,2.8311377495335313e-21,1.3197765055640699e-49,7.3228896312893279e-39,1.6733163891918712e-67
7.629513501180796e-22,0.11640260799999998,0.8585084662769803,0.0,0.0,0.3375675631999997,0.11866996602996502,0.022821567693054278,0.0,2.2828796655157124e-58,6.0441493387350423e-38,0.0,2.6819142687777578e-51,0.0,7.7581206300068946e-23,2.6747533962143518e-107,7.7581206283761008e-23,4.940213004071454e-72,7.0990829609640572e-63,0.0,0.0,6.7457554651209408e-48,1.7541691926667141e-85,3.0767599380006701e-16,1.4793335200469761e-17,5.7021506786221234e-21,4.8196971993924531e-34,5.7021506786379491e-21,1.0687892315646384e-48,2.9600290721638301e-38,2.7245619608278329e-66
1.5312380243628592e-21,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999937,0.11866996602996471,0.022821567693054271,0.0,3.6765091761008206e-57,2.4303258659711218e-37,0.0,2.1630610167746281e-50,0.0,1.5570493855116253e-22,1.7332003949828977e-105,1.5570493848558894e-22,7.9735237059704029e-71,1.1465037943574493e-61,0.0,0.0,5.4295708653489641e-47,5.6641060256818977e-84,6.1750356797633643e-16,2.9690120297446258e-17,1.1444176536783123e-20,1.9379790459081751e-33,1.1444176536846758e-20,8.6025455587096575e-48,1.1902146714492367e-37,4.3974539893593144e-65
3.067811372852418e-21,0.11640260799999998,0.8585084662769803,0.0,0.0,0.3375675631999987,0.11866996602996409,0.022821567693054257,0.0,5.901612933107998e-56,9.7466937123573566e-37,0.0,1.7374882409596167e-49,0.0,3.1195240315222017e-22,1.1161325363859193e-103,3.1195240288924074e-22,1.2813238540347582e-69,1.8429713641796311e-60,0.0,0.0,4.3568886763034379e-46,1.8206762694741817e-82,1.237158716328808e-15,5.9483690491399117e-17,2.2928228253009069e-20,7.7721627550484493e-33,2.2928228253264279e-20,6.9030010373934e-47,4.7732931707424174e-37,7.0665905079878911e-64
6.140958069831536e-21,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999742,0.11866996602996285,0.022821567693054226,0.0,9.4579700363222522e-55,3.9037613333906207e-36,0.0,1.3928118830045023e-48,0.0,6.2444733274981778e-22,7.1653576500968981e-102,6.2444733169652829e-22,2.0545763920475016e-68,2.9556244168785106e-59,0.0,0.0,3.4908128106867245e-45,5.8392558298921709e-81,2.4764690130334861e-15,1.190708308793043e-16,4.5896331685076754e-20,3.1129190394997156e-32,4.5896331686098917e-20,5.530801042490735e-46,1.9118070061630477e-36,1.1331132238146805e-62
1.2287251463789772e-20,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999481,0.11866996602996037,0.022821567693054167,0.0,1.5145075806335004e-53,1.5625218829220831e-35,0.0,1.1153791264991944e-47,0.0,1.2494371935269417e-21,4.5929166875457792e-100,1.2494371893110393e-21,3.2908928793816379e-67,4.7345024620169417e-58,0.0,0.0,2.7947728103613156e-44,1.8706591108060877e-79,4.9550896064417789e-15,2.3824511165511244e-16,9.1832538547675291e-20,1.2459788650443495e-31,9.183253855176658e-20,4.428003787347224e-45,7.6522103484547817e-36,1.8149503976627343e-61
2.4579838251706243e-20,0.11640260799999998,0.8585084662769803,0.0,0.0,0.3375675631999896,0.11866996602995541,0.022821567693054049,0.0,2.424198512526938e-52,6.2521228107042095e-35,0.0,8.9275537000766948e-47,0.0,2.4994169214089043e-21,2.9417368237869741e-98,2.4994169045398039e-21,5.268286757273699e-66,7.5796095333868539e-57,0.0,0.0,2.236667633885102e-43,5.9894667968958633e-78,9.9123307932541086e-15,4.7659367320672002e-16,1.8370495226672494e-19,4.9855384158441478e-31,1.8370495228309542e-19,3.5437487738871582e-44,3.0618808947042279e-35,2.9054969260687335e-60
4.916501182753919e-20,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319997921,0.11866996602994551,0.02282156769305381,0.0,3.8795068970377052e-51,2.5012562380796093e-34,0.0,7.1438516760723893e-46,0.0,4.9993764024836884e-21,1.8834383469720746e-96,4.9993763349963022e-21,8.4315459824228914e-65,1.213090085829213e-55,0.0,0.0,1.7896739304578462e-42,1.917166761582938e-76,1.9826813166861747e-14,9.532907963098998e-16,3.6744977968023457e-19,1.9945399995323301e-30,3.6744977974572702e-19,2.8355374116646414e-43,1.2249517426061378e-34,4.6500564723162857e-59
9.833535897920507e-20,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319995845,0.11866996602992567,0.022821567693053334,0.0,6.2078424504457928e-50,1.0005839237959664e-33,0.0,5.7158049141700015e-45,0.0,9.9992954658766965e-21,1.2056331720751872e-94,9.9992951959051814e-21,1.349230356586822e-63,1.9412262238296129e-54,0.0,0.0,1.4318750826286407e-41,6.1357935853503396e-75,3.9655777914008943e-14,1.9066850425161195e-15,7.3493943440889548e-19,7.9788092773283061e-30,7.3493943467088676e-19,2.2686452772135066e-42,4.900205810363858e-34,7.4410996100112982e-58
1.9667605328253686e-19,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319991688,0.11866996602988601,0.02282156769305238,0.0,9.9330528119508109e-49,4.0024985581571535e-33,0.0,4.5729333760429561e-44,0.0,1.9999133997636472e-20,7.7167969047892248e-93,1.9999132917706467e-20,2.1589149794331231e-62,3.1061876199307184e-53,0.0,0.0,1.1455544353527362e-40,1.9635915485955936e-73,7.9313707408031033e-14,3.8134735349279977e-15,1.4699187434727831e-18,3.1916535446507407e-29,1.4699187445207906e-18,1.8150023140869747e-41,1.9601621286467896e-33,1.1906566830788944e-56
3.933574418892004e-19,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319983372,0.1186699660298067,0.022821567693050472,0.0,1.5893287553037769e-47,1.6010319964744255e-32,0.0,3.6584624785942302e-43,0.0,3.999881268105104e-20,4.9389884382378832e-91,3.9998808361243126e-20,3.4543810950148947e-61,4.9700806459060963e-52,0.0,0.0,9.1646528222772115e-40,6.2837131199365453e-72,1.5862956639498595e-13,7.6270505197495105e-15,2.9398773600268243e-18,1.2766873636710678e-28,2.9398773642189393e-18,1.4520362068151373e-40,7.840808395817787e-33,1.9051152896322466e-55
7.867202191025275e-19,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319966746,0.11866996602964806,0.022821567693046659,0.0,2.5429579743695239e-46,6.4041931331969541e-32,0.0,2.9268162888357674e-42,0.0,7.9998176527460285e-20,3.1610290665259216e-89,7.9998159248052839e-20,5.5271034452649139e-60,7.9522731346004382e-51,0.0,0.0,7.331808965401168e-39,2.0108234215063979e-70,3.1726128436453886e-13,1.5254204489383556e-14,5.879794586839966e-18,5.1068011756041209e-28,5.8797946036085966e-18,1.1616425761724166e-39,3.1363555503678536e-32,3.0482361353741804e-54
1.5734457735291817e-18,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319933495,0.11866996602933079,0.022821567693039033,0.0,4.0687574393123668e-45,2.5616902830336203e-31,0.0,2.341471544233685e-41,0.0,1.59996930138599e-19,2.0230832893650897e-87,1.5999686102061781e-19,8.8434404332371705e-59,1.2723751449399732e-49,0.0,0.0,5.8654814886018914e-38,6.4346912816942709e-69,6.3452472028621667e-13,3.0508512428615718e-14,1.1759629015286485e-17,2.0427306775406026e-27,1.1759629082361348e-17,9.2931929457177968e-39,1.2545488309921892e-31,4.8772191343055689e-53
3.14689688238249e-18,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319866987,0.11866996602869626,0.022821567693023778,0.0,6.5100287909606737e-44,1.0246787193598152e-30,0.0,1.8731846257045744e-40,0.0,3.1999454103415644e-19,1.294781483174988e-85,3.1999426456153e-19,1.4149564519867171e-57,2.0358091152938556e-48,0.0,0.0,4.6923983302674866e-37,2.0591102076584384e-67,1.2690515920598604e-12,6.1017128306936389e-14,2.3519297771460483e-17,8.1709420293568357e-27,2.3519298039760619e-17,7.4345719201285666e-38,5.0182099249552457e-31,7.803583604461797e-52
6.293799100089106e-18,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319733977,0.11866996602742717,0.022821567692993268,0.0,1.0416050435947601e-42,4.0987200912545978e-30,0.0,1.498550632733684e-39,0.0,6.3999017751838517e-19,8.2866312223198519e-84,6.3998907162648339e-19,2.2639350740508816e-56,3.2573008227837799e-47,0.0,0.0,3.7539229805015986e-36,6.5891669595335713e-66,2.5381053353283004e-12,1.2203436006300303e-13,4.7038634880932319e-17,3.2683797992269779e-26,4.7038635954134231e-17,5.9476591678606594e-37,2.0072879935965966e-30,1.2485759951688602e-50
