Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),HX(19),CH3X(21),CH2X(27),CHX(28),CX(26),CH3OO(77),H2X(49),C2H4(47),OCX(25),COX(50),CHOX(53),O(29),H2OX(23),HOX(22)
5.8056748758918786e-21,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999705,0.11866996602996248,0.022821567693054247,0.0,1.2170649756652065e-45,1.6795214461831242e-30,4.4249045340924634e-72,8.0888440973321763e-46,3.2328581350901145e-110,5.1239684768200467e-17,8.9131592106110825e-90,5.1239684768193479e-17,5.7383323116585128e-61,9.1835219952691193e-59,4.6104406215699332e-93,5.3457953822720366e-94,6.0496412575173462e-32,1.281230869974901e-71,2.7983398516025134e-15,8.2853869431123323e-17,3.3169182280786685e-19,3.3169182171501981e-19,5.4456310240704819e-28,1.6724364849875655e-33,4.9557359841060258e-38,1.8863740755232145e-31,6.3884164401185846e-44,9.9562583076669898e-82,2.7393731788584031e-63,8.1194198421922961e-87,9.9878684074151787e-90,7.8585614039864824e-26,9.87729779343716e-46,5.0944134075532664e-32
1.1616393778609032e-20,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999416,0.11866996602995962,0.022821567693054205,0.0,9.7439201094459703e-45,6.7224629405964265e-30,2.8598242652317142e-70,6.4776356189220842e-45,8.3573202477424459e-108,1.0252388707312644e-16,5.7132385609343768e-88,1.0252388707309845e-16,9.1913043569073492e-60,1.471073494893399e-57,5.9593352608007088e-91,6.9098356377605142e-92,2.4214330883929219e-31,4.1045404921150755e-70,5.5991109280965017e-15,1.6577972311023021e-16,6.6367182379544813e-19,6.6367181942120517e-19,2.1796648832423848e-27,1.338961911502651e-32,4.0024665085838447e-37,7.5504123306129381e-31,5.1146177224205425e-43,6.3792724763919678e-80,8.8527272815190651e-62,1.0494950243919196e-84,1.2916312909584911e-87,1.5723962512380813e-25,7.9078440271766939e-45,2.0390930021211997e-31
2.323783158404334e-20,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679998839,0.11866996602995392,0.022821567693054122,0.0,7.798097508673374e-44,2.6898609749607911e-29,1.8626001272265365e-68,5.1847339138150247e-44,2.1770510539102051e-105,2.0509229168298581e-16,3.6592965564012752e-86,2.0509229168287374e-16,1.4714069646035107e-58,2.3550864592082272e-56,7.7621537372195322e-89,9.000199544428892e-90,9.6888864432301775e-31,1.314189680410097e-68,1.1200653081080526e-14,3.3163143046843888e-16,1.3276318290615064e-18,1.327631811558783e-18,8.7214450706599958e-27,1.0715697614213052e-31,3.2589933989811877e-36,3.0211484156357455e-30,4.0932488381775943e-42,4.085061343167048e-78,2.8832329541811819e-60,1.3669883228313593e-82,1.6829456761800572e-85,3.145480107431943e-25,6.3286785329823154e-44,8.1590280233089692e-31
4.6480707194911954e-20,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679997684,0.11866996602994251,0.022821567693053955,0.0,6.2396628824147937e-43,1.0761196691299868e-28,1.2323408054267181e-66,4.1488375546970435e-43,5.7605189157509982e-103,4.1022910090273428e-16,2.3428538438193277e-84,4.1022910090228597e-16,2.3548899390151827e-57,3.7692337558521381e-55,1.0270018001350825e-86,1.1908062426715596e-87,3.8761855012920452e-30,4.2065860923513021e-67,2.2403737387032777e-14,6.6333484518483572e-16,2.6555518527574864e-18,2.655551782734767e-18,3.489103042579698e-26,8.5740788716761798e-31,2.6969912266283299e-35,1.2086560889367138e-29,3.2752213358201038e-41,2.6151841198676757e-76,9.5404005572469527e-59,1.8086468157634721e-80,2.227469635886727e-83,6.2916623578796503e-25,5.0639043035223748e-43,3.2641424718714587e-30
9.296645841664919e-20,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679995375,0.11866996602991969,0.022821567693053622,0.0,4.9922043929488313e-42,4.3048300153543263e-28,8.3990387421837622e-65,3.31949026399114e-42,1.5699147174978903e-100,8.2050271934235006e-16,1.4997158200675685e-82,8.2050271934055629e-16,3.7683350106598405e-56,6.031650388684154e-54,1.3995988875309687e-84,1.6228317124848016e-85,1.5506004072673381e-29,1.3462962357451544e-65,4.4809905998874073e-14,1.3267416746175469e-15,5.3113919528071499e-18,5.3113916726900496e-18,1.3957204897264483e-25,6.859742689759967e-30,2.3006883866661369e-34,4.8350178130011576e-29,2.6204264306045301e-40,1.6739562278521061e-74,3.2525965381398352e-57,2.4648253347778412e-78,3.0371205151865073e-81,1.2584085011014998e-24,4.0515079902606957e-42,1.3057632359529404e-29
1.8593796086012365e-19,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679990762,0.11866996602987405,0.02282156769305296,0.0,3.9939532972045253e-41,1.72200288083085e-27,6.0296621143337362e-63,2.6557603087048674e-41,4.5056428993658503e-98,1.6410499562220569e-15,9.5991072993337253e-81,1.6410499562148824e-15,6.0297449293013125e-55,9.6513414591722335e-53,2.0087918056394986e-82,2.3291895023249865e-83,6.2026541552704968e-29,4.3084498688762354e-64,8.962224322230385e-14,2.6535553334826396e-15,1.0623072363555278e-17,1.0623071243013882e-17,5.5828346228511553e-25,5.4877799559738778e-29,2.0692571886142378e-33,1.9340858065484061e-28,2.0964415813420342e-39,1.0714082747856484e-72,1.1683982444348039e-55,3.5376713417916327e-76,4.3624604258946961e-79,2.516916292624543e-24,3.2413600841998241e-41,5.2232653428071126e-29
3.7188096574707257e-19,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679981531,0.11866996602978278,0.022821567693051634,0.0,3.1952387735869004e-40,6.8881581098393324e-27,4.695983404309006e-61,2.1246754866737522e-40,1.4024719297909201e-95,3.2821444299833729e-15,6.1437250175479946e-79,3.2821444299546741e-15,9.647919017246498e-54,1.5442705991934002e-51,3.1272365206317344e-80,3.6260235687178318e-81,2.4811122512180951e-28,1.3787522620721517e-62,1.7924691766815217e-13,5.3071826512115041e-15,2.1246434027790685e-17,2.1246429545314686e-17,2.2329596975534299e-24,4.3898886660867943e-28,2.0211911301462579e-32,7.736500488451679e-28,1.6771945395312255e-38,6.857257064528899e-71,4.5548497697055285e-54,5.5073575653918014e-74,6.798946698409352e-77,5.0340249192545224e-24,2.5931493294737156e-40,2.0893485352941094e-28
7.437669755209705e-19,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679963073,0.11866996602960023,0.02282156769304898,0.0,2.5562218266595428e-39,2.7552964279606065e-26,4.0763675171045308e-59,1.6997672834781297e-39,4.864845324700174e-93,6.5643333775136131e-15,3.932078835649559e-77,6.5643333773988149e-15,1.5436932101089118e-52,2.4708774008380138e-50,5.4256184242795744e-78,6.2909920364720716e-79,9.9245508477589863e-28,4.4120845001250772e-61,3.5849626655580382e-13,1.0614437286663924e-14,4.2493160728369775e-17,4.2493142796529384e-17,8.9301734292884246e-24,3.5112495820046174e-27,2.2020027185779875e-31,3.0946315655205744e-27,1.3417738989161617e-37,4.3887226003793557e-69,1.9795714762247099e-52,9.5550237471790558e-72,1.1811701077984008e-74,1.0068614346850046e-23,2.0745436226314178e-39,8.3574782791999958e-28
1.4875389950687662e-18,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679926153,0.11866996602923512,0.022821567693043672,0.0,2.0449903494133904e-38,1.1021282992058629e-25,3.9788522001046355e-57,1.3598245810718613e-38,1.897561850436969e-90,1.3128711272604525e-14,2.5165607875840988e-75,1.3128711272145328e-14,2.4699300588942873e-51,3.9534383350252789e-49,1.0584860260974208e-75,1.2273120742638123e-76,3.9698412387851409e-27,1.4118793850812308e-59,7.1699496431492726e-13,2.1228946557547339e-14,8.4986627627165369e-17,8.4986555885415242e-17,3.5706833289848108e-23,2.8078920821750736e-26,2.6971233273031225e-30,1.2378588341907061e-26,1.0734292360175787e-36,2.8088074032705756e-67,9.6735405400338511e-51,1.8640931479943299e-69,2.3073239321722256e-72,2.0139281899383319e-23,1.6596440079975324e-38,3.3430076121006042e-27
2.9750830341643574e-18,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679852312,0.11866996602850491,0.022821567693033059,0.0,1.6359983386021757e-37,4.4085573506904225e-25,4.2980108680304227e-55,1.087863961072249e-37,8.1929800470011679e-88,2.6257467062908071e-14,1.610608595922769e-73,2.6257467061071272e-14,3.9519047961745097e-50,6.3255255379087613e-48,2.2856456391494918e-73,2.6502006523567173e-74,1.5879411002705512e-26,4.5180336761590509e-58,1.4339923597684539e-12,4.2457965099226961e-14,1.699736154888906e-16,1.6997332840904684e-16,1.4271548270700396e-22,2.2445234504014596e-25,3.6527884262868998e-29,4.9514472241677206e-26,8.5875192587376654e-36,1.7976446590701769e-65,5.229959437530025e-49,4.0252355137386357e-67,4.9872839280041823e-70,4.0286571793818415e-23,1.3277179642994012e-37,1.3372058831257238e-26
