Time (s),Volume (m^3),N2,Ar,He,Ne,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(45),OX(20),CH3X(21),HX(19),CH2X(27),CHX(28),CX(26),HOX(22),H2OX(23),OCX(25),H2X(46),CHOX(50),CO2X(24),CH4OX(57),COX(47)
9.987685144383425e-21,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039999629,0.099999999999997438,0.09999999999999945,2.8303572549778931e-101,8.4129684968008194e-57,9.1723129631665457e-42,7.2258689429270827e-80,1.8593243403914267e-48,1.5986207351428745e-130,3.301796102224872e-34,4.5401209299994353e-125,3.3001862900896754e-34,6.3519894180290937e-80,2.2387513599336926e-57,4.3492964933604557e-115,1.3083226232918513e-116,2.8878407354342456e-47,6.9803746366465485e-97,2.5656757347561677e-15,1.1225550427833722e-15,2.4386768303396278e-19,2.4386768317897553e-19,7.2478175902980554e-29,2.9378407850336079e-32,1.4043242764331689e-38,3.1777100555064632e-32,5.3742609170808649e-46,4.4523764992902965e-62,3.5433809111556027e-55,2.4127377388039722e-90,2.9258395557296018e-91,2.0993558489953094e-71,7.0487812741703713e-94
1.9984047686807147e-20,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.1928957503999926,0.099999999999994871,0.099999999999998895,1.4506165825214359e-98,1.3476108391300395e-55,7.3406508214100382e-41,9.254494933418524e-78,1.4889674498799353e-47,1.639362255287277e-127,6.6096833910264961e-34,2.9111436432178084e-123,6.6032399471958511e-34,1.017422219793294e-78,3.5861707513675839e-56,1.1305601725271812e-112,3.3512699309990932e-114,2.3120285203338984e-46,2.2362269756456445e-95,5.1335805535539012e-15,2.2460853723110601e-15,4.8794724053884292e-19,4.8794724111938918e-19,2.8998406029280232e-28,2.3511684803190354e-31,2.2471904738903414e-37,1.2719121580437506e-31,4.302676516586147e-45,2.8511540368240052e-60,5.6719498688358145e-54,6.182870559654727e-88,7.4977432989737295e-89,6.7260172275218284e-70,1.8055461484444324e-91
3.9976772771654594e-20,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039998522,0.099999999999989736,0.099999999999997771,7.4268941513056004e-96,2.1574068452859824e-54,5.8703121185765708e-40,1.1842767891605108e-75,1.1917774447277916e-46,1.6790104531464165e-124,1.3235129829029192e-33,1.8658201398729229e-121,1.3209347660745505e-33,1.6287591842784499e-77,5.7412102510803774e-55,2.9779080814149973e-110,8.5771167767301628e-112,1.8503254908362442e-45,7.1599401144173848e-94,1.0269390191141764e-14,4.4931460313662384e-15,9.7610635511311926e-19,9.7610635743700006e-19,1.1593745076558487e-27,1.8802256055301427e-30,3.5937472723724625e-36,5.0893053800892831e-31,3.443448888033379e-44,1.8242666974166761e-58,9.072174073851365e-53,1.5827554433971974e-85,1.9193504323229931e-86,2.1536189832284651e-68,4.6210482830204211e-89
7.996222294134949e-20,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039997045,0.099999999999979466,0.099999999999995523,3.7983773834247598e-93,3.452834881210011e-53,4.6900526103411594e-39,1.5140406080844782e-73,9.5366340708377193e-46,1.7175955382244559e-121,2.652471014656336e-33,1.1961855964082742e-119,2.6421564685194008e-33,2.6067217981818625e-76,9.1886069234450715e-54,8.0458250750005134e-108,2.1930940526077086e-109,1.4805415248494435e-44,2.2918232358455279e-92,2.0541009466287087e-14,8.9872673494758077e-15,1.9524245825197365e-18,1.9524245918242727e-18,4.6307531217311185e-27,1.5021927206097257e-29,5.7422860418364636e-35,2.0360535521862388e-30,2.7552822963621842e-43,1.1661095735203543e-56,1.4497227124561714e-51,4.0473773486340896e-83,4.9081095557564226e-84,6.8936510313505222e-67,1.1815617962736913e-86
1.5993312328073928e-19,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039994092,0.099999999999958927,0.099999999999991027,1.9394924540695752e-90,5.5253231057758014e-52,3.7411044574454888e-38,1.9326141726708871e-71,7.6302731543840762e-45,1.7541373539268571e-118,5.3258620547194541e-33,7.6775459035406958e-118,5.2846005123487852e-33,4.1713206268967973e-75,1.4703907870048811e-52,2.2744024775294279e-105,5.5988333945373075e-107,1.1845456884196258e-43,7.3348623270872029e-91,4.1084248016456111e-14,1.7975509985691774e-14,3.9050610303652298e-18,3.9050610676461375e-18,1.8464787272770299e-26,1.1982463370451607e-28,9.1614195825240458e-34,8.1448770831695102e-30,2.2044351406080197e-42,7.4423769505265076e-55,2.3130351972816786e-50,1.0333135514764521e-80,1.253062869283904e-81,2.2062996374913961e-65,3.0164541430795377e-84
3.1987492395951883e-19,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039988185,0.099999999999917835,0.099999999999982034,9.8740755452923351e-88,8.8411469382255099e-51,2.9751115927660526e-37,2.4597116610048788e-69,6.1046048655126093e-44,1.7861260671860953e-115,1.0734544040629036e-32,4.9403212892000672e-116,1.0569491155766303e-32,6.6745655920854077e-74,2.3527962246783449e-51,6.911294013849847e-103,1.4251860641828157e-104,9.4768154640113536e-43,2.347320417907578e-89,8.2170725116307677e-14,3.5951995258111068e-14,7.8103338981852508e-18,7.8103340477885476e-18,7.3388563846515663e-26,9.528975450540154e-28,1.457369630919804e-32,3.2580834344098321e-29,1.7636318492237457e-41,4.735988897360591e-53,3.6796056016913789e-49,2.6303139761483396e-78,3.1896916261829778e-79,7.0606890022403222e-64,7.678400305129733e-82
6.39758525317078e-19,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039976373,0.099999999999835651,0.099999999999964062,4.9983747874730057e-85,1.4146339358412202e-49,2.3519751830974553e-36,3.112831399010179e-67,4.88383836886499e-43,1.8083279359266492e-112,2.1799507632047259e-32,3.1955185899025024e-114,2.1139282665636493e-32,1.0679666893781667e-72,3.764610763280949e-50,2.3171700287499834e-100,3.6073036705803048e-102,7.5816324522236842e-42,7.5116884092199691e-88,1.6434367931406482e-13,7.1904965802898954e-14,1.5620879522341431e-17,1.5620880124488482e-17,2.8983870267268332e-25,7.5330183196286608e-27,2.3050798467243448e-31,1.3032599116940032e-28,1.4109389923420084e-40,2.9966255655919e-51,5.8200726351503793e-48,6.6573952611041706e-76,8.0732088437941797e-77,2.2595053256466527e-62,1.9434880973408567e-79
1.2795257280321963e-18,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039952744,0.099999999999671296,0.099999999999928105,2.5024088253505988e-82,2.2634547233827801e-48,1.8380444377814564e-35,3.8961151007310488e-65,3.9071323825145592e-42,1.8106450709530124e-109,4.4919833265005379e-32,2.0881396225547863e-112,4.2278906577518746e-32,1.708775615175938e-71,6.0234867491501193e-49,8.6434955895232676e-98,9.0304204802845204e-100,6.0653781448241179e-41,2.4037823222628446e-86,3.2868958770179531e-13,1.4381090689227143e-13,3.1241970324718358e-17,3.1241972762071998e-17,1.1306283246686081e-24,5.8867956777353115e-26,3.6053968390897216e-30,5.2130928609476009e-28,1.1287646270361743e-39,1.8751683254564763e-49,9.1035463879846898e-47,1.6664517919757879e-73,2.0208593022611262e-74,7.2305528945096156e-61,4.8652722696958081e-77
2.559060133462433e-18,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039905488,0.099999999999342573,0.099999999999856204,1.2267388277165439e-79,3.6215601747948186e-47,1.4052415699773581e-34,4.7751046450598529e-63,3.1257304146048949e-41,1.7751965950082551e-106,9.5122078105211457e-32,1.3914128802800886e-110,8.4558317969861622e-32,2.7340639732309889e-70,9.6376666862684253e-48,3.5123662535707925e-95,2.213736956677531e-97,4.8523316287617402e-40,7.6921702916009031e-85,6.5738140444612091e-13,2.8762278907019856e-13,6.2484150145730563e-17,6.2484160109838598e-17,4.3079324232750856e-24,4.5003596330296857e-25,5.5206227633169149e-29,2.0852478975354097e-27,9.030171194086432e-39,1.1489128883229028e-47,1.3940312746689918e-45,4.0844649305396807e-71,4.9531496809533054e-72,2.3137987253235897e-59,1.1926833938137456e-74
5.118128944322906e-18,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039810974,0.099999999998685127,0.099999999999712388,5.7877710676657202e-77,5.7945232872191406e-46,1.0322787639206198e-33,5.6326993020517251e-61,2.5005938686558558e-40,1.6749937478341769e-103,2.1137294027320933e-31,9.6089389786524561e-109,1.6911779502895714e-31,4.3745202972325433e-69,1.5420337854688319e-46,1.4861254036795911e-92,5.2234688880027358e-95,3.8818773314155085e-39,2.4615049411763599e-83,1.3147650378102309e-12,5.7524655342274557e-13,1.2496850265278923e-16,1.2496854401587638e-16,1.5725810007127054e-23,3.3055183017399704e-24,8.1322248142385925e-28,8.3410139787459026e-27,7.2241593381577884e-38,6.7740969416211184e-46,2.0537428857627321e-44,9.6343812363936942e-69,1.1683582421449517e-69,7.404191199484672e-58,2.8142203074232185e-72
1.0236266566043853e-17,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039621948,0.099999999997370234,0.099999999999424771,2.5602734108927781e-74,9.2712619321035201e-45,7.0905670941814119e-33,6.2300792269985808e-59,2.0004784833161919e-39,1.4817538060408659e-100,5.0726014008296085e-31,7.0506605812294232e-107,3.3823936624567209e-31,6.9992453838826227e-68,2.4672600201171942e-45,6.195624976422039e-90,1.1558167616697839e-92,3.1055072896774247e-38,7.8768309293810985e-82,2.6295323040402847e-12,1.1504940821143236e-12,2.4993717912704991e-16,2.4993735407288669e-16,5.3417971000392127e-23,2.2699457974312457e-23,1.1224024235636965e-26,3.336410775071266e-26,5.779337562495448e-37,3.7441346109652292e-44,2.8352364820735287e-43,2.1305689099437276e-66,2.5838043895481989e-67,2.3693470842638309e-56,6.2271275748190077e-70
