Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),HX(19),HOX(22),CH3OO(77),CH3X(21),H2OX(23),CH2X(27),CHX(28),CX(26),OCX(25),H2X(49),C2H4(47),COX(50),CH4OX(60),CHOX(53),HOCOX(206),C2H4X(210),C2H4X(65)
6.03645329594467e-21,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999688,0.11866996602996237,0.022821567693054243,0.0,2.2921992003259035e-54,1.8156999075910933e-30,1.5075711217226997e-71,9.0246405307525135e-46,1.1907819576187302e-109,5.3276487335961654e-17,1.1177958995710801e-89,5.3276487335955115e-17,6.656689130672446e-61,8.9049548370533856e-59,1.6332566672889945e-92,1.8937573795321958e-93,2.5210627374467707e-42,1.5453580129707252e-71,2.9095752313867156e-15,8.614735132449873e-17,3.4487673626365281e-19,5.5074739621278839e-32,2.0393233248448674e-31,3.4487673306872026e-19,1.1102621872415128e-45,1.5959142299754196e-27,1.3814836660115923e-32,1.1036981956075488e-36,6.5961239873761303e-62,7.1809326460077274e-44,1.2486105597747252e-81,2.8763187035384785e-86,7.9799270982274669e-73,9.6012437687297804e-89,1.017889511304933e-99,1.1676318209553474e-95,1.4565766267665146e-85
1.2078151121251586e-20,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999388,0.1186699660299594,0.022821567693054202,0.0,3.6705056464921122e-53,7.2675358844634623e-30,9.6924594144545684e-70,7.2270317300586662e-45,3.0622914966947816e-107,1.065992618025374e-16,7.164950704767695e-88,1.0659926180251121e-16,1.0662271281488209e-59,1.4264508784959019e-57,2.1000969584334355e-90,2.4350576315735722e-91,2.0183831036780091e-41,4.9506959969281491e-70,5.8216783300451495e-15,1.723695483060977e-16,6.9005310799327251e-19,2.2044248735759219e-31,8.1626079246259319e-31,6.9005309520516066e-19,8.8888483478369902e-45,6.3877606562057564e-27,1.1060176919724331e-31,8.8661785670546485e-36,2.1203993883832113e-60,5.7491156825635753e-43,8.0002212996468292e-80,3.69846838955333e-84,2.5566474065378856e-71,1.2351083791927513e-86,2.6202306783217852e-97,1.4962867841559447e-93,9.3327217884748176e-84
2.4161546771865417e-20,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679998789,0.11866996602995347,0.022821567693054115,0.0,5.8751997492968157e-52,2.9079645180963872e-29,6.2479200468415191e-68,5.7845545369688027e-44,7.8957732263756225e-105,2.1324481073569125e-16,4.5891098650748787e-86,2.1324481073558645e-16,1.7068894264988385e-58,2.2836487449726718e-56,2.7074591252496838e-88,3.1392926769872041e-89,1.6153199102080788e-40,1.585111318223838e-68,1.1645884527357749e-14,3.4481394226929004e-16,1.380405861061874e-18,8.820570887372145e-31,3.2661063949929554e-30,1.3804058098923268e-18,7.1137801495246218e-44,2.5558920245266338e-26,8.8513550238590093e-31,7.1434657418313619e-35,6.8345073985011126e-59,4.6010450235868322e-42,5.1230598613760609e-78,4.7680903182345352e-82,8.1861882694508096e-70,1.5927242516039878e-84,6.7588056286040624e-95,1.9163473428441449e-91,5.9763458413704641e-82
4.832833807309308e-20,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999759,0.11866996602994161,0.022821567693053942,0.0,9.4022325891074844e-51,1.1633779819778669e-28,4.0522328469766171e-66,4.6288155767796085e-43,2.0482488562198727e-102,4.2653590860200809e-16,2.9381640766235387e-84,4.2653590860158871e-16,2.7317641104100981e-57,3.6549001672083731e-55,3.5118035593628421e-86,4.0719282095955835e-87,1.2925013508351954e-39,5.0737784094407929e-67,2.3294296921965867e-14,6.8970273019565264e-16,2.7611114056388479e-18,3.5288027133912274e-30,1.3066552310517453e-29,2.7611112009238015e-18,5.6921049015841692e-43,1.0224878096053948e-25,7.0821921347964026e-30,5.7923939966779216e-34,2.2165518593669247e-57,3.6815434059294725e-41,3.2796924377933991e-76,6.1846165438507944e-80,2.6203671360492416e-68,2.0663217048547186e-82,1.7534390571069742e-92,2.4536289892482956e-89,3.8259505553542884e-80
9.66619206755484e-20,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679995192,0.11866996602991788,0.022821567693053598,0.0,1.5045102537782939e-49,4.6539132216958953e-28,2.6607973325653076e-64,3.70352129731524e-42,5.3789611783183577e-100,8.5311810433467865e-16,1.8807878945619801e-82,8.5311810433300084e-16,4.3714154826469641e-56,5.8486900055404043e-54,4.6114382558494528e-84,5.3469521214529212e-85,1.0340992591399196e-38,1.6238366752273443e-65,4.6591121711113766e-14,1.3794803060482889e-15,5.5225226485704624e-18,1.4116359636412674e-29,5.2270462824758924e-29,5.5225218296153295e-18,4.5541162202744651e-42,4.0900006752062454e-25,5.6659129357188224e-29,4.7568126357511503e-33,7.278614103739847e-56,2.9455277030305646e-40,2.0993021257621134e-74,8.1211766731893988e-78,8.3864338413129551e-67,2.7140065323880249e-80,4.6037409666489671e-90,3.141095985281629e-87,2.4489564813577543e-78
1.9332908588045906e-19,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679990396,0.11866996602987043,0.022821567693052908,0.0,2.4073387852084306e-48,1.8616590809370901e-27,1.7887452999144589e-62,2.963004583293037e-41,1.4460372455675479e-97,1.7062824958001664e-15,1.203820388492689e-80,1.7062824957934556e-15,6.9947391280326897e-55,9.3585834024988698e-53,6.1990605013978456e-82,7.1877964656065572e-83,8.273186790644072e-38,5.1966415161741843e-64,9.3184771289136271e-14,2.7590354577532062e-15,1.1045345749692966e-17,5.6467736066384628e-29,2.0909035731671077e-28,1.1045342473512768e-17,3.6434658091131604e-41,1.6358401290762589e-24,4.5323396294440069e-28,4.001533953368509e-32,2.4474373067722255e-54,2.3565553459548352e-39,1.3436490343846802e-72,1.0917128693408776e-75,2.6838601350593013e-65,3.6497890382958063e-78,1.2369129838776765e-87,4.0208914390217744e-85,1.5674429447291661e-76
3.8666341629028036e-19,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679980798,0.11866996602977552,0.022821567693051527,0.0,3.8518397704437425e-47,7.4469321084125069e-27,1.2545021232609516e-60,2.3704786865190813e-40,4.0547209950359554e-95,3.4126112787317308e-15,7.704822136325432e-79,3.4126112787048866e-15,1.11919620941224e-53,1.4974275533324164e-51,8.6924915696219559e-80,1.0078924021118752e-80,6.6187064959796094e-37,1.6629835477461649e-62,1.8637207044408803e-13,5.5181457611616181e-15,2.2090994414163294e-17,2.2587553837465827e-28,8.3637843000008319e-28,2.2090981307365716e-17,2.9148416287806243e-40,6.5416806061058185e-24,3.6249886619933283e-27,3.5146340642560472e-31,8.5876873284537923e-53,1.8853231181540925e-38,8.5996599549346514e-71,1.5308294975061189e-73,8.5886735577989938e-64,5.121095065798636e-76,3.4645458610417349e-85,5.1469257190903397e-83,1.003198157047328e-74
7.733320771099229e-19,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679961602,0.11866996602958571,0.022821567693048769,0.0,6.1630211899470313e-46,2.97891848021987e-26,9.43157409709723e-59,1.896412956697123e-39,1.2184867937347759e-92,6.8252688445972115e-15,4.931205090817964e-77,6.825268844489835e-15,1.7907442919000765e-52,2.3959269900555405e-50,1.3064058846636157e-77,1.5147746056663358e-78,5.2950279786240166e-36,5.3216405457258749e-61,3.7274666874961852e-13,1.1036366367972751e-14,4.4182301601504946e-17,9.0351133368554297e-28,3.3455476289294511e-27,4.4182249159308289e-17,2.3319006503666054e-39,2.6152495397717462e-23,2.8984759221928613e-26,3.3126871792188162e-30,3.231325168808013e-51,1.5083309023573534e-37,5.5038802931548493e-69,2.300703482355088e-71,2.7484262938834481e-62,7.7040655705871718e-74,1.0393287656215503e-82,6.5881830647511986e-81,6.4205691249802767e-73
1.5466693987492081e-18,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679923216,0.1186699660292061,0.022821567693043249,0.0,9.8608939813331026e-45,1.1916655781499221e-25,7.828866497231092e-57,1.5171423669541656e-38,4.0418984656636296e-90,1.3650583976337585e-14,3.1560093042557987e-75,1.365058397590808e-14,2.8652151436355783e-51,3.8335160256259862e-49,2.1674499658969401e-75,2.5131531668287919e-76,4.2360474247916999e-35,1.7029398671148406e-59,7.4549586534318772e-13,2.2072807581572263e-14,8.8364955485635731e-17,3.6140636302961918e-27,1.3382257591156751e-26,8.8364745600174982e-17,1.8655310663083153e-38,1.0449474694804813e-22,2.3163191227236682e-25,3.4504425121647964e-29,1.3428173124411073e-49,1.2067589643354878e-36,3.5225146678070447e-67,3.8170826056066627e-69,8.7950413445795525e-61,1.279801165776751e-71,3.4396984185310536e-80,8.4329498043578803e-79,4.1091836911260061e-71
3.0933440420277785e-18,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679846439,0.11866996602844686,0.022821567693032212,0.0,1.5777472131944601e-43,4.7674091606314602e-25,7.2980228058203441e-55,1.2137186918396824e-37,1.5056347599854336e-87,2.7301214239855973e-14,2.0198581168411763e-73,2.7301214238137954e-14,4.5843636220817982e-50,6.1336471700733451e-48,4.0382861681977705e-73,4.6823831366256204e-74,3.388847843009194e-34,5.4494312842627182e-58,1.4909942584603586e-12,4.4145690008680259e-14,1.7673042189617989e-16,1.4456290593177565e-26,5.3529158574031527e-26,1.767295814301139e-16,1.492428442676444e-37,4.170567776186288e-22,1.8491120466219592e-24,4.0368478630525665e-28,6.2671926924174321e-48,9.6554895057447086e-36,2.2544193265013484e-65,7.1117991199575192e-67,2.8144230195705669e-59,2.3876428161782361e-69,1.278185938609004e-77,1.0794223720958893e-76,2.6298673471950353e-69
