Time (s),Volume (m^3),N2,Ne,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(56),OX(20),CH3X(21),HOX(22),HX(19),CH2X(27),CHX(28),CX(26),OCX(25),H2X(57),CO2X(24),CHOX(61),COX(58)
8.070097528811325e-21,0.09977366400000001,0.80000000000000004,0.0,0.28934362559999677,0.099999999999997466,0.099999999999999645,2.6427063169102316e-99,2.2671970016483721e-57,1.8978140060259647e-39,5.6140444126889219e-66,2.5700568056415169e-51,2.6989091539642576e-43,4.1764461245996357e-26,5.972463023662571e-103,4.1764461214528781e-26,1.5091012455281012e-65,2.2254926032022224e-65,1.325761330482269e-66,7.9063836681907808e-94,2.6989092474674534e-43,1.5626900594022468e-80,2.5389920241016368e-15,7.4058678100064872e-16,1.6783795302037888e-20,1.2305452686506214e-31,1.6783795379359229e-20,3.8717459579386098e-29,3.1478153732298158e-33,3.012532555303747e-39,3.4272201187044947e-63,7.2825125405438961e-53,2.9079899541239862e-90,8.6457205562383755e-60,4.0659866529582254e-81
1.614720643688313e-20,0.09977366400000001,0.80000000000000004,0.0,0.28934362559999349,0.099999999999994926,0.09999999999999927,9.4695241546432585e-97,1.8151880653748323e-56,1.4791506712987434e-38,4.4946491297399741e-65,2.0581298434605366e-50,1.0802670183095615e-42,8.3565207925438281e-26,1.9140490338010697e-101,8.3565207799486001e-26,1.2085049342601282e-64,3.5644644031760426e-64,1.0614151846856057e-65,2.4351509133476595e-92,1.0802670931595012e-42,2.5030199028427066e-79,5.0801899491778794e-15,1.4818169910030095e-15,3.3582172451488475e-20,4.9247203285136159e-31,3.3582172760988011e-20,1.5495813832593531e-28,2.5199740792341024e-32,3.3844449253399853e-38,1.5365185333829017e-61,1.1331868584835281e-51,5.2117710723183283e-88,6.9218330965916746e-59,6.5108762538354128e-80
3.230142425302674e-20,0.09977366400000001,0.80000000000000004,0.0,0.28934362559998694,0.099999999999989847,0.099999999999998535,3.8043942582411157e-94,1.4527851818238516e-55,1.1675337148948331e-37,3.5970855017436359e-64,1.6473380312040803e-49,4.3224751917882035e-42,1.6716670147376112e-25,6.1295382356759392e-100,1.6716670096978794e-25,9.6729376525711494e-64,5.7049631059206308e-63,8.4945473453829222e-65,7.6404676113769773e-91,4.3224757906636703e-42,4.0070057435462343e-78,1.0162585799324291e-14,2.9642774110076517e-15,6.7178926518499203e-20,1.9699955230363464e-30,6.7178927757001797e-20,6.1993358092392617e-28,2.0164375245134332e-31,4.2649704822784129e-37,7.7274221744152377e-60,1.7872631965303698e-50,1.0472347556711207e-85,5.5395696568621492e-58,1.0421642657987958e-78
6.460985988531395e-20,0.09977366400000001,0.80000000000000004,0.0,0.28934362559997379,0.099999999999979688,0.09999999999999705,1.6783603480245366e-91,1.1625816859354393e-54,9.2749946347148722e-37,2.8782169120047302e-63,1.3182041520477303e-48,1.7292715438748258e-41,3.3436968932816266e-25,1.9621855782105181e-98,3.343696873119417e-25,7.7403099272120436e-63,9.125807088266225e-62,6.7969285117980515e-64,2.4206118297711738e-89,1.729272022823866e-41,6.4129488487429371e-77,2.0327377499592799e-14,5.9291982510166205e-15,1.3437243372495879e-19,7.8769947589594587e-30,1.3437243868058615e-19,2.4793317184133818e-27,1.6129643336157165e-30,5.9022122112878211e-36,4.2701704839276881e-58,2.8383199839972538e-49,2.3105243423519638e-83,4.432496568775535e-57,1.6678031986119862e-77
1.292267311498884e-19,0.09977366400000001,0.80000000000000004,0.0,0.28934362559994753,0.099999999999959358,0.09999999999999408,7.8834874950431565e-89,9.3036584463275852e-54,7.3905280353221516e-36,2.3028156105182139e-62,1.0546968015910093e-47,6.9176491767825799e-41,6.6877566806798883e-25,6.2801675587345341e-97,6.6877566000244905e-25,6.1930320478829482e-62,1.4588114021497356e-60,5.4380591388931458e-63,7.7070035180115683e-88,6.9176530048668609e-41,1.0262110225152791e-75,4.0656960900032591e-14,1.1859039931033293e-14,2.6875944442763085e-19,3.1476431458275018e-29,2.6875946425823223e-19,9.9116891108977552e-27,1.2897073226308853e-29,8.7024116836457932e-35,2.5156857278106828e-56,4.5222822213020001e-48,5.4271733335187783e-81,3.5463326548844519e-56,2.6687821409973398e-76
2.5846047367903723e-19,0.09977366400000001,0.80000000000000004,0.0,0.28934362559989502,0.099999999999918696,0.099999999999988154,3.8349375934934303e-86,7.4466645695920447e-53,5.895282819730941e-35,1.8426274544712956e-61,8.4381079302442794e-47,2.7671722964778127e-40,1.3375876376717337e-24,2.0098415021506187e-95,1.3375876054082624e-24,4.954739441238001e-61,2.3293862425793253e-59,4.3506538860947614e-62,2.4600069138148585e-86,2.7671753529134993e-40,1.6420490546594509e-74,8.1316127700523287e-14,2.371872329106158e-14,5.3753345099198713e-19,1.2563876825733495e-28,5.3753353036935734e-19,3.9596902071029198e-26,1.0305583269589645e-28,1.3319613585941819e-33,1.5392226855005558e-54,7.2140895291499931e-47,1.3201263373014566e-78,2.8371987335805743e-55,4.2708958171137223e-75
5.169279587373349e-19,0.09977366400000001,0.80000000000000004,0.0,0.28934362559978999,0.099999999999837372,0.099999999999976288,1.8922099184265913e-83,5.9628544966716531e-52,4.7008431427076498e-34,1.4777304708382659e-60,6.7506990618893656e-46,1.1068914613442568e-39,2.6752116253755865e-24,6.4317938839369836e-94,2.6752114963190851e-24,3.9639173041416873e-60,3.7116243546553775e-58,3.4806057925424176e-61,7.8620583756101271e-85,1.1068938967248697e-39,2.6273677705971424e-73,1.6263446129994903e-13,4.7438090011097942e-14,1.0750814047567549e-18,5.0040172735153365e-28,1.0750817226851016e-18,1.5798057417563524e-25,8.2246281854179545e-28,2.079206890320918e-32,9.6079445493234518e-53,1.1505098328365903e-45,3.2569353317890968e-76,2.2698095402329718e-54,6.8492868407370553e-74
1.0338629288539302e-18,0.09977366400000001,0.80000000000000004,0.0,0.28934362559957993,0.099999999999674738,0.099999999999952571,9.3122001066256009e-81,4.7788437988162999e-51,3.7409892046562981e-33,1.2274812872747798e-59,5.4006432245612382e-45,4.4276110688783479e-39,5.3504597947687048e-24,2.0582225029611457e-92,5.3504592785375124e-24,3.1711845063796451e-59,5.8895981902935505e-57,2.7845177902912021e-60,2.5143106750070304e-83,4.4276303967575724e-39,4.2038603249361029e-72,3.2527112849257816e-13,9.4876823451089806e-14,2.150177074830562e-18,1.9845256378680347e-27,2.1501783498323757e-18,6.2867033573857415e-25,6.5479496418902664e-27,3.273794167038012e-31,6.0504131877990294e-51,1.8314097005619741e-44,8.0141936315058034e-74,1.8158638667385358e-53,1.1354162694608474e-72
2.067732869087121e-18,0.09977366400000001,0.80000000000000004,0.0,0.28934362559915977,0.099999999999349456,0.099999999999905137,4.4893192161046744e-78,3.8363710000136157e-50,2.9636158466350749e-32,1.5529877996659026e-58,4.3205463885998779e-44,1.7710535823669712e-38,1.0700956909496248e-23,6.5863913801916081e-91,1.0700954844561499e-23,2.536968449427157e-58,9.269939851438101e-56,2.227627626583077e-59,8.0445900201943107e-82,1.7710688017987999e-38,6.7262355194233549e-71,6.5054446285294684e-13,1.8975429033075009e-13,4.3003674651556952e-18,7.8045546656831378e-27,4.3003725910185873e-18,2.4889999108387907e-24,5.1881662600581482e-26,5.1598507102027897e-30,3.8143837529127119e-49,2.9025435734567802e-43,1.9316996472055279e-71,1.4526912080005257e-52,2.8132466164735209e-71
4.135472749553503e-18,0.09977366400000001,0.80000000000000004,0.0,0.28934362559831944,0.099999999998698907,0.099999999999810255,2.0679448545122844e-75,3.0893350232663535e-49,2.3262222671797648e-31,8.3954356095725569e-57,3.4564469843883299e-43,7.0842335197407259e-38,2.1401954242713791e-23,2.1076591145141174e-89,2.1401945982957991e-23,2.0295840236106794e-57,1.4362898691157212e-54,1.7821076698382522e-58,2.5773291275162926e-80,7.0843515604355315e-38,1.0762028784282556e-69,1.3010911314741251e-12,3.7950922408877773e-13,8.6007444465193735e-18,3.0198528367300402e-26,8.6007651508627901e-18,9.7562495848139439e-24,4.0723724473830322e-25,8.0819875625537689e-29,2.3900608697758843e-47,4.5593197236364656e-42,4.4486273295135986e-69,1.1621428056308482e-51,2.9470466148173077e-69
