Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),CH3X(21),HX(19),CH2X(27),CHX(28),CX(26),HOX(22),OCX(25),H2X(49),CHOX(53),CO2X(24),COX(50),H2OX(23)
0.0,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996532,0.022821567693054285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.326656734914361e-24,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996532,0.022821567693054285,-6.5089549805002497e-122,9.4126444641324112e-66,8.3315960907359288e-42,1.8752476604883098e-91,5.1339092296104366e-59,9.3294788132286876e-141,7.4501611959771282e-25,-1.1574174399010692e-119,7.4501611959771098e-25,1.6929126907716814e-81,3.2308402117004469e-76,4.1165164249450256e-119,2.487388774063312e-120,4.9180927433259073e-58,1.1113102597458525e-96,2.9546266505694328e-18,1.4206107501034383e-19,5.4758013950019199e-23,5.4758013950510897e-23,2.4587811592641388e-34,1.594529794550833e-41,5.3579128938852326e-47,6.6436970469482084e-38,1.7726198261903918e-77,5.8518493830951727e-58,-5.804844655295852e-111,-7.2067198532888841e-110,3.6438471700058721e-109,2.462945812106433e-54
2.051463885776021e-23,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996532,0.022821567693054285,1.1793960666566255e-119,2.1055708726734233e-64,5.0323152800434848e-41,2.0725497009700672e-89,7.7583636276715877e-58,3.3669089835561884e-138,2.0860451348736017e-24,2.2340462357151147e-118,2.0860451348735907e-24,4.7742846539379851e-80,1.0158278161053576e-74,8.230500961346749e-117,4.9732476643381462e-118,5.8387594663481871e-57,5.7524619617181818e-95,8.2729546215944087e-18,3.9777101002896271e-19,1.5332243905925734e-22,1.5332243906222715e-22,1.4851037271958236e-33,1.8930256624325173e-40,6.3620127906169779e-46,4.0127928373453601e-37,1.078554332254178e-75,6.9473550847539126e-57,5.8756614312874128e-109,7.2946385139576595e-108,7.2854531693490425e-107,2.924009148669556e-53
4.6890603103451914e-23,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996531,0.022821567693054285,4.9805344121691334e-117,4.1602529043159172e-63,2.4228750050386469e-40,1.8757706706355362e-87,8.3460935560984171e-57,1.2195197441916895e-135,4.7681031654254033e-24,2.3589357143139562e-116,4.768103165425349e-24,1.0385111956325313e-78,2.2662557700172368e-73,1.4905897315532052e-114,9.0068295181658368e-116,5.7325281621829165e-56,2.5117500207798529e-93,1.8909610563644344e-17,9.0919088006620048e-19,3.5045128927454788e-22,3.5045128928884626e-22,7.1501342161445446e-33,1.8585835885879728e-39,6.2485889379870032e-45,1.9319868327355245e-36,4.870897147988342e-74,6.8210380820652749e-56,1.230901299803451e-106,1.5281647687668123e-105,1.3194362936952967e-104,2.8708092682553645e-52
9.964253159483531e-23,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996528,0.022821567693054285,1.6031620782498569e-114,7.4029465193540476e-62,1.058161127425797e-39,1.4206500406231402e-85,7.6714978830428361e-56,3.7004793463231634e-133,1.01322192265291e-23,1.8645422242387735e-114,1.0132219226528862e-23,1.9252247338334142e-77,4.2444454657054656e-72,2.260290937398789e-112,1.3657718621639657e-113,5.0703553418402419e-55,9.3506155561930844e-92,4.0182922447744138e-17,1.9320306201406762e-18,7.4470898969238586e-22,7.4470898975483075e-22,3.1226506307703904e-32,1.6438957231152938e-38,5.5309457799749704e-44,8.4374924749488937e-36,1.8405140392660058e-72,6.0332797663058679e-55,1.9795804358710865e-104,2.4576497335935008e-103,2.0007583802904097e-102,2.5391978367440019e-51
2.0514638857760212e-22,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999992,0.11866996602996524,0.022821567693054285,4.5926233995836212e-112,1.2486147077641533e-60,4.4178480622121201e-39,9.8840373943228471e-84,6.563127951199612e-55,1.0307434713242797e-130,2.0860451348736858e-23,1.3215214981015698e-112,2.0860451348735867e-23,3.3089694201567869e-76,7.3312213259576511e-71,3.1470134352394708e-110,1.901570425413041e-111,4.2619376646259104e-54,3.2214288344014326e-90,8.2729546215943406e-17,3.9777101002896277e-18,1.5332243904770896e-21,1.5332243907377843e-21,1.3036444732969329e-31,1.3817927123087521e-37,4.6560571761692631e-43,3.5224856770850254e-35,6.3950121277575453e-71,5.0715855461664085e-54,2.8343890404011878e-102,3.5188929597221985e-101,2.7856650658077104e-100,2.1343480226594049e-50
4.161541025431357e-22,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999981,0.11866996602996516,0.022821567693054282,1.245499024603025e-109,2.0508520001712522e-59,1.8050260292221808e-38,6.6069134864967822e-82,5.4265211076292089e-54,2.7572029836240635e-128,4.2316915593153848e-23,8.893233854741337e-111,4.2316915593149798e-23,5.4843741447209665e-75,1.2180924917344116e-69,4.2084494840240149e-108,2.5429389607551823e-109,3.4941915133126429e-53,1.0690747780188252e-88,1.678227937523407e-16,8.069069060587526e-18,3.110255191842607e-21,3.1102551929076319e-21,5.3258073580364975e-31,1.1328760100197374e-36,3.8287372880970343e-42,1.4390492408568138e-34,2.1360770086313002e-69,4.158402827712852e-53,3.8426142447133528e-100,4.7705989630703646e-99,3.7252242317973508e-98,1.7498662189953707e-49
8.381695304742029e-22,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999964,0.11866996602996499,0.022821567693054278,3.2954545815413354e-107,3.3245149043417948e-58,7.2977475249084918e-38,4.3397024549390763e-80,4.4127568419222974e-53,7.2456540837438235e-126,8.5229844081993736e-23,5.8351760167050887e-109,8.5229844081977349e-23,8.9298815606879876e-74,1.9857952695941494e-68,5.5293207301530143e-106,3.3410701875993331e-107,2.8296828643757431e-52,3.4834245145417569e-87,3.3800928882513025e-16,1.6251786981183313e-17,6.2643167937580846e-21,6.264316798063091e-21,2.1527718910788191e-30,9.1743051837877023e-36,3.1191080363553063e-41,5.8168582702605807e-34,7.0134506177583112e-68,3.3682474420522431e-52,5.0831104544978191e-98,6.3106590597021651e-97,4.8944295613151324e-96,1.4170850210679056e-48
1.6822003863363374e-21,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999931,0.11866996602996464,0.022821567693054271,8.6506237657000515e-105,5.3540140567224891e-57,2.9356336297908153e-37,2.837974817777713e-78,3.5590482538148422e-52,1.8954345784844005e-123,1.7105570105969721e-22,3.781107216687449e-107,1.7105570105963124e-22,1.4412864832545954e-72,3.2070552246770838e-67,7.2321162387834684e-104,4.3699776380666222e-105,2.2775684810126879e-51,1.1247766665445898e-85,6.7838227897068934e-16,3.2617222822374845e-17,1.2572439994326809e-20,1.2572440011637084e-20,8.6561641359790711e-30,7.3842492367066585e-35,2.5403059869285703e-40,2.3389260135234495e-33,2.2930878578454107e-66,2.7121291010729155e-51,6.6714531943534818e-96,8.2825432692979174e-95,6.4017056003599544e-94,1.1405900706301106e-47
3.370262098060606e-21,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999859,0.11866996602996396,0.022821567693054254,2.2807243235263356e-102,8.5943310757443958e-56,1.1783161265455602e-36,1.8672510396572338e-76,2.8588211031314656e-51,4.9880756425774583e-121,3.4270741501519878e-22,2.4349271982222903e-105,3.427074150149342e-22,2.3161086833258826e-71,5.155217259035131e-66,9.516330460019256e-102,5.750205041628817e-103,1.8275948941890256e-50,3.6154940840809382e-84,1.3591282592617271e-15,6.5348094504757748e-17,2.5188686382415327e-20,2.5188686451837569e-20,3.4714793334420395e-29,5.9253472695598084e-34,2.0862225799393378e-39,9.380082368374655e-33,7.5444194841342527e-65,2.1780308459332342e-50,8.7948177332547181e-94,1.0918583812592188e-92,8.4236403151379832e-92,9.1524650338386354e-47
