Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),HX(19),HOX(22),CH3OO(77),CH3X(21),CH2X(27),CHX(28),CX(26),OCX(25),H2X(49),H2OX(23),C2H4(47),COX(50),CHOX(53)
1.1458340237857283e-20,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999422,0.1186699660299597,0.022821567693054205,0.0,2.91096208538668e-53,6.5407762480558002e-30,3.9658111495668229e-71,6.3206349008927497e-45,1.1269895218793172e-108,1.0112896829285195e-16,5.3502951020471555e-88,1.0112896829279034e-16,8.8465028963630704e-60,6.1253369131222518e-58,8.1485478739354961e-92,9.4482198408607767e-93,4.5860537181821367e-43,3.8968104639031915e-70,5.5229289972741623e-15,1.6352411153905004e-16,6.5464185242288191e-19,1.9839823643868944e-31,7.3463501487037675e-31,6.546418517966421e-19,2.8859041570764335e-28,2.3795767365297603e-34,1.073339737785333e-39,2.3063341685574561e-64,4.9086768803524011e-43,7.5894316918151619e-45,5.974017626989342e-80,1.4350355395307367e-85,2.4038304006983068e-89
2.2921655873125706e-20,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999885,0.11866996602995408,0.022821567693054122,0.0,4.6594352985917583e-52,2.6171624751623019e-29,2.8229574377744133e-69,5.0590697063554372e-44,3.2072134903263327e-106,2.0230184842611833e-16,3.4268333510718336e-86,2.0230184842587184e-16,1.4162087848502501e-58,9.8062387728569763e-57,1.1596654894341439e-89,1.3446290862541984e-90,3.6702367322312551e-42,1.2476787860116509e-68,1.1048256140004456e-14,3.2711922790290402e-16,1.3095679615715724e-18,7.9385136269715774e-31,2.9394969626781166e-30,1.3095679590657959e-18,1.1547366165162089e-27,1.9043821461064654e-33,9.5685397667760886e-39,8.2142356524524635e-63,3.9284333519133882e-42,6.0738518510748888e-44,3.8255504154314431e-78,2.0422794521770509e-83,3.424152391616277e-87
4.5848287143662556e-20,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679997712,0.11866996602994283,0.022821567693053959,0.0,7.4566134730570276e-51,1.0470354097546112e-28,2.1699273017014184e-67,4.0482807294905772e-43,9.8534683195916095e-104,4.0464760869288762e-16,2.1940199613295792e-84,4.0464760869190149e-16,2.2665488878446968e-57,1.5694543039846272e-55,1.7818734704501572e-87,2.0660776029543273e-88,2.9367469627979362e-41,3.9936915557371557e-67,2.2098910425449668e-14,6.5430946063059211e-16,2.619420181676275e-18,3.1759223059172677e-30,1.1759901910392727e-29,2.6194201716515311e-18,4.6196907622611099e-27,1.5237911462797139e-32,9.2222727598560382e-38,3.1603517563604787e-61,3.1433435487383288e-41,4.8600041743264624e-43,2.4490498076800722e-76,3.1380459255604517e-81,5.2674595423853481e-85
9.170154968473625e-20,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679995436,0.11866996602992032,0.022821567693053633,0.0,1.1931794816291111e-49,4.1884825044948031e-28,1.8532553703930521e-65,3.2390346191951964e-42,3.3628977536570904e-101,8.0933912922737248e-16,1.4044437533419136e-82,8.0933912922342769e-16,3.6269701555712315e-56,2.5114917431207933e-54,3.0416758176175898e-85,3.5268151062569257e-86,2.3496205525345989e-40,1.2781604348175204e-65,4.4200218996278598e-14,1.3086899260858879e-15,5.2391246291150057e-18,1.2704722588477266e-29,4.7043435878789705e-29,5.2391245890127061e-18,1.8480206002581412e-26,1.21914240488532e-31,9.8843174143048968e-37,1.3513488517476161e-59,2.5149136123759514e-40,3.8883722918614549e-42,1.5676151240281848e-74,5.3566757164367462e-79,9.0039379831256201e-83
1.8340807476688365e-19,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679990884,0.1186699660298753,0.022821567693052977,0.0,1.9091840811997967e-48,1.6754611787791003e-27,1.7804968491544372e-63,2.5913917192601864e-41,1.2910820563896935e-98,1.6187221703001277e-15,8.9893072454477273e-81,1.6187221702843475e-15,5.8035458226699015e-55,4.018678431774103e-53,5.8406986116657346e-83,6.7722746503774216e-84,1.8797855239698855e-39,4.09040002710786e-64,8.8402836137690497e-14,2.6174508569961607e-15,1.0478533552910092e-17,5.0820953804533509e-29,1.8818139902402465e-28,1.0478533392493877e-17,7.3923344060796301e-26,9.7535020760748961e-31,1.1917237758952986e-35,6.5000150169885927e-58,2.0120264059494335e-39,3.1108451592605567e-41,1.0033451222066233e-72,1.0286016630194581e-76,1.7312801035046958e-80
3.668211249311784e-19,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767998178,0.11866996602978526,0.022821567693051669,0.0,3.0547715609394573e-47,6.7019810831741092e-27,1.9002971265328739e-61,2.0731789864140045e-40,5.5074880817391749e-96,3.2374882524607782e-15,5.7534341599291433e-79,3.2374882523976563e-15,9.2859881791689019e-54,6.4301179617427835e-52,1.2460857437714243e-80,1.4448331280734862e-81,1.503863867718378e-38,1.3089738687113666e-62,1.7680807041953035e-13,5.2349727188154254e-15,2.0957351516173313e-17,2.0328791537205517e-28,7.5274089748081782e-28,2.0957350874491497e-17,2.9569548880469062e-25,7.8028265810871162e-30,1.5949030967539262e-34,3.4723255540014269e-56,1.6096593347484626e-38,2.4887346383730747e-40,6.4216373841170477e-71,2.1944735085352747e-74,3.6975376102648992e-78
7.336472252597679e-19,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679963573,0.1186699660296052,0.022821567693049053,0.0,4.8876945236858255e-46,2.6808197164578958e-26,2.1899078832637249e-59,1.6585694330410307e-39,2.537411579238521e-93,6.4750204168426426e-15,3.6822866664243753e-77,6.4750204165901511e-15,1.485783295805256e-52,1.0288371990106213e-50,2.8709848172806852e-78,3.3288992721817632e-79,1.2031049774823145e-37,4.1887897354247767e-61,3.5361853897927442e-13,1.0470016442448836e-14,4.1914987905412483e-17,8.1315964730216217e-28,3.0109941137201792e-27,4.1914985338627882e-17,1.1827627602860253e-24,6.2420788928928916e-29,2.3022909028444429e-33,2.0021567072872283e-54,1.2877427560769218e-37,1.9910104419260171e-39,4.1099210491062835e-69,5.0560724678833608e-72,8.525146236114764e-76
1.467299425916947e-18,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679927157,0.11866996602924505,0.022821567693043818,0.0,7.8203541405121568e-45,1.0723333507116161e-25,2.6477279200802034e-57,1.3268660426480677e-38,1.2267752550031816e-90,1.2950084745848619e-14,2.3566918768661641e-75,1.2950084744838653e-14,2.3772734156840525e-51,1.6461533053223176e-49,6.9409584724358403e-76,8.0480227292157469e-77,9.6248906126753052e-37,1.3404244383130704e-59,7.0723947608301976e-13,2.094010388969517e-14,8.3830262534905099e-17,3.2526528443719104e-27,1.2044036868785915e-26,8.3830252267465292e-17,4.7308253062324989e-24,4.9932824525651669e-28,3.4838227870751814e-32,1.2108593051880653e-52,1.0302003267387035e-36,1.5928163685382072e-38,2.6303728316701239e-67,1.2223675111040925e-69,2.0619063856205381e-73
2.9346038272313052e-18,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679854321,0.11866996602852478,0.022821567693033347,0.0,1.2512584567206086e-43,4.2893443908495916e-25,3.2892355376831005e-55,1.0614970303345188e-37,6.0950046305068243e-88,2.5900213404829581e-14,1.5082918831665774e-73,2.5900213400789702e-14,3.8036535551009291e-50,2.6338535233774642e-48,1.7243390881758265e-73,1.9993664532127622e-74,7.6999252220882183e-36,4.2893768697103239e-58,1.4144813502275397e-12,4.1880278784105918e-14,1.6766081919925318e-16,1.3010626155613436e-26,4.8176263231537849e-26,1.676607781273995e-16,1.892135125233736e-23,3.9939814604325143e-27,5.4136142816570731e-31,7.5228459979568006e-51,8.2416272058835018e-36,1.2742545767556104e-37,1.683446037105878e-65,3.0367213434705326e-67,5.1235018963131e-71
5.8692126298600216e-18,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679708649,0.11866996602708423,0.022821567693012405,0.0,2.0020097246201687e-42,1.7157400017039269e-24,4.1452176691209996e-53,8.4919929909956342e-37,3.0721952529418528e-85,5.1800470726667498e-14,9.6530969942925345e-72,5.1800470710507979e-14,6.0858584834535271e-49,4.2141632822424202e-47,4.3459025338552016e-71,5.0390616200552287e-72,6.1599331341111193e-35,1.3726035276153498e-56,2.8289650982646965e-12,8.3760628572599713e-14,3.3532196215987028e-16,5.2042424321089957e-26,1.9270524386572037e-25,3.3532179785631182e-16,7.5669521173307474e-23,3.1941401215248172e-26,8.5313761569573242e-30,4.7408339170670103e-49,6.593311768469092e-35,1.0194014956521124e-36,1.0774077750904581e-63,7.6535351952648003e-65,1.2914230253980252e-68
