Time (s),Volume (m^3),N2,Ar,He,Ne,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(45),OX(20),CH3X(21),HOX(22),HX(19),CH2X(27),CHX(28),CX(26),OCX(25),CHOX(50),H2OX(23),COX(47),H2X(46),CO2X(24),C2H6X(49),CH3OO(75),CH4OX(57)
1.0254070234959252e-20,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039999621,0.099999999999997383,0.099999999999999437,1.1429031475722054e-107,6.084459477803316e-58,1.0689131303243898e-49,5.9326739721900059e-82,2.2779048899536809e-50,6.6291072974806154e-137,3.3899025644740734e-34,6.0193009396267542e-127,3.3882056665159206e-34,7.989539762972557e-82,2.2362896415766836e-64,3.6123130131768597e-117,1.1028215908679341e-118,4.1708266427509484e-55,9.0140990828313089e-99,2.6341057816700135e-15,1.1524951062140212e-15,1.7102430997183019e-21,3.3494779111580564e-32,1.71024309969194e-21,3.566069087183687e-33,1.0136851252190294e-38,4.9714897766070224e-45,1.661376810155341e-68,9.4896057608170335e-97,5.8158479610364458e-46,5.9416141248914898e-96,4.4775516250766658e-63,1.1507692006459805e-97,2.3391472566155689e-64,5.4485505291926388e-48,2.1529785069018709e-78
2.05170493059176e-20,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039999241,0.099999999999994746,0.099999999999998854,5.8616644802639797e-105,9.7430619718558127e-57,5.1872199813856083e-49,7.6034974753429603e-80,1.8241713741791548e-49,6.8018888634048023e-134,6.7861470541182434e-34,3.8596342403414661e-125,6.7793550400418259e-34,1.279714865758614e-80,3.5822271021550018e-63,9.2603248119146879e-115,2.8268343582778708e-116,3.3391970720519006e-54,2.8877492385044631e-97,5.2705001000720837e-15,2.3059915113908e-15,3.4219720753432084e-21,1.3406639417296996e-31,3.42197207523769e-21,1.4273529210770886e-32,8.1156191247669332e-38,7.9608194865808705e-44,1.0646251173891228e-66,2.4334824882671987e-94,4.6562142583231639e-45,1.5229987416660698e-93,4.3056303450540925e-62,2.9509938800576573e-95,3.7467008191837346e-63,2.1817763374319515e-47,6.8978154786402115e-77
4.10430074478343e-20,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039998483,0.099999999999989472,0.099999999999997702,3.0037214880169413e-102,1.5595241843902244e-55,2.8028203492480405e-48,9.7386295599428731e-78,1.46007644545575e-48,6.972117188475709e-131,1.3588830693281614e-33,2.4737741270346539e-123,1.3561653789967102e-33,2.0486552216800027e-79,5.7348957305401362e-62,2.3726475155249427e-112,7.2412891993328754e-114,2.6723720543417538e-53,9.2459807798897225e-96,1.0543288736868212e-14,4.6129843217441496e-15,6.8454300267723772e-21,5.3644010873012183e-31,6.8454300263501637e-21,5.7112384214991809e-32,6.4949209605349689e-37,1.2742404243202405e-42,6.8178738625113407e-65,6.2349957032487129e-92,3.7263858929109547e-44,3.9013514556151489e-91,4.5996289716435985e-61,7.5609486746040744e-93,5.9979753323491833e-62,8.7374392242161887e-47,2.2086270782579384e-75
8.209492373166768e-20,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039996967,0.099999999999978925,0.099999999999995398,1.5385444699711549e-99,2.4957456218427344e-54,1.7032018935720869e-47,1.2469272668314912e-75,1.1683569671577912e-47,7.1429599554203675e-128,2.7234976611112736e-33,1.5860040993237017e-121,2.7126251301311532e-33,3.2787377575564924e-78,9.1784975137052326e-61,6.078409241677953e-110,1.8543415050768528e-111,2.1383029445527288e-52,2.9595434177309338e-94,2.1088866010428423e-14,9.2269699424500159e-15,1.3692345930348134e-20,2.1461089633985624e-30,1.3692345928659022e-20,2.2848412774263125e-31,5.1968582160588914e-36,2.0391736095078864e-41,4.36476766084227e-63,1.5968204682621819e-89,2.9816738707364457e-43,9.9905386053032657e-89,5.526831346553134e-60,1.9364055476995699e-90,9.5993644917814734e-61,3.5015391966710042e-46,7.0697273592598352e-74
1.6419875629933445e-19,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039993936,0.099999999999957831,0.099999999999990791,7.8788418336389266e-97,3.9935966194344941e-53,1.1468729712899321e-46,1.5962830655760123e-73,9.3480391267341341e-47,7.3160550864867912e-125,5.469038300482664e-33,1.0180262443259051e-119,5.4255446369975892e-33,5.246692036735416e-77,1.4687720095073389e-59,1.5575950253984512e-107,4.7477603845735896e-109,1.7108036224553511e-51,9.4718664501545508e-93,4.2180020557420639e-14,1.845494118385842e-14,2.7386177740369342e-20,8.5851282774903628e-30,2.7386177733612367e-20,9.1399010534586971e-31,4.1577767529533157e-35,3.2629293873931671e-40,2.7938258628572278e-61,4.0886321574486321e-87,2.3855639688414823e-42,2.5579259957195792e-86,7.376365629895261e-59,4.9581362756661424e-88,1.5361066654328866e-59,1.4055257091058456e-45,2.2626509527001748e-72
3.2840642143466803e-19,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039987872,0.099999999999915642,0.099999999999981562,4.0342038546719962e-94,6.3900712146306547e-52,8.3118983570635108e-46,2.0433069541435343e-71,7.4789046889953985e-46,7.4922168474686727e-122,1.1025365402473406e-32,6.5516830597809321e-118,1.0851383669120658e-32,8.3952766022136232e-76,2.3502026743191819e-58,3.994280789130667e-105,1.21546559983447e-106,1.3687060146114835e-50,3.0312096835321059e-91,8.4362329650892298e-14,3.6910883666661917e-14,5.4773841371890521e-20,3.4341860545084044e-29,5.4773841344861719e-20,3.6559428832020994e-30,3.3262119863364699e-34,5.2206977049801861e-39,1.7881036490791624e-59,1.0467500909382189e-84,1.9085391856089528e-41,6.548500350641433e-84,1.0628488773791362e-57,1.2693570814391556e-85,2.4579373548283521e-58,5.6607014730041586e-45,7.2410166908462031e-71
6.568217517053351e-19,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039975745,0.099999999999831279,0.099999999999963105,2.0654238115086722e-91,1.0224347102250503e-50,6.3039020775858554e-45,2.6152855463067481e-69,5.983313116698269e-45,7.671760607224856e-119,2.2399002899665058e-32,4.2389603226010504e-116,2.1703061806927589e-32,1.3432898064676499e-74,3.7604503134979816e-57,1.0259138237277435e-102,3.1114177009441528e-104,1.0949878293751142e-49,9.7002108786665239e-90,1.6872694783578448e-13,7.3822768632215623e-14,1.0954916868084795e-19,1.3736983740236977e-28,1.0954916857273226e-19,1.4622738752171732e-29,2.6607650596454953e-33,8.3525149841466621e-38,1.1443210673474426e-57,2.6795600701312625e-82,1.5268634445570297e-40,1.6763222178304764e-81,1.6065670402603186e-56,3.2494141527786436e-83,3.9328331273572965e-57,2.2950231714375309e-44,2.3172059136630934e-69
1.3136524122466694e-18,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.1928957503995149,0.099999999999662553,0.09999999999992619,1.0573215845366434e-88,1.635907742061653e-49,4.9042927755134001e-44,3.346988201514612e-67,4.7867262482028344e-44,7.8545889071919524e-116,4.6190211068635739e-32,2.771472993627559e-114,4.3406418376784629e-32,2.149300134341344e-73,6.0167959292059299e-56,2.6434727487411323e-100,7.963859310920166e-102,8.7599590327888306e-49,3.1041218694532174e-88,3.3745618419736425e-13,1.476465385631099e-13,2.1909982348242301e-19,5.4948174254235826e-28,2.1909982304996969e-19,5.8480910147614439e-29,2.1282091077893369e-32,1.3361591795126365e-36,7.3223851485363225e-56,6.8585100783418098e-80,1.2214986197333222e-39,4.2906467655468663e-79,2.4950276474686442e-55,8.3171184397538161e-81,6.2926397022572185e-56,9.4257606842040576e-44,7.415157033757033e-68
2.627313733329338e-18,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039902979,0.099999999999325101,0.09999999999985236,5.4114743609672811e-86,2.6174415209076273e-48,3.86697750803478e-43,4.282539683353618e-65,3.8294113127113504e-43,8.040070407277211e-113,9.7948360118900362e-32,1.8486103897500728e-112,8.6813132693471402e-32,3.4389093808117134e-72,9.626852543877836e-55,6.8547608429611929e-98,2.0379857057668711e-99,7.0079327077234011e-48,9.9332770339245085e-87,6.7491465688770573e-13,2.9529407842404601e-13,4.3820113382021385e-19,2.1979125759619252e-27,4.3820113209050256e-19,2.3383975435302264e-28,1.7018926086312102e-31,2.1370361221169687e-35,4.6845631244236466e-54,1.7551128588565074e-77,9.771940823527409e-39,1.0979948820992439e-76,3.9307511496374918e-54,2.1283900619218312e-78,1.0068308911578049e-54,3.9667841404518213e-43,2.3728462311520199e-66
5.254636375494675e-18,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039805956,0.099999999998650183,0.099999999999704714,2.7685609883354781e-83,4.1878317233189756e-47,3.0695219483577535e-42,5.4774636103496289e-63,3.0635411950433274e-42,8.2266412272336767e-110,2.1816758918051192e-31,1.2789216051430527e-110,1.7362656603473578e-31,5.502278375412094e-71,1.5402687211342027e-53,1.7995252038721749e-95,5.2132661480498546e-97,5.6062410375495758e-47,3.1786625981318645e-85,1.3498316021371163e-12,5.9058915814250839e-13,8.7640375743435894e-19,8.7914680803302718e-27,8.7640375051638102e-19,9.3468147875381865e-28,1.3604235844430548e-30,3.4166084957019038e-34,2.9958210809125144e-52,4.4895940178152324e-75,7.8174060641244093e-38,2.808724082155646e-74,6.2372635958330184e-53,5.4445173195401402e-76,1.6109362660140747e-53,1.7438866438775806e-42,7.5929753211239214e-65
