Time (s),Volume (m^3),N2,Ne,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(56),OX(20),CH3X(21),HOX(22),HX(19),CH2X(27),CHX(28),CX(26),OCX(25),H2OX(23),COX(58)
0.0,0.09977366400000001,0.80000000000000004,0.0,0.28934362560000004,0.10000000000000001,0.10000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.494490786932799e-24,0.09977366400000001,0.80000000000000004,0.0,0.28934362560000004,0.10000000000000001,0.10000000000000001,1.3193012859132163e-139,3.3909998316912117e-65,1.6657771551147705e-46,1.7167579475618771e-74,8.7792580939638096e-58,4.4834033270858886e-49,4.3960768031460247e-29,-3.5611475361632428e-114,4.3960768023791731e-29,3.0780825816890705e-74,9.7265930715038798e-71,4.0541383272833303e-75,3.688235146024937e-106,4.4834058024379011e-49,6.286087034821743e-92,2.6725134708517623e-18,7.7953303112818144e-19,1.7666427745365269e-23,2.0444485413342933e-37,1.7666427745365948e-23,4.3937396460265859e-37,4.4918025639694299e-46,2.0940242521795501e-54,5.1420893850037097e-84,6.9311052102657172e-54,2.452047952504173e-92
2.378457420341184e-23,0.09977366400000001,0.80000000000000004,0.0,0.28934362560000004,0.10000000000000001,0.10000000000000001,1.0180321911989789e-137,6.8579172452469166e-64,1.0061294119166923e-45,2.038135035659838e-73,1.3267214831614875e-56,2.7079756100159958e-48,1.2309015051293509e-28,-3.3621300533538131e-114,1.230901504666172e-28,4.6515985060460109e-73,3.0581965068599745e-69,4.8130730228931778e-74,8.2504344934694652e-105,2.7079785487539054e-48,1.7727771611323835e-90,7.4830377183849315e-18,2.1826924871589081e-18,4.9465997687021966e-23,1.2348469189315464e-36,4.9465997687026092e-23,2.6538187435804038e-36,5.3326679955346336e-45,2.8449512478720508e-53,3.5723973144896544e-82,8.2286081053894252e-53,5.4851331886263449e-91
5.436474103636992e-23,0.09977366400000001,0.80000000000000004,0.0,0.28934362560000004,0.099999999999999992,0.10000000000000001,1.109502202167736e-135,1.2732088471619591e-62,4.8440801204817286e-45,2.0010530646526949e-72,1.4272264298213429e-55,1.3037736882007551e-47,2.8134891557527031e-28,6.4250208442687606e-114,2.813489153522696e-28,5.0039773964769201e-72,6.822668176644187e-68,4.7255036365829107e-73,1.6301468247239028e-103,1.3037765734710613e-47,3.8561775428417432e-89,1.7104086213451246e-17,4.9890113992203615e-18,1.130651375703322e-22,5.9452563576846186e-36,1.1306513757035207e-22,1.2776994851350495e-35,5.2356450424921535e-44,3.5534641972751187e-52,2.0461686190245844e-80,8.078896232347804e-52,1.0837698860156721e-89
1.1552507470228608e-22,0.09977366400000001,0.80000000000000004,0.0,0.28934362560000004,0.099999999999999978,0.10000000000000001,9.0764323171159434e-134,2.1932984933612985e-61,2.1155371455161245e-44,1.7699087756649903e-71,1.3118669784663586e-54,5.6939222324689213e-47,5.9786644609748248e-28,3.8875833002653055e-112,5.9786644512357987e-28,4.599517339244269e-71,1.2778102414188075e-66,4.1796544547290863e-72,2.9007591780675303e-102,5.6939477523580308e-47,7.1487032767303558e-88,3.6346183203583789e-17,1.0601649223343268e-17,2.4026341733694014e-22,2.5964496469618615e-35,2.4026341733702675e-22,5.5800493098491202e-35,4.6308687166016311e-43,4.4954612383031918e-51,1.1014060604177985e-78,7.1456922260259119e-51,1.9285106077873846e-88
2.378457420341184e-22,0.09977366400000001,0.80000000000000004,0.0,0.28934362559999999,0.099999999999999936,0.10000000000000001,6.53239649771971e-132,3.6388545882489594e-60,8.8319519030966154e-44,1.4877149729430736e-70,1.1223298196236576e-53,2.3771004503837955e-46,1.2309015087320744e-27,1.385734292860025e-110,1.2309015046662226e-27,3.9349839379569899e-70,2.2070994225804039e-65,3.5132514169790532e-71,4.8925543440369581e-101,2.3771219013882761e-46,1.2286794483622761e-86,7.4830377183848542e-17,2.1826924871589078e-17,4.9465997687010537e-22,1.0839666161360196e-34,4.9465997687046704e-22,2.3295607237791155e-34,3.8925241337658383e-42,6.0539187335005363e-50,6.10411367748222e-77,6.0063848747214228e-50,3.2527150212048756e-87
4.82487076697783e-22,0.09977366400000001,0.80000000000000004,0.0,0.28934362559999988,0.099999999999999853,0.099999999999999992,4.4279012132533248e-130,5.9274141685657387e-59,3.6081411569834301e-43,1.2197186220395238e-69,9.2796399859507154e-53,9.7112309964733093e-46,2.496971640361928e-27,4.6566427483085653e-109,2.496971623751597e-27,3.2535208496777668e-69,3.6671286988972081e-64,2.8803757810670805e-70,8.0360352223671152e-100,9.7114068647681136e-46,2.0364460994560669e-85,1.517987651443766e-16,4.427747616808069e-17,1.0034530959362342e-21,4.428357314412618e-34,1.0034530959377116e-21,9.5170155134720364e-34,3.1913263738402903e-41,8.6945181996726906e-49,3.5536022933162593e-75,4.9243972083112204e-49,5.3425942032057781e-86
9.717697460251123e-22,0.09977366400000001,0.80000000000000004,0.0,0.28934362559999965,0.0999999999999997,0.099999999999999964,2.9155687102408016e-128,9.5686426971360895e-58,1.4584688502160146e-42,9.8775976876167177e-69,7.5460491242068741e-52,3.9254348605376142e-45,5.0291119290643161e-27,1.5265233911467811e-107,5.0291118619227012e-27,2.6457091802381999e-68,5.9783453092052933e-63,2.332602998793329e-69,1.3026759459372119e-98,3.9255772832423138e-45,3.3158246294972911e-84,3.0573554106542723e-16,8.917857876106381e-17,2.0210393340676835e-21,1.7900128281292062e-33,2.0210393340736546e-21,3.8469297050867592e-33,2.5844186966606604e-40,1.3084354898029345e-47,2.1527195074455895e-73,3.9879045289018856e-48,8.6605754754545454e-85
1.950335084679771e-21,0.09977366400000001,0.80000000000000004,0.0,0.28934362559999927,0.099999999999999395,0.099999999999999922,1.8925721347820779e-126,1.5377875347601218e-56,5.8644431649415076e-42,7.9503500357851469e-68,6.0861619930638904e-51,1.5784001108576505e-44,1.0093392608239815e-26,4.9439024764764641e-106,1.0093392338266332e-26,2.1338603962378643e-67,9.6550436255996692e-62,1.8774818454257566e-68,2.097919473460241e-97,1.5785147450406854e-44,5.3517545508632001e-83,6.1360909290750631e-16,1.7898078394702975e-16,4.0562118103273509e-21,7.1975628406264176e-33,4.0562118103513596e-21,1.5468334109043171e-32,2.0801647784741661e-39,2.025983972090209e-46,1.3374125137288436e-71,3.2098124982613289e-47,1.3947589954424939e-83
3.9074657619890876e-21,0.09977366400000001,0.80000000000000004,0.0,0.28934362559999849,0.099999999999998784,0.099999999999999839,1.2198789353483771e-124,2.4659125354422409e-55,2.3519072624815872e-41,6.3796553449635085e-67,4.8887362924972624e-50,6.3300905466237956e-44,2.0221954373673697e-26,1.5915582074658443e-104,2.0221953290959281e-26,1.7140328674625888e-66,1.5520200584741741e-60,1.5065609735714848e-67,3.3676254439603053e-96,6.3310104137453057e-44,8.600126633872617e-82,1.2293561965915748e-15,3.5858519431896056e-16,8.1265567628337595e-21,2.8865446070032719e-32,8.1265567629300469e-21,6.2034929809053818e-32,1.6692008647027559e-38,3.1870137605670723e-45,8.4280828393565468e-70,2.5756723725699616e-46,2.2388971257697244e-82
