Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),CH3X(21),HOX(22),HX(19),CH2X(27),CHX(28),CX(26),OCX(25),H2OX(23),COX(50),H2X(49),CHOX(53),CH4OX(60)
6.746385521509144e-21,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999714,0.1186699660299626,0.022821567693054223,0.0,1.3776004542588023e-54,4.7114361351008424e-36,1.2326175619748483e-75,1.8467050339754894e-48,1.3107654726240391e-119,6.8601061756965977e-22,1.2596445483847306e-101,6.8601061749604429e-22,2.9926945067556734e-68,1.407331708338294e-59,1.2523559092242025e-100,7.5673137214996709e-102,3.4712211963850203e-46,9.3439954679169915e-81,2.7206202198434821e-15,1.3080983786952289e-16,5.042117924343037e-20,3.7569712186493268e-32,5.0421179247339081e-20,1.9363383475368961e-30,9.2074126367479092e-37,3.4017150774203841e-43,4.860730708022287e-68,7.3331927729543252e-46,1.1085574939660883e-90,1.742322070434237e-49,1.6232483203695222e-94,1.1792394675377061e-73
1.349863236840622e-20,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999431,0.11866996602995988,0.022821567693054157,0.0,2.2059557227285777e-53,1.8858023069804908e-35,1.4776368731435334e-73,1.4788617707577316e-47,6.283102453530447e-117,1.3726172479864616e-21,8.0741851875591655e-100,1.3726172476918081e-21,4.7935122199724897e-67,2.2543511747287789e-58,3.001904463730508e-98,1.8138895312774122e-99,2.7790875815858588e-45,2.9934345680463759e-79,5.4436041410057081e-15,2.6173332459905056e-16,1.0088616489406844e-19,1.5037675669859043e-31,1.0088616490971349e-19,7.7503959470942016e-30,7.3715229591758969e-36,5.1022539728373162e-42,2.9148198753205591e-66,5.8710130462541795e-45,2.6572188030773716e-88,1.3949170746609079e-48,3.8944393815334456e-92,3.7781040761144371e-72
2.700312606220037e-20,0.11640260799999998,0.8585084662769803,0.0,0.0,0.3375675631999886,0.11866996602995444,0.022821567693054025,0.0,3.5309658109350271e-52,7.5456657372058806e-35,1.827178563915068e-71,1.1836888066964412e-46,3.1071634504537837e-114,2.7458305092620236e-21,5.1714693409800765e-98,2.7458305080830242e-21,7.6737827311221739e-66,3.609059552914253e-57,7.4230840923437847e-96,4.4853707239556221e-97,2.224114644118248e-44,9.5843635269244548e-78,1.0889571983325026e-14,5.2358029805809519e-16,2.0181613618348712e-19,6.0170288924249143e-31,2.0181613624608774e-19,3.1011649645657858e-29,5.8994496781836633e-35,7.8908930328757665e-41,1.8026299642540147e-64,4.6985946500739664e-44,6.5707482155015526e-86,1.1163576225589085e-47,9.6347198430933059e-90,1.209719840421165e-70
5.401211344978867e-20,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319997716,0.11866996602994355,0.022821567693053765,0.0,5.6506947198135205e-51,3.0187577495672294e-34,2.2976585329104007e-69,9.4719085974580037e-46,1.5627339220707168e-111,5.4922570335809797e-21,3.3110180165560084e-96,5.4922570288642147e-21,1.2281383859631835e-64,5.7761738005255255e-56,1.8667639988979844e-93,1.1279851240897501e-94,1.7796295678978587e-43,3.0678562559302314e-76,2.1781507667943119e-14,1.0472742449761421e-15,4.036760787148944e-19,2.4072032635599876e-30,4.036760789653379e-19,1.2406655611081452e-28,4.7204415997638476e-34,1.2407105912228639e-39,1.1335482989578809e-62,3.7595894285947429e-43,1.6524177521525392e-83,8.9325574229452302e-47,2.4235419739859017e-87,3.8722662357525504e-69
1.0803008822496528e-19,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319995435,0.11866996602992176,0.022821567693053241,0.0,9.0420306027169712e-50,1.207601464036475e-33,2.9146540591452911e-67,7.5784862493197602e-45,7.9291224767484498e-109,1.0985110089290222e-20,2.1194604670160782e-94,1.0985110070421625e-20,1.9652879738562193e-63,9.243220560917607e-55,4.7359358259988659e-91,2.8616712994843869e-92,1.423838727975928e-42,9.8185161085600125e-75,4.3565379037097146e-14,2.0946621388120666e-15,8.0739596358798903e-19,9.6295959303207586e-30,8.0739596458984632e-19,4.9630472588336387e-28,3.776688687313323e-33,1.9676574222529473e-38,7.1902148363044827e-61,3.0079568500324077e-42,4.1921443060772633e-81,7.1467249538084573e-46,6.1492319324882199e-85,1.2393111911038348e-67
2.1606603777531847e-19,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319990866,0.1186699660298782,0.022821567693052193,0.0,1.4467982326255373e-48,4.8306031217498905e-33,3.7138562761131408e-65,6.0631727661030563e-44,4.0412364363399814e-106,2.197081622899402e-20,1.3565855733367969e-92,2.197081615351656e-20,3.1446740157275786e-62,1.4790225201211667e-53,1.2068859700663151e-88,7.2925622479505068e-90,1.1391248838130227e-41,3.1421453432363426e-73,8.713312177507653e-14,4.1894379264832384e-15,1.6148357325752978e-18,3.851994478600267e-29,1.6148357365829056e-18,1.9852845774903961e-27,3.0214573230475087e-32,3.1342384743269593e-37,4.5810528400476899e-59,2.406479278166785e-41,1.0683083267601274e-78,5.7176521692852993e-45,1.5671416716569515e-82,3.9660929416538103e-66
4.3213793687602486e-19,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319981734,0.11866996602979106,0.022821567693050097,0.0,2.3149352270637544e-47,1.932281126659124e-32,4.7428320333141414e-63,4.8506917157159993e-43,2.064364040976937e-103,4.3942228621542885e-20,8.6825664918378851e-91,4.3942228319626891e-20,5.0316490287052798e-61,2.3665212541514052e-52,3.0825143107984765e-86,1.8625971841849179e-87,9.1132125873081592e-41,1.0055217396518658e-71,1.742686072497207e-13,8.3789895018228716e-15,3.2297152675143943e-18,1.5408286338328496e-28,3.2297152835452724e-18,7.9411790086087452e-27,2.4171639347025402e-31,5.0034811461434541e-36,2.9252006243403564e-57,1.9252284136932761e-40,2.7285718584687257e-76,4.5742315576982183e-44,4.0027659375841879e-80,1.2691969712369623e-64
8.642817350774377e-19,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319963471,0.11866996602961678,0.022821567693045906,0.0,3.7039408369708483e-46,7.7292076561941653e-32,6.063625551112071e-61,3.8806147610266758e-42,1.0557190790261298e-100,8.7885053859205698e-20,5.5569765826002199e-89,8.7885052651529395e-20,8.0507749037363551e-60,3.7865003748593216e-51,7.8818462198025472e-84,4.7625732302041586e-85,7.2906521262046091e-40,3.2177259248682003e-70,3.4853957819375061e-13,1.6758092652491302e-14,6.4594743252505049e-18,6.1633731850004527e-28,6.4594743893756343e-18,3.1764072253515267e-26,1.9336592237713359e-30,7.9962447512824734e-35,1.8699245930318627e-55,1.5401998807566922e-39,6.9768291840903619e-74,3.6594306745747285e-43,1.0235019704224921e-77,4.0615038742726692e-63
1.7285693314802633e-18,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319926939,0.11866996602926823,0.022821567693037528,0.0,5.926334611338501e-45,3.0917024065409145e-31,7.7562685625302168e-59,3.1045163426038153e-41,5.4019196387032e-98,1.7577070614479158e-19,3.5565079034671938e-87,1.7577070131406181e-19,1.2881348925340722e-58,6.0584479005013899e-50,2.0164051076555536e-81,1.2184037742598599e-82,5.8325491613191016e-39,1.0296813064096503e-68,6.9708152006077669e-13,3.351629895378482e-14,1.2918992392154396e-17,2.4653585754554088e-27,1.2918992648663958e-17,1.2704920058317583e-25,1.5467847761036192e-29,1.278562133865341e-33,1.1959591381364561e-53,1.2321654095284235e-38,1.7848741480367383e-71,2.9275651091966976e-42,2.6184211290386315e-75,1.2996917284594907e-61
3.4571445242859147e-18,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319853876,0.11866996602857113,0.02282156769302077,0.0,9.4821386135532563e-44,1.2366870022697091e-30,9.9232691376022214e-57,2.4836228527751608e-40,2.7647178400204067e-95,3.5154201795700422e-19,2.2761787847109397e-85,3.5154199863403623e-19,2.0610245263285659e-57,9.6935359395735801e-49,5.1595273603457837e-79,3.1176175789196579e-80,4.6660417334090899e-38,3.2949945530699847e-67,1.3941654037106937e-12,6.7032711556198464e-14,2.583802833168885e-17,9.861433476596149e-27,2.583802935779162e-17,5.0813622772533788e-25,1.237188692093362e-28,2.0447386378792278e-32,7.6504841532873576e-52,9.8573236153650888e-38,4.5670849033964498e-69,2.3420641513440544e-41,6.699901917112114e-73,4.1590221079876764e-60
6.9142949098972176e-18,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319707748,0.11866996602717694,0.022821567692987255,0.0,1.5171359786754055e-42,4.9467774481580171e-30,1.2695045677948812e-54,1.9869021379310909e-39,1.4150537262287098e-92,7.0308467054559246e-19,1.4567588165028851e-83,7.0308459325362343e-19,3.2976461107962358e-56,1.5509613608413643e-47,1.3201416992531447e-76,7.9768682875199248e-78,3.7328206208567639e-37,1.0544005282884723e-65,2.7883331706739879e-12,1.3406553676033216e-13,5.1676099433664469e-17,3.9445576831789496e-26,5.1676103538575991e-17,2.0320527272713453e-24,9.8936410833471936e-28,3.2698819778925723e-31,4.8937101733247707e-50,7.8858243392205582e-37,1.1685530278276668e-66,1.8736622821505466e-40,1.7142341154776776e-70,1.3308831956532997e-58
1.3828595681119822e-17,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319415498,0.11866996602438855,0.022821567692920222,0.0,2.4273919399783915e-41,1.9787307438545857e-29,1.6235893668531994e-52,1.5895231633933598e-38,7.2417010626795256e-90,1.4061700915794136e-18,9.3232705103404648e-82,1.406169782411351e-18,5.2762389843310088e-55,2.4815156791945484e-46,3.3767204920412852e-74,2.0403510009777319e-75,2.9862294265098995e-36,3.3740851434403931e-64,5.5766687032544157e-12,2.6813118716582521e-13,1.0335223852924278e-16,1.5778074980576879e-25,1.0335225495285887e-16,8.1242606256514051e-24,7.9087110641836904e-27,5.2274743326659679e-30,3.1293136602975518e-48,6.3085901491095985e-36,2.9889621099897719e-64,1.4989440193607171e-39,4.3845550750960874e-68,4.2587864126227528e-57
2.7657197223565033e-17,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756318830999,0.11866996601881177,0.022821567692786156,0.0,3.883740473285348e-40,7.9150733424910516e-29,2.0748985543638229e-50,1.2716189691545762e-37,3.7046977695766919e-87,2.8123413970735785e-18,5.966897663142136e-80,2.8123401604010197e-18,8.4419856193439433e-54,3.970346333242526e-45,8.6308036473179477e-72,5.2150299786718688e-73,2.3889375721790175e-35,1.0797076824148835e-62,1.1153339763030628e-11,5.362624879657142e-13,2.0670450428690925e-16,6.311099375438157e-25,2.0670457001308343e-16,3.2465452290859093e-23,6.3170560044014336e-26,8.3509820217646142e-29,1.9995728777354091e-46,5.04675559175943e-35,7.639613267804541e-62,1.1991765635513672e-38,1.1205795046639463e-65,1.36278377398146e-55
5.531440030845545e-17,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756317661996,0.11866996600765822,0.022821567692518023,0.0,6.2137038511265612e-39,3.1661477995569406e-28,2.6476032445708902e-48,1.0172951222520637e-36,1.8937868485881287e-84,5.6246858617675451e-18,3.8188159937429026e-78,5.6246809150772113e-18,1.3507176638535638e-52,6.3522967277117126e-44,2.2026640919268713e-69,1.3309000725118991e-70,1.9110754483332048e-34,3.4550645400502657e-61,2.2306681861044497e-11,1.072525089521103e-12,4.1340898606829322e-16,2.524334059188126e-24,4.1340924922605782e-16,1.2960971255085217e-22,5.0378359153042495e-25,1.3320885864429235e-27,1.2757278382708938e-44,4.0372157943444727e-34,1.9496564691327634e-59,9.593747860765789e-38,2.8593113258204673e-63,4.3607258305304737e-54
1.106288064782363e-16,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756315323994,0.11866996598535112,0.022821567691981761,0.0,9.9410244033704838e-38,1.2665530767308002e-27,3.3680026678632084e-46,8.1383571105715029e-36,9.6656622568209112e-82,1.1249382205974483e-17,2.4440440615956674e-76,1.1249362419217006e-17,2.1611472906302656e-51,1.0162845975826546e-42,5.6042800455666618e-67,3.3861034466556676e-68,1.5287405719786245e-33,1.1056201708841338e-59,4.4613365970917977e-11,2.1450502924543262e-12,8.2681775069536413e-16,1.0096488401154863e-23,8.2681880534897551e-16,5.1643287996887218e-22,4.0051465138227028e-24,2.118465892146321e-26,8.114037044641939e-43,3.2294698861432278e-33,4.960312420887788e-57,7.6755299188595094e-37,7.2723782462970228e-61,1.3953149134670549e-52
2.2125761881779797e-16,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756310647984,0.11866996594073692,0.022821567690909237,0.0,1.5902751715792202e-36,5.0669552783008002e-27,4.2582425749831185e-44,6.5106782932336728e-35,4.9178718467170187e-79,2.2498804553635797e-17,1.5641892745565342e-74,2.2498725406646266e-17,3.4578318690890231e-50,1.6257899880800301e-41,1.4172675487237629e-64,8.5624628897828955e-66,1.2228006724700404e-32,3.5379807361034079e-58,8.9226733846047949e-11,4.2901006976105584e-12,1.6536344842074965e-15,4.0379167702529285e-23,1.6536387189511483e-15,2.0498562135296671e-21,3.1644674803990883e-23,3.3489380079328358e-25,5.1291312020116743e-41,2.5830912645843034e-32,1.2542954215010558e-54,6.1412648404726367e-36,1.8377879128466854e-58,4.4642561911890091e-51
4.425152434969213e-16,0.11640260799999998,0.8585084662769803,0.0,0.0,0.3375675630129597,0.1186699658515085,0.022821567688764186,0.0,2.543516566910487e-35,2.0273637495919485e-26,5.3190044997480589e-42,5.2085303193326227e-34,2.486770256079181e-76,4.4997767885719652e-17,1.0010823622087435e-72,4.4997451298103469e-17,5.5325182940239461e-49,2.6004149326351785e-40,3.5413568656022681e-62,2.1391912756947307e-63,9.7793375353233725e-32,1.1321512804764259e-56,1.7845346821783985e-10,8.5802015050821971e-12,3.3072647682699649e-15,1.6146239951553564e-22,3.3072818354698823e-15,8.075118906125975e-21,2.469834082325035e-22,5.2318183883113722e-24,3.2031081148978726e-39,2.0656978015492665e-31,3.1335411656447159e-52,4.9143293304634086e-35,4.585511413926216e-56,1.4280810758249429e-49
6.637728681760446e-16,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756291943957,0.11866996576228009,0.022821567686619134,0.0,9.3602560227465308e-35,4.308987284594023e-26,3.4505053962498204e-41,1.5462803467733125e-33,2.1064969453201756e-75,6.7496849854335848e-17,5.6838441047427776e-72,6.7496177106159551e-17,2.0930617226753034e-48,9.9126139708437572e-40,2.6423745374436567e-61,1.5960849472522686e-62,2.7957755825194568e-31,5.2814559314518757e-56,2.6768020121116376e-10,1.2870302309713012e-11,4.9608918693768627e-15,3.4302791948997885e-22,4.9609283245494581e-15,1.6980247967901764e-20,6.9628666849215212e-22,1.9037043231469834e-23,1.7717701625012515e-38,5.9053317615526088e-31,2.3379635428530876e-51,1.4054040146265689e-34,3.4368146951764139e-55,6.7016212469714973e-49
1.1062881175342914e-15,0.11640260799999998,0.8585084662769803,0.0,0.0,0.3375675627323993,0.11866996558382328,0.022821567682329034,0.0,7.1974657309506558e-34,1.1918843658585219e-25,1.4867224696267629e-39,7.2430690745076581e-33,2.9582484583372313e-73,1.1249548833587199e-16,1.5279798753695123e-70,1.1249362838866625e-16,1.6518581964672607e-47,8.1464319962129712e-39,1.9990982685229246e-59,1.207030991804104e-60,1.2841356040876702e-30,7.0774631054761867e-55,4.4613366168393997e-10,2.1450503907611843e-11,8.268133339818397e-15,9.4780374031234013e-22,8.268235447247858e-15,4.5714078346118858e-20,3.0681751769557006e-21,1.4070193846191429e-22,4.4079201273791446e-37,2.7121049068974096e-30,1.767963012048769e-49,6.4615697441947966e-34,3.1693061851684254e-53,9.3377816887627119e-48
1.503284003283295e-15,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756256459891,0.11866996542372345,0.022821567678480235,0.0,1.9737178096206204e-33,2.1192660512419301e-25,6.9220095006697293e-39,1.6667304030333156e-32,1.6663328526076515e-72,1.5286571938007877e-16,6.5940947720652934e-70,1.5286241327412756e-16,4.6170909871671353e-47,2.3660354453717002e-38,1.0154866927134536e-58,6.1301487364262407e-60,2.881520237875053e-30,2.3363892081015588e-54,6.0623048942053516e-10,2.9148102429172031e-11,1.1235164956607107e-14,1.684083721826176e-21,1.1235347988766139e-14,7.985404616168814e-20,6.7288606051165703e-21,3.7895625454428044e-22,1.8438910462882833e-36,6.0854357688444841e-30,8.9788642143071376e-49,1.4507160850644949e-33,1.9190395944675337e-52,3.1833521831326468e-47
1.9002798890322986e-15,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756239679853,0.11866996526362361,0.022821567674631435,0.0,4.4388848987374477e-33,3.3063286041260574e-25,2.395060031443548e-38,3.2053316122556806e-32,7.6063012801292394e-72,1.9323635425171549e-16,1.9940370956420789e-69,1.9323119787569586e-16,1.0558390368232916e-46,5.4051905407302268e-38,4.0612150336247086e-58,2.4514166171858092e-59,5.43857138273406e-30,6.2712890902490785e-54,7.6632731246490526e-10,3.6845700941062755e-11,1.4202185738921269e-14,2.6255400886384995e-21,1.4202473600366192e-14,1.2239477849251749e-19,1.240008791745604e-20,8.3541025235506775e-22,5.4342023967773235e-36,1.1484916996963618e-29,3.5905257170038463e-48,2.7396119527859115e-33,7.1318254604446819e-52,8.5862386920266846e-47
2.2972757747813022e-15,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756222899825,0.11866996510352378,0.022821567670782635,0.0,8.5207501777253534e-33,4.7383990486819173e-25,6.6566578619599854e-38,5.4452045760646709e-32,2.5977010577266211e-71,2.3360736986970399e-16,5.1700730555966694e-69,2.3359998220959668e-16,2.0568791534617254e-46,1.0674841130877626e-37,1.2437694460869244e-57,7.506630507445221e-59,9.0803461260325779e-30,1.3858379593719979e-53,9.2642413108522269e-10,4.4543299443837174e-11,1.7169196306014443e-14,3.7602467474194483e-21,1.7169611972709428e-14,1.7249612402447494e-19,2.0249748809055989e-20,1.5747857099549752e-21,1.3704815256840118e-35,1.9174334886002123e-29,1.0994576872067847e-47,4.5764762459400219e-33,2.2754760170183522e-51,1.9163514411956405e-46
3.0912675462793094e-15,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756189339754,0.11866996478332414,0.022821567663085036,0.0,2.1990310877726973e-32,8.1613423447583032e-25,3.0989795799042589e-37,1.2025263944031328e-31,1.6873813274596206e-70,3.1435026877376505e-16,2.280219465486484e-68,3.1433755026741906e-16,5.4520690647653811e-46,2.9791498897898712e-37,6.4908193902527242e-57,3.9155211960654541e-58,1.9354170546593422e-29,4.3512365952304818e-53,1.2466177582440136e-09,5.9938496428611841e-11,2.3103194161131908e-14,6.4694771534436473e-21,2.3103919034589502e-14,2.8894324148485597e-19,4.16473072582306e-20,3.949548066289934e-21,5.7152020166609358e-35,4.0865027119998029e-29,5.7347303052638907e-47,9.7625417988148887e-33,1.6098651628596851e-50,6.2342412796143276e-46
3.885259317777317e-15,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756155779682,0.11866996446312451,0.022821567655387436,0.0,4.6514594317897135e-32,1.2491519441602713e-24,1.0097627054476868e-36,2.251451328710965e-31,6.9487846906109257e-70,3.9509457547491097e-16,6.8537367158845836e-68,3.9507511733554286e-16,1.1816798496491375e-45,6.6621517717279013e-37,2.3301822974024714e-56,1.4051837774177646e-57,3.515515874006849e-29,1.0753031591211905e-52,1.5668113690448907e-09,7.5333693379680482e-11,2.9037154245811813e-14,9.8915662462811676e-21,2.9038276866922216e-14,4.3052864029944441e-19,7.3146741009910272e-20,8.1400510349589776e-21,1.6550582372596088e-34,7.4221180086735045e-29,2.0580137434934109e-46,1.7746508102787271e-32,6.1876976121141861e-50,1.5854370593733707e-45
