Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(55),OX(20),CH3X(21),HX(19),CH2X(27),CHX(28),CX(26),HOX(22),H2OX(23),OCX(25),CO2X(24)
0.0,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996532,0.022821567693054285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.005623792274171e-24,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996532,0.022821567693054285,-7.3091455957977756e-119,1.4378567323523503e-63,1.9825190463956604e-43,1.8858440089893463e-70,3.270860136242958e-61,6.8015880813291147e-47,1.4816818228569487e-26,-9.6964116616147459e-109,1.4816818228569352e-26,4.7369656522167078e-69,4.3409450842805029e-73,5.3081256730553692e-71,3.8883083588611972e-100,6.8015888908469738e-47,4.1410515308012454e-86,2.8251634421301292e-18,1.3583636890013839e-19,5.2358675888320911e-23,5.235867589358749e-23,2.6333180599157159e-33,1.9127528238570842e-39,7.527414946568676e-44,6.0742375806905642e-38,2.1531673116309705e-54,2.2769198607984528e-74,-8.4635341243598981e-107
1.961574661836768e-23,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996532,0.022821567693054285,1.3241768077293458e-116,1.7152849992929602e-62,1.6364327667536915e-42,2.2388740074721717e-69,4.9429238373617107e-60,4.108159201122823e-46,4.1487091039995028e-26,5.730327935368287e-108,4.1487091039994208e-26,7.1585024936306766e-68,1.3648625997326373e-71,6.3018067990513893e-70,8.6979902664410801e-99,4.1081601621824267e-46,1.1678427885105677e-84,7.9104576379643625e-18,3.8034183292038749e-19,1.4660429247876683e-22,1.4660429251057695e-22,1.590522992551968e-32,2.270818692572939e-38,8.9366673368503438e-43,3.6688394987288153e-37,2.5562402323547423e-53,1.3851798080760755e-72,8.5654309950719504e-105
4.48359922705547e-23,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996531,0.022821567693054285,5.5900724821376766e-114,1.7015762395226061e-61,1.2350025143497607e-41,2.198139776878041e-68,5.3173719045243935e-59,1.9779018140505638e-45,9.4827636662847919e-26,3.3521700324280575e-106,9.4827636662844028e-26,7.7007903214968728e-67,3.0449333794029535e-70,6.1871512845135053e-69,1.71857630297804e-97,1.9779027576245808e-45,2.5403131537849071e-83,1.8081046029632814e-17,8.6935276096088575e-19,3.3509552562553157e-22,3.3509552577868391e-22,7.6576721837013652e-32,2.2295001657723285e-37,8.7743278292969964e-42,1.7663882884523867e-36,2.5097318183950647e-52,6.253542743390437e-71,1.7937837997160355e-102
9.527648357492874e-23,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.1186699660299653,0.022821567693054285,1.7981489033806984e-111,1.5361545418770333e-60,9.3221352897422776e-41,1.9442297395077781e-67,4.8875808805636749e-58,8.6380168632885623e-45,2.0150872790856103e-25,1.3206555360166928e-104,2.0150872790854399e-25,7.078353034796104e-66,5.7028232291718742e-69,5.472465243893511e-68,3.058114707974051e-96,8.6380252090938856e-45,4.7093124620204667e-82,3.8422222812969647e-17,1.847374617041882e-18,7.1207799178255274e-22,7.1207799245141034e-22,3.3442966437898701e-31,1.9719621473068249e-36,7.7612469431088896e-41,7.7142817273485725e-36,2.219829371510874e-51,2.3613545189707674e-69,2.8828766334944374e-100
1.961574661836768e-22,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999992,0.11866996602996525,0.022821567693054285,5.1442599718591341e-109,1.3435990136596634e-59,7.1749999236521171e-40,1.6342422446862441e-66,4.1814283408142606e-57,3.6062020007212245e-44,4.1487091040001656e-25,4.6662953576091217e-103,4.1487091039994538e-25,6.0556800462085251e-65,9.8502089322785779e-68,4.5999367782596447e-67,5.1579574384548564e-95,3.6062090158734711e-44,8.0941048876806442e-81,7.9104576379643036e-17,3.8034183292038752e-18,1.4660429235505622e-21,1.4660429263429192e-21,1.3961696723813534e-30,1.6575437502729827e-35,6.5245583490052719e-40,3.2205607651665359e-35,1.8659003414224069e-50,8.1935783613991381e-68,4.122159953744567e-98
3.9791943140117295e-22,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999981,0.11866996602996517,0.022821567693054282,1.3913483418941338e-106,1.1874435086044172e-58,5.6142388849560946e-39,1.3398505289515855e-65,3.4572858068496277e-56,1.4732511847686573e-43,8.4159527538304388e-25,1.567681301351663e-101,8.415952753827535e-25,5.006953367576987e-64,1.6366269449560792e-66,3.7713060872920489e-66,8.4719605810849017e-94,1.4732569362143065e-43,1.341538525776961e-79,1.6046928351298862e-16,7.715505753527857e-18,2.9739727849024482e-21,2.9739727963102056e-21,5.7037404853555244e-30,1.3589393352627516e-34,5.3504777795182255e-39,1.3157041568300209e-34,1.5297778327075494e-49,2.7294315659061079e-66,5.5733949817216335e-96
8.014433618361652e-22,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999964,0.118669966029965,0.022821567693054278,3.6616735238641934e-104,1.1007213586978795e-57,4.4384142686866151e-38,1.0850456963161188e-64,2.8114073908455369e-55,5.9551168414352075e-43,1.6950440053495662e-24,5.1390768900498657e-100,1.6950440053483925e-24,4.071571325139213e-63,2.6681149791066926e-65,3.0541014472032132e-65,1.373341318365372e-92,5.9551634181332371e-43,2.1843477180633388e-78,3.2319869777967529e-16,1.5539680602175811e-17,5.9898324988696919e-21,5.9898325449822213e-21,2.3054879756842108e-29,1.1004797272919145e-33,4.3349812234103332e-38,5.3182865644933287e-34,1.2388537508671601e-48,8.9134181423319682e-65,7.3331220738254211e-94
1.6084912227061498e-21,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999931,0.11866996602996469,0.022821567693054271,9.5103995243863387e-102,1.1098751917164854e-56,3.5288962189353602e-37,8.7333917323789779e-64,2.2675018945955003e-54,2.3945262903872108e-42,3.4019414652844801e-24,1.6643759308227363e-98,3.401941465279759e-24,3.2838697765300449e-62,4.309012803669977e-64,2.4582065455315167e-64,2.2117238555218607e-91,2.3945637793658605e-42,3.5255460235859697e-77,6.4865752631303021e-16,3.1188030299471677e-17,1.2021551891858059e-20,1.2021552077278948e-20,9.2698224787942294e-29,8.8572225935001133e-33,3.4924305832440785e-37,2.13845963657938e-33,9.9713727617118527e-48,2.8833119578676609e-63,9.5226118115552384e-92
3.222586944446119e-21,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999864,0.11866996602996403,0.022821567693054254,2.455655200219021e-99,1.2499670109201801e-55,2.814088969410986e-36,7.007996855443844e-63,1.8213808075178472e-53,9.6031214025240153e-42,6.8157363851617856e-24,5.3580160249656245e-97,6.8157363851428499e-24,2.6377827890155866e-61,6.9266121857797222e-63,1.9725559403506362e-63,3.5503066112151651e-90,9.6034222279678552e-42,5.6654578140821054e-76,1.2995751833796667e-15,6.2484729694063279e-17,2.4084990538050313e-20,2.4084991281706558e-20,3.7172579196483009e-28,7.106728439967531e-32,2.8076877134815047e-36,8.5761795894910757e-33,8.0013986602590471e-47,9.2893360643944588e-62,1.229376263436834e-89
