Time (s),Volume (m^3),N2,Ne,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(56),OX(20),CH3X(21),HOX(22),HX(19),CH2X(27),CHX(28),CX(26),H2OX(23),OCX(25),CO2X(24)
7.821727116607723e-21,0.09977366400000001,0.80000000000000004,0.0,0.28934362559999688,0.099999999999997549,0.099999999999999659,7.0554603081773728e-96,3.949831241081545e-54,8.9924920738215722e-36,5.111487439603962e-66,7.508904873257853e-54,2.5353378600310014e-43,4.0479075197984106e-26,5.1082520566222616e-103,4.0479075196367922e-26,1.3740092325215575e-65,1.0805238748891419e-61,1.2070820518552034e-66,5.3969814240620394e-95,2.5436063825218003e-43,1.3790123225018761e-80,2.4608504039593553e-15,7.1779401506281763e-16,1.6267246025938818e-20,1.1561234636833063e-31,1.6267247310932972e-20,6.4121680205588561e-28,8.9204710346138015e-31,9.3261268087623645e-36,2.0636722278158472e-45,1.0024278586439431e-59,8.0045452105255431e-87
1.5650249825844992e-20,0.09977366400000001,0.80000000000000004,0.0,0.28934362559999371,0.099999999999995093,0.099999999999999298,1.8702751829545839e-93,6.3232237001100063e-53,7.1900974062920756e-35,4.0922980692129581e-65,6.0132134452484364e-53,1.0147958721634713e-42,8.0993319013745169e-26,1.6370875545611581e-101,8.0993319007276219e-26,1.1003217566271579e-64,1.7308500855527601e-60,9.6639959907987455e-66,8.6422022587519457e-94,1.0214157177634215e-42,2.2088163043260955e-79,4.9238388186934903e-15,1.436211656550513e-15,3.2548623908413434e-20,4.6275067931831377e-31,3.2548629055300702e-20,2.5629761072807311e-27,7.132546424435216e-30,7.7237906557866189e-35,1.652192578071148e-44,3.3206779499823874e-58,1.0609886797581132e-84
3.1307295244319526e-20,0.09977366400000001,0.80000000000000004,0.0,0.28934362559998733,0.099999999999990166,0.099999999999998576,5.1035019441490291e-91,1.011995339255925e-51,5.739376214440801e-34,3.2750829704554092e-64,4.8130072330155463e-52,4.060505321778309e-42,1.6202180665534102e-25,5.2425985581535119e-100,1.6202180662945677e-25,8.8070337149667883e-64,2.7709705585607332e-59,7.734133878820802e-65,1.3833154945139953e-92,4.1134842055065304e-42,3.5360244512948746e-78,9.8498156481560506e-15,2.8730469395258297e-15,6.5111375816380701e-20,1.8516054729442073e-30,6.5111396439027644e-20,1.0226846812971099e-26,5.693447724657285e-29,6.5915407895691053e-34,1.3222561891175968e-43,1.1327828494090361e-56,1.447739715376015e-82
6.262138608126859e-20,0.09977366400000001,0.80000000000000004,0.0,0.28934362559997462,0.099999999999980313,0.099999999999997133,1.4654523953275183e-88,1.6194161875639769e-50,4.5687452027351611e-33,2.6205696251890642e-63,3.8513797634873259e-51,1.6244665331699172e-41,3.2407878197882774e-25,1.6782587485111092e-98,3.2407878187527394e-25,7.0474112741607496e-63,4.4348411988323352e-58,6.1884821892258666e-64,2.2137596664706124e-91,1.666857689283494e-41,5.6591742522395513e-77,1.9701769307058337e-14,5.7467175054761668e-15,1.3023686420439108e-19,7.4076275448307666e-30,1.3023694693384191e-19,4.0688594334065767e-26,4.5321836504468849e-28,5.9257131007770498e-33,1.0580058348089095e-42,4.067728202376092e-55,2.0789464945341377e-80
1.2524956775516673e-19,0.09977366400000001,0.80000000000000004,0.0,0.28934362559994919,0.099999999999960607,0.09999999999999426,4.5516785996357571e-86,2.5912447769572268e-49,3.61810150698742e-32,2.0966990270254997e-62,3.0814920864210847e-50,6.4983949806424108e-41,6.4819273278698098e-25,5.3714317490459522e-97,6.4819273237273227e-25,5.6386428300661761e-62,7.0967752771024325e-57,4.9512558370493411e-63,3.5424463750505782e-90,6.8375564269491417e-41,9.0559070868887676e-76,3.9405676624771572e-14,1.1494058637375651e-14,2.6048777926874466e-19,2.9632921416991703e-29,2.604881119895417e-19,1.6099142689686205e-25,3.5891391089677103e-27,5.768061322451307e-32,8.464850137179211e-42,1.5804580214404427e-53,3.2294441213648277e-78
2.5050593110296305e-19,0.09977366400000001,0.80000000000000004,0.0,0.28934362559989829,0.099999999999921194,0.099999999999988515,1.5628954812619175e-83,4.146134595510717e-48,2.8367615099682196e-31,1.6778228651446351e-61,2.4653468084015378e-49,2.599463766723548e-40,1.2964206350480073e-24,1.7190187797261435e-95,1.2964206333909448e-24,4.5111998101275698e-61,1.1355659345185279e-55,3.961192715526066e-62,5.6694260789781332e-89,2.870805799311057e-40,1.4490434049169745e-74,7.8813491259832724e-14,2.2988740901169876e-14,5.209893625510174e-19,1.1853650639365779e-28,5.2099070727138725e-19,6.3020792896560563e-25,2.8140376708333832e-26,6.2102953230222797e-31,6.7722012524729139e-41,6.7895651312171114e-52,5.5461290800137773e-76
5.010186577985556e-19,0.09977366400000001,0.80000000000000004,0.0,0.28934362559979648,0.099999999999842382,0.099999999999977024,5.924048095193151e-81,6.6339292278361414e-47,2.1820697544140599e-30,1.3459632295153058e-60,1.9723352155214746e-48,1.0398066628457207e-39,2.5928764421489332e-24,5.5011171154011655e-94,2.5928764355205542e-24,3.6090740769788456e-60,1.8169695211458103e-54,3.169029395305652e-61,9.0947067165826571e-88,1.2568854327020599e-39,2.3185480718059054e-73,1.5762912052849368e-13,4.5978105428739323e-14,1.0419915417317005e-18,4.7415565182676153e-28,1.041997024617272e-18,2.4169825888593674e-24,2.1645646533030516e-25,7.3785339978942513e-30,5.4178890498266851e-40,3.2195367226490946e-50,1.0514000554753193e-73
1.0020441111897407e-18,0.09977366400000001,0.80000000000000004,0.0,0.28934362559959287,0.099999999999684744,0.099999999999954028,2.399453859869305e-78,1.061437630281755e-45,1.6204333739422863e-29,1.1141903093719227e-59,1.5778856982520276e-47,4.1592689711630765e-39,5.1857880666662053e-24,1.7603986105519445e-92,5.1857880401525085e-24,2.8873049649687078e-59,2.9071976910805673e-53,2.5352536098345879e-60,1.5028061712361018e-86,5.895919600345043e-39,3.7097398290088132e-72,3.1526037905997034e-13,9.1956834483802217e-14,2.0839919505725825e-18,1.896641737015872e-27,2.0840146239659773e-18,8.9263812885638838e-24,1.6073952156445567e-24,9.3567844419049175e-29,4.334361799405115e-39,1.6308558133514061e-48,2.1296368090087061e-71
2.0040950179721112e-18,0.09977366400000001,0.80000000000000004,0.0,0.28934362559918564,0.099999999999369482,0.099999999999908051,9.8406542804240111e-76,1.6983068717054561e-44,1.1327876044430962e-28,1.2752902335706389e-58,1.2623066378040196e-46,1.6637160581317296e-38,1.0371611356962555e-23,5.6333414278415322e-91,1.0371611250907378e-23,2.3098622712890906e-58,4.6515382254498157e-52,2.0282149318391221e-59,3.3822780986805812e-85,3.0530445815231913e-38,5.9356341024733275e-71,6.3052289609954259e-13,1.8391429259362405e-13,4.1679769702920716e-18,7.5866042239237859e-27,4.1680724720883206e-18,3.0898126625786e-23,1.1236185871856076e-23,1.1995818884414706e-27,3.4675086070310451e-38,8.3613320263025586e-47,4.3671734993370291e-69
4.008196831536852e-18,0.09977366400000001,0.80000000000000004,0.0,0.28934362559837118,0.099999999998738959,0.099999999999816097,3.8563020988465981e-73,2.7172947263179242e-43,7.2216204650398428e-28,4.7672238785828272e-57,1.0098302523222879e-45,6.6548812172788714e-38,2.0743258102597881e-23,1.8026798348462551e-89,2.0743257678381036e-23,1.8478971652967638e-57,7.4424299085013187e-51,1.6225767734038428e-58,2.4501598603608666e-83,1.7769538794465076e-37,9.4970550067910279e-70,1.2610479300851619e-12,3.678292088120518e-13,8.3358838188403124e-18,3.0346483577849731e-26,8.336292523076863e-18,9.6901696137641117e-23,7.1624649282552554e-23,1.4671361408059408e-26,2.774012862347766e-37,4.0943321078652388e-45,8.5559472003300581e-67
