Time (s),Volume (m^3),N2,Ar,He,Ne,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(33),OX(20)
6.429572751640889e-16,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575021429831,0.099999999834835013,0.099999999989731692,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6516500045859384e-10,2.0536655123147059e-11
9.287160674903607e-16,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575013176449,0.099999999761428579,0.099999999985167995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3857142533397146e-10,2.9664057494310248e-11
1.5002336521429044e-15,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289574996669728,0.099999999614616197,0.099999999976040588,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.853838228594265e-10,4.7918862211954889e-11
2.6432688214479915e-15,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.1928957496365647,0.09999999932099321,0.099999999957785787,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.7900680903441291e-10,8.4428471548518485e-11
4.929339160058166e-15,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289574897630674,0.099999998733754467,0.099999999921276173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.266245545969827e-09,1.5744768982674716e-10
9.501479837278514e-15,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289574765581977,0.099999997559305928,0.099999999848256957,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4406940788586063e-09,3.034861248036415e-10
1.4073620514498864e-14,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289574633537138,0.099999996384895984,0.099999999775237741,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6151040246363252e-09,4.4952455767449189e-10
1.8645761191719214e-14,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289574501496157,0.09999999521052462,0.099999999702218526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.7894753845116205e-09,5.9556298843935393e-10
2.3217901868939564e-14,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289574369459039,0.099999994036191836,0.09999999962919931,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.9638081597325125e-09,7.4160141709828528e-10
3.2362183223380264e-14,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289574105396376,0.099999991687642051,0.099999999483160878,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.3123579608363235e-09,1.0336782680985691e-09
4.1506464577820965e-14,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289573841349142,0.099999989339246573,0.099999999337122447,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0660753437952371e-08,1.3257551106758042e-09
5.0650745932261665e-14,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289573577317343,0.099999986991005402,0.099999999191084044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3008994601612414e-08,1.6178319448304771e-09
6.893930864114306e-14,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289573049300035,0.099999982294985981,0.099999998899007222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7705014029548655e-08,2.2019855878740232e-09
8.722787135002446e-14,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289572521344445,0.099999977599583678,0.099999998606930415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2400416326214324e-08,2.7861391972329673e-09
1.0551643405890586e-13,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289571993450563,0.099999972904798423,0.099999998314853622,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.709520157263893e-08,3.3702927729110464e-09
1.4209355947666866e-13,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289570937847889,0.099999963517078766,0.099999997730700105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6482921238653982e-08,4.5385998232395392e-09
1.7867068489443146e-13,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289569882491958,0.09999995413182633,0.099999997146546629,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5868173675824775e-08,5.7069067388893864e-09
2.1524781031219426e-13,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289568827382692,0.099999944749040476,0.099999996562393237,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.5250959532473458e-08,6.8752135198904774e-09
2.8840206114771984e-13,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289566717903919,0.09999992599086592,0.09999999539408666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.400913409682036e-08,9.2118266780659207e-09
3.6155631198324544e-13,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289564609411056,0.099999907242549882,0.099999994225780348,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.2757450115619791e-08,1.1548439298004855e-08
4.3471056281877104e-13,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289562501903582,0.099999888504087212,0.099999993057474298,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1149591277017385e-07,1.3885051379946157e-08
5.078648136542966e-13,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289560395380978,0.099999869775472761,0.099999991889168541,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3022452723899053e-07,1.6221662924128575e-08
5.810190644898222e-13,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289558289842734,0.099999851056701311,0.099999990720863033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4894329869779258e-07,1.8558273930790709e-08
7.273275661608734e-13,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289554081717239,0.099999813648666724,0.099999988384252836,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8635133327524837e-07,2.3231494332508021e-08
