Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),CH3X(21),HOX(22),HX(19),H2X(49),C2H6X(52),CH3OO(77),CH2X(27),CHX(28),CX(26),OCX(25),COX(50)
6.649310165217266e-21,0.11640260799999998,0.8585084662769803,0.0,0.0,0.3375675631999972,0.11866996602996265,0.022821567693054223,0.0,1.0479905446035659e-61,4.57682363225927e-36,9.7814957700832137e-76,1.7681285716808464e-48,1.0097273080887806e-119,6.7613944773112892e-22,1.1547304813824065e-101,6.7613944649623787e-22,2.8241264080731669e-68,9.6784186364606835e-62,9.7904896556516699e-101,5.9158667687398602e-102,1.4019769380912183e-49,8.69080090402093e-81,2.6814725642086121e-15,1.2892758379774161e-16,4.9695656825565039e-20,3.649541721424164e-32,4.9695656826981188e-20,1.6681870416590235e-49,1.5575254301068969e-62,2.2414289040429228e-36,1.0887998245283367e-31,2.9536943784155998e-39,9.4734888908465011e-46,1.3124908083417858e-70,8.666322926803817e-91
1.3304397315808308e-20,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999437,0.11866996602995997,0.022821567693054157,0.0,1.6786888788219809e-60,1.8319222075703836e-35,1.2482041864769976e-73,1.4159368726454271e-47,5.1539089806345307e-117,1.3528663344655623e-21,7.4016973848579612e-100,1.3528663295227804e-21,4.5235103073834684e-67,1.5503131340830608e-60,2.4986741878100993e-98,1.5098145356732331e-99,1.1224088912020492e-48,2.7841777042831957e-79,5.3652748178718691e-15,2.5796718113483488e-16,9.9434489718732801e-20,1.4607327578194218e-31,9.9434489724401077e-20,1.3355639624654821e-48,2.4947475144667064e-61,8.9715569623833959e-36,4.358036673997677e-31,2.3647506632952993e-38,1.510587305886058e-44,8.3744621325500323e-69,2.2117706201494706e-88
2.6614571616990393e-20,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319998876,0.1186699660299546,0.022821567693054028,0.0,2.6873329218837065e-59,7.3300750194988357e-35,1.5952276696401055e-71,1.133323384484123e-46,2.6346922150148859e-114,2.7063201153531294e-21,4.7407447686715253e-98,2.7063200955755637e-21,7.2415451738764882e-66,2.4818284420973465e-59,6.3866640778252632e-96,3.8591178898225924e-97,8.9822802924890601e-48,8.9143659686002272e-78,1.0732879325193394e-14,5.1604637580901131e-16,1.9891215549720687e-19,5.8445534211902178e-31,1.9891215551988744e-19,1.0688570751265198e-47,3.9937627187089287e-60,3.5897913954926631e-35,1.7437822354536214e-30,1.892517926835187e-37,2.4127964083263676e-43,5.3514213784712025e-67,5.6533324779854168e-86
5.3234920219354563e-20,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319997749,0.11866996602994385,0.022821567693053772,0.0,4.3005784791752629e-58,2.9325073136526017e-34,2.0402590188883712e-69,9.0688831806917457e-46,1.3478780055124733e-111,5.4132277068030648e-21,3.0352478921607101e-96,5.4132276276799224e-21,1.1589616117848068e-64,3.9717112644020089e-58,1.6336740798292014e-93,9.8714145453586682e-95,7.1865456108323131e-47,2.8533969240720099e-76,2.1468088339816485e-14,1.0322047651573231e-15,3.9786748702270919e-19,2.3379776944542791e-30,3.9786748711344654e-19,8.5524805686323687e-47,6.3917541993740028e-59,1.4361503202789991e-34,6.976263666812423e-30,1.5142998010339527e-36,3.8571536462392482e-42,3.4221918502403749e-65,1.4460918222481368e-83
1.0647561742408291e-19,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319995501,0.11866996602992239,0.022821567693053255,0.0,6.880645307164017e-57,1.1730983934495842e-33,2.6103648752689539e-67,7.2560250964790787e-45,6.8980379984151331e-109,1.082704300840214e-20,1.9429335463726849e-94,1.0827042691883811e-20,1.8545901213219231e-63,6.3544820506524807e-57,4.1803314816399357e-91,2.5259496676401298e-92,5.7487532038932805e-46,9.132150052359061e-75,4.2938506368982856e-14,2.0645215438537819e-15,7.9577814994793107e-19,9.3508782557662255e-30,7.9577815031091157e-19,6.8426341113683771e-46,1.0228193993027149e-57,5.7450688920089488e-34,2.7907319731425152e-29,1.2115515403879262e-35,6.1687761970591121e-41,2.1892304263233098e-63,3.7003360662616144e-81
2.129570118335396e-19,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319990999,0.11866996602987945,0.022821567693052221,0.0,1.1005747625916065e-55,4.6925845167291106e-33,3.3402095985841082e-65,5.8051875169554358e-44,3.5306749887393974e-106,2.1654674086397112e-20,1.2435974677380323e-92,2.1654672820272272e-20,2.9675454407137167e-62,1.0164137174756846e-55,1.0698256238526504e-88,6.4643813308659095e-90,4.5975749792544253e-45,2.9224928139802877e-73,8.5879342426996336e-14,4.1291551012460416e-15,1.5915994752952435e-18,3.7390692947281411e-29,1.5915994767472383e-18,5.4743671655848377e-45,1.6366220277137521e-56,2.2981211250590874e-33,1.1163377283538124e-28,9.6928192014158575e-35,9.867866519472743e-40,1.4006654890756963e-61,9.4698573309939724e-79
4.2591980065245295e-19,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319981995,0.11866996602979356,0.022821567693050156,0.0,1.7596786081188159e-54,1.8770719960817726e-32,4.273996693418906e-63,4.6442969884768627e-43,1.8070836792237738e-103,4.3309938141574316e-20,7.9594080396240797e-91,4.3309933076971923e-20,4.7482337026954693e-61,1.6251149327464874e-54,2.7378112248318197e-86,1.6543121954017784e-87,3.6755164938062123e-44,9.3523046822188024e-72,1.7176101454174625e-13,8.2584222160279285e-15,3.183242123977341e-18,1.4945119870249041e-28,3.183242129785554e-18,4.3795976858806181e-44,2.618684035377692e-55,9.192671982056354e-33,4.4654378827980417e-28,7.7543542072712551e-34,1.5786720079643867e-38,8.9611717243098625e-60,2.4234492268680362e-76
8.518453782902797e-19,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319963993,0.11866996602962179,0.022821567693046028,0.0,2.8113703415963585e-53,7.5083643647801563e-32,5.467741007343475e-61,3.7154963728724159e-42,9.2472482374556513e-101,8.6620473848677801e-20,5.0941444028538232e-89,8.6620453590062156e-20,7.5973027071832054e-60,2.5963796756200889e-53,7.0049910992923866e-84,4.2327396766763863e-85,2.9362475017647762e-43,2.992789920936285e-70,3.4352435876613789e-13,1.6516956445581176e-14,6.3665274132914311e-18,5.9689590347577645e-28,6.366527436525437e-18,3.5037197306899948e-43,4.1899654804914711e-54,3.6771065631030972e-32,1.7861902188215893e-27,6.2034206526387941e-33,2.5256856132100645e-37,5.7320223391930619e-58,6.2006609318415574e-74
1.7036965335659331e-18,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319927989,0.11866996602927826,0.02282156769303777,0.0,4.4849568260953885e-52,3.0033610228650251e-31,6.9916089924622974e-59,2.9724205972797924e-41,4.7298013998583241e-98,1.7324157564988087e-19,3.2602922387401726e-87,1.7324149461500643e-19,1.2155787302817449e-58,4.1419723021661968e-52,1.791461924523762e-81,1.0824841676908985e-82,2.3423187568412377e-42,9.5770115806644224e-69,6.870510471944885e-13,3.303402490464558e-14,1.2733097959719192e-17,2.3803072265661178e-27,1.2733098052663001e-17,2.802992417561581e-42,6.7040015557427099e-53,1.4708503981975288e-31,7.144772380271148e-27,4.9625478441951912e-32,4.0408163931367817e-36,3.6647593705420054e-56,1.5857616785700299e-71
3.40739884411724e-18,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319855979,0.1186699660285912,0.022821567693021252,0.0,7.1338340526300389e-51,1.2013474651788872e-30,8.9314590366954512e-57,2.3779458549981604e-40,2.416855391783737e-95,3.4648390080027019e-19,2.0866002593660204e-85,3.4648357665994995e-19,1.9449341883088619e-57,6.5882409262319408e-51,4.5770380061028573e-79,2.765658091332086e-80,1.8632395621982924e-41,3.0646570915299317e-67,1.3741044239694583e-12,6.6068161822606001e-14,2.5466238923773026e-17,9.4634405034208662e-27,2.5466239295607217e-17,2.2424005874422507e-41,1.0726447814446241e-51,5.8834188896710402e-31,2.8578963520253021e-26,3.9697010919835115e-31,6.4646693142638876e-35,2.3407627829785392e-54,4.0514896703914951e-69
