Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),HX(19),HOX(22),CH3OO(77),CH3X(21),H2X(49),C2H4(47),C2H6X(52),CH2X(27),CHX(28),CX(26),OCX(25),COX(50),C2H4X(205),C2H4X(65),H2OX(23),acetyl(43)
0.0,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999988,0.11866996602996532,0.022821567693054285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.473197266622491e-24,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999988,0.11866996602996532,0.022821567693054285,0.0,1.4566604206240081e-65,3.130548179505717e-36,1.5601185470701455e-90,1.9937200706350753e-54,5.5925133151238572e-134,5.7131099221802735e-20,-7.8564753352582683e-106,5.713109922180259e-20,2.9547210003192145e-72,5.5947218894002877e-72,3.5936192641291399e-114,4.1667933389064651e-115,9.4180052524231953e-55,1.4240337195397356e-85,3.1200861683966903e-18,9.2380206021829239e-20,3.6982894204620213e-22,9.4957448192133568e-38,3.5161117575542613e-37,3.6982894204601951e-22,2.3219309553803653e-52,2.4270810809298757e-98,3.828826195587563e-71,1.8795869318551436e-35,2.0843139056880036e-45,1.1347489724858439e-51,1.509852822590931e-82,6.3287017393002249e-108,4.8256369368153707e-115,2.8313309224818763e-102,3.5899982985301705e-54,-5.9172854454536326e-126
1.8124952346542977e-23,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999988,0.11866996602996532,0.022821567693054285,0.0,3.2584922143668464e-64,1.8908511004214534e-35,1.7254591882535977e-88,3.0129098124591177e-53,2.0196655501310252e-131,1.5996707782104811e-19,1.5167033668243444e-104,1.5996707782104721e-19,8.3327860875409384e-71,1.7590700793189812e-70,7.18998105804083e-112,8.3367666348367906e-113,1.1181055810909305e-53,7.3712087505853982e-84,8.7362412715107316e-18,2.5866457686112186e-19,1.035521037729446e-21,5.7354298569306272e-37,2.1237315015605561e-36,1.0355210377283425e-21,2.7565964302275608e-51,2.2856595617891932e-96,1.0797902627949838e-69,1.1352705067184807e-34,2.4744974673988093e-44,1.3483643976910596e-50,9.1931544296912455e-81,1.266223333164487e-105,8.2282771883812942e-113,2.6663545136775705e-100,4.2620459705579605e-53,1.0935413918142245e-123
4.1428462506383946e-23,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999988,0.11866996602996531,0.022821567693054285,0.0,6.4382324790618687e-63,9.1036341060026253e-35,1.5639752055264093e-86,3.2411508921897814e-52,7.3262923856127479e-129,3.656390350195407e-19,1.6014786296002167e-102,3.6563903501953632e-19,1.8125629872438215e-69,3.9243885615860922e-69,1.3040909874544896e-109,1.5120905250287804e-110,1.0977626845445179e-52,3.2185582250739761e-82,1.9968551477738794e-17,5.9123331853970705e-19,2.3669052290962552e-21,2.7613625726158793e-36,1.0224852990934525e-35,2.3669052290909409e-21,2.7064427215913256e-50,1.9976782594261922e-94,2.3487796803700213e-68,5.4658387960043715e-34,2.4294762840245735e-43,1.3263536967481902e-49,4.1580182207154831e-79,2.2966269640357212e-103,1.4381043641594918e-110,2.3304076128743213e-98,4.1845019874498807e-52,4.5666448847957839e-121
8.803548282606588e-23,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999988,0.11866996602996528,0.022821567693054285,0.0,1.1456491410346595e-61,3.9757961879722615e-34,1.1880604282607898e-84,2.9791760712899491e-51,2.2297040243832554e-126,7.7698294941653306e-19,1.2658353868922663e-100,7.76982949416514e-19,3.3601863032014608e-68,7.3499453821233728e-68,1.9834004905472738e-107,2.2997483442063371e-108,9.7095865338016868e-52,1.1981885285201316e-80,4.2433171890194856e-17,1.2563708018968776e-18,5.0296736118311557e-21,1.2059595705350184e-35,4.4654619320595354e-35,5.0296736118079497e-21,2.3938179377588841e-49,1.4903299643471432e-92,4.3542416825025913e-67,2.3870754015646359e-33,2.148844254872843e-42,1.1776304189343828e-48,1.5758975767838916e-77,3.4929549324937285e-101,2.147844896152644e-108,1.7385563853205739e-96,3.7011445842872005e-51,1.4753666296292439e-118
1.8124952346542976e-22,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999982,0.11866996602996524,0.022821567693054285,0.0,1.9323047581722432e-60,1.6598166447739321e-33,8.3151915294200905e-83,2.5487478514448594e-50,6.2475727362638387e-124,1.5996707782105472e-18,8.9717929348057308e-99,1.5996707782104672e-18,5.7753017239799035e-67,1.2695202592019582e-66,2.7779289477895087e-105,3.2210022778779907e-106,8.1614923711367555e-51,4.1279411521012024e-79,8.7362412715106715e-17,2.5866457686112184e-18,1.0355210377306088e-20,5.0346437096012147e-35,1.864242453824331e-34,1.0355210377209206e-20,2.0121482150372348e-48,1.0280212293522926e-90,7.4838289387796443e-66,9.9655698956734072e-33,1.8062330647099024e-41,9.9741532520515759e-48,5.5085449654957644e-76,4.8921943230558074e-99,2.9647811871546229e-106,1.1992464181750541e-94,3.1110349738361234e-50,4.2534905742131596e-116
3.6767760474415754e-22,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999971,0.11866996602996514,0.022821567693054285,0.0,3.1738163028421108e-59,6.7808925787365689e-33,5.6239533257120564e-81,2.1073540115269627e-49,1.6908515006768959e-121,3.2450464357986913e-18,6.0376053504622473e-97,3.2450464357983643e-18,9.5721390669171076e-66,2.1093268137712996e-65,3.758636762045781e-103,4.3581307512855189e-104,6.691284284991166e-50,1.3699131653636908e-77,1.7722089436492946e-16,5.2471957020398973e-18,2.1006283908276478e-20,2.0568161469521949e-34,7.6160387110708899e-34,2.1006283907880693e-20,1.6496806755620777e-47,6.8271401831591436e-89,1.2403897628000471e-64,4.0712604634630802e-32,1.4808589795476789e-40,8.3011612623625414e-47,1.8619032599241757e-74,6.6193130835738325e-97,3.9389718260810243e-104,7.9642551817795819e-93,2.5506143340577686e-49,1.1673780123287387e-113
7.40533767301613e-22,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999955,0.11866996602996496,0.022821567693054282,0.0,5.144892655240129e-58,2.7409451974698757e-32,3.7796432419136646e-79,1.7136652841231866e-48,4.5457610923119997e-119,6.5357977509754468e-18,3.9614937069693302e-95,6.5357977509741233e-18,1.5585747055340669e-64,3.4387347985884839e-64,5.0523186799624575e-101,5.8581519839096147e-102,5.4187750802301883e-49,4.4636626011281738e-76,3.5693785766457076e-16,1.0568295568897251e-17,4.2308430970299359e-20,8.313979037020545e-34,3.0785246168876492e-33,4.2308430968699531e-20,1.3359541819298419e-46,4.4503267138850536e-87,2.0196531786583875e-63,1.6456685671565181e-31,1.1992379713551202e-39,6.922928802013393e-46,6.2559700209852869e-73,8.8976086960635585e-95,5.1360388647320126e-102,5.1915643402551401e-91,2.0655534576317039e-48,3.1604587040991569e-111
1.486246092416524e-21,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999916,0.1186699660299646,0.022821567693054275,0.0,8.2856898114053458e-57,1.1021220087877097e-31,2.5817435570443062e-77,1.3821331334320174e-47,1.2417989241559114e-116,1.3117300381330821e-17,2.5669889666735941e-93,1.3117300381325501e-17,2.5155458584221725e-63,5.5535649985403695e-63,6.9013035431021953e-99,8.0020457147113231e-100,4.361500936041766e-48,1.4412896054229056e-74,7.1637178426383719e-16,2.1210495302611934e-17,8.491272509467351e-20,3.3430138532446002e-33,1.2378612085192382e-32,8.4912725088240663e-20,1.0752921510039721e-45,2.8743814797146725e-85,3.259728372978335e-62,6.6171608809129308e-31,9.6525101182498756e-39,5.8948292577640925e-45,2.1371382466030308e-71,1.2153845056904955e-92,6.635018109557094e-100,3.3531327675676959e-89,1.6625368654649393e-47,8.6649903135945591e-109
2.977670742646346e-21,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999844,0.11866996602996387,0.022821567693054264,0.0,1.330036320957462e-55,4.4200021913550768e-31,1.8385806499461919e-75,1.1102044963941585e-46,3.5357853647437229e-114,2.6280305642049031e-17,1.653069035593464e-91,2.6280305642027694e-17,4.0424146628021741e-62,8.9271906869849051e-62,9.8265369118129122e-97,1.1393847132444327e-97,3.4998287460779194e-47,4.6328966479234309e-73,1.4352396374623052e-15,4.2494894770041211e-17,1.7012131334473546e-19,1.3406976328808448e-32,4.9643770924125274e-32,1.7012131331893684e-19,8.6285423164604381e-45,1.8480219439919927e-83,5.2382959855916499e-61,2.65377743410637e-30,7.7455308522717005e-38,5.248048679596726e-44,7.6143988213755864e-70,1.7305456325335122e-90,8.5319933296041101e-98,2.1558248025745723e-87,1.3340807202488259e-46,2.4722449995160473e-106
5.9605200431059904e-21,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999694,0.1186699660299624,0.022821567693054243,0.0,2.1315248478688379e-54,1.7703063374433586e-30,1.407992611619702e-73,8.8996631960723411e-46,1.0822862534805331e-111,5.260631616351529e-17,1.0612387388932356e-89,5.2606316163429816e-17,6.4819285982559096e-61,1.4316774770954796e-60,1.5042969074526602e-94,1.7442288324707444e-95,2.8041201903369299e-46,1.4858582612010307e-71,2.872975343858981e-15,8.506369370489945e-17,3.4053848985011382e-19,5.3697800308784022e-32,1.9883402417407642e-31,3.4053848974678474e-19,6.9133338727389085e-44,1.1854345648730283e-81,8.3994996525002915e-60,1.0628951454466886e-29,6.2058491706750005e-37,5.0345967026201939e-43,2.91847835811452e-68,2.6492084299445777e-88,1.0946084909326406e-95,1.3828781656069942e-85,1.068887351548851e-45,7.5777633394469466e-104
1.1926218644025279e-20,0.16628943999999996,0.8585084662769803,0.0,0.0,0.452307276799994,0.11866996602995947,0.022821567693054202,0.0,3.4132128574596239e-53,7.0858389012366425e-30,1.194892748196097e-71,7.1269485012423153e-45,3.6704028122765643e-109,1.0525833720656713e-16,6.8024254276589949e-88,1.0525833720622506e-16,1.0382350712978049e-59,2.2933468305631444e-59,2.5516071434886847e-92,2.9585826618089578e-93,2.2449984130592936e-45,4.7600830901341689e-70,5.7484467566512921e-15,1.7020129157461456e-16,6.8137284288188863e-19,2.1493085816801951e-31,7.9585427266465397e-31,6.8137284246830297e-19,5.5348707011412699e-43,7.5954338052136226e-80,1.3453796950335425e-58,4.2543503170711026e-29,4.9684511580177141e-36,5.3593814739088689e-42,1.2399826531960612e-66,4.4936203196502974e-86,1.4027094752107732e-93,8.8605137245061203e-84,8.5575875499472399e-45,2.5726464178194848e-101
2.3857615845863856e-20,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679998806,0.11866996602995361,0.022821567693054115,0.0,5.4633503753543201e-52,2.8352585337534085e-29,1.1400281251122178e-69,5.7044473896795929e-44,1.3993745731594742e-106,2.1056237929314824e-16,4.3569145026860068e-86,2.1056237929177944e-16,1.6620778243551586e-58,3.6714795836978213e-58,4.8657069665957344e-90,5.6417761269386392e-91,1.7966766066993917e-44,1.5240809749921091e-68,1.1499389582231747e-14,3.4047648731403941e-16,1.3630415490295096e-18,8.6000112376164922e-31,3.1844537352271798e-30,1.3630415473746281e-18,4.4295787210959905e-42,4.8638482111926955e-78,2.1537759784453976e-57,1.7022940820290748e-28,3.9762683783869416e-35,6.4157682387735213e-41,5.9230328902984355e-65,8.5689678845785564e-84,1.7964995775411295e-91,5.6739604579969829e-82,6.8486539709345656e-44,9.817016160880237e-99
4.772041024954101e-20,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679997623,0.1186699660299419,0.022821567693053945,0.0,8.7430975722775052e-51,1.1342880344497686e-28,1.2097485401332107e-67,4.5647136293026742e-43,5.9350843318953819e-104,4.2117046346821983e-16,2.7895016796698616e-84,4.2117046346274376e-16,2.6600460925072057e-57,5.876045099092904e-57,1.032105955081049e-87,1.1967245000014641e-88,1.4376071827055468e-43,4.8784265535881913e-67,2.3001275233376008e-14,6.8102687879286721e-16,2.7263789616610386e-18,3.4405463367837867e-30,1.2739888503627065e-29,2.7263789550404364e-18,3.5443359847329406e-41,3.1137497176748403e-76,3.4469766048844433e-56,6.8102831984710283e-28,3.1816147373070181e-34,8.5368440163441972e-40,3.1459919508768171e-63,1.8176357147454853e-81,2.3001797973280181e-89,3.632368804808998e-80,5.4799366904700572e-43,4.1663052660962386e-96
9.544599905689531e-20,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679995253,0.11866996602991847,0.022821567693053605,0.0,1.3990245665796636e-49,4.5375214059928925e-28,1.3886935154328142e-65,3.6522332467020434e-42,2.7237333303443767e-101,8.4238663182600107e-16,1.7856255996082939e-82,8.423866318040949e-16,4.2566510882552193e-56,9.4029425379582255e-56,2.3686985645617228e-85,2.7465005800115805e-86,1.1501836185383626e-42,1.5613153188768057e-65,4.6005046535597894e-14,1.3621276617504365e-15,5.4530537882692477e-18,1.3763160150602552e-29,5.0963701261121013e-29,5.4530537617846811e-18,2.8357380196588744e-40,1.9930836581557939e-74,5.5159107054594506e-55,2.7243337109031474e-27,2.5455269090762936e-33,1.2275827780293589e-38,1.8069705521710547e-61,4.1715010607335309e-79,2.9446528218504599e-87,2.3250465544976143e-78,4.3843223532668334e-42,1.9127947811559266e-93
