Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),CH3X(21),HOX(22),HX(19),H2X(49),CH2X(27),CHX(28),CX(26),OCX(25),COX(50),CH3OO(77),C2H6X(52)
6.649310165217266e-21,0.11640260799999998,0.8585084662769803,0.0,0.0,0.3375675631999972,0.11866996602996265,0.022821567693054223,0.0,1.0479905446095041e-61,4.5768236328256515e-36,1.0048493711889131e-75,1.7681285717203076e-48,1.0374499390799996e-119,6.7613944679336476e-22,1.1547304803078371e-101,6.7613944649623787e-22,2.8241264081341667e-68,2.3285323056370062e-62,1.0058773090921083e-100,6.0779760314157609e-102,1.4019769380912183e-49,8.6908009042056708e-81,2.6814725642086121e-15,1.2892758379774161e-16,4.9695656826159141e-20,3.649541721424164e-32,4.9695656827324864e-20,1.6681870418517201e-49,4.5255372173519679e-31,5.1028146455680998e-38,1.6802628808279597e-44,2.3288761891127435e-69,8.9038014358189529e-91,2.2414289013777227e-36,1.5575254301405387e-62
1.3304397315808308e-20,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999437,0.11866996602995997,0.022821567693054157,0.0,1.6786888788410128e-60,1.8319222080238336e-35,1.265326414252093e-73,1.4159368727086379e-47,5.2250222084073577e-117,1.3528663307120619e-21,7.4016973710738448e-100,1.3528663295227804e-21,4.523510307578901e-67,3.7299008776105175e-61,2.533083707148287e-98,1.5306063590793328e-99,1.1224088912020492e-48,2.7841777044015754e-79,5.3652748178718691e-15,2.5796718113483488e-16,9.9434489721110698e-20,1.4607327578194218e-31,9.9434489725776673e-20,1.3355639627740477e-48,1.8113940716647135e-30,4.0853527167492349e-37,2.6446184202324366e-43,1.4664666270167448e-67,2.2422291586402599e-88,8.97155694104559e-36,2.4947475145744885e-61
2.6614571616990393e-20,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319998876,0.1186699660299546,0.022821567693054028,0.0,2.6873329219446537e-59,7.3300750231278097e-35,1.6062258320661016e-71,1.1333233845853185e-46,2.6529632028395408e-114,2.7063201003342387e-21,4.7407447510088711e-98,2.7063200955755637e-21,7.2415451745022446e-66,5.9710350644206219e-60,6.430868220066542e-96,3.8858280774962939e-97,8.9822802924890601e-48,8.914365969358312e-78,1.0732879325193394e-14,5.1604637580901131e-16,1.9891215550672159e-19,5.8445534211902178e-31,1.9891215552539158e-19,1.0688570756204251e-47,7.2479341016707472e-30,3.269521027298153e-36,4.1963041042058373e-42,9.3083808388184057e-66,5.692460997968131e-86,3.5897913784159343e-35,3.9937627190540383e-60
5.3234920219354563e-20,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319997749,0.11866996602994385,0.022821567693053772,0.0,4.3005784793703569e-58,2.93250731655633e-34,2.0473846760459022e-69,9.0688831823113539e-46,1.3526126056989975e-111,5.4132276467177226e-21,3.0352478695403571e-96,5.4132276276799224e-21,1.1589616119851102e-64,9.555546557602111e-59,1.6394016271715262e-93,9.9060230360254065e-95,7.1865456108323131e-47,2.853396924557337e-76,2.1468088339816485e-14,1.0322047651573231e-15,3.9786748706077438e-19,2.3379776944542791e-30,3.9786748713546666e-19,8.5524805765364557e-47,2.8996442895577805e-29,2.6161091464552808e-35,6.685993657157425e-41,5.9326832838428346e-64,1.451161719282928e-83,1.4361503066150215e-34,6.3917542004786913e-59
1.0647561742408291e-19,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319995501,0.11866996602992239,0.022821567693053255,0.0,6.8806453077883347e-57,1.1730983957727856e-33,2.6151426142540495e-67,7.2560250990708227e-45,6.9107312046408555e-109,1.0827042768041207e-20,1.9429335174108508e-94,1.0827042691883811e-20,1.8545901219629891e-63,1.52882586489909e-57,4.1880100977908768e-91,2.5305894427392088e-92,5.7487532038932805e-46,9.1321500554656217e-75,4.2938506368982856e-14,2.0645215438537819e-15,7.9577815010020414e-19,9.3508782557662255e-30,7.9577815039899956e-19,6.8426341240161913e-46,1.1599510672553626e-28,2.093078951328591e-34,1.0675082764490569e-39,3.7889967367330722e-62,3.7071330057881189e-81,5.7450687826867501e-34,1.0228193996562675e-57
2.129570118335396e-19,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319990999,0.11866996602987945,0.022821567693052221,0.0,1.1005747627913426e-55,4.6925845353155743e-33,3.3438219792768701e-65,5.8051875211025239e-44,3.5345089883024668e-106,2.1654673124914255e-20,1.2435974306619002e-92,2.1654672820272272e-20,2.9675454427652796e-62,2.4453914081051335e-56,1.0709857799903092e-88,6.471391530948954e-90,4.5975749792544253e-45,2.9224928159686362e-73,8.5879342426996336e-14,4.1291551012460416e-15,1.5915994759043597e-18,3.7390692947281411e-29,1.5915994770996061e-18,5.4743671858223379e-45,4.6399846980828132e-28,1.6745313119966048e-33,1.706204033311367e-38,2.4223983918261712e-60,9.4801267738450786e-79,2.2981210375971752e-33,1.6366220288452035e-56
4.2591980065245295e-19,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319981995,0.11866996602979356,0.022821567693050156,0.0,1.7596786087575818e-54,1.8770720109512451e-32,4.2777274632482734e-63,4.6442969951124521e-43,1.8086633246516041e-103,4.3309934295564656e-20,7.9594075650177218e-91,4.3309933076971923e-20,4.7482337092607247e-61,3.909866648451505e-55,2.740203322101153e-86,1.6557576112322617e-87,3.6755164938062123e-44,9.352304694944733e-72,1.7176101454174625e-13,8.2584222160279285e-15,3.1832421264138573e-18,1.4945119870249041e-28,3.1832421311950605e-18,4.3795977182613353e-44,1.8560249413268554e-27,1.3396386999095583e-32,2.7284521684644813e-37,1.5494846870950865e-58,2.4255666578381458e-76,9.1926712823444523e-33,2.6186840389984764e-55
8.518453782902797e-19,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319963993,0.11866996602962179,0.022821567693046028,0.0,2.8113703436377725e-53,7.5083644837365384e-32,5.4737584739798635e-61,3.7154963834895502e-42,9.2574129296220707e-101,8.6620458464482668e-20,5.0941437953372768e-89,8.6620453590062156e-20,7.5973027281924118e-60,6.2466340702028027e-54,7.012694161119553e-84,4.2373942229799514e-85,2.9362475017647762e-43,2.9927899290810343e-70,3.4352435876613789e-13,1.6516956445581176e-14,6.3665274230375934e-18,5.9689590347577645e-28,6.36652744216357e-18,3.5037197824994602e-43,7.4241216955147619e-27,1.0716946435783284e-31,4.3642582030131581e-36,9.9135823710712592e-57,6.2074795093176489e-74,3.6771060033269328e-32,4.1899654920781948e-54
1.7036965335659331e-18,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319927989,0.11866996602927826,0.02282156769303777,0.0,4.4849568326108717e-52,3.0033611180293995e-31,7.0047408213381198e-59,2.9724206142673597e-41,4.7386634656864602e-98,1.7324151411278756e-19,3.2602914611059395e-87,1.7324149461500643e-19,1.2155787370047537e-58,9.9651778884535784e-53,1.7948212428019546e-81,1.0845140231963889e-82,2.3423187568412377e-42,9.5770116327913105e-69,6.870510471944885e-13,3.303402490464558e-14,1.273309799870404e-17,2.3803072265661178e-27,1.2733098075216054e-17,2.8029925004561585e-42,2.9696209093508808e-26,8.5731434832623132e-31,6.9815263658783872e-35,6.3431843194518414e-55,1.5887352713212441e-71,1.4708499503739425e-31,6.7040015928205735e-53
3.40739884411724e-18,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319855979,0.1186699660285912,0.022821567693021252,0.0,7.1338340733709832e-51,1.2013475413085382e-30,8.9635634323522937e-57,2.3779458821783924e-40,2.4255184786205196e-95,3.4648365465127268e-19,2.0865992639858622e-85,3.4648357665994995e-19,1.9449342098225932e-57,1.5850659584335046e-51,4.5934595041574884e-79,2.7755807200945782e-80,1.8632395621982927e-41,3.0646571248913022e-67,1.3741044239694583e-12,6.6068161822606001e-14,2.5466239079712822e-17,9.4634405034208676e-27,2.5466239385822885e-17,2.2424007200704993e-41,1.1878170872181084e-25,6.8577919632230605e-30,1.1168534408097946e-33,4.0585025265241636e-53,4.0660256060087072e-69,5.8834153070717489e-31,1.0726447933095967e-51
