Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),HX(19),HOX(22),CH3OO(77),CH3X(21),CH2X(27),CHX(28),CX(26),OCX(25),H2X(49),C2H4(47),COX(50),H2OX(23),C2H4X(210),acetyl(43),C2H4X(65)
5.883606884761695e-21,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999699,0.11866996602996244,0.022821567693054243,0.0,2.0236173094855091e-54,1.7249138672586464e-30,2.8025470751098623e-73,8.5595721230722798e-46,2.1011679825970323e-111,5.1927496547771826e-17,9.8168027243684589e-90,5.1927496547737523e-17,6.1537836265016996e-61,5.0139232766988405e-61,2.9576318396480963e-94,3.429367370891354e-95,2.6969637910344314e-46,1.3924347631133988e-71,2.8359031411076443e-15,8.3966051670989558e-17,3.3614426073953224e-19,5.2320934524762521e-32,1.9373571586318765e-31,3.3614426065238232e-19,2.8074683290306025e-29,4.3862224406269509e-36,7.6246233998285963e-42,4.3187499801348769e-67,6.6491482420075238e-44,1.0965654418315918e-81,5.2086680252502226e-88,1.0280409854876791e-45,9.9948268825262534e-96,1.4701489450775667e-103,1.2792071804118689e-85
1.17723255044363e-20,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999405,0.11866996602995955,0.022821567693054202,0.0,3.2404204589050148e-53,6.9041507243310326e-30,2.0630998226404082e-71,6.8545998168666678e-45,6.1831958218073763e-109,1.0390010820989059e-16,6.2924642706079342e-88,1.0390010820975327e-16,9.8567484744435104e-60,8.0316030877300856e-60,4.3526900941138869e-92,5.0469342341948649e-93,2.1592082778821497e-45,4.4607923535583738e-70,5.6742701424581669e-15,1.6800505386471499e-16,6.7258056694646432e-19,2.0941981765258489e-31,7.7544775286288324e-31,6.7258056659763738e-19,1.123718803212729e-28,3.5116435239300568e-35,7.0312858898413491e-41,1.5909858805986369e-65,5.32336156040087e-43,7.0260227543193181e-80,7.6654969015416858e-86,8.2305687924147315e-45,1.2808084796902172e-93,4.3299846597286517e-101,8.1962627403845937e-84
2.354976274378551e-20,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679998822,0.11866996602995376,0.022821567693054119,0.0,5.1867708271181895e-52,2.7625595970298552e-29,1.6634661481522459e-69,5.486458057894113e-44,1.9924173829793855e-106,2.0784533153429905e-16,4.0302873041276413e-86,2.0784533153374959e-16,1.5779358174865939e-58,1.2858006187451242e-58,7.0149330755396888e-90,8.1337988969446729e-91,1.7280186491772204e-44,1.4282542196779915e-68,1.1351004145155153e-14,3.360830582521605e-16,1.345453179548693e-18,8.3794986995654939e-31,3.1028010754307364e-30,1.3454531781529309e-18,4.496337517825509e-28,2.8103797750781374e-34,7.1108490809537005e-40,6.4217003306465288e-64,4.2603071265870298e-42,4.4992174353818124e-78,1.235395732857823e-83,6.5869404325118536e-44,1.6403766662727123e-91,1.3963878598624798e-98,5.2485975618418851e-82
4.710463722248394e-20,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679997651,0.1186699660299422,0.022821567693053952,0.0,8.3004828731056131e-51,1.1052037259056227e-28,1.5031722648211893e-67,4.3902779994168015e-43,7.1944534866578124e-104,4.1573577818379991e-16,2.5803795777004306e-84,4.1573577818160161e-16,2.5253823521833438e-57,2.0578687017830224e-57,1.2669413129475986e-87,1.4690155616406595e-88,1.3826707435972278e-43,4.5716949591192234e-67,2.2704472150532899e-14,6.7223906702703038e-16,2.6911984055066088e-18,3.3523276565100679e-30,1.2413224696491295e-29,2.6911983999226499e-18,1.7988266656246225e-27,2.2487271275625568e-33,8.0640983262876779e-39,2.9053733782475851e-62,3.4088929908988401e-41,2.8803195353000104e-76,2.2312028796182673e-81,5.270527464990237e-43,2.1002850849547133e-89,5.0461789505763487e-96,3.3600590320617573e-80
9.421438617988079e-20,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679995314,0.11866996602991908,0.022821567693053615,0.0,1.3281998500881372e-49,4.4211747035270602e-28,1.5231838670408745e-65,3.512667074919027e-42,2.9134593793451148e-101,8.3151667148553667e-16,1.6517616262116488e-82,8.3151667147674254e-16,4.0411598762196245e-56,3.2930352626625577e-56,2.5660687554483449e-85,2.9753508659565473e-86,1.1062308677856189e-42,1.4631474502529695e-65,4.541140816122349e-14,1.3445510845766859e-15,5.3826888604362808e-18,1.3410262261089844e-29,4.9656939695519844e-29,5.3826888380986181e-18,7.1958832675768797e-27,1.7991466175403617e-32,1.0251175731700795e-37,1.4738090314110254e-60,2.7273733362577113e-40,1.8436670628006432e-74,4.5190885395053957e-79,4.216781255994388e-42,2.6887508574375436e-87,2.0448401912830903e-93,2.1507435288898449e-78
1.884338840946745e-19,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679990634,0.11866996602987283,0.022821567693052942,0.0,2.1251877908037218e-48,1.7685418440298724e-27,1.6930361633299518e-63,2.8103115407195113e-41,1.2944849193557437e-98,1.6630784580999507e-15,1.0572294347751967e-80,1.6630784580647736e-15,6.466294321101068e-55,5.269133020536346e-55,5.7019254153038325e-83,6.6113695018617714e-84,8.8500949723827228e-42,4.6823999611449225e-64,9.0825280182345003e-14,2.6891751196756596e-15,1.076566978235103e-17,5.3642114052412741e-29,1.9863583954687068e-28,1.0765669692996674e-17,2.8784632293481073e-26,1.4393761827274307e-31,1.4280415841019862e-36,8.1979897579319014e-59,2.182002251995043e-39,1.1800309438754958e-72,1.0041627093083784e-76,3.373519438400806e-41,3.4418481180538653e-85,9.0897106660325437e-91,1.3765731815051504e-76
3.7687287992426193e-19,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679981281,0.11866996602978033,0.022821567693051596,0.0,3.4002587439088362e-47,7.0743113045270217e-27,2.0027722767116094e-61,2.2483203866968603e-40,6.1227156516751481e-96,3.3262020313725418e-15,6.7665947771057786e-79,3.3262020312318315e-15,1.0346421734343192e-53,8.4305790933472294e-54,1.3486461454070094e-80,1.5637521243927129e-81,7.0799686736807167e-41,1.4984204849599129e-62,1.8165302422354942e-13,5.3784231898722548e-15,2.1531631674402533e-17,2.1456388004184915e-28,7.9455950926806075e-28,2.1531631316977253e-17,1.1514029543601555e-25,1.1515131727431817e-30,2.11511869786446e-35,4.8515525444328075e-57,1.7456432359639257e-38,7.5524668989202506e-71,2.3750926946681757e-74,2.698774469389446e-40,4.4057236741441153e-83,4.3005304845555538e-88,8.8103730980144608e-75
7.537508715834368e-19,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679962573,0.11866996602959533,0.022821567693048907,0.0,5.4400729785918143e-46,2.8297533082342939e-26,2.458264567588591e-59,1.7986847708579168e-39,3.0053883255685422e-93,6.6524491780927738e-15,4.3307251006099752e-77,6.6524491775299294e-15,1.6554555413276394e-52,1.3488083568811732e-52,3.3102289223442025e-78,3.8382028612923225e-79,5.6636016284755691e-40,4.7950295245804766e-61,3.63308512301804e-13,1.0756919330260039e-14,4.3063555651396652e-17,8.5819272511931649e-28,3.1782702536269052e-27,4.3063554221676321e-17,4.6056125655876089e-25,9.2119730215095129e-30,3.2483275415439987e-34,2.978392710584012e-55,1.3965311628450171e-37,4.8336648154186099e-69,5.8296242054495255e-72,2.1588769895670763e-39,5.6394274359885515e-81,2.1112930716569089e-85,5.6387277120487452e-73
1.5075068549017865e-18,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679925159,0.11866996602922532,0.02282156769304353,0.0,8.7028597780084295e-45,1.1319070809926262e-25,3.0788959833253704e-57,1.438959200441564e-38,1.5054749369792932e-90,1.3304943472233444e-14,2.7716974791107463e-75,1.3304943469982052e-14,2.6487513099872576e-51,2.1577648846499473e-51,8.291226589635467e-76,9.6136582023583067e-77,4.5302034945394466e-39,1.5344228678044876e-59,7.2661948844169585e-13,2.1513911611013998e-14,8.612740437697376e-17,3.4322162849494857e-27,1.2713144760750613e-26,8.6127398658026134e-17,1.8422175148003531e-24,7.3692354641599413e-29,5.0884425796377794e-33,1.8654759893623468e-53,1.1172315601184993e-36,3.0935729558591092e-67,1.4601627999895441e-69,1.72684276450782e-38,7.218531736150116e-79,1.0576900307528966e-82,3.6088032004622271e-71
3.0150188215384854e-18,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767985033,0.1186699660284853,0.022821567693032774,0.0,1.392042231490678e-43,4.527639842502372e-25,3.8969042412449851e-55,1.1511719123818317e-37,7.6213319255161623e-88,2.6609932063315607e-14,1.7738970696962032e-73,2.6609932054310015e-14,4.2380200274603489e-50,3.4513261198709039e-50,2.0987236522276021e-73,2.4334652292951282e-74,3.6230465429486874e-38,4.9101745477126435e-58,1.4532414406550104e-12,4.3027896172435427e-14,1.722551049146795e-16,1.3724325572686246e-26,5.0852701038544629e-26,1.7225508203853273e-16,7.3685937619855949e-24,5.8947872390458837e-28,8.0537953575072926e-32,1.180649205309697e-51,8.9378790031047817e-36,1.9798954241869189e-65,3.6960486806449413e-67,1.3810479822732371e-37,9.2397617022458135e-77,5.3546898713455343e-80,2.3096255662922402e-69
