Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),CH3X(21),HOX(22),HX(19),H2X(49),CH2X(27),CHX(28),CX(26),OCX(25)
6.349184977503971e-21,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999731,0.11866996602996277,0.022821567693054226,0.0,8.7121104422977505e-62,4.1729862534348536e-36,7.284642016038797e-76,1.539352237498917e-48,6.8574279017510507e-120,6.4562102105713432e-22,8.7524363266902423e-102,6.4562102078622275e-22,2.3477383029586302e-68,1.9357455789950516e-62,6.9629995256070537e-101,4.2073664293721697e-102,1.2205778194221957e-49,6.8986917942687527e-81,2.5604408426187943e-15,1.2310827106795958e-16,4.7452579279363051e-20,3.3275269351030676e-32,4.745257928042593e-20,1.452342039202557e-49,4.1262251309408165e-31,4.4425668007957654e-38,1.3990846522909576e-44,1.7681000073858664e-69
1.2703886188698215e-20,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999465,0.1186699660299602,0.022821567693054164,0.0,1.3955219624548316e-60,1.6702820131791243e-35,9.1655305314784665e-74,1.2327302595666144e-47,3.4508657697439687e-117,1.2918029644818902e-21,5.6102169340570327e-100,1.2918029633975375e-21,3.7604614235239701e-67,3.1007285915595405e-61,1.7520535429862752e-98,1.0586718025845023e-99,9.7718353535990344e-49,2.2100591297482093e-79,5.1231062211549425e-15,2.4632349979974568e-16,9.4946385820045425e-20,1.3318474560600041e-31,9.4946385824299708e-20,1.1627567176264967e-48,1.6515651998029896e-30,3.5567532737110121e-37,2.2003177692836624e-43,1.1124564264260914e-67
2.5413288611086704e-20,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319998926,0.11866996602995508,0.022821567693054039,0.0,2.2340291929034372e-59,6.6833036974050403e-35,1.1630026600364135e-71,9.86683839501697e-47,1.7514154743241728e-114,2.584166852958716e-21,3.5933117970252163e-98,2.5841668486198915e-21,6.0200042497663623e-66,4.963831087138058e-60,4.4461674906896061e-96,2.6865800824041567e-97,7.8201038969887334e-48,7.0761560461450361e-78,1.0248436978222694e-14,4.9275395726330854e-16,1.8993399889749667e-19,5.3288805998603003e-31,1.8993399891451929e-19,9.3055875981098101e-48,6.6084106390321458e-30,2.8464812876584139e-36,3.4898964812690652e-42,7.0583862479574612e-66
5.083209345586368e-20,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319997849,0.11866996602994483,0.022821567693053792,0.0,3.5751648029115299e-58,2.6737566708556716e-34,1.4821149288187835e-69,7.8954697309392658e-46,8.927691699716878e-112,5.1688946364216227e-21,2.3006072988112749e-96,5.168894619063499e-21,9.6346203211793758e-65,7.9437345845718542e-59,1.1332077761431441e-93,6.8473656174634575e-95,6.2567364357585672e-47,2.2650048213475394e-76,2.0499098492339999e-14,9.8561487219039652e-16,3.7990922503674501e-19,2.1317040002387827e-30,3.7990922510484681e-19,7.4458839258963605e-47,2.643793430506564e-29,2.2776138274805888e-35,5.5593239955590953e-41,4.4977103554050801e-64
1.0166970314541763e-19,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319995701,0.11866996602992433,0.0228215676930533,0.0,5.7200785630139749e-57,1.0695897136950977e-33,1.892917808206175e-67,6.3171754873798538e-45,4.560825224410054e-109,1.0338350229384459e-20,1.4726728171602245e-94,1.033835015994631e-20,1.5417483626647933e-63,1.2709569823671203e-57,2.8945807500687108e-91,1.749039595483336e-92,5.0050088222624796e-46,7.2490314008109015e-75,4.1000421520501837e-14,1.971336702044423e-15,7.5985967725262571e-19,8.5259483673277214e-30,7.5985967752505669e-19,5.957272744056075e-46,1.0576025298216212e-28,1.8222581793788234e-34,8.8752835788651779e-40,2.8722276503921189e-62
2.0334492252452552e-19,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319991404,0.11866996602988332,0.022821567693052314,0.0,9.1495479443637773e-56,4.278532957888158e-33,2.4202298699340116e-65,5.0540602889265928e-44,2.3325205096605189e-106,2.0677261519458224e-20,9.426015428989305e-93,2.0677261241694322e-20,2.4669646804554163e-62,2.0329583602668827e-56,7.4018222522408453e-89,4.4725234202176695e-90,4.0028288046065877e-45,2.3198526155754553e-73,8.2003067576534412e-14,3.9427803617518759e-15,1.5197605814339219e-18,3.4092694225596568e-29,1.5197605825237038e-18,4.7660444549946338e-45,4.230574972757457e-28,1.4578663221740482e-33,1.4184677070798495e-38,1.8361893705790648e-60
4.066953612827413e-19,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319982811,0.11866996602980132,0.022821567693050344,0.0,1.4629448586996513e-54,1.7114480093594088e-32,3.0961036936207108e-63,4.0433761921678356e-43,1.1935564390435788e-103,4.1355084516198118e-20,6.0329409368166458e-91,4.1355083405119889e-20,3.9472773312702891e-61,3.2505479415395571e-55,1.8937672689438616e-86,1.1443017911243599e-87,3.2001518310498815e-44,7.4237884830698824e-72,1.6400835968743523e-13,7.885667681164383e-15,3.0395623887946539e-18,1.3627375579861688e-28,3.0395623931539767e-18,3.8129260804409341e-44,1.6922585861177384e-27,1.1663056549755539e-32,2.2682648236855636e-37,1.1744869578336581e-58
8.133962387991729e-19,0.11640260799999998,0.8585084662769803,0.0,0.0,0.3375675631996562,0.11866996602963731,0.022821567693046402,0.0,2.3374462604001926e-53,6.8458617301671555e-32,3.9617152274751165e-61,3.2347521349454916e-42,6.108999156283435e-101,8.2710732176047347e-20,3.8611753909326922e-89,8.2710727731689254e-20,6.3157507983645312e-60,5.193614337158628e-54,4.8464521604060652e-84,2.9284505948107419e-85,2.5566591811828531e-43,2.3756539306766505e-70,3.2801894390457937e-13,1.57714423199798e-14,6.0791659995086787e-18,5.4430382882502552e-28,6.0791660169469891e-18,3.0503770876197107e-43,6.769056545168445e-27,9.3303145971363472e-32,3.6281287702111942e-36,7.5142703780968151e-57
1.6267979938320361e-18,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319931241,0.11866996602930928,0.022821567693038516,0.0,3.7294051303892367e-52,2.7383586624351333e-31,5.0697773094731355e-59,2.5878221742283663e-41,3.1270545749787272e-98,1.6542203416122358e-19,2.4711821343491407e-87,1.6542201638370081e-19,1.0105286908467543e-58,8.2864108752984161e-53,1.240393281169633e-81,7.49503001048326e-83,2.0397732585696132e-42,7.6021591465281453e-69,6.5604011232023793e-13,3.1542991597572254e-14,1.2158373204906966e-17,2.1708784618359935e-27,1.2158373274667284e-17,2.4403161854274864e-42,2.7075990637424937e-26,7.4639097886278464e-31,5.8039121391302738e-35,4.8079810685734088e-55
3.2536015038977627e-18,0.11640260799999998,0.8585084662769803,0.0,0.0,0.3375675631986248,0.11866996602865322,0.022821567693022744,0.0,5.9336079497250196e-51,1.095346284461076e-30,6.4875428965464711e-57,2.0702659157327587e-40,1.6006150446376337e-95,3.3084466479348702e-19,1.5815662089719446e-85,3.308445936832152e-19,1.6168527480820143e-57,1.3183884959785382e-51,3.1745400896836329e-79,1.9182039727721678e-80,1.6229874754406028e-41,2.4327015663430998e-67,1.3120824490770351e-12,6.3086090152603624e-14,2.4316787551584492e-17,8.6331648915547205e-27,2.4316787830679832e-17,1.9522587959774021e-41,1.083012520026009e-25,5.9705277296633085e-30,9.2846870547151241e-34,3.0762668114209869e-53
