Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),CH3X(21),HX(19),CH2X(27),CHX(28),CX(26),HOX(22),OCX(25),H2X(49),CHOX(53),COX(50),CO2X(24)
6.649310165217264e-21,0.11640260799999998,0.8585084662769803,0.0,0.0,0.3375675631999972,0.11866996602996265,0.022821567693054223,9.6109678475456944e-102,1.0479905451631953e-61,4.5770362970354902e-36,3.4936682453141763e-75,3.7906443883185215e-49,3.6216196539595035e-119,6.7613944650040928e-22,2.4755963362135028e-102,6.7613944649623768e-22,6.0545704042841581e-69,3.2427678604331827e-64,3.5066827215789347e-100,2.1188999135727707e-101,1.4019769380912388e-49,1.8631979713633284e-81,2.6814725642086117e-15,1.2892758379774161e-16,4.9695656794408127e-20,4.969565685936907e-20,3.2496237536532556e-29,2.6311122181470458e-34,2.9634086485824471e-40,3.6495417214241629e-32,4.1524827306074511e-65,1.6682593952561723e-49,7.8161876360799841e-93,3.1040372642608677e-90,2.3351625597764178e-92
1.3304397315808305e-20,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999437,0.11866996602995997,0.022821567693054157,3.1496236335788015e-99,1.6786888806155791e-60,1.8320924674136547e-35,2.8601442927913125e-73,3.0355898548261013e-48,1.1848799087703167e-116,1.3528663295394768e-21,1.5868304491503384e-100,1.3528663295227801e-21,9.6978348848813172e-68,5.1943460920884418e-63,5.7381133703479607e-98,3.467233517656419e-99,1.1224088912020816e-48,5.9689254213050107e-80,5.3652748178718675e-15,2.5796718113483488e-16,9.9434489594023962e-20,9.9434489854038046e-20,1.3006858436808846e-28,2.106473010557163e-33,3.0424957923297413e-39,1.4607327578194216e-31,1.7018272614046812e-63,1.3356798216432172e-48,1.2811155743560885e-90,5.079249832571325e-88,3.8274506614679094e-90
2.6614571616990387e-20,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319998876,0.1186699660299546,0.022821567693054028,1.1580206942159712e-96,2.6873329276275624e-59,7.3314375951001381e-35,2.6275019163622787e-71,2.4297022180753534e-47,4.3496520543239304e-114,2.706320095642372e-21,1.0163558064714071e-98,2.7063200955755629e-21,1.552495837887091e-66,8.3154013035034561e-62,1.0535709726143506e-95,6.3661630918515347e-97,8.982280292489584e-48,1.9111274917644046e-78,1.0732879325193391e-14,5.1604637580901121e-16,1.9891215499820916e-19,1.9891215603861267e-19,5.2043532975855272e-28,1.6857920505674877e-32,3.5072512321372622e-38,5.8445534211902178e-31,7.8275303718996008e-62,1.0690425225506943e-47,2.3559285846422445e-88,9.3259748975569663e-86,7.0385258175086701e-88
5.323492021935455e-20,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319997749,0.11866996602994385,0.022821567693053772,4.7637457028253891e-94,4.3005784975617906e-58,2.9335975481928405e-34,2.7011047378340941e-69,1.9442540212323396e-46,1.7870394119583842e-111,5.4132276279472023e-21,6.5071880906916623e-97,5.4132276276799209e-21,2.4846673288775122e-65,1.3307274747937442e-60,2.1649062437425248e-93,1.3081364547827043e-94,7.1865456108331493e-47,6.1173226468328293e-77,2.1468088339816482e-14,1.0322047651573227e-15,3.9786748502639378e-19,3.9786748918875263e-19,2.0820127591234979e-27,1.3488472721590269e-31,4.5223091068745987e-37,2.337977694454278e-30,4.0281094017599931e-60,8.5554482443499839e-47,4.8472295460983297e-86,1.916326602379027e-83,1.4481373888333857e-85
1.0647561742408289e-19,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319995501,0.11866996602992239,0.022821567693053255,2.1404214574897941e-91,6.8806453660059858e-57,1.1739706111550038e-33,3.0333542521155936e-67,1.5556001283476261e-45,8.0224549628184923e-109,1.0827042692953019e-20,4.1654040272608122e-95,1.0827042691883808e-20,3.9760069654440277e-64,2.1290781868732083e-59,4.8603872070509422e-91,2.9368705788408025e-92,5.7487532038946184e-46,1.957817622916358e-75,4.2938506368982849e-14,2.0645215438537819e-15,7.9577814196201961e-19,7.9577815861335145e-19,8.3281892657341822e-27,1.0791122787901457e-30,6.3637607493071793e-36,9.3508782557662227e-30,2.2636729440006635e-58,6.8473825977005539e-46,1.0892071784630535e-83,4.3023058867714715e-81,3.2540173367996983e-83
2.1295701183353955e-19,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319990999,0.11866996602987945,0.022821567693052221,1.0193179374648607e-88,1.1005747814187584e-55,4.699561745863927e-33,3.6109295100222889e-65,1.2445588538097103e-44,3.8185658340172531e-106,2.1654672824549287e-20,2.6661157368107393e-93,2.1654672820272266e-20,6.3620424766626169e-63,3.4055084889735917e-58,1.1568751015581134e-88,6.9903735060739238e-90,4.5975749792565667e-45,6.2654553409338438e-74,8.5879342426996336e-14,4.1291551012460408e-15,1.5915994433502983e-18,1.5915995099626651e-18,3.3309796661057073e-26,8.6322202228073856e-30,9.4835671934033796e-35,3.7390692947281399e-29,1.3480327532578055e-56,5.4819642410752033e-45,2.5939358200202392e-81,1.0240398331154892e-78,7.7491661079933843e-81
4.2591980065245286e-19,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319981995,0.11866996602979356,0.022821567693050156,5.0217334930303158e-86,1.7596786683422935e-54,1.8826525622936673e-32,4.4472680118309806e-63,9.9567855530783133e-44,1.8808207839149583e-103,4.330993309408035e-20,1.7063963193769647e-91,4.3309933076971923e-20,1.0179612751986211e-61,5.4449704008005417e-57,2.8492419532548475e-86,1.721643284484563e-87,3.6755164938096385e-44,2.0050158874679574e-72,1.7176101454174625e-13,8.2584222160279254e-15,3.1832419961949634e-18,3.1832422626844781e-18,1.3320738157560557e-25,6.9042001171565691e-29,1.461233730042429e-33,1.4945119870249034e-28,8.3036266643281986e-55,4.3917504716220704e-44,6.3904428115775737e-79,2.5220844640461533e-76,1.9089715283847287e-78
8.518453782902795e-19,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319963993,0.11866996602962179,0.022821567693046028,2.5195173475434787e-83,2.8113705341478039e-53,7.5529878458157676e-32,5.5786987723207145e-61,7.965553866958319e-43,9.4364522300043652e-101,8.6620453658496573e-20,1.0921199032434187e-89,8.6620453590062168e-20,1.6287655316272971e-60,8.6992062690035831e-56,7.1477074938184297e-84,4.3189729557128084e-85,2.9362475017702556e-43,6.416162769498513e-71,3.4352435876613784e-13,1.6516956445581173e-14,6.3665269021567398e-18,6.3665279684024439e-18,5.3255901684928576e-25,5.5206436019923274e-28,2.2922408779671047e-32,5.9689590347577627e-28,5.2088521743224009e-53,3.5231553399360272e-43,1.6033749592540107e-76,6.3269865188247977e-74,4.7890471143085087e-76
1.7036965335659327e-18,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319927989,0.11866996602927826,0.02282156769303777,1.2756254325591382e-80,4.4849574411935385e-52,3.0390255421197748e-31,7.0628476014194821e-59,6.37249251740106e-42,4.7787240335022362e-98,1.7324149488874542e-19,6.9896506268632936e-88,1.7324149461500638e-19,2.6060465483978148e-59,1.3877734965828074e-54,1.8097889031985614e-81,1.0935568751735993e-82,2.3423187568499981e-42,2.0531897660697701e-69,6.870510471944883e-13,3.3034024904645567e-14,1.2733095915170187e-17,1.2733100182386019e-17,2.1280426509699739e-24,4.4120960442052367e-27,3.6283725097776797e-31,2.3803072265661171e-27,3.2975471462061534e-51,2.8340605254203488e-42,4.0600156204028203e-74,1.6019824009776801e-71,1.2123632619172113e-73
3.4073988441172392e-18,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319855979,0.1186699660285912,0.022821567693021252,6.4826369175306712e-78,7.1338360141300462e-51,1.2298241556006639e-30,8.9777100722535027e-57,5.0980125893743345e-41,2.4298975856021135e-95,3.4648357775490853e-19,4.4734020374150007e-86,3.4648357665994995e-19,4.1696908903104894e-58,2.2073988564516762e-53,4.6008413527904333e-79,2.7800345604388224e-80,1.8632395622122839e-41,6.5702340731937654e-68,1.3741044239694581e-12,6.6068161822606001e-14,2.5466230745557435e-17,2.546624783210554e-17,8.494609191448709e-24,3.5225951530622107e-26,5.7656499730051562e-30,9.4634405034208733e-27,2.0958518213646542e-49,2.292016967042486e-41,1.0321605561299997e-71,4.0725501609145369e-69,3.0805942896571231e-71
