Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),CH3X(21),HX(19),CH2X(27),CHX(28),CX(26),HOX(22),OCX(25),H2X(49),COX(50),CHOX(53),CO2X(24),H2OX(23)
6.746385521509144e-21,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999714,0.1186699660299626,0.022821567693054223,1.0836334377301282e-101,1.3773186331929058e-54,4.7116582077058235e-36,3.8265312644118989e-75,3.9591024013071944e-49,4.0832704352542547e-119,6.8601061750033842e-22,2.7005188508382227e-102,6.8601061749604429e-22,6.4159591220763551e-69,3.4363229094618034e-64,3.8968140477260705e-100,2.3546353074849111e-101,1.4642809718308908e-49,2.0032346377072649e-81,2.7206202198434821e-15,1.3080983786952289e-16,5.042117921198375e-20,5.0421179278855294e-20,3.3452005274315232e-29,2.7480397621727737e-34,3.1078625969835197e-40,3.7568798688394768e-32,4.4827743363169705e-65,1.7423987278397327e-49,3.4493728048438814e-90,8.6859669769511576e-93,2.5950175767568598e-92,7.3330263369855083e-46
1.349863236840622e-20,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999431,0.11866996602995988,0.022821567693054157,3.5592991667785048e-99,2.2054558571260993e-53,1.8859800987303277e-35,3.1397968625973535e-73,3.1704928904562423e-48,1.3389611458825531e-116,1.3726172477089959e-21,1.7310033458427137e-100,1.3726172476918081e-21,1.0276684890631531e-67,5.5043855116489774e-63,6.391035387795241e-98,3.8617592013075811e-99,1.1722885022859246e-48,6.4175457130288351e-80,5.4436041410057081e-15,2.6173332459905056e-16,1.0088616476820003e-19,1.0088616503586159e-19,1.3389409930784073e-28,2.2000851523334869e-33,3.1981359276238714e-39,1.5036944332548732e-31,1.8413941051978642e-63,1.3950398254757576e-48,5.6572018227722971e-88,1.4269298822941408e-90,4.2630840794719817e-90,5.870746537713597e-45
2.700312606220037e-20,0.11640260799999998,0.8585084662769803,0.0,0.0,0.3375675631999886,0.11866996602995444,0.022821567693054025,1.3118971485483444e-96,3.5300105087797843e-52,7.547088589721427e-35,2.8915746321863303e-71,2.5376793231180958e-47,4.9274948834556106e-114,2.7458305081517983e-21,1.1086977203208583e-98,2.7458305080830242e-21,1.6451621118343799e-66,8.8117238695586088e-62,1.1763696990879879e-95,7.1081697895395342e-97,9.3814447774872636e-48,2.0547665074908098e-78,1.0889571983325026e-14,5.2358029805809519e-16,2.0181613567984946e-19,2.0181613675085323e-19,5.3574199785906253e-28,1.7607086294364759e-32,3.6958157355687322e-38,6.0164436268997849e-31,8.4905027778691063e-62,1.1165541008867403e-47,1.041296178942568e-85,2.6305951229372231e-88,7.8591132550977048e-88,4.6981680816035749e-44
5.401211344978867e-20,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319997716,0.11866996602994355,0.022821567693053765,5.4083495068479769e-94,5.6486695415270866e-51,3.0198962128299134e-34,2.978970734309657e-69,2.0306575807990587e-46,2.0288093705716112e-111,5.4922570291393564e-21,7.0984044715643465e-97,5.4922570288642147e-21,2.6329735964144971e-65,1.4101528883199692e-60,2.4224448712391776e-93,1.4637532009558539e-94,7.5058994480734199e-47,6.577096370357465e-77,2.1781507667943119e-14,1.0472742449761421e-15,4.0367607670001577e-19,4.0367608098479905e-19,2.1432464013441885e-27,1.4087893810517798e-31,4.7756110589151382e-37,2.4067350047663897e-30,4.3786543659169109e-60,8.935701622509662e-47,2.1442940357677006e-83,5.4239736672902356e-86,1.620442603369537e-85,3.7589068401914619e-43
1.0803008822496528e-19,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319995435,0.11866996602992176,0.022821567693053241,2.4337485667290448e-91,9.0372020231545437e-50,1.2085122652360213e-33,3.350495988186481e-67,1.6247317266026625e-45,9.1217460746679137e-109,1.0985110071522283e-20,4.5438555266666432e-95,1.0985110070421625e-20,4.2133291793472164e-64,2.2561476168156252e-59,5.4468879316401784e-91,3.2912614188599328e-92,6.0041991099673509e-46,2.1049658360629352e-75,4.3565379037097146e-14,2.0946621388120666e-15,8.0739595552781842e-19,8.0739597266891174e-19,8.5731197919572801e-27,1.1270664606009255e-30,6.7302929565602356e-36,9.6258501849430911e-30,2.4643989881132698e-58,7.1517558861481733e-46,4.8214631845771414e-81,1.220658035577495e-83,3.6467264166665601e-83,3.0068647895398444e-42
2.1606603777531847e-19,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319990866,0.1186699660298782,0.022821567693052193,1.1600838499299258e-88,1.4455177268045235e-48,4.8378889831426418e-33,3.9921709151178643e-65,1.2998676317804771e-44,4.3458730499814685e-106,2.1970816157919375e-20,2.9083480600807985e-93,2.197081615351656e-20,6.7417837626401416e-63,3.6087393591477388e-58,1.2976854791280002e-88,7.8412148040622587e-90,4.8018431897751394e-45,6.7363626121710791e-74,8.713312177507653e-14,4.1894379264832384e-15,1.6148357003333043e-18,1.6148357689049891e-18,3.428936685320089e-26,9.0158069638897787e-30,1.0038953184830473e-34,3.8489988285816685e-29,1.4689243114714635e-56,5.7257011145663728e-45,1.1486820108267225e-78,2.9096826394577952e-81,8.6924253363622246e-81,2.4047325068069439e-41
4.3213793687602486e-19,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319981734,0.11866996602979106,0.022821567693050097,5.7181700000344645e-86,2.3112627635770193e-47,1.9381085240137875e-32,4.919352192691895e-63,1.0399269757337016e-43,2.1416570506652174e-103,4.3942228337238509e-20,1.8614324779534353e-91,4.3942228319626891e-20,1.0787219383584372e-61,5.7698480112772142e-57,3.197699074753786e-86,1.932197126193874e-87,3.8387779973000927e-44,2.1557114876509017e-72,1.742686072497207e-13,8.3789895018228716e-15,3.2297151385437999e-18,3.2297154128722825e-18,1.3712420854310615e-25,7.2109729560269117e-29,1.5475907527044335e-33,1.5384337968090035e-28,9.0529412489891254e-55,4.5871071397907659e-44,2.8305308030559259e-76,7.1720125592423521e-79,2.1424403757672898e-78,1.9224354722242406e-40
8.642817350774377e-19,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319963471,0.11866996602961678,0.022821567693045906,2.8696992520393678e-83,3.6928800021828603e-46,7.7758045225424324e-32,6.1725439915923954e-61,8.3195467948049867e-43,1.0748027003101224e-100,8.7885052721976602e-20,1.1913454292033356e-89,8.7885052651529395e-20,1.7259842316957566e-60,9.2180508400131416e-56,8.0240227670075049e-84,4.8484828254748312e-85,3.0666077970137044e-43,6.8983970951439627e-71,3.4853957819375061e-13,1.6758092652491302e-14,6.4594738093628974e-18,6.4594749069770915e-18,5.4821422775174004e-25,5.7658987900123157e-28,2.4283465034333502e-32,6.1442420412045337e-28,5.6804100638493041e-53,3.6800220894067692e-43,7.102680597251326e-74,1.7999539171809746e-76,5.3761800934208151e-76,1.5357373887612734e-39
1.7285693314802633e-18,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319926939,0.11866996602926823,0.022821567693037528,1.4531017133581e-80,5.8921142034319425e-45,3.1289435874132903e-31,7.8156782911666943e-59,6.655689040922877e-42,5.4436247447472526e-98,1.7577070159585201e-19,7.6247015397715011e-88,1.7577070131406181e-19,2.7615977575234627e-59,1.4704808592441092e-54,2.0319317208645176e-81,1.2277856608876352e-82,2.4462089626505609e-42,2.2075060742857722e-69,6.9708152006077669e-13,3.3516298953784839e-14,1.291899032859363e-17,1.291899472138223e-17,2.1905659525293075e-24,4.6080362336617062e-27,3.8442917742692064e-31,2.4500978309725953e-27,3.5965303659716589e-51,2.9604803348829278e-42,1.7986179390880447e-71,4.5583668503327264e-74,1.3611661986829853e-73,1.2250453619596602e-38
3.4571445242859147e-18,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319853876,0.11866996602857113,0.02282156769302077,7.3848276929325113e-78,9.3749467435462596e-44,1.2664217477051202e-30,9.9350840058503469e-57,5.324570609415455e-41,2.7681150549556529e-95,3.5154199976119954e-19,4.8798369295860185e-86,3.5154199863403623e-19,4.4185737850704994e-58,2.3387539314526309e-53,5.1658016689757377e-79,3.1214087970636885e-80,1.9457207297845017e-41,7.0640482447070399e-68,1.3941654037106937e-12,6.7032711556198577e-14,2.5838020077426082e-17,2.5838037667048954e-17,8.7439231859846326e-24,3.6789250646080208e-26,6.1090123482658807e-30,9.7400494309716378e-27,2.28597843920527e-49,2.3946289669123912e-41,4.5726387645140619e-69,1.1589047762735598e-71,3.4588254195822323e-71,9.7440367609451746e-38
6.9142949098972176e-18,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319707748,0.11866996602717694,0.022821567692987255,3.7530871675809483e-75,1.4834776363910482e-42,5.1837284372623338e-30,1.2635954997225484e-54,4.2596622135251645e-40,1.4085158635762425e-92,7.0308459776228128e-19,3.1231031565560922e-84,7.0308459325362343e-19,7.069728701779351e-57,3.6978849200486065e-52,1.3140272245670555e-76,7.9399219802183499e-78,1.5388726262121105e-40,2.2604990238865658e-66,2.7883331706739879e-12,1.3406553676033309e-13,5.167606641658159e-17,5.1676136921722618e-17,3.4829692622311608e-23,2.9311887699708507e-25,9.7123103727763162e-29,3.8485553818112645e-26,1.4537191031772034e-47,1.9574488155271772e-40,1.1631406632472269e-66,2.9478656712728764e-69,8.7891512630264875e-69,7.7065617557024892e-37
1.3828595681119822e-17,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319415498,0.11866996602438855,0.022821567692920222,1.9004383127635361e-72,2.3223963740692908e-41,2.1668246184925642e-29,1.602920868792032e-52,3.4077288217146561e-39,7.1498569154913278e-90,1.4061698004459811e-18,1.9987866088385113e-82,1.406169782411351e-18,1.1311564030470617e-55,5.7800508457418728e-51,3.3338413250834457e-74,2.0144416748195501e-75,1.2036851656034074e-39,7.2335960626625013e-65,5.5766687032544157e-12,2.6813118716583268e-13,1.0335210646090859e-16,1.0335238964105851e-16,1.3816406312395519e-22,2.3260389587170405e-24,1.5399590385120903e-27,1.5027165463916083e-25,9.2203101010115122e-46,1.631998427330991e-39,2.9510068785821444e-64,7.4786221723559179e-67,2.2252506784368083e-66,6.0279557736827878e-36
